标题,标题链接,查看数,参与数,需求价格,详情标题,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【LOGO设计】设计24小时便利店LOGO,https://task.epwk.com/539785/,6320人,50人,¥800,,mf136****1128,￥ 800,￥ 800,2017.09.29,品牌：乐优   主营：24小时快捷便利店要求：1、简介明快2、类似于全家，7-11的风格,任务编号：539785,浩瀚品牌设计,走失的野猫窝
【LOGO设计】设计寿司品牌LOGO,https://task.epwk.com/538872/,4699人,33人,¥460,,mf136****1128,￥ 460,￥ 460,2017.09.26,品牌：三葉 SANYO  主营：寿司 刺身 沙拉 水果要求：1、用三葉 SANYO设计成一个品牌logo，并带上主营项目2、简洁明快，偏重于日本风格，英文字母O可以变形成卡通人物3、主色调用绿色：M30 C80 Y1004、交稿以达到满意为标准,任务编号：538872,海王设计☆企业形象策划,清月品牌设计
【产品外观设计】单层泳圈设计,https://task.epwk.com/538569/,7933人,23人,"¥1,600",,o58e722151a05c,￥ 1600,￥ 1600,2017.09.25,"公司名称：浙江东部塑胶有限公司胶泰隆玩具分公司1.图案要新颖好看，饱满。图案要求分辨率达到300像素以便印刷，或者以矢量方式（AI,CDR,PDF格式）保存。设计2款为佳。2.要我们公司的LOGO在图案上出现，附件中有我公司LOGO.3.附件中的产品图案仅供参考，亦可参照网上优秀的单层泳圈产品。4.不可使用侵权图案，假如被选中图案含有侵权问题，一律由设计人员及设计公司负责。5.本公司后期有一系列的产品图案及结构设计，欢迎设计公司或者个人留下联系方式（浙江台州的最佳）。6.其它不明事项可以加我QQ279366137,请注明“威客”",任务编号：538569,Liin设计工作室,晴朗设计工作室
【广告设计】系列灯箱广告画三幅,https://task.epwk.com/538492/,7982人,21人,"¥2,160",,long880226,￥ 2160,￥ 2160,2017.09.25,"设计规格：1、120CM×70CM高  （内径117CM×67CM）2、三幅广告按照文字内容设计具有一定的关联设计要求：1、大气、简洁、明快;2、有视觉冲击力，醒目易识别。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;文案内容：以智慧城市思维打造停车场车位服务广告图一、车主视角1、  解决大型停车场车内，经常难于找车、取车的问题 对于车主：帮助车主快速找到空闲泊车位，解决到目的地后到处找地方停车的烦恼，节省泊车及停车后到处找车取车的时间，节省车辆能耗与私人时间。 画面体现：快速便捷查找车位、车辆广告图二、车位业主视角1、  解决业主车位闲时空置、浪费资源、或被外来车辆占用问题 对于业主：让自己的车位再也不被别人占用，车主可以实时管理自己的停车位，实现车位的分时租赁，并和物业分享车位租赁和广告收入；（以前业主的车位每天闲置完全是没有此部分收益的） 画面体现：合理利用车位，实现私家车位有效管理以及资源收益化广告图三、停车场（物业管理）视角对于停车场：提高了车位利用率（车场曝光率提高，网络提前预约计费），优化了管理方式（提高管理秩序，保证停车安全），提高了运营效率，增加了运营收益。同时还可享受智能车位锁广告收入。 周边商企：方便的停车服务，商场、企业可以对进入停车场的车主进行精准广告营销。 画面体现：提高车位利用率，分享广告收入、提高商企运营效率三幅广告画面为一个系列连贯性的，分三个不同的视角体现每个画面的主题注：效果图仅为产品功能介绍",任务编号：538492,云出设计,诉之品牌设计
【包装设计】糖果包装设计,https://task.epwk.com/537678/,6937人,12人,"¥1,300",,k8491****29,￥ 1300,￥ 1300,2017.09.22,糖果内外包装设计 。一：红糖包装在设计，九种口味，原味红糖，老姜红糖，枸杞红糖，红枣红糖，桂花红糖，桂圆红糖，玫瑰红糖，乌梅红糖，柠檬红糖二：分为两种包装马口铁盒装，白卡包装。马口铁定位高端，外观需高端大气，白卡包装年轻化路线。 要求：马口铁的用一种盒子，用文字区分口味。白卡的用9种口味来区分马口铁盒装尺寸是155*108*50mm，白卡包装尺寸是:18.10.7cm,任务编号：537678,skatie文化传媒,厦门廖氏零博品牌策划有限公司
【LOGO设计】公司LOGO设计,https://task.epwk.com/535424/,3816人,27人,¥500,,纵横伟业,￥ 500,￥ 500,2017.09.15,内蒙古纵横伟业软件与技术服务有限公司LOGO，公司发展15年，展现云计算大数据背景下，公司致力于电子政务，我们的核心价值观：担当、分享、专注、精进、坚持。LOGO视觉形象鲜明，外形简洁大方，具有较强的识别性和记忆性和传播性，符合互联网企业的形象，颜色方面可以以设计师对公司名称的理解发挥想象，作品需是彩色原稿，最好能提供多种配色方案。提供不少于50个汉字的创意说明，寓意深远，健康。保证作品的原创性。,任务编号：535424,仙鹤品牌设计,华艺品牌策划
【LOGO设计】互联网卤味轻小吃品牌logo 设计,https://task.epwk.com/534992/,5231人,24人,¥500,,Chanfengcq,￥ 500,￥ 500,2017.09.14,一、公司品牌介绍1、品牌阐述：“九味馋猫”是一款互联网卤味轻小吃，2、目标客户人群：90后年轻时尚人群、在校大学生等。产品品类：以卤兔（五香、麻辣、泡椒等口味）为主，卤鸡、鸭、鹅、猪肉为辅，其他卤味菜为搭配。（泡椒兔丁、五香兔头兔腿、辣子鸡、酱香鸭脖等）3、产品特点：短保食品，祖传中药卤料配方，卤制全程无着色剂、增味剂、食品添加剂等。不采用冰冻饲料短期养殖的肉类。原材料统一由公司自己的生态基地提供，养殖周期一年以上。市场营销特点：互联网新零售，结合线下实体店。二、设计要求1、LOGO以卡通猫+“九味馋猫”字组合而成。2、重点突出 健康美味的小吃概念。3、围绕这互联网 年轻人的客户群体来配色和设计元素。4、有创意、识别度高，有冲击力，要注册商标，要求原创！,任务编号：534992,赤象品牌设计,点拾
【服装设计】征集原创图案（户外）,https://task.epwk.com/534145/,6669人,26人,¥500,,M1379****198,￥ 500,￥ 500,2017.09.12,"征集原创图案-户外-能力佳者长期合作征集原创图案设计: 要求图案体现户外元素风格,清新不俗气. 必须是原创的,不能侵权的,图案一旦选中购买,我司将对该图案申请外观保护,请知悉.(我司长期需要征集新的图案,有能力的公司或者个人可长期合作.)",任务编号：534145,o59a669db5d9ae,yemeicen
【宣传册设计】高档快餐宣传单设计,https://task.epwk.com/531607/,5520人,17人,¥500,,o59ab6fe91e69d,￥ 500,￥ 500,2017.09.03,具体要求：标题：快餐主要用途：该宣传册用于小区发放、介绍、宣传我们的产品，引导用户扫描二维码，到微信小程序里面下单设计要求：设计需融入下个几个元素：    干净，卫生、快捷、作品风格、形式不限，但必须原创；设计规格均为：不限  对折 A4   三折页都可以必须是彩色原稿，能以不同的比例尺寸清晰显示。标识应为平面形式，可用于印。知识产权说明：1、 所设计的作品为原创，为第一次发布。未侵犯他人的著作权。如有侵犯他人著作权，由设计者承担所有法律责任。2、 中标的设计作品，我方支付设计制作费。我方即拥有该作品的知识产权，包括著作权、使用权和发布权等，并有权对设计作品进行修改、组合和应用，设计者不得再向其他任何地方使用该设计作品。图片拍摄好了，文件过大，  联系微信发文件     微信：13196666608,任务编号：531607,微米品牌文化,点鑫广告
【LOGO设计】建材有限公司logo设计,https://task.epwk.com/530301/,3278人,27人,¥500,,mf180****6998,￥ 500,￥ 500,2017.08.30,我公司为“东方石韵建材有限公司”，经营各种天然石材，主要为别墅室内室外装修提供各种国产、进口大理石、花岗石，设计、施工、售后等全套服务。现需要设计一个图文结合的LOGO，突出环保、高雅、奢华、精美等寓意。可注册商标。,任务编号：530301,雨夜设计工作室,PA-平面设计
【字体设计】音响行业字体设计“雄音”“欧尼特”,https://task.epwk.com/528701/,7988人,24人,¥800,,xydz2****688,￥ 800,￥ 800,2017.08.24,设计要求：需要设计的字是“雄音”“欧尼特”。参考资料：如果需要了解公司其它资料可以看公司网站：www.oniter.com或联系QQ：2881685721注意事项：设计出来的字体，要能商标注册且是原创。（后期可能要配合修改，如果选中标）。,任务编号：528701,新码头工作室,眼眸视觉
,,,,,,,,,,,,,
【LOGO设计】全新家居电商品牌LOGO设计,https://task.epwk.com/528583/,4545人,34人,¥999,,me2080,￥ 999,￥ 999,2017.08.23,"""寂简生活"" 是中国全新的家居电商品牌。需要文字LOGO和图形LOGO一起设计。选标已创新和创意为选标目标！经营介绍： 像米家有品，严选等平台一样，专门销售自主品牌和其它高质量的产品。*必须要写设计创意说明，越详细越好，没有说明的直接否掉，谢谢配合~设计要求：1、时尚、简洁、未来感、明快;2、有视觉冲击力，醒目易识别，突出品牌元素;3、 附上创意说明。没有说明不行的。4、 请直接投稿，有疑问请留言或者加微信:me2080 (因为忙不能秒通过的，请尽量留言处理）知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：528583,o5976d0108989c,龙龙品牌工作室
【LOGO设计】投资管理公司ＬＯＧＯ设计,https://task.epwk.com/527286/,3329人,33人,¥500,,mf138****7000,￥ 500,￥ 500,2017.08.19,"中融鸿达LOGO设计介绍：中融鸿达投资管理有限公司是一家专业做银行不良资产业务的公司，主要的客户对象是国内各家中小银行内容：LOGO 设计设计要求：1、简洁、简洁、简洁（重要的事情说三遍）2、公司的业务都与银行有关，希望加入金融元素的内容；3、不要以公司名称拼音简写的方式设计；4、不要模仿各家主流银行的LOGO，接近、相似的都不要。5、附上创意说明。知识产权说明：· 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;· 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：527286,深圳非凡设计工作室,广州搏锋
【LOGO设计】化妆品商标设计,https://task.epwk.com/526293/,3338人,24人,¥500,,mf185****6380,￥ 500,￥ 500,2017.08.16,商标名称:蓝魅天使     化妆品商标，设计简洁大气,任务编号：526293,与世无争视觉策划,启人品牌策划工作室
【服装设计】个性创意图形设计——运动时尚品牌,https://task.epwk.com/526139/,5578人,10人,¥500,,shirley女郎,￥ 500,￥ 500,2017.08.15,"我们要寻找的是最新潮、时尚、有个性的球拍握把绑带设计，这种绑带可以用于多种球拍。我们的受众人群是相对年轻、对时尚和自我有追求的球拍运动爱好者。请参考我们现有的设计。交稿要求： 每个稿件请提供五款设计，每款设计的图案最好就一到两种颜色，相对简洁，但是有创意有个性，图案是重复、均匀的覆盖整条绑带，绑带尺寸：1100*27mm。请注意，不能有渐进色。我们的办公室在厦门，并在香港和美国都有注册公司，主要外销： 欧洲、美国、澳大利亚。希望能通过此项目找到长期合作的超级有才华的设计师。谢谢！期待你的加入！** 需要提供源文件（ai）,我们要寻找的是最新潮、时尚、有个性的球拍握把绑带设计，这种绑带可以用于多种球拍。我们的受众人群是相对年轻、对时尚和自我有追求的球拍运动爱好者。请参考我们现有的设计。交稿要求： 每个稿件请提供五款设计，每款设计的图案最好就一到两种颜色，相对简洁，但是有创意有个性，图案是重复、均匀的覆盖整条绑带，绑带尺寸：1100*27mm。请注意，不能有渐进色。我们的办公室在厦门，并在香港和美国都有注册公司，主要外销： 欧洲、美国、澳大利亚。希望能通过此项目找到长期合作的超级有才华的设计师。谢谢！期待你的加入！** 需要提供源文件（ai）",任务编号：526139,LogoV设计,晴朗设计工作室
【LOGO设计】科技公司 LOGO设计,https://task.epwk.com/525088/,3545人,27人,¥500,,mf138****7199,￥ 500,￥ 500,2017.08.11,标志设计需求1、 标志中文名称 汇本科技 标志英文名称 HuiBen 2、经营范围 通讯产品 3、公司简介：3C产品的设计，研发，生产，销售，及售后服务4， 名称的含义：汇聚本能、回归本质5，不用考虑中文名称的元素。 6，(logo)风格：时尚动感 国际化风格 清新自然  7，标志色彩范围选定：设计师自由发挥,任务编号：525088,A锐设计,深圳非凡设计工作室
【LOGO设计】APP样式及网站logo样式logo设计征集,https://task.epwk.com/524295/,5027人,42人,¥600,,caozhengrong1,￥ 600,￥ 600,2017.08.09,财务记账平台，有app手机端，需要结合“财 易 达”和网址ww w.c yead a.com，要求图标鲜明，能体现记账 和财务属性，简单易记，“财易 达”字体做好用附件字体，如果有更好的也可以.,任务编号：524295,眼眸视觉,广州搏锋
【LOGO设计】欧式面包及咖啡茶饮店logo设计,https://task.epwk.com/523224/,8006人,55人,¥500,,o59847fce76f15,￥ 500,￥ 500,2017.08.04,店名“素麦”，主营欧式面包及咖啡茶饮，需设计一个logo，要求有横竖两个版式，时尚大气，能体现经营内容，醒目有辨识度，适合连锁经验，需符合注册要求。,任务编号：523224,雨夜设计工作室,广州搏锋
【LOGO设计】“乡下果”商标logo设计,https://task.epwk.com/523180/,8311人,48人,"¥1,500",,o59322fabd5b92,￥ 1500,￥ 1500,2017.08.04,“乡下果”是共盈公司的一个产品商标，应用于公司的各种产品的包装，所以要求设计师设计的商标尽量用产品包装来做效果图。一、“乡下果”商标设计要求：1、“乡下果”商标设计应该能体现出（“绿色”“健康””和”美味“的特征）。2、设计师应该根据自己的灵感来设计，要大胆创新，风格不限。3、设计要以图形为主，文字部分包括中英文，图文结合，图形部分易于应用于各种产品包装；4、必须附上创意说明；5、设计作品一经采用，所有权、修改权和使用权均归我方所有，设计者不得在其他任何地方使用该设计作品，包括并不限于著作权、使用权、发布权以及对设计作品进行修改、组合、应用等权利。否则构成侵权，本公司保留依法追究设计方法律责任的权利。,任务编号：523180,圈外画方,文顿高端设计
【LOGO设计】公司logo设计,https://task.epwk.com/522818/,3340人,30人,¥800,,o5982e0971cf92,￥ 800,￥ 800,2017.08.03,起航游艺绳网游乐设备有限公司致力于儿童游乐园网绳类产品的研发、设计、生产、加工。设计要求：1.设计类型不限，突出创意，有良好的认知度。公司产品主营儿童游乐产品，设计中最好体现这一点。2.所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；3.中标的设计作品，我方支付设计费，即拥有该作品的知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改，组合和应用；设计原稿需提交我公司。设计者不得再向其他任何地方使用该设计作品。,任务编号：522818,速 豹 品 牌 设 计,与世无争视觉策划
【其他工业设计】诚约工业外观设计（智能家居设备）,https://task.epwk.com/522586/,5848人,14人,"¥4,000",,mf138****9434,￥ 4000,￥ 4000,2017.08.02,特注：本次投稿金额仅用于获取各位高手的稿件，一旦有亮眼的设计被我们收录即会和作者协议将设计进一步细化，同时支付与成熟作品相匹配的酬金。东屋电气成立于1991年，是国家高新技术企业，总部设于南京，并于中国香港、美国加州和荷兰海牙设有全资子公司；是全球三大高安全锁具生产商之一；全亚洲唯一一家同时具有美国UL和欧洲CEN/VdS认证的高安全锁具生产企业。一直以来，东屋致力于防盗安全方面产品的生产和研发，是全球领先的高安全锁具系统解决供应商。同时，东屋也是一个博采众长兼收并蓄的企业，具有开放的格局。在此，我们本着精益求精、至臻完美的理念，特此征稿《智能家居》的工业外观设计。本次征稿目的：1. 丰富产品造型，拓宽个性化设计，让顾客对产品拥有完美的体验；2. 寻找有实力的长期合作伙伴（可以是个人也可以是团体），为我们后续产品的外观设计开辟一条有效途径。我们支持您脑洞大开、天马行空，不过，围绕的中心是产品可以带给顾客良好的体验。真诚地欢迎各位大侠踊跃投稿！具体设计需求请下载文档查看。,任务编号：522586,o55b8e52d91791,十一 Design
【LOGO设计】森昌木业有限公司LOGO设计,https://task.epwk.com/522386/,4528人,45人,¥500,,小猫漫步cool,￥ 500,￥ 500,2017.08.02,主营：建筑模板（加工）、大兴板需要保障能注册商标,任务编号：522386,米诺设计,奇果设计
【LOGO设计】信息科技公司logo及名片设计,https://task.epwk.com/520736/,6094人,48人,¥960,,mf156****6395,￥ 960,￥ 960,2017.07.27,本公司主营业务为大数据、云计算、人工智能等信息类相关的软硬件产品研发及相关服务，公司全名为：深圳昆腾信息科技有限公司； LOGO分为图片，中文和英文。 logo图片要体现以人工智能业务，同时也能体现大数据和云计算业务，要有科技感，科幻感； 中文要体现：昆腾信息 英文包含：Qtum Info字样， 希望也把名片一同给设计了。,任务编号：520736,A锐设计,顺祥视觉
【LOGO设计】中英文LOGO设计,https://task.epwk.com/520716/,3174人,35人,¥500,,o58c3****63d6a,￥ 500,￥ 500,2017.07.27,1、LOGO的底色保持不变；2、LOGO需要中英文结合，英文：MAM；中文：美安萌；3、中文字体因为会涉及到版权问题 所以需要2种形式的，免费 & 收费；（收费的需要标注具体费用）,任务编号：520716,广州搏锋,奇果设计
【产品外观设计】产品面板贴纸的外观设计,https://task.epwk.com/520413/,4559人,11人,¥400,,中禾葆蓝,￥ 400,￥ 400,2017.07.26,设备前面板的装饰贴纸，需要重新设计。外形可以不变，也可以新设计。LOGO更换为附件中的LOGO文字颜色可以黑色也可以白色。原有的红色的开关换成两个圆的，附件里有图片，外观直径25mm主文字为：Z.H.BLUE副文字为：Fully premixed    copper   Frequency conversion开关必须在设备中间缝隙之上布置。,任务编号：520413,飞达工业设计中心,创新品牌设计
【LOGO设计】教育品牌LOGO设计,https://task.epwk.com/518509/,8379人,54人,¥800,,sj31,￥ 800,￥ 800,2017.07.19,LOGO名称：豌豆方1、企业所属行业：教育业2、明确具体的设计要求： 汉子变形有科技感，有教育特点，3、LOGO类型：LOGO主要以文字为主，图形、图文其次5、豌豆方意义：豌豆方这一词汇主要亮点在词汇的意义上，主要体现了一种奇妙的教育方式，就如现实中豌豆本就是圆形的，而我们定义为豌豆方就是让不切实际的事情变成可能。只要敢去想象，一切都会变成现实，让每个小朋友都有一个奇思妙想的学习旅程，就像我们的口号一样：用梦想闯关，让创意无限。（注：豌豆方教育主要涉及的是3D打印创客教育）,任务编号：518509,小凡家设计,KIN RABBIT
【机械设备】技术创新作品设计赛,https://task.epwk.com/518460/,7613人,9人,"¥1,700",,mf134****6665,￥ 1700,￥ 1700,2017.07.19,技术创新作品设计赛 1.主题： 设计一种与液体饮料相关的实体的技术创意作品。2.创作方向示例：比如瓶子、瓶盖、杯子、吸管、包装袋、玻璃瓶包装盒等。3.要求： 必须是技术方向的新设计，不接受艺术设计。4.改进方向示例：比如，有趣的人瓶互动设计、安全方面的改进、智能瓶子、防倒、防止意外溢出、为再次利用的进行设计、为喝完饮料后的其他利用进行设计等。5.要求给出设计方案，有设计草图。6.现有技术参考的案例：         饮料‘尖叫’的瓶盖。         可口可乐的互助瓶盖。         音乐茶杯。         温变茶杯。 6.设一等奖（1000元）、二等奖（500元）、三等奖（200元），无论稿件数量是多少，质量如何，都会从投稿者中选取三个奖。7.所投稿件请注明姓名和有效联系方式，方便沟通理解。,任务编号：518460,o596f0f251a065,道森装饰设计
【LOGO设计】万城汇生活服务平台中英文LOGO设计,https://task.epwk.com/518361/,3782人,33人,¥600,,IFA丶Brand,￥ 600,￥ 600,2017.07.19,"万城汇生活服务平台中英文LOGO设计+图形+名片+工作牌要求：随意发挥，要求个性，大胆！后期更多各类广告设计，需要长期合作商知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：518361,lu350021025,侠道视觉
【广告设计】需要设计月饼券4款，带副券,https://task.epwk.com/517364/,3093人,8人,¥300,,一味同心,￥ 300,￥ 300,2017.07.14,文字内容在附件中，共4款：《今宵有福》398元，《君子有礼》288元，《锦鲤送福》188元，《知书达礼》98元。尺寸：16cmX6cm.需要设计师添加背景图案和对文字进行排版。,任务编号：517364,o5966fec187754,Oh田文文
【LOGO设计】公安局徽标设计,https://task.epwk.com/517108/,5092人,13人,¥500,,夏沫08,￥ 500,￥ 500,2017.07.13,设计的徽标要有丰富的含义，为何这样设计，徽标的每个部分表达了什么含义，总体体现了什么含义。要求是：一是最好有鹰，二是有剑，三是必须突出作战中心这个重点.徽标必须富有含义设计合成作战指挥中心徽标。就是第一张图片的警徽换成“合成作战中心徽标”，其他图片只是参考。,任务编号：517108,广州搏锋,雨夜设计工作室
【LOGO设计】泸西天堃工程咨询有限公司LOGO设计,https://task.epwk.com/515793/,3323人,27人,¥460,,小猫漫步cool,￥ 460,￥ 460,2017.07.08,泸西天堃工程咨询有限公司，公司宗旨：方寸之间 彰显价值，logo及名片设计,任务编号：515793,深圳非凡设计工作室,雨夜设计工作室
【LOGO设计】水暖器材LOGO设计,https://task.epwk.com/514802/,3540人,27人,¥500,,用耳朵飞翔的小猪,￥ 500,￥ 500,2017.07.05,"要求设计企业LOGO及名片、信封和便签应用详情请见附件，谢谢！知识产权说明：

1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：514802,A锐设计,思融企划设计
【LOGO设计】公司名称LOGO设计,https://task.epwk.com/513865/,3580人,21人,¥500,,yy2017bba,￥ 500,￥ 500,2017.07.01,本公司名称：重庆市勤拓精密机械有限公司。主要经营范围：五金零件、塑胶零件、模具配件的生产与销售；夹具、模具设计、生产与销售。,任务编号：513865,深圳非凡设计工作室,顺祥视觉
【包装设计】红酒标签及纸箱包装设计,https://task.epwk.com/513172/,5195人,13人,"¥3,000",,o59534e7e5f2ee,￥ 3000,￥ 3000,2017.06.28,"1、产品性质：红酒原料大多来自澳州等国家，引进到国内罐装贴标。销售人群大众化，一套红酒为5瓶，需要5个不同设计风格并设计出相对应纸箱包装。 2、设计要求：时尚又要具有国际代表性，色彩搭配，特独吸引眼球 。没有素材、没有图形、没有LOGO 设计师可天马行空，随意发挥。4、详询：微信号189251431123、威客众多的设计服务商，水平参差不齐，希望有实力的设计机构或者设计师积极参与，一切靠作品实力说话。本公司觉得前期根据我的要求（初步的构思设计方案），如果觉得满意，酌情加价，本公司后续的设计项目考虑长期合作！4.发挥你们的创意，积极投标，投稿。5、知识产权说明：所提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任。中标的作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改，组合和应用，设计者不得再向其他任何地方使用附件是原公司商标,1、产品性质：红酒原料大多来自澳州等国家，引进到国内罐装贴标。销售人群大众化，一套红酒为5瓶，需要5个不同设计风格并设计出相对应纸箱包装。 2、设计要求：时尚又要具有国际代表性，色彩搭配，特独吸引眼球 。没有素材、没有图形、没有LOGO 设计师可天马行空，随意发挥。4、详询：微信号189251431123、威客众多的设计服务商，水平参差不齐，希望有实力的设计机构或者设计师积极参与，一切靠作品实力说话。本公司觉得前期根据我的要求（初步的构思设计方案），如果觉得满意，酌情加价，本公司后续的设计项目考虑长期合作！4.发挥你们的创意，积极投标，投稿。5、知识产权说明：所提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任。中标的作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改，组合和应用，设计者不得再向其他任何地方使用附件是原公司商标",任务编号：513172,o59624d9a6c75e,chengart
【LOGO设计】刹车片LOGO设计,https://task.epwk.com/513182/,2350人,44人,¥500,,o5953****70cb4,￥ 500,￥ 500,2017.06.28,我想要设计：“”子豪“”的商标 要求有 ：可以 是拼音缩写 加图案，可以是汉字加图案，也可以是拼音缩写，汉字加图案最好是复杂点，要不然商标申请不下来。子豪是我儿子的名字，我希望这个品牌可以传承下去,任务编号：513182,清风阁艺术设计工作室,康老师原创设计
【LOGO设计】中科高易冷链系统（江苏）有限公司工程应用技术研发中心商标设计,https://task.epwk.com/512525/,3353人,15人,¥600,,高易冷链,￥ 600,￥ 600,2017.06.26,"中科高易冷链系统（江苏）有限公司成立工程应用技术研发中心，需要设计商标，主要是制冷工程领域的技术研发和应用，制冷工程包括大型冷库工程，保鲜果蔬库工程和冷链物流方面。中科高易冷链的商标是GYW三个字母。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：512525,诸侯视觉,A锐设计
【包装设计】沂蒙特产“新萃”LOGO设计和产品内、外包装设计,https://task.epwk.com/510481/,6877人,21人,"¥2,300",,o55bd****122ba,￥ 2300,￥ 2300,2017.06.17,"沂蒙特产“新萃”LOGO设计和产品内、外包装设计经营介绍： 我们地处红色文化圣地，沂蒙山革命老区根据地——山东临沂，主要经营当地特产：煎饼、地瓜干、小米、辣椒酱、蜂蜜、红（绿）豆、银杏果、花生、粗粮面粉等地方特产，产品既传承了传统制作工艺又保留了原有口感，同时增加了浓浓的家乡情怀文化元素。企业所属行业：山东特产、沂蒙山地方特产设计内容：品牌商标“新萃”LOGO设计和产品内、外包装设计一、商标“新萃”LOGO设计部分：商标设计要求：“图形+文字”的组合二、产品包装设计部分1、内包装材质：可设计成PP和牛皮纸二个版2、外包装礼盒及外箱：牛皮纸整体设计要求：1、简洁大方、清新明快、有视觉冲击力，醒目易识别；2、即要体现产品特有的绿色有机无公害的农家土特产的清新、回归自然的乡土气息，又要体现厚重的红色沂蒙元素；3、品牌商标LOGO与内外包装要协调统一，即有美感又能体现“家乡美、家乡味”（家乡美、家乡味为品牌广告语）有情感诉求；4、如限制了设计师的创意，可重新设计；5、附上创意说明；6、一二等奖需要配合提交源文件。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品；",任务编号：510481,异拓网络,宁城设计部
【LOGO设计】咖啡logo设计,https://task.epwk.com/510311/,3286人,43人,¥500,,o58c3****63d6a,￥ 500,￥ 500,2017.06.16,1、中：米苏拉 英：meswara2、颜色：黑色、灰色。3、LOGO英文加中文，文字型图形（文字转成图形形式）4、可以有马来西亚元素，公司为马来西亚背景5、也可融入自己的想法创意,任务编号：510311,奇果设计,鱼墨视觉
【LOGO设计】公司logo设计,https://task.epwk.com/510307/,1636人,30人,¥500,,o58c3****63d6a,￥ 500,￥ 500,2017.06.16,1、公司名：丽园健康食品（马来西亚）有限公司 英：LiYuan2、中文 或 英文转成图形。3、不要单色，突出“健康食品” ，不要绿色4、可以有马来西亚元素，公司为马来西亚背景5、也可加入自己的想法和创意,任务编号：510307,深圳非凡设计工作室,龙猫球LonmoQ
【LOGO设计】文体广电局logo设计,https://task.epwk.com/508644/,6009人,26人,¥600,,小猫漫步cool,￥ 600,￥ 600,2017.06.11,"logo名称：泸西县文化体育和广播电视局
单位简介：云南省红河州泸西县文化体育和广播电视局，主要负责文化、体育、广播、电视四大板块工作。
logo设计要求：体现文化、体育、广播、电视四个元素，可抽象、可具体，要简洁大方、时尚动感，期待看到新颖独特眼前一亮的作品！
详询15126160588微信同号",任务编号：508644,龙猫球LonmoQ,昆明众石嘉创文化传播
