标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,字段8,字段7,字段9,字段10,字段11,字段12,字段13,��段14,字段15,字段16
【APP推广】花生日记APP下载注册，每稿3元,https://task.epwk.com/776470/,1727人,34人,¥500,宫式PWDHASB,￥ 500,￥252.84,2019.07.26,扫描二维码 ，使用邀请码   ： PWDHASB      （必须填写该邀请码），需要初次注册不产生任何费用，此APP是领取挣取淘宝天猫天猫超市京东 优惠卷和佣金的，购物交易全部通过淘宝 天猫原平台。需要提供手机前三位和后四位交稿。一个一品账号限参加一次，重复提交的所有稿件一律淘汰。营销号，虚拟号，营销工作室请勿参加重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,任务编号：776470,atease,o5b6c04b568c58,wyfxa,"工作室 |            
            luo0710","个人 |            
            slosao",yuesine,Ricky1991,"个人 |            
            平平淡淡","个人 |            
            一颗冰心",gst2006
【产品推广】知乎文章人工点赞、感谢收藏并关注答题者每单3元,https://task.epwk.com/776446/,2282人,42人,¥500,o5ce83d5946e54,￥ 500,￥84.28,2019.07.26,先看一遍任务（附件）详细再开始做，下面每一步截图都要，最后发给我审核。还有做任务的知乎号个人页面也要截图。1.首先您得有个知乎账号【注册满半年以上】【账号在两个月前，点赞，关注，收藏至少都各有一次方为合格】2.按照附件的要求找到那个回答，并按要求操作（快的话一分钟内完全能搞定）重点：3.一定要截图个人主页我们在后台才可以审核的到 2.在问题页面向下拉时候看到答题者答案的截图（第三张图） 3.帮答题者点赞，赞同，关注，收藏的截图。（第四张图） 如附件，看清楚，否则审核不通过,任务编号：776446,o5d1593ea18754,自由之花,黄胶鞋匕分裤,o5cc6beb37e9fb,悠然一品,o5aaa7a782c59d,Jason声,"个人 |            
            羽毛传达","工作室 |            
            @奥斯卡",o5d2c831150b88
【微信推广】发图文到朋友圈，3元每单，很简单,https://task.epwk.com/775886/,1971人,49人,¥500,o5d394a4f7ad70,￥ 500,￥132.44,2019.07.25,任务步骤：按提供的1张图+文字发朋友圈即可，24小时后截图。发布要求：（1）、转发朋友圈：任务图+内容文字，转发朋友圈，好友500人以上，不可屏蔽分组、设置观看权限（2）、截图领取奖励：分享时的手机时间等信息。切记！（3）、营销好友广告好友太多视为无效！切勿投机取巧！！（4） 、朋友圈至少保留24小时。（5）、每个一品账号只能参与一次，重复无效。另外使用同一数字+字母组合的微信号进行批量推广的判定为无效号，也会淘汰，如果故意交稿多次，也一并视为不合格，感谢理解！审稿标准：1、微信号截图，点击微信菜单“我”然后截图。2、本条朋友圈截图，必须提交保留24小时以上的截图。（朋友圈时间显示为前一天的xx时间，xx时间小于当前截图时间）3、通讯录拉到底显示的好友数截图。所有截图最上面必须显示手机上面的时间。转发内容:淘宝剁手党的福音来啦！关注公众号“省钱达人内部优惠卷”24小时自助查找天猫淘宝优惠券购物最高可省90% ~识别下方图片二维码，关注开启省钱之路！,任务编号：775886,qwepoi2008,可可谷谷,o5d1593ea18754,悠然一品,"个人 |            
            羽毛传达","工作室 |            
            好顾问工作室",桃花园记,路易十三家,亲亲宝贝儿,兼职传单设计
【产品推广】转发朋友圈，并参与抽奖，即可获得五元,https://task.epwk.com/774434/,2022人,43人,¥505,sha902,￥ 505,￥245,2019.07.22,操作步骤  1  先从小程序的二维码进入，然后底部有个【小游戏】去参加抽奖。2  然后拿那个左下角有二维码的海报（11.jpg）转发一次朋友圈即可。3  记得上传过程截图，朋友圈截图，和好友数量截图。好友不足200人的，请不要参加抽奖。将不予及格处理。4  抽奖后的奖品，可以自己拿也可以送人，但不能浪费掉，当然也可以不领奖。审核标准  1 好友数量图2  抽奖结果图，游戏达到八十分就会获得抽奖机会。3  朋友圈发了的截图，附带正面评论10个字左右即可。范例图片  都在附件里，不懂可以微信我，通常白天不接电话，但全天在线。谢谢各位。,任务编号：774434,桃花园记,路易十三家,"个人 |            
            denglong",o5d1593ea18754,atease,atease,atease,兼职传单设计,靖叶绮绮,"工作室 |            
            luo0710"
【APP推广】高佣联盟返利APP一稿7元，注册简单分享,https://task.epwk.com/774770/,2765人,20人,¥700,网创联盟666,￥ 700,￥133,2019.07.23,"高佣联盟app推广，每稿7元，轻松简单完成，不用实名高佣联盟APP，覆盖万亿淘宝、天猫、京东、拼多多等40多个电商平台，不光省钱，买东西之后还会有佣金，让你一边省钱，一边挣钱！在任何一个平台上，比如淘宝想买的宝贝，复制宝贝标题到高佣联盟，即可看到隐藏优惠券，领取优惠券自动回到淘宝交易，发货的，售后的都是淘宝商家，无需担心质量问题。注册流程：（步骤）1、下载方式：扫一扫附件二维码，跳转腾讯应用宝下载，注册登录即可。或应用商城搜“高佣联盟”，下载注册输入邀请码：77918注意：建议直接扫码注册，请勿下载错盗版，认准开发商：杭州莅盟科技有限公司 2、注册登录后：点开“我的""→”邀请好友“→任选一张海报，保存下来，分享到朋友圈。分享内容【给大家推荐一个淘宝购物返利神器。各电商平台商家都设置有推广提成，扫码下载，注册后既给自己开通一个推广者身份，即可享受淘宝、京东、拼多多无门槛内部优惠券，还有商家设置的推广提成，那么自己网购就非常省钱，并且也可以通过分享商品来赚提成，并且推广新用户，可永久锁定用户的网购佣金，且每个有效新用户团队老大再补贴5元现金红包，非常给力，用户是你的，佣金是你的，补贴老大给，如有兴趣推广，可加我老大微信fly588666，领取补贴】一个一品账号限参加一次，重复无效，虚拟号码无效，营销工作室请勿参加，营销号稿件一律淘汰以前注册过高佣联盟无法参加此任务，邀请人必须是（博美商务）。审核标准提交：1、我的页面截图：打开高佣联盟APP—找到导航下右侧“我的”，截图这个页面给我。截图前点开我的团队查看推荐人是不是（博美商务），如果不是那说明你以前注册过，也就没必要在提交审核稿件了，必须是首次下载注册用户才可以。2、朋友圈截图不要被折叠了，如果被折叠手动输入内容，或在评论里分开发一次内容.，保留1天以上",任务编号：774770,o5d36667329b57,ZHANG越努力越幸运,s15140670279,o5c90ad1e8e76c,阿杰小威,o5d4a5ab514d00,baby460,qq1877822,大沐沐,xingyong
【公众号推广】关注公众号并转发到微信朋友圈，4元一单,https://task.epwk.com/774712/,4238人,55人,¥500,simmo_619,￥ 500,￥100,2019.07.22,注意：如一个账号恶意多次交稿，则所有稿件视为无效，一个账号只能交稿一次。任务步骤1.扫描附件中的公众号二维码，关注后，将二维码转发到自己的微信朋友圈，附言“终于发现了一个没有广告的公众号，爱美女生的宝藏”2.四个截图。第一截图为关注后的截图。第二截图为转发朋友圈的截图。第三截图为转发72小时后朋友圈截图。第四截图为微信好友截图。3.上传清晰的成功图片，缺一不可 作为完成任务的证据。4.特别提示，如转发朋友圈分组或者微信好友不足200人的视为无效。任务要求 1.任务一个账号仅限一次，重复无效，营销号和好友为假号的请勿参加，小本买卖，请勿恶搞。微信号雷同视为营销号。2.任务结算以审核结果为标准。群发内容：终于发现了一个没有广告的公众号，爱美女生的宝藏！提醒：在参与任务的过程中，请勿进行支付转款，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,任务编号：774712,o5d1593ea18754,"个人 |            
            会飞的梦",昉0602,jieliao,心想事成008,翠花上酸菜,"工作室 |            
            小小龙儿","个人 |            
            慕容苓泽",o5c08aa4477b3c,mf189****8909
【产品推广】注册App/超简单2分钟搞定 /一稿5元,https://task.epwk.com/774676/,1647人,5人,¥500,o5d3583f4baaef,￥ 500,￥20,2019.07.22,1：打开手机浏览器扫描二维码输入手机号下载app2；完成后使用刚才填写的手机号短信登陆APP3：进入app点击屏幕右下 “任务”完成 阅读咨询，这一任务【完成方法：随意选择一篇文章浏览一分钟即可】4；完成任务后点击屏幕右下方我的截图交稿。提醒：在参与任务的过程中，请勿进行支付转款，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。一个一品账号限参加一次，重复无效 （营销号请勿参加）,任务编号：774676,o5ce75931a9c58,含蓄的奋斗,o5d3ecbd091660,o5d463f1eb96a7,,,,,,
【APP推广】推广APP，每稿3元,https://task.epwk.com/774464/,1823人,49人,¥501,smartlonzing领20元,￥ 501,￥219,2019.07.22,任意安卓应用商店或者苹果App Store下载《未来集市》并成功注册，填写特约邀请码“7292698  （需要新用户，之前注册的请勿参加）提供手机号码和用户中心页面截图交稿。每个一品威客限制参加一次，重复无效。营销工作室，营销号，虚拟号请勿参加。重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,任务编号：774464,"个人 |            
            金点子服务",atease,o5b6c04b568c58,桃花园记,"个人 |            
            slosao",yangfeng1992,yuesine,路易十三家,"工作室 |            
            luo0710",wyfxa
【产品推广】下载软件看新闻，每稿4元,https://task.epwk.com/774216/,2060人,8人,¥500,o5b111e9f5ca7f,￥ 500,￥12,2019.07.21,1、手机下载趣头条app并填写邀请码A457970822，每天阅读三篇内容，连续阅读3天即可交任务，交任务需提供注册用的手机号码后四位及用户名页面截图、填写邀请码成功的截图经后台查验。2、下载今日头条极速版app，注册登陆，填写邀请码1648232511，并连续三天每天认真阅读3篇新闻，提交今日头条极速版app用户名或者用户名页面截图，方便审核。3、每个软件完成后均可得4元佣金，不止自己可以做，也可以用亲朋好友的手机做，分开提交任务即可，新用户才可以，做过的就不要再做了。后台可查验，请勿用其他地方的截图来交任务。勿用虚拟手机号，可以查到。4、完成任务后卸载即可，留着看新闻也可以，每天看几个新闻，就可以挣钱。趣头条或今日头条可二选一参加，或都参加，2个都参加的请交稿二次，以便审核。一个一品账号最多交稿2次，重复交稿的所有淘汰处理，营销工作室，虚拟号请勿参加。重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,任务编号：774216,让梦想照进现实,o5d1aa8e9879fa,"个人 |            
            秋天暖阳",,,,,,,
【小程序推广】3元超简单任务“芝麻鲸选”特价购物免单全网最优惠小程序推广,https://task.epwk.com/774083/,2010人,40人,¥510,时来运转2019,￥ 510,￥189,2019.07.21,注意：一个用户可以做多个任务，但每个任务仅限未曾打开本小程序和未注册过芝麻鲸选的微信，一个微信只能做一次任务任务步骤：1.扫描图1中的二维码使用微信登陆小程序即可2.如果有不明白的扫描图2加我微信或者扫描图3加入APP业务管理群进行咨询群主（此项为非必选）审核标准：1.点开小程序点右下角“我的”，截个图即可（切记在做此任务之前没有点开并使用微信登录过此小程序，或者注册过“芝麻鲸选”APP会员，否则无效）,任务编号：774083,温tea,"工作室 |            
            格子软件工作室",o5d34188f7011e,o5d341ec3ce028,o5d34263d709fa,悠然一品,o5d2c831150b88,o5d2c831150b88,o5d2c831150b88,o5d304abd21aa9
【产品推广】芝麻鲸选app，注册简单,https://task.epwk.com/773820/,1286人,9人,¥500,o5d26f442f24ad,￥ 500,￥16.65,2019.07.20,芝麻精选，一款优惠券app，要求网购过的人做任务 芝麻鲸选，是一款覆盖万亿淘宝、天猫、京东、拼多多等40多个电商平台，可以领取优惠券+返利，让你一边省钱，一边挣钱！在任何一个平台上，比如淘宝想买的宝贝，复制宝贝标题到芝麻鲸选，即可看到隐藏优惠券，领取优惠券自动回到淘宝交易。拼多多京东同理， 不懂的可以联系我微信：chuweina2016   验证信息“威客”  不要盲目的交稿。注册流程：下载方式，微信扫一扫附件二维码，安卓系统跳转腾讯应用宝下载，注册登录即可。苹果手机直接扫描跳转商店直接下载 下载链接：http://t.cn/AilLwQqv ------------- 邀请码3253220 注意：建议直接扫码注册，请勿下载错盗版 虚拟号码无效，营销工作室请勿参加，营销号稿件一律淘汰。审核标准提交： 一个账号限参加一次，重复无效，可以邀请网购的朋友注册，按照交稿要求可以提交雇主，注册需要提交，下载首页和点击我的粉丝邀请人需要是卫娜—WN，其余邀请人无效重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,任务编号：773820,星星点亮灯,"工作室 |            
            初源创意",o5d2a965b26f00,神奇氿公子,o5d3821eb3cbd3,,,,,
"【产品推广】轻松注册粉象生活app,天天躺赚佣金， 一稿4元",https://task.epwk.com/773850/,1722人,23人,¥500,mohp,￥ 500,￥52,2019.07.20,注册时点击右下角点“我的”微信登陆，只需要填手机号接收验证码，并输入正确邀请码注册，邀请码为352159任务步骤：1、应用商店下载粉象生活app（或者直接扫图1 二维码下载）2、输入邀请码注册，邀请码为352159审核标准：注册成功后，上传截图：1、点击我的粉丝，如图2；2、点击查看我的邀请人，如图3，显示邀请人为艾特密。注意：1、交稿人手机号必须真实有效，虚拟号码无效。2，要求有网购、淘宝购物经验的宝妈，大学生，帅哥，美女，白领，网红，老板，创客，喜欢网购的任何人都可以。3、一个威客账户最多只能交稿一次（真实手机微信号一个）。4、需要个人件，批量刷件用软件刷件无效。粉象app终身免费使用，不涉及淘宝、身份证等账号信息密码，不经手付款，只提供领取优惠券和返佣的渠道。注册下载粉象生活APP，省钱还能赚钱，淘宝、京东、拼多多一站式购物！提醒：在参与任务的过程中，请勿进行支付转款，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。一个一品账号限参加一次，重复无效 （营销号请勿参加）,任务编号：773850,"个人 |            
            denglong",追到属于自己的那道光,"工作室 |            
            初源创意",o5d39858bd87f3,o5d3ecbd091660,o5d41144ea3110,艼昸DD,k3813954186,o5d4be60290616,o5d04fdfe6a42a
【APP推广】不实名，简单注册app，3.01元一稿,https://task.epwk.com/773791/,1755人,49人,¥500,yukepeng,￥ 500,￥141.47,2019.07.20,1、  打开手机应用商店，搜索“未来集市”下载app2、  打开app按顺序选择“微信登录”3、  微信登陆后绑定绑定手机4、  注意非常重要，一定要填写邀请码2036722，不填写自行注册的不予通过5、  根据以上步骤完成注册，我这边后台可查，请大家按步骤做，正确完成任务。6、交稿内容：截图“我的”界面提交（在app下边5个选项中，最右边）注意：有问题及时联系13946120945微信同号（也可以留下联系方式方便及时沟通任务问题）备注：一个一品威客账号只能参加一次，重复做无效，重复提交无效。重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,任务编号：773791,o5d327ae6578cb,头脑发散,"个人 |            
            slosao","工作室 |            
            luo0710",yuesine,o5b6c04b568c58,四川曾先生,乔伊伊,o5d0c70e56a2de,"个人 |            
            wxjf"
【微信推广】微信朋友圈转发，超简单赚钱，一稿3元,https://task.epwk.com/773689/,2371人,45人,¥500,sam_85,￥ 500,￥138.46,2019.07.19,要求：1.微信好友数量500人以上，营销号、僵尸号不可做； 2.转发至朋友圈后24小时内不得删除； 3.转发要求公开朋友圈所有人看到，不可设置不可见分组；4.每个账号只能参与一次，重复无效。微信隐私设置中要把“允许陌生人查看十条朋友圈”打开，方便我们其他号审核任务内容(转发文字+图片6张)文字内容如下：今天，大多数人都是朝九晚五，忙忙碌碌，还房贷，还车贷，孩子各种兴趣班费用，生活费等单靠一份死工资基本都有很大压力如果你在工作之余，有一份轻松属于自己的事业或许会为家庭，为自己带来新的希望。-------------------------------蜜漾芳华 安全蜂蜜护肤品牌全国社群代理正火热招募中，加入条件轻松，平日无压力，还能得到专业护肤培训，社群培训，同时终身运营资格获得受益邀请你一起加入吧，无数朋友的生活正因此而改变!扫下我二维码微信直接联系！交稿方式：（1）上传好友数量截图，必须拉到底截图看，(好友人数必须大于500人)（2）上传发到朋友圈的截图（3）上传设置-账号与安全页面截图（必须绑定手机号）（4）上传24小时后的朋友圈截图（我→相册→我的朋友圈→带转发内容与24小时后的时间完整截图）,任务编号：773689,四川曾先生,乔伊伊,桃花园记,路易十三家,靖叶绮绮,兼职传单设计,qwepoi2008,o598e7048a2d30,可可谷谷,mf159****8041
【APP推广】下载粉象生活APP,https://task.epwk.com/773608/,1832人,19人,¥500,连城不见了,￥ 500,￥105,2019.07.19,注册下载粉象生活APP，省钱还能赚钱，一单5元！注册时右下角点“我的”微信登陆，只需要填手机号接收验证码，并输入正确邀请码注册，邀请码为162267。图一为二维码，扫一扫直接下载，或在应用商店下载。图二为完成图，邀请人应显示为连城xxx提醒：在参与任务的过程中，请勿进行支付转款，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。一个一品账号限参加一次，重复无效 （营销号请勿参加）,任务编号：773608,o5d3186465ed13,o5d3187bfd23a0,wyfxa,o5d31bd6d70c28,o5d326c02ac93c,o5d327ae6578cb,o5d3288669431c,Sieho,o5d32d4caeaf01,温tea
【公众号推广】微信消息群发，4元一单,https://task.epwk.com/773517/,1987人,24人,¥500,RickyHal,￥ 500,￥112,2019.07.19,注意：如一个一品账号恶意多次交稿，则所有稿件视为无效，一个一品账号只能交稿一次。任务步骤1.进到微信界面》我》设置》通用》铺助功能》群发助手》开始群发》新建群发，每次最多可发200人。 2.将我给的内容群发给自己的微信好友，内容为文字加图片，图片见附件。3.上传清晰的群发成功图片，微信人数图片以及微信》我的界面！缺一不可 作为完成任务的证据！任务要求 1.微信好友人数必须两百以上，两百人为一稿，发完需要截图审核，所以群发时最好记住第200个人的名字，发重复了无效。2.任务一个一品账号仅限一次，重复无效，营销号和好友为假号的请勿参加，小本买卖，请勿恶搞。微信号雷同视为营销号。 3.任务结算以审核结果为标准。群发内容：给大家推荐一个免费领取淘宝天猫内部优惠券的公众号，不用加群，不用下软件，还提供【垃圾分类】和【四六级准考证号找回、成绩查询】功能哦，现在活动期间还可一元抢购一瓶抖音同款防晒喷雾，快扫码关注吧！提醒：在参与任务的过程中，请勿进行支付转款，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,任务编号：773517,兼职传单设计,靖叶绮绮,mf189****8909,桃花园记,路易十三家,悠然一品,"个人 |            
            会飞的梦",心想事成008,翠花上酸菜,昉0602
【微信推广】守承文化朋友圈推广，一稿3元，操作简单,https://task.epwk.com/773439/,2207人,56人,¥600,o5d3111b7b6175,￥ 600,￥360,2019.07.19,【任务内容】文字+图片文字内容：朋友的LED背景视频制作公众号，有需要的可以关注一下。                 图片 见附件                【任务要求】1 微信好友达到300人以上。2 将图片配上相应的朋友圈文字，一同转发到朋友圈。3 发朋友圈24小时后截图，不可选择分组或屏蔽，需要公开发送。4 同一微信号，同一一品号只能转发一次。（营销号无效，非个人微信号请勿参加，营销团队请勿参加。另外使用同一数字+字母组合的微信号进行批量推广的判定为无效号，也会淘汰，感谢理解！）【任务步骤】将文字和图片发到自己朋友圈，保留24小时。交稿：截取三张图片：朋友圈24小时后的截图交稿、好友数量截图、个人微信截图，三张图片作为交稿使用。备注：同一微信号，一个一品威客账号只能参加一次（营销号无效，非个人微信号请勿参加，营销团队请勿参加。另外使用同一数字+字母组合的微信号进行批量推广的判定为无效号，也会淘汰，感谢理解！）,任务编号：773439,桃花园记,路易十三家,qwepoi2008,四川曾先生,乔伊伊,可可谷谷,mf189****8909,o5c08acb49efa3,"工作室 |            
            @奥斯卡",o5d1593ea18754
【APP推广】东方头条注册1分钟轻松得4元,https://task.epwk.com/773309/,846人,0人,¥3600,o5ce0efb953ff8,￥ 3600,,2019.07.18,（1）复制链接下载东方头条或者扫码下载东方头条，填写邀请码  055321399（2）随意阅读满一圈，持续3天每天看一篇新闻转满一圈，整个过程1分钟*3=3分钟，超级简单。http://ee.hlzhc.cn/ieqxrrki/rw/tjhqls98/lx.html?oMQKMHXKxQ提供手机号码前三位和最后三位，我后台有显示。,任务编号：773309,,,,,,,,,,
【微信推广】海报+文字转发朋友圈，操作简单，每单3元,https://task.epwk.com/772291/,2280人,58人,¥500,chenxi0,￥ 500,￥273.91,2019.07.16,任务要求：内容：1、下载任务附件的1张海报，转发至朋友圈（发原图）2、配文：【智权侠】注册商标只需318元，另可零成本当商标代理人，营销/服务/官网我们免费提供，轻松月入过万，详询海报二维码要求：1、朋友圈好友人数大于200人2、将海报转发至朋友圈保留1天3、朋友圈海报转发不能设置分组和权限，一定得公开4、每个账户只能参加1次，多次提交的稿件一律淘汰。营销工作室，营销号请勿参加交稿格式：1、微信“我”界面截图一张2、好友数截图1张3、朋友圈转发保留1天截图1张（一定要能看到完整的发布内容）注： 微信必须要私人号，营销号无效，未绑定手机和实名的微信号无效,任务编号：772291,"个人 |            
            madk1102","个人 |            
            denglong","工作室 |            
            luo0710",atease,"个人 |            
            slosao",四川曾先生,o5b6c04b568c58,乔伊伊,"个人 |            
            denglong",yuesine
【APP推广】QQ群广告发送,https://task.epwk.com/771528/,2122人,5人,¥500,l520604,￥ 500,￥24.08,2019.07.15,"1.发送对象:编程群，大学生活群 知识学习群 it学习群 it交流群（QQ群人数至少500人），微信群（群人数至少100人）别发僵尸群 广告群，群内广告满天飞,没有实际人气,群里连个说话的人都没有,一律不合格。2.内容需保存5分钟，5分钟后截图 截图清楚群活跃度+发送广告内容+电脑右下角时间+群人数，手机发送也可以，提交发送的截图3.发四群算一稿发送内容要求 红色字体发送内容： 学编程来“源栈”精品小班，大神面授！线上全程直播，免费收看；线下按周计费，拎包入住。有意加QQ群：326801052，围观这个曾经的黑律师/包工头/老码农，现在知乎大V段子手， 重复无效。提供重复稿件，所有稿件一律淘汰。营销号，虚拟号，营销工作室勿参加。提醒：在参与任务的过程中，请勿进行支付转款，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。",任务编号：771528,mf159****8041,mf159****8041,mf159****8041,"个人 |            
            羽毛传达",mf159****8041,mf159****8041,ych7912,ych7912,,
【APP推广】花生日记App注册推广，网购省钱神器，一分钟任务4元一件,https://task.epwk.com/771272/,1507人,59人,¥600,o5aace753755f0,￥ 600,￥384,2019.07.14,"操作流程：

1. 通过手机应用商店下载注册花生日记App
2. 注册时输入邀请码：  DDP5J4O（仅用此邀请码注册为有效）
3. 手机验证完成后即注册成功


交稿要求：

1. 提供注册手机号末尾四位数
2. 提供输入邀请码的页面截图
3. 提供已完成注册的页面截图

备注：

1. 注册后的手机号无效，后台可查询相关数据
2. 邀请码输入错误无效
3. 一个威品账户限只参加一次
4. 审核无误后立即通过，非诚勿扰。

花生日记简介：
    花生日记是一个让买家和卖家互利互惠的一个平台，商家可以赢得销量和流量，买家可以通过优惠券赚取优惠也能赢得拥金，推广者可以赚取拥金的一个平台，喜欢网购的亲们非常适合用这款软件来为自己省钱赚佣金，也能分享商品给别人赚取佣金。",任务编号：771272,"个人 |            
            denglong",atease,"个人 |            
            denglong","个人 |            
            slosao",yuesine,atease,"工作室 |            
            luo0710",wyfxa,o5b6c04b568c58,"工作室 |            
            luo0710"
【APP推广】贝壳找房下载注册，3元/个，简单快捷,https://task.epwk.com/771187/,1777人,29人,¥500,注册推广1,￥ 500,￥84.28,2019.07.13,任务步骤：1、扫描二维码，输入手机号，并点击获取验证码2、输入验证码点击开始找房3、注册成功后，点击打开贝壳找房，允许下载贝壳找房app4、在贝壳找房app页面，点击我的，用注册的手机号登录，随意浏览3个房源审核标准：1、提交我的个人信息页面截图（参考附件）2、提交我的邀请码页面截图（参考附件）注意事项：1、170 171号段通过刷机进行登录的   无效2、登录的设备之前被其他账号登录过   无效  3、拒绝虚拟号和模拟器登录      无效4、反复重复提交的  无效5、一个威客账户最多只能交稿一次。,任务编号：771187,o5b95f6f33b8ec,o5b95f6f33b8ec,o5d1593ea18754,abcdef21520,o5d29f95e7ced5,o5cf8c24b9c851,jshaxxq,o5d2ac9aa93c2e,卷花,风过无痕5945
,,,,,,,,,,,,,,,,,,,,
【APP推广】高佣联盟APP推广，一稿3.01元,https://task.epwk.com/770586/,565人,0人,¥500,o5d25f77e695f0,￥ 500,,2019.07.12,1.应用市场搜索下载app “高佣联盟”  或者扫码下载（请认准开发公司是：杭州莅盟科技有限公司）2.下载完成打开 输入注册邀请码：164343863.注册完成后，再邀请1位好友注册高勇联盟（同样的填写邀请码16434386，自己的另外一个手机号也可以）注：不存在任何绑定个人银行卡身份证信息，安全可靠，请放心下载注册。4.需要个人件，一个账号仅限交稿一次，工作室批量刷件数无效，谢谢配合每个ID仅限参与一次审核标准：  提交高勇联盟“我的”页面截图，和手机号后4位高佣联盟是一款领券的APP 2018年3月上市，至今已有五千万用户，高佣联盟APP汇聚了淘宝 天猫 天猫超市 飞猪 京东 拼多多 苏宁易购 唯品会 当当……等优惠券，自买省 分享赚，是目前互联网最大的领券平台，全网佣金最高！~重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,任务编号：770586,,,,,,,,,,
"【APP推广】阅读文章APP下载推广,1-2分钟完成",https://task.epwk.com/770018/,817人,0人,¥501,o59bc82d4007c2,￥ 501,,2019.07.11,"扫二维码图三下载，手机号注册登陆，出现是否允许定位，点允许，然后点我的，面对面扫，如图四，扫第一图中间有小人的二维码领取3元红包就OK,然后做任务阅读文章，次日阅读一下新闻还可以获得3元红包。交单格式:用户名+app余额大于10的截图。每单3元。提醒：在参与任务的过程中，请勿进行支付转款，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。一个一品账号限参加一次，重复无效 （营销号请勿参加）",任务编号：770018,,,,,,,,,,
【APP推广】花生日记APP下载注册，每稿3元,https://task.epwk.com/770548/,1302人,42人,¥500,宫式PWDHASB,￥ 500,￥291.97,2019.07.11,扫描二维码 ，使用邀请码   ： PWDHASB      （必须填写该邀请码），需要初次注册不产生任何费用，此APP是领取挣取淘宝天猫天猫超市京东 优惠卷和佣金的，购物交易全部通过淘宝 天猫原平台。需要提供手机前三位和后四位交稿。一个一品账号限参加一次，重复提交的所有稿件一律淘汰。营销号，虚拟号，营销工作室请勿参加重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,任务编号：770548,"个人 |            
            denglong",atease,四川曾先生,乔伊伊,"个人 |            
            slosao",yuesine,"个人 |            
            denglong",四川曾先生,乔伊伊,atease
【APP推广】正规APP注册下载，立赚5元,https://task.epwk.com/768912/,6081人,165人,¥1100,mf53c75c33df3a0,￥ 1100,￥100,2019.07.08,复制链接打开： http://www.qwxingqiu.com/invite/1166347或扫描附件二维码下载趣味星球登陆后通过试玩赚取10万趣钻（=10元）截图交稿重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全。,任务编号：768912,无羡灼琴,"工作室 |            
            初源创意",如九之冠,黑白工作室,o5d1f85d5ea6e4,ruby257,认识安生么,无敌太阳波,happyGirl91,"个人 |            
            唐吉坷德"
【APP推广】app注册，10元一单，手机号注册就可以了，不用实名,https://task.epwk.com/768557/,3284人,12人,¥500,辉hui,￥ 500,,2019.07.07,花生日记简介花生日记是一个领取淘宝天猫内部优惠券的app，不但自己买东西可以省钱，还可以把优惠券分享给好友，帮朋友省钱，自己还能挣佣金，每天只要抽出一个小时，轻轻松松每月至少多挣两千操作流程：1.通过扫描图片二维码(参考图1）下载注册花生日记2.首先点微信注册，然后点立即注册3. 输入邀请码 LWDWSNR4.然后输入手机号，输入验证码5.注册完成后用你自己的邀请码再邀请10人注册就算完成任务，完成任务后，我还送你30元淘宝天猫任选商品免单或爱奇艺、优酷、腾讯视频VIP季卡注意事项：①1个一品威客账号限参与一次，1台手机只能注册一次，同1台手机多次用不同手机号注册无效  ②操作过程中有不明白的地方可以加我微信 huasheng666666riji  备注：来自一品威客交稿要求：1 提供注册手机号最后四位2 提供输入邀请码的页面截图(参考图2）3 提供任意商品立即领券截图(参考图3）4 提供【我的】页面的截图(参考图4）,任务编号：768557,,,,,,,,,,
