标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【LOGO设计】家族族徽设计,,723人,20人,,圆满完成,,唯创z9JPR,家族名称：邹家锡桥基本族规（核心价值观（红线））：尊祖：尊重祖先和家族历史，维护祖先的形象和荣誉。孝亲：孝敬父母，尊敬长辈，关心家族成员的生活和健康。守礼：遵守礼节，注重礼仪，尊重他人的权利和感受。忠诚：忠诚于家族、族人和社会，维护家族和社会的关系和信誉。守法：遵守法律法规，不违法乱纪，不危害社会和家族利益。 重要族规（执行重点（可修改补充））：敬业：认真努力工作，追求职业发展，提高家族的经济实力和社会地位。勤俭：勤俭持家，节约资源，注重家族成员的品德和修养。教子：注重家庭教育，培养子孙的良好品德和文化素养。和睦：维护家族和睦，尊重家族成员的意愿和决定，协调家族关系。团结：加强家族团结，凝聚家族力量，共同应对困难和挑战。 族徽设计说明：刚创立家族概念，展现出欣欣向荣的气象，继承和弘扬先祖邹锡桥的精神。（于共：他忠于党、村委书记为人处事客观公正、德高望重。于私：勤俭节约、重视教育、守护家人、团结和睦）家族地址：广东省河源市,2023-10-25,2023.11.20,任务编号：1061700,500.0,,,凤动传媒,,,,,工作室,四品,39分,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
"【LOGO设计】""AN"" LOGO设计",,4202人,68人,,圆满完成,,HTV270F,公司名称：AN行业：鞋 / 服饰设计方向1. 字母AN 要加入商標設計裡面（不分大小写）。2. 敏捷。3. 速度。4. 力量。5. 安全。,2023-10-27,2023.11.19,任务编号：1061954,588.0,,,物空设计,,,,,个人,八品,35分,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【包装设计】上海红遒科技有限公司包装彩盒设计,,975人,15人,,圆满完成,,mf135****5869,"设计要求： 1、大气、简洁、明快;2、有视觉冲击力，醒目易识别，突出数字万用表品牌元素;3、能体现特色，LOGO已有，但如限制了设计师的创意，可重新设计。4、附上创意说明。5、包装彩盒尺寸（竖立）135mm210mm60mm6、附件里面是我提供的同行业品牌的彩盒款式可以作为参考：福禄克FLUKE、优利德UNI-T、胜利VICTOR、希玛知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2023-10-26,2023.11.25,任务编号：1061902,600.0,,,明弈设计工作室,,,,,工作室,四品,55分,总 32 次中标，交易总金额,￥1.72万,,,创意海报设计,价格面议,创意手绘设计,价格面议,创意包装设计,价格面议,创意详情页设计,价格面议,,,,,,,,,,,包装设计,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】上海红遒科技有限公司LOGO设计,,551人,24人,,圆满完成,,mf135****5869,"上海红遒科技有限公司是一家经营电子电工仪器仪表、五金电动工具的高新技术企业设计要求： 1、大气、简洁、明快;2、有视觉冲击力，醒目易识别;3、突出科技创新，积极向上、遒劲有力；4、附上创意说明；5、但如限制了设计师的创意，可自行发挥设计。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2023-10-25,2023.11.13,任务编号：1061757,500.0,,,一念阁 | 设计,,,,,个人,三品,45分,,,,,LOGO设计,价格面议,,,,,,,,,,,,,,,,,LOGO设计,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】机械设备制造行业的logo设计,,644人,26人,,圆满完成,,豆邦科技,"一家机械设备制造公司的LOGO设计商标：优巴智造设计要求： 1、大气、简洁、明快;2、有视觉冲击力，醒目易识别，突出行业元素;3、能体现特色，不限制设计师的创意，。4、附上创意说明：颜色两色，智能、科技感要强。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2023-10-26,2023.11.05,任务编号：1061831,500.0,,,诸侯视觉,,,,,工作室,一品,145分,,,,,诸侯视觉logo标志设计,"￥500
            /次",商城全店装修5000,￥5000,VI视觉DESIGN,"￥3000
            /日",,,,,,,,,,,,,LOGO设计,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】店铺logo设计,,927人,24人,,圆满完成,,o5c92f77e6df89,"1：logo的文字内容是  丸不理，
2：卖的是丸子类别食品，快闪小店，要突出丸子的特征
3：主要客户群体是 年轻人，小孩子
4：体现出 青春，自嗨，快乐，欢快的风格
5 色调多用几个备选，",2023-10-26,2023.11.18,任务编号：1061801,500.0,,,金生设计室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】铸恒的logo设计,,1024人,29人,,圆满完成,,Ryanwxh,我们公司是做铸造的，涉及到铁水的熔炼，客户面向全球的客户，主要可以生产汽车配件，阀门，风电，工程机械等等领域的铸件。设计理念希望有铁液的金色元素，然后简单大方，绿色环保。面向的是全球性的。logo为“铸恒”或者“铸恒工业”，英文名为“Evercast”设计要确保通过的了商标注册。要配合后期的改动,2023-10-25,2024.01.01,任务编号：1061767,500.0,,,立意LOGO设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】设计产品logo,,1107人,21人,,圆满完成,,o59b2b40b24004,品牌中文名：美育安，  根据中文名设计一个英文logo，用来做国外的保健食品，只设计英文，不要中文。需要原创字体，不要用付费字体。设计出来后把logo放在包装盒上和瓶子上看效果。,2023-10-24,2023.11.15,任务编号：1061644,500.0,,,火苗设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】原创企业logo 设计重金悬赏,,2575人,56人,,圆满完成,,嗨铭威U3scA,1、logo名称： 企业名称：环京集团 ，设计字母：用huanjing、HJG、huanjing group或者HJ Group。2、行业：新能源光伏电站开发、机电施工安装。3、设计要求：新能源，绿色系，简洁，突出安全，可靠放心的企业文化。4、风格;专业稳重、国际化风格。,2023-10-24,2023.11.22,任务编号：1061569,1000.0,,,宇易品牌策划,,,,,工作室,三品,43分,,,,,LOGO设计,"￥300
            /日",,,,,,,,,,,,,,,,,LOGO设计,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】英文logo设计(出口),,2104人,53人,,圆满完成,,群V荟萃Zch7U,品牌名：KornerBatl1、简洁大气，有视觉冲击力，醒目易识别，突出保险箱行业元素3、用K首字母，或KB字母设计4、设计KornerBatl英文5、品牌所涉及的行业是保险箱行业，与之相关的元素：安全，坚固等；6、品牌logo，请结合保险箱行业和品牌名首字母K，或KB两个字母结合，发挥想象力设计；7、品牌英文字母的字体，请使用可商用的字体；8、请设计出：品牌logo+英文字母（KornerBatl）。谢谢。,2023-10-23,2023.11.18,任务编号：1061438,800.0,,,一念阁 | 设计,,,,,个人,三品,45分,,,,,LOGO设计,价格面议,,,,,,,,,,,,,,,,,LOGO设计,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】出国公司logo设计,,593人,20人,,圆满完成,,COLINLUO,"一、设计主题：科领出国二、公司业务：出国签证中介服务三、要求：简洁、稳重。四、知识产权说明：    1、中标作品需提交完整的可编辑的矢量图形源文件，标明标准色值和字体等。    2、一旦竞标成功, 竞标人须先把中标作品的设计底稿、文案原件的电子文档交与我方，并且提供的图片和图形必须达到实际应用的分辨率，经我方确认后才能交付赏金。     3、选中的设计作品，我方支付悬赏金后，即拥有该作品知识产权，包括美术版权、著作权、使用权和发布权等，有权对设计作品进行修改、组合和应用，设计者不得再在其它任何地方使用该设计作品。    4、所设计的作品应为原创，未侵犯他人的著作权；如有侵犯他人著作权，由设计者承担所有法律责任。    5、征集结果公布后，未采用的作品即可自行处理。    6、参加此设计任务者被视为同意以上所有声明。",2023-10-23,2023.11.01,任务编号：1061376,500.0,,,雨夜设计工作室,,,,,工作室,一品,68分,,,,,高端logo设计,"￥1500
            /起",包装设计,"￥3000
            /起",VI设计,"￥8888
            /起",,,,,,,,,,,,,LOGO设计,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】品牌LOGO设计,,5422人,81人,,圆满完成,,企威特DM8LZ,（请加微信时备注 一品威客LOGO设计）品牌：简然 JRAN  Spa行业：Spa 健康理疗推拿面向的客户群体：男女顾客都有顾客画像：喜欢精致生活的金融机构白领、经济条件优渥的年轻妈妈、谈工作的职场男性、商务人士品牌特色：放空自己、回归宁静、心灵驿站、温暖港湾；希望顾客在工作累了的时候，来到我的电力，达到此处心安是吾乡，静下心来，享受放下自己的时刻希望LOGO能像品牌名字一样简洁自然,2023-10-21,2023.11.05,任务编号：1061286,899.0,,,轩昂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】公司LOGO设计及简易推广,,2235人,22人,,圆满完成,,o58a2981eec660,公司名称 舜安军创实业有限公司 ，是一家以军队军事为主要题材的文旅公司，经济实体单位，主营红色旅游、宾馆酒店、露营活动、文旅文创产品、以及有关军事题材实体的业务再开发等。       LOGO设计是以公司名字  舜安军创  为题目内容展开设计，重点字眼在军字，要求设计作品原创，突出军事题材的文旅属性，logo用汉字、拼音、图形均可，简洁明确，有创意、好推广。       中标人将优先选择公司VI手册的再合作机会,2023-10-21,2023.11.17,任务编号：1061275,600.0,,,宸儿设计,,,,,个人,七品,39分,,,,,vi全案设计,"￥5000
            /起",创意班徽设计,"￥120
            /起",创意名片设计,"￥100
            /件",创意详情页设计,"￥1000
            /页",,,,,,,,,,,LOGO设计,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】街边小吃店LOGO设计,,1331人,29人,,圆满完成,,o5b3ec6b224197,"设计要求：品牌为“来三样”行业：街边小吃店（炸物、炸串、茶饮）1、logo 炸物元素2、色彩自由任设计师发挥，LOGO整体要简单、大方、美观、有特色；3、需要有辨识度，一眼能知道属于街边小吃店3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2023-10-18,2024.08.17,任务编号：1061006,500.0,,,侠道视觉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】茶叶品牌logo设计,,5843人,86人,,圆满完成,,妙莲茶叙,1、品牌名为“涛临”，应用于茶饮行业，；2、整体端庄、简洁、大气，第一眼就能让人产生茶饮的联想，同时方便记忆；3、字体图形线条流畅，形状规整，字体一目了然；4、颜色从蓝色、黑色、白色、金色、香槟色、银白色等六种颜色中选，但不超过三种颜色；5、中国风。6、作品必须原创，要能够成功注册商标，以及成功申请著作权；7、一旦中标，著作权及宣告转移，原创作者不再拥有中标作品的著作权，不得将该作品运用于任何第三方；,2023-10-20,2023.12.04,任务编号：1061244,1066.0,,,mf18895617321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【包装设计】干式防雾眼镜布包装设计,,729人,7人,,圆满完成,,迪特利ld1B5,"设计元素眼镜有关 防雾效果有关  简单一点 不要太花花。可以模仿一点奢侈品包装，高档大气。
干式防雾眼镜布，可用于所有镜片，使用次数两百次以上。 任意发挥 突现防雾  所有镜片  两百次以上",2023-10-20,2023.11.17,任务编号：1061212,600.0,,,贝诺一生,,,,,个人,四品,38分,,,,,,,,,,,,,,,,,,,,,,,包装设计,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】农业科技有限公司logo设计,,1303人,30人,,圆满完成,,创时空T2AGo,"公司主营业务：生产销售农作物的菌肥，营养液，有提高农作物的产量，提高产品品质。设计要求：围绕“丰收先锋”设计logo，助力品牌市场推广，要原创设计，作品需注册商标。三、知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2023-10-20,2024.08.18,任务编号：1061210,500.0,,,海旭设计,,,,,个人,二品,50分,,,,,室内设计（公寓）,价格面议,室内外装饰设计,价格面议,LOGO设计,价格面议,,,,,,,,,,,,,LOGO设计,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】公司logo设计,,1297人,39人,,圆满完成,,江不闲,"一、设计主题：博坤控股二、公司业务：控股集团、投资、旅游、体育文化等三、要求：发挥你的想象吧四、知识产权说明：    1、中标作品需提交完整的可编辑的矢量图形源文件，标明标准色值和字体等。    2、一旦竞标成功, 竞标人须先把中标作品的设计底稿、文案原件的电子文档交与我方，并且提供的图片和图形必须达到实际应用的分辨率，经我方确认后才能交付赏金。     3、选中的设计作品，我方支付悬赏金后，即拥有该作品知识产权，包括美术版权、著作权、使用权和发布权等，有权对设计作品进行修改、组合和应用，设计者不得再在其它任何地方使用该设计作品。    4、所设计的作品应为原创，未侵犯他人的著作权；如有侵犯他人著作权，由设计者承担所有法律责任。    5、征集结果公布后，未采用的作品即可自行处理。    6、参加此设计任务者被视为同意以上所有声明。",2023-10-18,2024.01.22,任务编号：1060988,500.0,,,诸侯视觉,,,,,工作室,一品,145分,,,,,诸侯视觉logo标志设计,"￥500
            /次",商城全店装修5000,￥5000,VI视觉DESIGN,"￥3000
            /日",,,,,,,,,,,,,LOGO设计,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】为注册商标  挑班马 设计logo,,898人,23人,,圆满完成,,将领服饰,现为注册商标 挑班马 设计logo。品牌文化以及来源：挑班马的品牌名灵感来源于戏班。什么叫挑班？以前的戏班大家跟着一个人唱戏，他是角儿，他给大家活干给大家饭吃，相当于老板或者核心人物，这个人就是挑班的。泛指能挑大梁有能力独当一面的人。产品品类：挑班马是一家从事高端服装定制品牌，我们的产品主要包括西服大衣衬衣西裤等。 设计要求：1，原创，且贴合品牌文化内涵。2，辨识度高，不要几个字加粗变形就完事，毫无创意。3，色彩元素鲜明，富有高级感，贴在西服上感觉西服都很高级了很多。设计思路建议（仅供参考）：①如果能把字体（挑班马）和戏剧脸谱完美融合，将是一个很好的思路，辨识度和色彩元素鲜明以及高级感，这个思路几乎满足所有设计要求。②挑班马，也可以跟马相关的元素融合，也是不错的一个思路。③真的不要那些感觉像为了完成任务，简单的那种字体加粗变斜等毫无新意和创意的投稿，浪费彼此时间。用这个平台比较少，很多不太明白，有疑问或者建议请优先微信联系，，最后谢谢大家，辛苦了。,2023-10-18,2023.11.10,任务编号：1060983,500.0,,,一只酷酷的柴,,,,,个人,七品,37分,,,,,logo原创设计,￥300,,,,,,,,,,,,,,,,,LOGO设计,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】【财弘家办】logo设计,,911人,31人,,圆满完成,,mf133****5008,"设计文字为:财弘家办
相关要求如下:
1、logo采用【图形+财弘家办】组合形式。
2、整体简单、稳重大气、不要超过3个颜色 。
3、视觉传达容易记得住有金融行业指向
4、有现代大企业情怀和格局",2023-10-18,2023.11.06,任务编号：1060914,500.0,,,侠道视觉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】彤诺logo设计,,865人,19人,,圆满完成,,o5f19****247b9,"彤诺公司经营一次性用品比如（吸管，牙签线，餐盘，餐巾纸等等）以及婴童用品（服装等），LOGO设计       产品受众为青年人、宝妈等主图：以附件的两个小孩子头像为基础进行设计一个包含两个宝宝头像的简洁漫画头像设计要求：1、大气、简洁、明快;2、有视觉冲击力，醒目易识别，突出时尚、可爱、品牌元素;3、能体现特色，4、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2023-10-17,2023.11.12,任务编号：1060893,500.0,,,金生设计室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】公司logo设计,,1439人,33人,,圆满完成,,一V渡江dlO9m,要求 ： 英文跟图案结合，简洁大方，西化！ 内容： Qingpulley  行业： 矿山机械配套托辊,2023-10-17,2023.11.10,任务编号：1060832,500.0,,,金标点品牌设计,,,,,工作室,二品,60分,,,,,【金标点品牌设计- logo创意】商标Logo设计 标志创意  3套设计方案,"￥999
            /件",【金标点品牌设计 -标志设计】 标志设计高端 LOGO 企业公司商标 高大上原创,"￥300
            /件",【金标点品牌设计- 包装】包装设计 平面设计 产品包装 三套设计方案,"￥3500
            /件",【金标点品牌设计- 包装】包装设计平面设计保健品产品包装彩页宣传单,1500,,,,,,,,,,,LOGO设计,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】不早朝早午餐LOGO设计方案,,5880人,79人,,圆满完成,,jealous1313,为提升品牌形象，现就本公司LOGO设计事宜，拟面向社会开启有奖设计征集：征集内容： 不早朝早午餐LOGO设计方案 标志(logo)中文名称: 不早朝早午餐，简称不早朝征集时间： 2023年10月16日～11月07日 应征时间以电子邮件接收时间为准，征集截止时间后，送达作品均不具有应征资格。品牌产品：中西复合式早午餐目标市场：上班族.商务人士.年轻人.女性.20-40 岁.需要悠闲用餐感受之人.想对自己好的人.躺平.小确幸.品牌的核心价值：提供质感早午餐.提供悠闲用餐感受.提供一个与自己或与朋友.同事相聚聊天场所一、设计要求1. logo要体现早午餐的餐饮文化，凸显品位、简洁明快、个性鲜明、富于美感、易于理解、易于记忆辨识、易于传播，具有较强感召力、亲和力和广告宣传效果。2. 颜色基调：CMYK蓝100/88/0/0、黄0/20/95/0色调为优先考虑，若有更好设计也能接受，尊重设计。3. LOGO以中文字体变化，我们接受任何形式的组合设计，中文、或符合名称产业图形均可，以美观、档次、寓意为主。请勿用手写、行书、草书设计。LOGO看起来有活力，受女性.年轻人喜欢 二、提交要求提交LOGO设计方案 LOGO应征作品设计方案，包括核心设计方案和扩展应用方案。LOGO请以A4幅面白底绘制，作品不限于平面设计稿，可附加三维立体造型，存储为JPG或TIF格式，分辨率不低于300dpi，同时须附上设计说明。三、其他说明:湖南尚秦生物科技有限公司为不早朝早午餐控股公司。对于最终被采用的应征作品，其著作权、使用权等相关权利归湖南尚秦生物科技有限公司所有，湖南尚秦生物科技有限公司享有对作品进行修改和深化设计的权利。应征者不再享有与该作品著作权有关的任何权利。 二所有应征作品不得侵犯他人知识产权，所有因此而引发的法律责任由应征者自身承担，一经发现将取消资格、退还奖金。 三如果出现创意相同或类似的应征作品，则以收件时间来判别为第一创意者。 四应征作品恕不退还，请作者自留底稿。 五本次征集活动最终解释权归湖南尚秦生物科技有限公司所有。,2023-10-16,2023.11.20,任务编号：1060775,1500.0,,,EMC设计,,,,,个人,七品,37分,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】浙江省文旅厅陈琼钢琴艺术指导导师工作室～logo设计,,1235人,25人,,圆满完成,,dywhgyn181005,设计一个工作室logo,2023-10-15,2023.12.18,任务编号：1060630,500.0,,,罗半岁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】文化教育公司logo设计,,3229人,60人,,圆满完成,,一V渡江s4zBh,"1、基本资料：1）礼乐筝堂，公司下辖“礼乐筝堂”，“礼乐琴馆”，“礼乐成长中心”等品牌行业：文化领域、教育领域口号：礼育人心 乐纳百川英文： Liyue Zheng Hall2、设计要求：该LOGO涉及商标注册，务必原创，不得在其它公司已设计好的logo上增减笔画、变换颜色等。1）简约不简单，大气有气势、易识别、有内涵，一定要适合连锁企业使用；2）可采用“文字变形&延展”或图形的展示方式。可单独体现“乐”字，也可以“礼乐”一起体现。3）如带边框，建议为正圆形或正方形，正方形需边角圆润；4）不要使用细线条；5）在黑色和白色底色下均能良好显示；6）在小尺寸下能良好显示；7）在众多情况下能良好显示（如广告、名片等）；8）符合企业的经营理念、文化特色、价值取向；9）不要抄袭，可注册。欣赏脑洞。希望传达的是一种沉稳，安静，值得信任的感觉；10）需要源文件；11）对于颜色，希望不要过分花哨，过分艳丽。知识产权说明：1）所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2）中标的设计作品，我方支付悬赏金，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用；设计者不得再向其他任何地方使用该设计作品 。",2023-10-13,2023.12.01,任务编号：1060441,720.0,,,星河空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】临沂市富硒农产品协会logo设计,,642人,25人,,圆满完成,,创时空T2AGo,临沂市富硒农产品协会，相关资料可参考附件信息。要求：图文+文字，大气直观，助力品牌市场推广，要原创设计。备注：设计师也可以自由发挥，主要是设计的好看。LOGO 需要注册商标,2023-10-07,2024.07.15,任务编号：1059516,500.0,,,润和设计室,,,,,个人,六品,40分,,,,,网页/APP/小程序界面设计,价格面议,平面项目类设计,价格面议,LOGO设计,价格面议,电商全案设计,价格面议,,,,,,,,,,,LOGO设计,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】i+两个符号设计一个图形LOGO,,1260人,39人,,圆满完成,,集创MbI00,i+（爱家）两个符号设计一个图形LOGO（家装建材类使用），家装元素可有可无，主要是创意，需要保证原创，后期图形需要注册,2023-10-10,2023.11.02,任务编号：1060048,500.0,,,一念阁 | 设计,,,,,个人,三品,45分,,,,,LOGO设计,价格面议,,,,,,,,,,,,,,,,,LOGO设计,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】公司 logo设计,,1574人,36人,,圆满完成,,威链IgEvh,OKLAMP   oklamp，欧克蓝普，中英文商标设计，字体大小写都设计出来看看对比，颜色可以用红蓝两种颜色，中英文字体要有自己独特的字体商标风格，让人一眼看上去好念又好记，英文商标为主推公司以外贸为主，英文和中文的组合排放上下或左右,2023-10-10,2023.10.29,任务编号：1060021,600.0,,,tomzhouwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】“天明科电”家电行业logo设计,,696人,29人,,圆满完成,,天明科电,名称：天明科电行业：家电要求：有科技感，与电器相关,2023-10-10,2023.10.23,任务编号：1060001,500.0,,,沐风设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】文字图形LOGO设计,,847人,24人,,圆满完成,,吾艺方舟品牌设计,(龙舟会或龙工长)三个字变形图形LOGO设计，需要原创，后期需要注册,2023-10-10,2023.10.28,任务编号：1059982,500.0,,,隐形人设计工作室,,,,,工作室,一品,53分,,,,,企业电商详情页设计,"￥1000
            /起",产品字体设计,"￥500
            /起",产品海报设计,"￥1000
            /起",企业产品画册设计,"￥300
            /页",,,,,,,,,,,LOGO设计,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【LOGO设计】保险箱出口英文logo设计,,2061人,59人,,圆满完成,,群V荟萃Zch7U,品牌名：Grimtron1、简洁大气2、有视觉冲击力，醒目易识别，突出保险箱行业元素3、用G首字母设计4、设计Grimtron英文,2023-10-09,2023.10.28,任务编号：1059970,800.0,,,KIN RABBIT,,,,,工作室,一品,67分,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【字体设计】JHME字体设计,,771人,17人,,圆满完成,,o5fb1d9ee17cd8,"1、行业 --金属  金属锭，公司从国外采购金属合金锭发到中国，需要在金属锭表面打 JHME 烙印2、英文字母：  JHME 大写3、提倡自己设计，设计大气简约寓意, 有行业特征【注：JH 是公司名称缩写，METAL 是金属的意思，取ME】",2023-10-09,2023.10.27,任务编号：1059916,300.0,,,KIN RABBIT,,,,,工作室,一品,67分,,,,,,,,,,,,,,,,,,,,,,,字体设计,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
