标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,知识
【APP开发】分销商城APP开发,https://task.epwk.com/441938/,185人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,分销商城APP开发,直接雇佣￥ 30000,￥ 30000,任务编号：441938,2000-2900.csv,,"分销商城, APP开发"
【手游开发】大型网络游戏开发,https://task.epwk.com/441944/,459人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,大型网络游戏开发,直接雇佣￥ 45000,￥ 45000,任务编号：441944,2000-2900.csv,,"大型网络游戏, 游戏开发"
【单身公寓设计】新开盘小区规划,https://task.epwk.com/441946/,368人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,新开盘小区规划,直接雇佣￥ 40000,￥ 40000,任务编号：441946,2000-2900.csv,,"新开盘小区, 规划设计"
【LOGO设计】设备logo设计,https://task.epwk.com/441948/,277人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,设备logo设计,直接雇佣￥ 1000,￥ 1000,任务编号：441948,2000-2900.csv,,"设备, logo"
【其他内容创作】金婚庆典策划,https://task.epwk.com/441949/,1021人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,金婚庆典策划,直接雇佣￥ 30000,￥ 30000,任务编号：441949,2000-2900.csv,,"金婚庆典, 策划"
【封面设计】某杂志封面设计,https://task.epwk.com/441950/,1088人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,某杂志封面设计,直接雇佣￥ 30000,￥ 30000,任务编号：441950,2000-2900.csv,,"杂志封面, 设计"
【创意短视频】沿河豪庭视频拍摄,https://task.epwk.com/441955/,900人,1人,"¥125,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,沿河豪庭视频拍摄,直接雇佣￥ 125000,￥ 125000,任务编号：441955,2000-2900.csv,,"沿河豪庭, 视频拍摄"
【创意短视频】火锅大观园视频拍摄,https://task.epwk.com/441957/,1041人,1人,"¥120,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,火锅大观园视频拍摄,直接雇佣￥ 120000,￥ 120000,任务编号：441957,2000-2900.csv,,"火锅大观园, 视频拍摄"
【其他软件开发】保健产品下单销售软件开发一期,https://task.epwk.com/441962/,165人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,保健产品下单销售软件开发一期,直接雇佣￥ 45000,￥ 45000,任务编号：441962,2000-2900.csv,,"保健产品, 下单销售, 软件开发"
【其他软件开发】保健产品下单销售软件开发二期,https://task.epwk.com/441963/,204人,1人,"¥32,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,保健产品下单销售软件开发二期,直接雇佣￥ 32000,￥ 32000,任务编号：441963,2000-2900.csv,,"保健产品, 下单销售, 软件开发"
【办公空间】物流公司办公系统重新修改,https://task.epwk.com/441972/,368人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,物流公司办公系统重新修改,直接雇佣￥ 30000,￥ 30000,任务编号：441972,2000-2900.csv,,"物流公司, 办公系统, 重新修改"
【影音播放】视频类APP开发,https://task.epwk.com/441973/,239人,1人,"¥33,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,视频类APP开发,直接雇佣￥ 33000,￥ 33000,任务编号：441973,2000-2900.csv,,视频类APP开发
【APP界面设计】金融APP整体UI改版设计,https://task.epwk.com/441992/,246人,1人,"¥17,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,金融APP整体UI改版设计,直接雇佣￥ 17000,￥ 17000,任务编号：441992,2000-2900.csv,,"金融APP, UI设计, 整体改版"
项目管理网站开发,https://task.epwk.com/441993/,190人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,项目管理网站开发,直接雇佣￥ 40000,￥ 40000,任务编号：441993,2000-2900.csv,,"项目管理, 网站开发"
【宣传册设计】浙江地区移动宣传品设计,https://task.epwk.com/442016/,240人,1人,"¥16,110",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,浙江地区移动宣传品设计,直接雇佣￥ 16110,￥ 16110,任务编号：442016,2000-2900.csv,,"浙江地区, 移动宣传品, 设计"
【创意短视频】寺庙动画,https://task.epwk.com/442038/,1725人,1人,"¥150,000",圆满完成,https://task.epwk.com/page2550.html?m=6&o=7,寺庙动画,直接雇佣￥ 150000,￥ 150000,任务编号：442038,2000-2900.csv,,寺庙动画
【创意短视频】寺庙动画,https://task.epwk.com/442039/,1356人,1人,"¥160,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,寺庙动画,直接雇佣￥ 160000,￥ 160000,任务编号：442039,2000-2900.csv,,寺庙动画
【企业官网】电商型网站开发二期,https://task.epwk.com/442041/,176人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,电商型网站开发二期,直接雇佣￥ 50000,￥ 50000,任务编号：442041,2000-2900.csv,,"电商型网站, 开发, 二期"
【企业官网】电商型网站开发三期,https://task.epwk.com/442042/,196人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,电商型网站开发三期,直接雇佣￥ 50000,￥ 50000,任务编号：442042,2000-2900.csv,,"电商型网站, 开发, 三期"
工具包装盒设计,https://task.epwk.com/442043/,165人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,工具包装盒设计,直接雇佣￥ 1500,￥ 1500,任务编号：442043,2000-2900.csv,,"工具包装盒, 设计"
农药系列包装设计,https://task.epwk.com/442044/,339人,1人,"¥6,500",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,农药系列包装设计,直接雇佣￥ 6500,￥ 6500,任务编号：442044,2000-2900.csv,,"农药包装, 设计, 包装设计"
户外广告牌设计,https://task.epwk.com/442045/,82人,1人,¥500,圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,户外广告牌设计,直接雇佣￥ 500,￥ 500,任务编号：442045,2000-2900.csv,,"户外广告牌, 设计"
【小程序开发】类似房地产经纪人App开发,https://task.epwk.com/442066/,150人,1人,"¥13,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,类似房地产经纪人App开发,直接雇佣￥ 13000,￥ 13000,任务编号：442066,2000-2900.csv,,"房地产经纪人, App开发"
【海报设计】海报印刷,https://task.epwk.com/442076/,148人,1人,"¥6,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,海报印刷,直接雇佣￥ 6000,￥ 6000,任务编号：442076,2000-2900.csv,,"海报, 印刷"
【企业官网】云购微信商城开发,https://task.epwk.com/442080/,383人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,云购微信商城开发,直接雇佣￥ 50000,￥ 50000,任务编号：442080,2000-2900.csv,,"云购, 微信商城"
【活动策划】设计一整套的9月份活动,https://task.epwk.com/442089/,351人,1人,¥900,圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,设计一整套的9月份活动,直接雇佣￥ 900,￥ 900,任务编号：442089,2000-2900.csv,,"9月份活动, 活动设计"
【卡通形象设计】柑形象动作表情添加5款,https://task.epwk.com/442102/,316人,1人,¥500,圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,柑形象动作表情添加5款,直接雇佣￥ 500,￥ 500,任务编号：442102,2000-2900.csv,,"柑形象, 动作表情, 款设计"
【网站UI设计】生利达营销型网站,https://task.epwk.com/442110/,240人,1人,¥500,圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,生利达营销型网站,直接雇佣￥ 500,￥ 500,任务编号：442110,2000-2900.csv,,"营销型网站, 生利达"
【网站UI设计】鑫太官网,https://task.epwk.com/442113/,334人,1人,¥500,圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,鑫太官网,直接雇佣￥ 500,￥ 500,任务编号：442113,2000-2900.csv,,鑫太官网
【效果图设计】制作宿舍效果图,https://task.epwk.com/442134/,332人,1人,¥300,圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,制作宿舍效果图,直接雇佣￥ 300,￥ 300,任务编号：442134,2000-2900.csv,,"宿舍效果图, 室内设计"
【企业官网】保险APP及后台,https://task.epwk.com/442140/,282人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,保险APP及后台,直接雇佣￥ 50000,￥ 50000,任务编号：442140,2000-2900.csv,,"保险APP, 后台系统"
【APP开发】医用APP开发,https://task.epwk.com/442141/,174人,1人,"¥35,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,医用APP开发,直接雇佣￥ 35000,￥ 35000,任务编号：442141,2000-2900.csv,,"医用APP, APP开发"
【LOGO设计】公司LOGO设计,https://task.epwk.com/442146/,653人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,公司LOGO设计,直接雇佣￥ 1000,￥ 1000,任务编号：442146,2000-2900.csv,,"公司LOGO, 设计"
【OA系统】办公系统软件开发二期,https://task.epwk.com/442154/,1520人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,办公系统软件开发二期,直接雇佣￥ 40000,￥ 40000,任务编号：442154,2000-2900.csv,,"办公系统, 软件开发, 二期"
【OA系统】办公系统软件开发三期,https://task.epwk.com/442155/,1474人,1人,"¥16,900",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,办公系统软件开发三期,直接雇佣￥ 16900,￥ 16900,任务编号：442155,2000-2900.csv,,"办公系统, 软件开发, 三期"
【其他内容创作】网店首页整体策划装修,https://task.epwk.com/442158/,491人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,网店首页整体策划装修,直接雇佣￥ 2000,￥ 2000,任务编号：442158,2000-2900.csv,,"网店首页, 整体策划, 装修设计"
【企业官网】做个电商网站,https://task.epwk.com/442159/,168人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,做个电商网站,直接雇佣￥ 45000,￥ 45000,任务编号：442159,2000-2900.csv,,"电商网站, 网站设计"
【企业官网】做个电商网站,https://task.epwk.com/442160/,153人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,做个电商网站,直接雇佣￥ 20000,￥ 20000,任务编号：442160,2000-2900.csv,,"电商网站, 网站设计"
【企业官网】企业官网建站开发,https://task.epwk.com/442167/,183人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,企业官网建站开发,直接雇佣￥ 5000,￥ 5000,任务编号：442167,2000-2900.csv,,"企业官网, 建站开发"
【包装设计】化妆品面膜包装设计一期,https://task.epwk.com/442169/,258人,1人,"¥2,400",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,化妆品面膜包装设计一期,直接雇佣￥ 2400,￥ 2400,任务编号：442169,2000-2900.csv,,"化妆品面膜, 包装设计, 一期"
【企业官网】微信商城开发,https://task.epwk.com/442170/,133人,1人,"¥42,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,微信商城开发,直接雇佣￥ 42000,￥ 42000,任务编号：442170,2000-2900.csv,,"微信商城, 开发"
【其他软件开发】OA系统开发,https://task.epwk.com/442171/,268人,1人,"¥31,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,OA系统开发,直接雇佣￥ 31000,￥ 31000,任务编号：442171,2000-2900.csv,,"OA系统, 开发"
【宣传册设计】婚纱摄影宣传册设计,https://task.epwk.com/442173/,451人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,婚纱摄影宣传册设计,直接雇佣￥ 30000,￥ 30000,任务编号：442173,2000-2900.csv,,"婚纱摄影, 宣传册设计"
【办公空间】济南高新区玉兰广场办公区设计,https://task.epwk.com/442175/,442人,1人,¥300,圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,济南高新区玉兰广场办公区设计,直接雇佣￥ 300,￥ 300,任务编号：442175,2000-2900.csv,,"济南高新区玉兰广场, 办公区设计"
【微信开发】婚纱摄影公司微信公众号开发,https://task.epwk.com/442176/,282人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,婚纱摄影公司微信公众号开发,直接雇佣￥ 45000,￥ 45000,任务编号：442176,2000-2900.csv,,"婚纱摄影, 微信公众号"
【APP界面设计】金融APP的UI设计,https://task.epwk.com/442179/,226人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2549.html?m=6&o=7,金融APP的UI设计,直接雇佣￥ 5000,￥ 5000,任务编号：442179,2000-2900.csv,,"金融APP, UI设计"
保险类网站开发,https://task.epwk.com/442181/,170人,1人,"¥2,486",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,保险类网站开发,直接雇佣￥ 2486,￥ 2486,任务编号：442181,2000-2900.csv,,"保险网站, 网站开发"
【宣传册设计】某化妆品宣传册设计,https://task.epwk.com/442182/,197人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,某化妆品宣传册设计,直接雇佣￥ 5000,￥ 5000,任务编号：442182,2000-2900.csv,,"化妆品宣传册, 设计"
一个网站的二次开发维护,https://task.epwk.com/442184/,50人,1人,"¥11,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,一个网站的二次开发维护,直接雇佣￥ 11000,￥ 11000,任务编号：442184,2000-2900.csv,,"网站二次开发, 网站维护"
【APP界面设计】做个UI 设计··,https://task.epwk.com/442188/,218人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,做个UI 设计··,直接雇佣￥ 5000,￥ 5000,任务编号：442188,2000-2900.csv,,UI设计
【创意短视频】AGV小车动画,https://task.epwk.com/442195/,650人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,AGV小车动画,直接雇佣￥ 20000,￥ 20000,任务编号：442195,2000-2900.csv,,"AGV小车, 动画"
【宣传策划】生态短文篇,https://task.epwk.com/442212/,515人,1人,¥300,圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,生态短文篇,直接雇佣￥ 300,￥ 300,任务编号：442212,2000-2900.csv,,生态短文
【APP开发】安卓app部分板块开发,https://task.epwk.com/442214/,204人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,安卓app部分板块开发,直接雇佣￥ 45000,￥ 45000,任务编号：442214,2000-2900.csv,,安卓app
【APP开发】开发一款方便下载微信朋友圈素材的app,https://task.epwk.com/442216/,230人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,开发一款方便下载微信朋友圈素材的app,直接雇佣￥ 40000,￥ 40000,任务编号：442216,2000-2900.csv,,"微信朋友圈素材, app开发, 下载功能"
【吉祥物设计】智能配送形象设计,https://task.epwk.com/442221/,545人,1人,"¥8,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,智能配送形象设计,直接雇佣￥ 8000,￥ 8000,任务编号：442221,2000-2900.csv,,"智能配送, 形象设计"
【APP开发】类似优步的打车APP开发,https://task.epwk.com/442222/,370人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,类似优步的打车APP开发,直接雇佣￥ 50000,￥ 50000,任务编号：442222,2000-2900.csv,,"打车APP, 优步模式, 移动应用开发"
【其他软件开发】建筑企业erp系统开发一期,https://task.epwk.com/442223/,262人,1人,"¥35,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,建筑企业erp系统开发一期,直接雇佣￥ 35000,￥ 35000,任务编号：442223,2000-2900.csv,,"建筑企业, ERP系统, 系统开发"
【VI设计】产品易拉宝+宣传单张+立牌+广告图+网站栏目优化,https://task.epwk.com/442224/,532人,1人,"¥2,220",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,产品易拉宝+宣传单张+立牌+广告图+网站栏目优化,直接雇佣￥ 2220,￥ 2220,任务编号：442224,2000-2900.csv,,"易拉宝, 宣传单张, 立牌, 广告图, 网站栏目"
【FLASH制作】公司培训视频flash制作一期,https://task.epwk.com/442226/,579人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,公司培训视频flash制作一期,直接雇佣￥ 45000,￥ 45000,任务编号：442226,2000-2900.csv,,"公司培训视频, flash制作, 一期"
【FLASH制作】公司培训视频flash制作二期,https://task.epwk.com/442227/,355人,1人,"¥32,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,公司培训视频flash制作二期,直接雇佣￥ 32000,￥ 32000,任务编号：442227,2000-2900.csv,,"公司培训视频, flash制作, 二期"
【其他软件开发】建筑企业erp系统开发二期,https://task.epwk.com/442228/,269人,1人,"¥42,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,建筑企业erp系统开发二期,直接雇佣￥ 42000,￥ 42000,任务编号：442228,2000-2900.csv,,"建筑企业, ERP系统, 系统开发"
【其他软件开发】化工企业系统开发,https://task.epwk.com/442229/,212人,1人,"¥23,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,化工企业系统开发,直接雇佣￥ 23000,￥ 23000,任务编号：442229,2000-2900.csv,,"化工企业系统, 系统开发"
【网站UI设计】一体机界面美化,https://task.epwk.com/442241/,453人,1人,"¥4,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,一体机界面美化,直接雇佣￥ 4000,￥ 4000,任务编号：442241,2000-2900.csv,,"一体机, 界面美化"
【VI设计】公司VI设计,https://task.epwk.com/442243/,445人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,公司VI设计,直接雇佣￥ 1000,￥ 1000,任务编号：442243,2000-2900.csv,,公司VI设计
【宣传册设计】影楼宣传册设计,https://task.epwk.com/442248/,284人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,影楼宣传册设计,直接雇佣￥ 5000,￥ 5000,任务编号：442248,2000-2900.csv,,"影楼宣传册, 设计"
【小程序开发】GIS系统页面改版,https://task.epwk.com/442257/,710人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,GIS系统页面改版,直接雇佣￥ 1000,￥ 1000,任务编号：442257,2000-2900.csv,,"GIS系统, 页面改版"
【微信开发】微信商城开发第一期,https://task.epwk.com/442264/,405人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,微信商城开发第一期,直接雇佣￥ 30000,￥ 30000,任务编号：442264,2000-2900.csv,,"微信商城, 开发, 第一期"
【微信开发】微信商城开发第二期,https://task.epwk.com/442265/,183人,1人,"¥33,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,微信商城开发第二期,直接雇佣￥ 33000,￥ 33000,任务编号：442265,2000-2900.csv,,"微信商城, 开发, 第二期"
【宣传册设计】宣传单设计，海报设计,https://task.epwk.com/442272/,403人,1人,¥200,圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,宣传单设计，海报设计,直接雇佣￥ 200,￥ 200,任务编号：442272,2000-2900.csv,,"宣传单设计, 海报设计"
【包装设计】大样，简约风,https://task.epwk.com/442290/,144人,1人,¥800,圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,大样，简约风,直接雇佣￥ 800,￥ 800,任务编号：442290,2000-2900.csv,,"大样, 简约风"
【OA系统】贸易型公司的办公系统开发,https://task.epwk.com/442307/,1712人,1人,"¥80,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,贸易型公司的办公系统开发,直接雇佣￥ 80000,￥ 80000,任务编号：442307,2000-2900.csv,,"贸易型公司, 办公系统, 系统开发"
【企业官网】商城网购平台开发,https://task.epwk.com/442313/,224人,1人,"¥60,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,商城网购平台开发,直接雇佣￥ 60000,￥ 60000,任务编号：442313,2000-2900.csv,,"商城系统, 网购平台"
【OA系统】某工厂办公系统开发,https://task.epwk.com/442331/,1342人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,某工厂办公系统开发,直接雇佣￥ 40000,￥ 40000,任务编号：442331,2000-2900.csv,,"办公系统, 工厂管理"
【企业官网】政府部分企业网站建设,https://task.epwk.com/442332/,169人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,政府部分企业网站建设,直接雇佣￥ 40000,￥ 40000,任务编号：442332,2000-2900.csv,,"政府企业网站, 网站建设"
【海报设计】某主题活动宣传海报设计,https://task.epwk.com/442333/,235人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,某主题活动宣传海报设计,直接雇佣￥ 20000,￥ 20000,任务编号：442333,2000-2900.csv,,"主题活动, 宣传海报, 设计"
【软装设计】酒店软装搭配,https://task.epwk.com/442334/,774人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2548.html?m=6&o=7,酒店软装搭配,直接雇佣￥ 45000,￥ 45000,任务编号：442334,2000-2900.csv,,"酒店软装, 搭配设计"
企业网站建设维护,https://task.epwk.com/442339/,395人,1人,"¥25,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,企业网站建设维护,直接雇佣￥ 25000,￥ 25000,任务编号：442339,2000-2900.csv,,"企业网站, 网站建设, 网站维护"
简单的android桌面软件开发,https://task.epwk.com/442348/,431人,1人,"¥15,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,简单的android桌面软件开发,直接雇佣￥ 15000,￥ 15000,任务编号：442348,2000-2900.csv,,"android桌面软件, 开发"
千代香蛋糕包装设计,https://task.epwk.com/442350/,136人,1人,"¥6,688",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,千代香蛋糕包装设计,直接雇佣￥ 6688,￥ 6688,任务编号：442350,2000-2900.csv,,"蛋糕包装, 设计"
【海报设计】为淘宝店铺设计广告图片,https://task.epwk.com/442357/,235人,1人,¥500,圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,为淘宝店铺设计广告图片,直接雇佣￥ 500,￥ 500,任务编号：442357,2000-2900.csv,,"淘宝店铺, 广告图片, 设计"
【企业官网】基于Notadd的企业网站开发,https://task.epwk.com/442392/,156人,1人,"¥9,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,基于Notadd的企业网站开发,直接雇佣￥ 9000,￥ 9000,任务编号：442392,2000-2900.csv,,"企业网站, Notadd, 开发"
【企业官网】三级分销商城制作二期,https://task.epwk.com/442411/,672人,1人,"¥52,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,三级分销商城制作二期,直接雇佣￥ 52000,￥ 52000,任务编号：442411,2000-2900.csv,,"三级分销商城, 二期开发"
【APP开发】金融理财软件开发,https://task.epwk.com/442422/,182人,1人,"¥43,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,金融理财软件开发,直接雇佣￥ 43000,￥ 43000,任务编号：442422,2000-2900.csv,,"金融理财, 软件开发"
【APP开发】金融理财软件开发二期,https://task.epwk.com/442423/,171人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,金融理财软件开发二期,直接雇佣￥ 30000,￥ 30000,任务编号：442423,2000-2900.csv,,"金融理财, 软件开发, 二期"
【3D建模】CAD工具软件Icon及彩页设计,https://task.epwk.com/442430/,1559人,1人,"¥1,794",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,CAD工具软件Icon及彩页设计,直接雇佣￥ 1794,￥ 1794,任务编号：442430,2000-2900.csv,,"CAD工具软件, Icon设计, 彩页设计"
【宣传册设计】某产品宣传册设计,https://task.epwk.com/442434/,269人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,某产品宣传册设计,直接雇佣￥ 5000,￥ 5000,任务编号：442434,2000-2900.csv,,"产品宣传册, 设计"
【其他软件开发】支付宝端口开发,https://task.epwk.com/442437/,307人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,支付宝端口开发,直接雇佣￥ 2000,￥ 2000,任务编号：442437,2000-2900.csv,,"支付宝端口, 开发"
【企业官网】网站仿站制作,https://task.epwk.com/442441/,219人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,网站仿站制作,直接雇佣￥ 3000,￥ 3000,任务编号：442441,2000-2900.csv,,"网站仿站, 网站制作"
【企业官网】做个瑜伽公司网站,https://task.epwk.com/442446/,133人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,做个瑜伽公司网站,直接雇佣￥ 40000,￥ 40000,任务编号：442446,2000-2900.csv,,"瑜伽公司, 网站设计"
【APP开发】做个瑜伽公司APP,https://task.epwk.com/442448/,175人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,做个瑜伽公司APP,直接雇佣￥ 30000,￥ 30000,任务编号：442448,2000-2900.csv,,"瑜伽公司, APP开发"
【微信开发】餐饮微信开发,https://task.epwk.com/442453/,293人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,餐饮微信开发,直接雇佣￥ 10000,￥ 10000,任务编号：442453,2000-2900.csv,,"餐饮, 微信公众号"
【企业官网】仿制网站开发,https://task.epwk.com/442455/,244人,1人,"¥2,500",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,仿制网站开发,直接雇佣￥ 2500,￥ 2500,任务编号：442455,2000-2900.csv,,"网站仿制, 网站开发"
【微信开发】公司微信公众号开发,https://task.epwk.com/442460/,152人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,公司微信公众号开发,直接雇佣￥ 20000,￥ 20000,任务编号：442460,2000-2900.csv,,"公司微信公众号, 开发"
【VI设计】进口公司企业VI设计,https://task.epwk.com/442461/,223人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,进口公司企业VI设计,直接雇佣￥ 30000,￥ 30000,任务编号：442461,2000-2900.csv,,"企业VI设计, 进口公司"
【产品外观设计】图片制作,https://task.epwk.com/442462/,1446人,1人,¥600,圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,图片制作,直接雇佣￥ 600,￥ 600,任务编号：442462,2000-2900.csv,,"图片设计, 图片制作"
【APP开发】商超下单APP开发,https://task.epwk.com/442467/,159人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,商超下单APP开发,直接雇佣￥ 30000,￥ 30000,任务编号：442467,2000-2900.csv,,"商超, 下单, APP开发"
【包装设计】面巾纸外包装箱设计,https://task.epwk.com/442478/,601人,1人,¥200,圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,面巾纸外包装箱设计,直接雇佣￥ 200,￥ 200,任务编号：442478,2000-2900.csv,,"面巾纸, 外包装, 箱设计"
【企业官网】网红直播视频开发一期,https://task.epwk.com/442483/,243人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,网红直播视频开发一期,直接雇佣￥ 45000,￥ 45000,任务编号：442483,2000-2900.csv,,"网红直播, 视频开发, 直播内容"
【企业官网】网红直播视频开发二期,https://task.epwk.com/442484/,262人,1人,"¥32,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,网红直播视频开发二期,直接雇佣￥ 32000,￥ 32000,任务编号：442484,2000-2900.csv,,"网红直播, 视频开发, 直播内容"
【关键词优化】电商网站SEO推广,https://task.epwk.com/442495/,902人,1人,"¥60,000",圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,电商网站SEO推广,直接雇佣￥ 60000,￥ 60000,任务编号：442495,2000-2900.csv,,"电商网站, SEO推广"
【插画设计】掌上生活用品APP工业插画设计20160826,https://task.epwk.com/442533/,346人,1人,¥560,圆满完成,https://task.epwk.com/page2547.html?m=6&o=7,掌上生活用品APP工业插画设计20160826,直接雇佣￥ 560,￥ 560,任务编号：442533,2000-2900.csv,,"掌上生活, 工业插画, APP设计"
