标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,知识
【数据录入】信息数据录入之303,https://task.epwk.com/289633/,317人,1人,¥200,圆满完成,https://task.epwk.com/page3197.html?m=6&o=7,信息数据录入之303,直接雇佣￥ 200,￥ 200,任务编号：289633,3153-3304.csv,,,"信息数据录入, 303"
【数据库设计】修改产品失效功能和加上传视频页,https://task.epwk.com/289637/,1485人,1人,¥80,圆满完成,https://task.epwk.com/page3197.html?m=6&o=7,修改产品失效功能和加上传视频页,直接雇佣￥ 80,￥ 80,任务编号：289637,3153-3304.csv,,,"产品失效功能, 视频页"
【小程序开发】HR人力资源管理系统考勤模块外包,https://task.epwk.com/289645/,481人,1人,"¥15,000",圆满完成,https://task.epwk.com/page3197.html?m=6&o=7,HR人力资源管理系统考勤模块外包,直接雇佣￥ 15000,￥ 15000,任务编号：289645,3153-3304.csv,,,"HR人力资源管理, 考勤模块, 系统开发"
【小程序开发】智能求助系统开发,https://task.epwk.com/289659/,267人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3197.html?m=6&o=7,智能求助系统开发,直接雇佣￥ 3000,￥ 3000,任务编号：289659,3153-3304.csv,,,"智能求助系统, 系统开发"
【宣传策划】软文宣传稿征集,https://task.epwk.com/289684/,477人,1人,¥100,圆满完成,https://task.epwk.com/page3197.html?m=6&o=7,软文宣传稿征集,直接雇佣￥ 100,￥ 100,任务编号：289684,3153-3304.csv,,,"软文宣传稿, 征集"
【VI设计】玩偶汇VI设计,https://task.epwk.com/289686/,287人,1人,¥300,圆满完成,https://task.epwk.com/page3197.html?m=6&o=7,玩偶汇VI设计,直接雇佣￥ 300,￥ 300,任务编号：289686,3153-3304.csv,,,"玩偶汇, VI设计"
【宣传册设计】根据素材设计个人简历画册（3）,https://task.epwk.com/289744/,285人,1人,¥500,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,根据素材设计个人简历画册（3）,直接雇佣￥ 500,￥ 500,任务编号：289744,3153-3304.csv,,,"个人简历, 画册设计, 素材设计"
【企业官网】路由管理系统开发,https://task.epwk.com/289756/,561人,1人,"¥13,000",圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,路由管理系统开发,直接雇佣￥ 13000,￥ 13000,任务编号：289756,3153-3304.csv,,,"路由管理, 系统开发"
【企业官网】仿建一个企业网站,https://task.epwk.com/289761/,388人,1人,¥400,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,仿建一个企业网站,直接雇佣￥ 400,￥ 400,任务编号：289761,3153-3304.csv,,,"企业网站, 仿建"
【数据录入】信息数据录入之304,https://task.epwk.com/289767/,135人,1人,¥100,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,信息数据录入之304,直接雇佣￥ 100,￥ 100,任务编号：289767,3153-3304.csv,,,"信息数据录入, 304"
【背景墙设计】内页平面设计,https://task.epwk.com/289768/,537人,1人,¥200,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,内页平面设计,直接雇佣￥ 200,￥ 200,任务编号：289768,3153-3304.csv,,,"内页设计, 平面设计"
【数据录入】数据录入之2,https://task.epwk.com/289787/,184人,1人,¥50,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,数据录入之2,直接雇佣￥ 50,￥ 50,任务编号：289787,3153-3304.csv,,,"数据录入, 信息整理"
【LOGO设计】设计一个高大上的logo和双面名片,https://task.epwk.com/289801/,449人,1人,¥650,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,设计一个高大上的logo和双面名片,直接雇佣￥ 650,￥ 650,任务编号：289801,3153-3304.csv,,,"logo, 双面名片"
【产品卖点】化妆品文章撰写,https://task.epwk.com/289817/,300人,1人,¥250,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,化妆品文章撰写,直接雇佣￥ 250,￥ 250,任务编号：289817,3153-3304.csv,,,"化妆品文章, 撰写"
【电路设计】用PLC（Power Line Communication）技术设计开发LED控制数据通信模块,https://task.epwk.com/289856/,2709人,1人,"¥8,000",圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,用PLC（Power Line Communication）技术设计开发LED控制数据通信模块,直接雇佣￥ 8000,￥ 8000,任务编号：289856,3153-3304.csv,,,"PLC技术, LED控制, 数据通信模块"
【LOGO设计】玩偶汇LOGO设计,https://task.epwk.com/289871/,235人,1人,¥300,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,玩偶汇LOGO设计,直接雇佣￥ 300,￥ 300,任务编号：289871,3153-3304.csv,,,"玩偶汇, LOGO设计"
【教育培训】算法设计2,https://task.epwk.com/289897/,763人,1人,¥550,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,算法设计2,直接雇佣￥ 550,￥ 550,任务编号：289897,3153-3304.csv,,,算法设计
【代办/跑腿】网上代购商品,https://task.epwk.com/289898/,336人,1人,¥93,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,网上代购商品,直接雇佣￥ 93,￥ 93,任务编号：289898,3153-3304.csv,,,"网上代购, 商品"
【小程序开发】开发一个后台管理程序,https://task.epwk.com/289936/,343人,1人,"¥1,300",圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,开发一个后台管理程序,直接雇佣￥ 1300,￥ 1300,任务编号：289936,3153-3304.csv,,,"后台管理, 程序开发"
【小程序开发】WebService接口设计,https://task.epwk.com/289938/,250人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,WebService接口设计,直接雇佣￥ 1000,￥ 1000,任务编号：289938,3153-3304.csv,,,"WebService接口, 设计"
【企业官网】美食站二次改版,https://task.epwk.com/289952/,238人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,美食站二次改版,直接雇佣￥ 1200,￥ 1200,任务编号：289952,3153-3304.csv,,,"美食站, 二次改版"
【网站UI设计】建站图片处理,https://task.epwk.com/289964/,209人,1人,¥100,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,建站图片处理,直接雇佣￥ 100,￥ 100,任务编号：289964,3153-3304.csv,,,"建站, 图片处理"
【小程序开发】有App功能的WEB系统,https://task.epwk.com/289972/,308人,1人,"¥9,090",圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,有App功能的WEB系统,直接雇佣￥ 9090,￥ 9090,任务编号：289972,3153-3304.csv,,,"App功能, WEB系统"
【企业官网】修改网站,https://task.epwk.com/289973/,277人,1人,¥400,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,修改网站,直接雇佣￥ 400,￥ 400,任务编号：289973,3153-3304.csv,,,网站修改
【销售/经纪人】网上商品代购,https://task.epwk.com/289981/,637人,1人,¥94,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,网上商品代购,直接雇佣￥ 94,￥ 94,任务编号：289981,3153-3304.csv,,,"网上商品, 代购"
【电商网站】开发分销平台,https://task.epwk.com/290010/,351人,1人,"¥7,000",圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,开发分销平台,直接雇佣￥ 7000,￥ 7000,任务编号：290010,3153-3304.csv,,,"分销平台, 开发"
【企业官网】开发一个类似于淘宝的网上商城,https://task.epwk.com/290016/,319人,1人,"¥7,500",圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,开发一个类似于淘宝的网上商城,直接雇佣￥ 7500,￥ 7500,任务编号：290016,3153-3304.csv,,,"网上商城, 淘宝模式"
【销售/经纪人】代购商品,https://task.epwk.com/290100/,739人,1人,¥96,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,代购商品,直接雇佣￥ 96,￥ 96,任务编号：290100,3153-3304.csv,,,"代购, 商品"
【背景墙设计】经销商会背景板设计,https://task.epwk.com/290113/,504人,1人,¥600,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,经销商会背景板设计,直接雇佣￥ 600,￥ 600,任务编号：290113,3153-3304.csv,,,"经销商背景板, 设计"
【后端开发】解决修改功能失效,https://task.epwk.com/290118/,1597人,1人,¥30,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,解决修改功能失效,直接雇佣￥ 30,￥ 30,任务编号：290118,3153-3304.csv,,,"修改功能, 功能失效"
【LOGO设计】商标设计,https://task.epwk.com/290133/,228人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,商标设计,直接雇佣￥ 2000,￥ 2000,任务编号：290133,3153-3304.csv,,,商标设计
【数据录入】数据录入之3,https://task.epwk.com/290140/,125人,1人,¥100,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,数据录入之3,直接雇佣￥ 100,￥ 100,任务编号：290140,3153-3304.csv,,,"数据录入, 信息整理"
【电路设计】电子电路设计,https://task.epwk.com/290194/,2468人,1人,¥800,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,电子电路设计,直接雇佣￥ 800,￥ 800,任务编号：290194,3153-3304.csv,,,"电子电路, 设计"
【小程序开发】Android---Server安全身份验证,https://task.epwk.com/290213/,219人,1人,¥800,圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,Android---Server安全身份验证,直接雇佣￥ 800,￥ 800,任务编号：290213,3153-3304.csv,,,"Android安全, 身份验证, 服务器安全"
【小程序开发】预警信息通知系统,https://task.epwk.com/290224/,305人,1人,"¥2,800",圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,预警信息通知系统,直接雇佣￥ 2800,￥ 2800,任务编号：290224,3153-3304.csv,,,"预警信息, 通知系统"
【软文发布】2014_第二季网站宣传文章发布,https://task.epwk.com/290225/,438人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3196.html?m=6&o=7,2014_第二季网站宣传文章发布,直接雇佣￥ 3000,￥ 3000,任务编号：290225,3153-3304.csv,,,"网站宣传, 文章发布, 2014第二季"
【图片处理】图片转三视图,https://task.epwk.com/290229/,583人,1人,¥200,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,图片转三视图,直接雇佣￥ 200,￥ 200,任务编号：290229,3153-3304.csv,,,图片转三视图
【前端开发】网页模板html 制作,https://task.epwk.com/290234/,1450人,1人,¥300,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,网页模板html 制作,直接雇佣￥ 300,￥ 300,任务编号：290234,3153-3304.csv,,,"网页模板, html制作"
【背景墙设计】音乐大厅的设计,https://task.epwk.com/290239/,603人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,音乐大厅的设计,直接雇佣￥ 1000,￥ 1000,任务编号：290239,3153-3304.csv,,,"音乐大厅, 设计"
【网站UI设计】切图,https://task.epwk.com/290242/,417人,1人,¥300,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,切图,直接雇佣￥ 300,￥ 300,任务编号：290242,3153-3304.csv,,,切图
【APP开发】android关于nfc方面的APP应用,https://task.epwk.com/290462/,271人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,android关于nfc方面的APP应用,直接雇佣￥ 4000,￥ 4000,任务编号：290462,3153-3304.csv,,,"android, NFC, APP应用"
【LOGO设计】旅行社标志及基础VI,https://task.epwk.com/290477/,296人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,旅行社标志及基础VI,直接雇佣￥ 3000,￥ 3000,任务编号：290477,3153-3304.csv,,,"旅行社标志, 基础VI"
【企业官网】独立博客制作（带简单DZ论坛）,https://task.epwk.com/290479/,254人,1人,¥800,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,独立博客制作（带简单DZ论坛）,直接雇佣￥ 800,￥ 800,任务编号：290479,3153-3304.csv,,,"独立博客, DZ论坛, 博客制作"
【表情设计】征求原创QQ动态表情(熊BB),https://task.epwk.com/290481/,461人,1人,"¥1,600",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,征求原创QQ动态表情(熊BB),直接雇佣￥ 1600,￥ 1600,任务编号：290481,3153-3304.csv,,,"原创表情, QQ动态表情, 熊BB"
【小程序开发】邮件营销系统二期,https://task.epwk.com/290503/,221人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,邮件营销系统二期,直接雇佣￥ 20000,￥ 20000,任务编号：290503,3153-3304.csv,,,"邮件营销, 系统, 二期"
【PPT设计】新三板方案设计,https://task.epwk.com/290532/,412人,1人,¥900,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,新三板方案设计,直接雇佣￥ 900,￥ 900,任务编号：290532,3153-3304.csv,,,"新三板方案, 设计"
【宣传策划】宣传文案,https://task.epwk.com/290542/,611人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,宣传文案,直接雇佣￥ 2000,￥ 2000,任务编号：290542,3153-3304.csv,,,宣传文案
【企业官网】原创网站建设,https://task.epwk.com/290565/,228人,1人,¥800,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,原创网站建设,直接雇佣￥ 800,￥ 800,任务编号：290565,3153-3304.csv,,,"原创网站, 网站建设"
【宣传册设计】三折页设计,https://task.epwk.com/290635/,264人,1人,¥600,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,三折页设计,直接雇佣￥ 600,￥ 600,任务编号：290635,3153-3304.csv,,,"三折页, 设计"
【小程序开发】实时监控第三阶段开发,https://task.epwk.com/290647/,237人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,实时监控第三阶段开发,直接雇佣￥ 20000,￥ 20000,任务编号：290647,3153-3304.csv,,,"实时监控, 第三阶段开发"
【电商网站】仿电商网站,https://task.epwk.com/290648/,471人,1人,"¥3,500",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,仿电商网站,直接雇佣￥ 3500,￥ 3500,任务编号：290648,3153-3304.csv,,,"电商网站, 仿照设计"
【网站UI设计】设计一个培训机构网站,https://task.epwk.com/290651/,391人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,设计一个培训机构网站,直接雇佣￥ 1200,￥ 1200,任务编号：290651,3153-3304.csv,,,"培训机构网站, 网站设计"
【前端开发】网站改版,https://task.epwk.com/290655/,1573人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,网站改版,直接雇佣￥ 1000,￥ 1000,任务编号：290655,3153-3304.csv,,,网站改版
【数据录入】数据录入之4,https://task.epwk.com/290675/,102人,1人,¥100,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,数据录入之4,直接雇佣￥ 100,￥ 100,任务编号：290675,3153-3304.csv,,,"数据录入, 信息整理"
【代办/跑腿】代购商品,https://task.epwk.com/290678/,221人,1人,¥72,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,代购商品,直接雇佣￥ 72,￥ 72,任务编号：290678,3153-3304.csv,,,"代购, 商品"
【小程序开发】按照附件完成软件开发任务（十一）,https://task.epwk.com/290711/,205人,1人,¥625,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,按照附件完成软件开发任务（十一）,直接雇佣￥ 625,￥ 625,任务编号：290711,3153-3304.csv,,,"软件开发, 附件任务, 十一"
【代办/跑腿】网上代购,https://task.epwk.com/290714/,213人,1人,¥72,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,网上代购,直接雇佣￥ 72,￥ 72,任务编号：290714,3153-3304.csv,,,"网上代购, 代购商品"
【插画设计】绘图并上色细化进程5,https://task.epwk.com/290717/,515人,1人,¥500,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,绘图并上色细化进程5,直接雇佣￥ 500,￥ 500,任务编号：290717,3153-3304.csv,,,"绘图, 上色, 细化进程"
【品牌故事】实证分析股权结构与公司业绩的关系,https://task.epwk.com/290726/,552人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,实证分析股权结构与公司业绩的关系,直接雇佣￥ 3000,￥ 3000,任务编号：290726,3153-3304.csv,,,"实证分析, 股权结构, 公司业绩"
【其他工业设计】医疗设备规划和设计,https://task.epwk.com/290729/,1464人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,医疗设备规划和设计,直接雇佣￥ 20000,￥ 20000,任务编号：290729,3153-3304.csv,,,"医疗设备, 规划, 设计"
【其他工业设计】医疗设备产品结构设计,https://task.epwk.com/290730/,1732人,1人,"¥12,800",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,医疗设备产品结构设计,直接雇佣￥ 12800,￥ 12800,任务编号：290730,3153-3304.csv,,,"医疗设备, 产品结构设计"
【其他工业设计】设计以红木主料，以珠宝等配饰为辅料的个人饰品/手串,https://task.epwk.com/290733/,2053人,1人,¥500,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,设计以红木主料，以珠宝等配饰为辅料的个人饰品/手串,直接雇佣￥ 500,￥ 500,任务编号：290733,3153-3304.csv,,,"红木主料, 珠宝配饰, 个人饰品手串"
【小程序开发】程序开发,https://task.epwk.com/290740/,256人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,程序开发,直接雇佣￥ 10000,￥ 10000,任务编号：290740,3153-3304.csv,,,程序开发
【前端开发】网页模板设计,https://task.epwk.com/290806/,1472人,1人,¥300,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,网页模板设计,直接雇佣￥ 300,￥ 300,任务编号：290806,3153-3304.csv,,,"网页模板, 设计"
【数据录入】数据录入之5,https://task.epwk.com/290808/,125人,1人,¥100,圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,数据录入之5,直接雇佣￥ 100,￥ 100,任务编号：290808,3153-3304.csv,,,数据录入
【企业官网】购买P2P系统,https://task.epwk.com/290813/,266人,1人,"¥8,500",圆满完成,https://task.epwk.com/page3195.html?m=6&o=7,购买P2P系统,直接雇佣￥ 8500,￥ 8500,任务编号：290813,3153-3304.csv,,,P2P系统
【LOGO设计】简单店铺logo设计,https://task.epwk.com/290856/,153人,1人,¥275,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,简单店铺logo设计,直接雇佣￥ 275,￥ 275,任务编号：290856,3153-3304.csv,,,"店铺logo, 设计"
【背景墙设计】产品图片处理，价目表,https://task.epwk.com/290901/,583人,1人,¥50,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,产品图片处理，价目表,直接雇佣￥ 50,￥ 50,任务编号：290901,3153-3304.csv,,,"产品图片处理, 价目表"
【招牌设计】食品公司大楼形象设计,https://task.epwk.com/290913/,1103人,1人,"¥1,886",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,食品公司大楼形象设计,直接雇佣￥ 1886,￥ 1886,任务编号：290913,3153-3304.csv,,,"食品公司大楼, 形象设计"
【机械设备】桁架式铝型材自动焊机,https://task.epwk.com/290964/,1820人,1人,"¥9,500",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,桁架式铝型材自动焊机,直接雇佣￥ 9500,￥ 9500,任务编号：290964,3153-3304.csv,,,"桁架式铝型材, 自动焊机"
【数据录入】信息数据录入之305,https://task.epwk.com/290993/,145人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,信息数据录入之305,直接雇佣￥ 1000,￥ 1000,任务编号：290993,3153-3304.csv,,,"信息数据录入, 305"
【LOGO设计】公司LOGO设计,https://task.epwk.com/290994/,334人,1人,¥300,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,公司LOGO设计,直接雇佣￥ 300,￥ 300,任务编号：290994,3153-3304.csv,,,"公司LOGO, 设计"
【数据录入】数据录入之7,https://task.epwk.com/290997/,92人,1人,¥100,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,数据录入之7,直接雇佣￥ 100,￥ 100,任务编号：290997,3153-3304.csv,,,"数据录入, 7"
【数据录入】数据录入之8,https://task.epwk.com/291006/,124人,1人,¥50,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,数据录入之8,直接雇佣￥ 50,￥ 50,任务编号：291006,3153-3304.csv,,,"数据录入, 8"
【数据录入】信息数据录入之306,https://task.epwk.com/291018/,194人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,信息数据录入之306,直接雇佣￥ 1000,￥ 1000,任务编号：291018,3153-3304.csv,,,"信息数据录入, 306"
【企业官网】后台修改,https://task.epwk.com/291064/,435人,1人,¥600,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,后台修改,直接雇佣￥ 600,￥ 600,任务编号：291064,3153-3304.csv,,,"后台管理, 修改操作"
【小程序开发】淘宝流量软件全自动搜索开发,https://task.epwk.com/291075/,403人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,淘宝流量软件全自动搜索开发,直接雇佣￥ 3000,￥ 3000,任务编号：291075,3153-3304.csv,,,"淘宝流量, 软件开发, 自动搜索"
【数据录入】数据录入之9,https://task.epwk.com/291160/,169人,1人,¥50,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,数据录入之9,直接雇佣￥ 50,￥ 50,任务编号：291160,3153-3304.csv,,,"数据录入, 信息整理"
【卡通形象设计】小强形象设计,https://task.epwk.com/291172/,444人,1人,¥400,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,小强形象设计,直接雇佣￥ 400,￥ 400,任务编号：291172,3153-3304.csv,,,"小强形象, 设计"
【效果图设计】需求四室两厅现代简约风格家装设计图,https://task.epwk.com/291189/,318人,1人,"¥3,200",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,需求四室两厅现代简约风格家装设计图,直接雇佣￥ 3200,￥ 3200,任务编号：291189,3153-3304.csv,,,"四室两厅, 现代简约风格, 家装设计图"
【APP开发】漫画阅读客户端开发,https://task.epwk.com/291210/,249人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,漫画阅读客户端开发,直接雇佣￥ 1000,￥ 1000,任务编号：291210,3153-3304.csv,,,"漫画阅读, 客户端开发"
【数据录入】信息数据录入之307,https://task.epwk.com/291219/,167人,1人,¥100,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,信息数据录入之307,直接雇佣￥ 100,￥ 100,任务编号：291219,3153-3304.csv,,,"信息数据录入, 307"
【PPT设计】制作PPT,https://task.epwk.com/291247/,820人,1人,¥250,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,制作PPT,直接雇佣￥ 250,￥ 250,任务编号：291247,3153-3304.csv,,,PPT制作
【网站UI设计】美化我店铺的店招图片和轮播图片,https://task.epwk.com/291251/,755人,1人,¥300,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,美化我店铺的店招图片和轮播图片,直接雇佣￥ 300,￥ 300,任务编号：291251,3153-3304.csv,,,"店招图片, 轮播图片, 图片美化"
【产品推广】找人做论坛跟帖之五,https://task.epwk.com/291252/,170人,1人,¥50,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,找人做论坛跟帖之五,直接雇佣￥ 50,￥ 50,任务编号：291252,3153-3304.csv,,,"论坛跟帖, 任务五"
【网站UI设计】做一个仿站,https://task.epwk.com/291256/,241人,1人,¥800,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,做一个仿站,直接雇佣￥ 800,￥ 800,任务编号：291256,3153-3304.csv,,,"仿站, 网站设计"
【VI设计】创意设计,https://task.epwk.com/291265/,321人,1人,"¥2,500",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,创意设计,直接雇佣￥ 2500,￥ 2500,任务编号：291265,3153-3304.csv,,,创意设计
【教育培训】算法设计3,https://task.epwk.com/291315/,720人,1人,¥550,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,算法设计3,直接雇佣￥ 550,￥ 550,任务编号：291315,3153-3304.csv,,,算法设计
【表情设计】征求原创QQ动态表情 (河馬君),https://task.epwk.com/291328/,750人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,征求原创QQ动态表情 (河馬君),直接雇佣￥ 1200,￥ 1200,任务编号：291328,3153-3304.csv,,,"原创QQ动态表情, 河馬君"
【标签设计】湖北毕业车票,https://task.epwk.com/291335/,839人,1人,¥10,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,湖北毕业车票,直接雇佣￥ 10,￥ 10,任务编号：291335,3153-3304.csv,,,湖北毕业车票
【表情设计】征求原创 (肥兔) QQ动态表情,https://task.epwk.com/291365/,564人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,征求原创 (肥兔) QQ动态表情,直接雇佣￥ 1200,￥ 1200,任务编号：291365,3153-3304.csv,,,"原创, 肥兔, QQ动态表情"
【卡通形象设计】绘图并上色细化进程6,https://task.epwk.com/291404/,392人,1人,¥500,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,绘图并上色细化进程6,直接雇佣￥ 500,￥ 500,任务编号：291404,3153-3304.csv,,,"绘图, 上色, 细化进程"
【电商网站】仿照美乐乐家具网上商城模板（最新2014宽屏版）手机版+操作文档,https://task.epwk.com/291416/,304人,1人,¥900,圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,仿照美乐乐家具网上商城模板（最新2014宽屏版）手机版+操作文档,直接雇佣￥ 900,￥ 900,任务编号：291416,3153-3304.csv,,,"美乐乐家具网, 手机版, 操作文档"
【宣传策划】文案策划的最终稿验收标准以双方签写的附件《文案写作合同》为准,https://task.epwk.com/291422/,535人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,文案策划的最终稿验收标准以双方签写的附件《文案写作合同》为准,直接雇佣￥ 3000,￥ 3000,任务编号：291422,3153-3304.csv,,,"文案写作合同, 文案策划, 验收标准"
【企业官网】开发微信公众平台（一）,https://task.epwk.com/291437/,273人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,开发微信公众平台（一）,直接雇佣￥ 4000,￥ 4000,任务编号：291437,3153-3304.csv,,,"微信公众平台, 开发"
【海报设计】创意海报、展架设计,https://task.epwk.com/291458/,265人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3194.html?m=6&o=7,创意海报、展架设计,直接雇佣￥ 3000,￥ 3000,任务编号：291458,3153-3304.csv,,,"创意海报, 展架设计"
【LOGO设计】“唰唰”洗车LOGO设计,https://task.epwk.com/291478/,237人,1人,¥500,圆满完成,https://task.epwk.com/page3193.html?m=6&o=7,“唰唰”洗车LOGO设计,直接雇佣￥ 500,￥ 500,任务编号：291478,3153-3304.csv,,,"洗车, LOGO设计"
【企业官网】中小企业一站式服务平台开发,https://task.epwk.com/291508/,223人,1人,"¥2,500",圆满完成,https://task.epwk.com/page3193.html?m=6&o=7,中小企业一站式服务平台开发,直接雇佣￥ 2500,￥ 2500,任务编号：291508,3153-3304.csv,,,"中小企业服务平台, 一站式服务, 平台开发"
【其他工业设计】设计以红木主料，以珠宝等配饰为辅料的个人饰品/手串,https://task.epwk.com/291516/,1855人,1人,¥500,圆满完成,https://task.epwk.com/page3193.html?m=6&o=7,设计以红木主料，以珠宝等配饰为辅料的个人饰品/手串,直接雇佣￥ 500,￥ 500,任务编号：291516,3153-3304.csv,,,"红木主料, 珠宝配饰, 个人饰品手串"
【数据录入】信息数据录入之308,https://task.epwk.com/291565/,205人,1人,¥100,圆满完成,https://task.epwk.com/page3193.html?m=6&o=7,信息数据录入之308,直接雇佣￥ 100,￥ 100,任务编号：291565,3153-3304.csv,,,"信息数据录入, 308"
【表情设计】征求原创( 小黃鸭小扁) QQ动态表情,https://task.epwk.com/291572/,487人,1人,"¥1,200",圆满完成,https://task.epwk.com/page3193.html?m=6&o=7,征求原创( 小黃鸭小扁) QQ动态表情,直接雇佣￥ 1200,￥ 1200,任务编号：291572,3153-3304.csv,,,"原创表情, QQ动态表情, 小黄鸭小扁"
