标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【宣传策划】产品养生文案,https://task.epwk.com/667178/,2265人,1人,1000元以内,圆满完成,o5b92296e2d6be,洗髓功养生,2018-10-07,2018.11.26,任务编号：667178,500.0,3天,江苏省-南通市-崇川区,猫诣广告传媒有限公司,https://shop.epwk.com/2j5xoo2mx5xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【宣传策划】养生旅游文案编写,https://task.epwk.com/665439/,2535人,23人,1000元以内,圆满完成,o5b92296e2d6be,旅游地方少林寺  体验养生 课程   领略佛教文化  旅游少林寺,2018-09-29,2018.10.13,任务编号：665439,500.0,"3天,5天,6天,3天,2天,7天,5天,3天,10天,6天,3天,3天","江苏省-南通市-崇川区,山东省-青岛市,陕西省-西安市-长安区,北京市-北京市,河北省-唐山市,河南省-洛阳市-涧西区,北京市-北京市-东城区,辽宁省-沈阳市-皇姑区,北京市-北京市,河南省-南阳市-社旗县,湖南省-长沙市-天心区,山东省-济南市",猫诣广告传媒有限公司,https://shop.epwk.com/2j5xoo2mx5xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【产品卖点】公众号文案撰写,https://task.epwk.com/663666/,2199人,6人,1000元以内,圆满完成,o5b92296e2d6be,视频课件推广,2018-09-25,2018.09.29,任务编号：663666,500.0,"3天,5天,3天,10天,2天,2天","江苏省-南通市-崇川区,山东省-青岛市,内蒙古-呼和浩特市,广东省-广州市-天河区,广东省-广州市-天河区,浙江省-杭州市",猫诣广告传媒有限公司,https://shop.epwk.com/2j5xoo2mx5xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【专业代笔】工程测量专业报告撰写,https://task.epwk.com/663207/,1962人,7人,1000元以内,圆满完成,o5ba6e88929cdb,需要写一篇专业报告，关于工程测量方面的。,2018-09-23,2018.10.07,任务编号：663207,800.0,"2天,5天,7天,3天,5天,1天,7天","山东省-泰安市-泰山区,山东省-青岛市,湖南省-长沙市,湖南省-长沙市,山西省-太原市,河北省-石家庄市,广东省-广州市-白云区",泰安尚水文化传媒有限公司,https://shop.epwk.com/j7n3833e35e1/,泰安尚水文化传媒有限公司,出售服务,https://shop.epwk.com/j7n3833e35e1/chushou/,企业,四品,30分,,,泰安尚水文化传媒有限公司,,书籍著述,100,电子政务,180,网店策划,100,自媒体发布,"￥100
            /次",法律诉讼文书写作,1500,jpeg\png等格式转换为word,200,应用文案,100,工作陈述,150,文学作品创作,150,专业代笔
【编辑校对】对书进行内容审核,https://task.epwk.com/662575/,4426人,29人,1000元以内,圆满完成,yantingji,对书进行内容审核，根据审核结果，给予报酬。,2018-09-21,2018.10.10,任务编号：662575,600.0,"15天,5天,5天,10天,7天,7天,7天,15天,2天,3天,5天,7天","北京市-北京市,陕西省-汉中市,广东省-佛山市,黑龙江-哈尔滨市-市辖区,黑龙江-哈尔滨市-呼兰区,四川省-宜宾市-翠屏区,广东省-广州市-白云区,湖南省-娄底市,福建省-龙岩市-武平县,广东省-湛江市-霞山区,辽宁省-沈阳市-市辖区,湖北省-随州市-广水市",云起轩工作室,https://shop.epwk.com/omdwk2yemdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,编辑校对
【宣传策划】赞扬电信装维一线人员的文章撰写,https://task.epwk.com/661439/,2940人,8人,1000元以内,圆满完成,o5ba07c96510a2,台风“山竹”过后，很多电信线路受到不同程度的破坏，电信装维人员在加班加点抢修，请写一篇赞扬电信装维一线人员的文章，约300-500字。,2018-09-18,2018.09.19,任务编号：661439,100.0,"2天,5天,2天,5天,3天,10天,3天,4天","江苏省-南京市-栖霞区,山东省-青岛市,浙江省-杭州市,内蒙古自治区-包头市-东河区,河北省-保定市-新市区,广东省-广州市-天河区,湖南省-长沙市,湖南省-娄底市-娄星区",灯盏细辛,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【产品卖点】品牌简介与产品描述,https://task.epwk.com/658796/,1733人,7人,1000-3000元,圆满完成,o5b9720b0a8ddd,品牌简介与产品描述，关于箱包公司，里面的一个牌子，写关于手袋和钱包的介绍。,2018-09-11,2018.11.08,任务编号：658796,1500.0,"3天,7天,4天,7天,1天,2天,7天","山东省-青岛市,安徽省-合肥市-肥西县,湖南省-娄底市-娄星区,贵州省-贵阳市-市辖区,山东省-泰安市-泰山区,北京市-北京市,广东省-广州市-天河区",利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",产品卖点
【产品卖点】公众号产品推广文案,https://task.epwk.com/657743/,2188人,8人,1000元以内,圆满完成,o5b92296e2d6be,文案图片清晰  高大尚 让人焕然一新,2018-09-07,2018.09.11,任务编号：657743,500.0,"1天,5天,2天,2天,7天,3天,7天,2天","山东省-泰安市,山东省-青岛市,北京市-北京市-朝阳区,四川省-成都市,云南省-昆明市-官渡区,浙江省-宁波市,广东省-广州市-天河区,山东省-济南市",泰安尚水文化传媒有限公司,https://shop.epwk.com/j7n3833e35e1/,泰安尚水文化传媒有限公司,出售服务,https://shop.epwk.com/j7n3833e35e1/chushou/,企业,四品,30分,,,泰安尚水文化传媒有限公司,,书籍著述,100,电子政务,180,网店策划,100,自媒体发布,"￥100
            /次",法律诉讼文书写作,1500,jpeg\png等格式转换为word,200,应用文案,100,工作陈述,150,文学作品创作,150,产品卖点
【宣传策划】区块链推广软文撰写,https://task.epwk.com/650377/,2376人,3人,1000元以内,圆满完成,o5b2b7eec32d89,区块链软文推广 提供素材具体内容详谈,2018-08-18,2018.08.28,任务编号：650377,600.0,"2天,5天,2天","广东省-深圳市-龙岗区,山东省-青岛市,青海省-西宁市",智慧诚心,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【其他内容创作】撰写一份创新创业超市代运营方案,https://task.epwk.com/640314/,3249人,5人,1000-3000元,圆满完成,o5b44****9d611,做一份人才创新创业超市代运营方案，有运营经验以及接触过创新创业园这方面的，对相关政策了解的服务商，具体再议,2018-07-23,2018.08.23,任务编号：640314,1000.0,"5天,10天,5天,3天,5天","山东省-德州市,上海市-市辖区-黄浦区,河南省-安阳市,上海市-市辖区,山东省-济南市",金芭蕉文案服务工作室,https://shop.epwk.com/78n96wzkxnkv/,金芭蕉文案服务工作室,出售服务,https://shop.epwk.com/78n96wzkxnkv/chushou/,工作室,五品,37分,,,金芭蕉文案服务工作室,,代笔影视文案宣传片解说词微电影剧本影视策划,价格面议,专业定制各类文书写作,价格面议,商业计划书融资合作招商运营方案可行性报告代写,价格面议,品牌文案,价格面议,微信文章写作公众号服务号微博配图文推广文案,价格面议,,,,,,,,,其他内容创作
【产品卖点】文案策划食品,https://task.epwk.com/638714/,1086人,1人,1000元以内,圆满完成,k3670****55,周先生 手机号不是微信可以发给雇主让雇主加。我是山东淄博，+做胶东特色产品大饽饽蛋糕，一直想找个好的文案  已经谈好了 不要联系。,2018-07-19,2018.07.31,任务编号：638714,300.0,5天,山东省-德州市,金芭蕉文案服务工作室,https://shop.epwk.com/78n96wzkxnkv/,金芭蕉文案服务工作室,出售服务,https://shop.epwk.com/78n96wzkxnkv/chushou/,工作室,五品,37分,,,金芭蕉文案服务工作室,,代笔影视文案宣传片解说词微电影剧本影视策划,价格面议,专业定制各类文书写作,价格面议,商业计划书融资合作招商运营方案可行性报告代写,价格面议,品牌文案,价格面议,微信文章写作公众号服务号微博配图文推广文案,价格面议,,,,,,,,,产品卖点
【宣传策划】招商广告文案策划,https://task.epwk.com/638141/,1318人,1人,1000元以内,圆满完成,k1076****22,招商广告文案策划：主要是。一个商业广场招商广告。一个有网吧，超市，服装店。健身房，多功能一体的综合广场。面对外招商的广告。用于微信朋友圈发广的。着急，这一两天就要,2018-07-17,2018.07.23,任务编号：638141,100.0,3天,广东省-广州市,广州观远文化,https://shop.epwk.com/4rn8qq0wwngm/,广州观远文化,出售服务,https://shop.epwk.com/4rn8qq0wwngm/chushou/,工作室,五品,41分,,,广州观远文化,,「观远文化」影视制作-剧本创作/影片剪辑/后期制作,价格面议,「观远文化」摄影摄像-企业宣传片/广告片/活动跟拍/微电影/MV/短视频,价格面议,「观远文化」活动策划-方案定制/演艺资源/灯光舞美/婚庆宴会,价格面议,「观远文化」文案写作-创意文案/自媒体软文/文学创作/PPT,价格面议,「观远文化」品牌策划-品牌命名/品牌口号/品牌文化/品牌简介/品牌故事/全案策划,价格面议,「观远文化」手绘设计-插画设计/漫画设计/卡通形象设计,价格面议,「观远文化」名片设计-企业名片/个人名片,价格面议,「观远文化」电商设计-首页设计/详情页设计/主图设计/图片处理,价格面议,「观远文化」宣传品设计-画册/海报/宣传单/折页/易拉宝设计,价格面议,宣传策划
【宣传策划】红酒酒庄招商宣传片软文,https://task.epwk.com/637908/,2481人,1人,1000元以内,圆满完成,o5b2c67b52960e,"软文主要围绕“酒庄招商”来写，要以消费者，分销商需求来讲述通过使用该产品的效果，不要过于啰嗦.要有针对性。时长5~10分钟.考虑到很多威客对我们公司不熟悉，详细了解大家可以和我直接联系微信                    软文要求：                                            1、软文将用于发布于招商会上，标题和内容绝对不能有广告味，要能引起点击和共鸣，能吸引消费者和分销商的关注。                            2、文章要有吸引力，有趣味性， 要站在用户的角度来描写，帖子内容与标题给人感觉以个人感受、经验分享或消费经历为表现形式,以宣传推广我司业务。                                        3、要求原创(不能在网上搜了抄袭)，文笔或专业，或幽默，或结合时事，具备新闻性皆可。不要做的太像推广。                                        4、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2018-07-16,2018.07.25,任务编号：637908,700.0,3天,山东省-济南市,智通策划文案,https://shop.epwk.com/09drjjzkl53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【营销推广软文】创新医用护理产品推广软文撰写,https://task.epwk.com/636919/,2444人,23人,1000元以内,圆满完成,o5b48b2b6d68e4,国内首创，技术国内领先，拥有发明专利的创新医用护理产品，拟撰写市场营销推文。,2018-07-14,2018.07.26,任务编号：636919,400.0,"1天,5天,5天,3天,7天,4天,10天,2天,5天,2天,1天,3天","山东省-泰安市-泰山区,山东省-青岛市,浙江省-台州市-椒江区,新疆维吾尔自治区-乌鲁木齐市-沙依巴克区,上海市-市辖区-黄浦区,上海市-市辖区,陕西省-西安市,广东省-佛山市-高明区,广东省-广州市,湖南省-长沙市-芙蓉区,河北省-石家庄市,北京市-北京市",泰安尚水文化传媒有限公司,https://shop.epwk.com/j7n3833e35e1/,泰安尚水文化传媒有限公司,出售服务,https://shop.epwk.com/j7n3833e35e1/chushou/,企业,四品,30分,,,泰安尚水文化传媒有限公司,,书籍著述,100,电子政务,180,网店策划,100,自媒体发布,"￥100
            /次",法律诉讼文书写作,1500,jpeg\png等格式转换为word,200,应用文案,100,工作陈述,150,文学作品创作,150,营销推广软文
【商业提案】区块链白皮书撰写,https://task.epwk.com/632417/,2404人,9人,1000-3000元,圆满完成,无常游,代写完善一份区块链白皮书有经验的来,2018-07-02,2018.07.07,任务编号：632417,2000.0,"9天,10天,7天,3天,1天,1天,5天,3天","河南省-濮阳市,山东省-青岛市,山西省-太原市,上海市-市辖区,山东省-泰安市-泰山区,山东省-泰安市-泰山区,广东省-深圳市-福田区,山东省-青岛市-城阳区",云起轩工作室,https://shop.epwk.com/omdwk2yemdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【产品卖点】产品推介会演讲稿撰写,https://task.epwk.com/627473/,2321人,10人,1000-3000元,圆满完成,baidushengzhe,根据附件文档的大纲及参考的内容进行演讲稿撰写，要求五十分钟左右，语速正常，涉及相关数据需要柱状图标示。请能做的报价，并准备好相关的案例！,2018-06-19,2018.08.14,任务编号：627473,1000.0,"7天,10天,3天,4天,3天,10天,2天,1天,1天,7天","山东省-济南市,山东省-青岛市,广东省-广州市-海珠区,山西省-长治市-城　区,福建省-厦门市,广东省-广州市,广东省-广州市,河北省-石家庄市,山东省-泰安市-泰山区,河南省-信阳市-市辖区",智通策划文案,https://shop.epwk.com/09drjjzkl53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【文学创作】动漫人物故事征稿,https://task.epwk.com/627453/,3132人,8人,1000元以内,圆满完成,冷漠如雪,"《天使彦日记》动漫人物故事征稿 文学,游戏动漫,心理,情感 

    
    快速发任务专业顾问来帮忙，需求解决更轻松
    
    免费预约

    
    



    我希望出现在上方的黄金推荐位置！
            开通V客优享商铺
        

  

    
    快速发任务专业顾问来帮忙，需求解决更轻松
    
    免费预约

    
    



    我希望出现在上方的黄金推荐位置！
            开通V客优享商铺
        

  【故事背景】 彦，动画《68747470733a2f2f6261696b652e62616964752e636f6d2f6974656d2f2545382542362538352545372541352539452545352541442541362545392539392541322f31323039333430395c2671756f743b2667743b266c743b7370616e style=""border-bottom-color:rgb(19,110,194);border-bottom-style:none;border-bottom-width:0px;border-left-color:rgb(19,110,194);border-left-style:none;border-left-width:0px;border-right-color:rgb(19,110,194);border-right-style:none;border-right-width:0px;border-top-color:rgb(19,110,194);border-top-style:none;border-top-width:0px;color:rgb(19,110,194);font-family:'微软雅黑'font-size:19px;font-style:normal;font-variant:normal;font-weight:300;letter-spacing:0px;line-height:19px;margin-bottom:0px;margin-left:0px;margin-right:0px;margin-top:0px;padding-bottom:0px;padding-left:0px;padding-right:0px;padding-top:0px;vertical-align:baseline;"">超神学院》系列与漫画《68747470733a2f2f6261696b652e62616964752e636f6d2f6974656d2f2545392539332542362545372542462542432545362538382539382545352538382538335c2671756f743b2667743b266c743b7370616e style=""border-bottom-color:rgb(19,110,194);border-bottom-style:none;border-bottom-width:0px;border-left-color:rgb(19,110,194);border-left-style:none;border-left-width:0px;border-right-color:rgb(19,110,194);border-right-style:none;border-right-width:0px;border-top-color:rgb(19,110,194);border-top-style:none;border-top-width:0px;color:rgb(19,110,194);font-family:'微软雅黑'font-size:19px;font-style:normal;font-variant:normal;font-weight:300;letter-spacing:0px;line-height:19px;margin-bottom:0px;margin-left:0px;margin-right:0px;margin-top:0px;padding-bottom:0px;padding-left:0px;padding-right:0px;padding-top:0px;vertical-align:baseline;"">银翼战刃》中的角色，生于7000年前，  来自于天使星云，司职神圣护卫·左翼。是审判天使68747470733a2f2f6261696b652e62616964752e636f6d2f6974656d2f2545352538372541462545382538452538452f32323035343136315c2671756f743b2667743b266c743b7370616e style=""border-bottom-color:rgb(19,110,194);border-bottom-style:none;border-bottom-width:0px;border-left-color:rgb(19,110,194);border-left-style:none;border-left-width:0px;border-right-color:rgb(19,110,194);border-right-style:none;border-right-width:0px;border-top-color:rgb(19,110,194);border-top-style:none;border-top-width:0px;color:rgb(19,110,194);font-family:'微软雅黑'font-size:19px;font-style:normal;font-variant:normal;font-weight:300;letter-spacing:0px;line-height:19px;margin-bottom:0px;margin-left:0px;margin-right:0px;margin-top:0px;padding-bottom:0px;padding-left:0px;padding-right:0px;padding-top:0px;vertical-align:baseline;"">凯莎的两大护卫之一。参加过三次天使与恶魔的战争。战胜两次，毙敌1000余名。战败一次，全身重伤，阵亡了308名战友。高超的威望和赫赫功绩被天使之王凯莎定义为王位的直接继承人。在《雄兵连雄芯篇》中已经继承天使之王的王位，成为诸神之王。《乾坤篇》中，隐匿在王储艾妮·熙德身边，成为神圣艾兰王国第二位女骑士。 【投稿类型】在了解动画女主形象，背景的前提下，以日记成长的形式进一步刻画人物特点形象，把女主之前三次战争经历的内心成长变化描绘出来。内容取其一次战争或三次都可，根据动画剧情创作前传或后续皆可。 【注意事项】1.请观看相关动漫作品，对背景故事有一定的了解。故事情节要起伏跌宕，要满足粉丝进入女神内心世界的期待感。2.文章要求行文流畅、排版清晰，便于审稿。投稿前请认真检查文字错误。3.字数控制在3000字左右.4.内容原创首发微信联系，不便电话",2018-06-19,2018.07.04,任务编号：627453,500.0,"2天,5天,3天,7天,5天,3天,7天,5天","山东省-泰安市,浙江省-台州市,重庆市-重庆市-荣昌县,海外-美国,山西省-长治市-城　区,福建省-厦门市,黑龙江-哈尔滨市-香坊区,北京市-北京市",泰安尚水文化传媒有限公司,https://shop.epwk.com/j7n3833e35e1/,泰安尚水文化传媒有限公司,出售服务,https://shop.epwk.com/j7n3833e35e1/chushou/,企业,四品,30分,,,泰安尚水文化传媒有限公司,,书籍著述,100,电子政务,180,网店策划,100,自媒体发布,"￥100
            /次",法律诉讼文书写作,1500,jpeg\png等格式转换为word,200,应用文案,100,工作陈述,150,文学作品创作,150,文学创作
【商业提案】根据现有资源进行统筹规划,https://task.epwk.com/625686/,1841人,12人,1000元以内,圆满完成,long1982,现有资源：手里有全国各大企业、各大行业的资料（地址、电话、邮箱），估计有几千万要求：如果利用现有资源写一份策划方案，在不违反国家法律的情况下，如何利用这些资源变现？,2018-06-13,2018.06.18,任务编号：625686,700.0,"2天,10天,7天,7天,5天,6天,1天,7天,8天,3天,3天","山东省-泰安市-泰山区,山东省-青岛市,上海市-市辖区-长宁区,北京市-北京市,福建省-厦门市,辽宁省-沈阳市,河北省-石家庄市,山东省-济南市,山西省-太原市,福建省-厦门市,云南省-文山壮族苗族自治州-文山市",泰安尚水文化传媒有限公司,https://shop.epwk.com/j7n3833e35e1/,泰安尚水文化传媒有限公司,出售服务,https://shop.epwk.com/j7n3833e35e1/chushou/,企业,四品,30分,,,泰安尚水文化传媒有限公司,,书籍著述,100,电子政务,180,网店策划,100,自媒体发布,"￥100
            /次",法律诉讼文书写作,1500,jpeg\png等格式转换为word,200,应用文案,100,工作陈述,150,文学作品创作,150,商业提案
【软文发布】奢侈品高仿包包宣传软文撰写,https://task.epwk.com/621562/,3093人,17人,1000元以内,圆满完成,o5b124ee9577d7,"软文主要围绕“奢侈品高仿包包”来写，要以消费者(可以是公司、网吧、酒店、工厂、超市，学校任意)需求来讲述通过使用该产品的效果，不能太过于做作.要有针对性。考虑到很多威客对我们公司不熟悉，详细了解大家可以和我直接联系，我的QQ是                    软文要求：                                            1、软文将用于发布在各种行业论坛及博客，标题和内容绝对不能有广告味，要能引起点击和共鸣，能吸引网友参与讨论或点击浏览                                        2、文章要有吸引力，有趣味性， 要站在用户的角度来描写，帖子内容与标题给人感觉以个人感受、经验分享或消费经历为表现形式,以宣传推广我司业务。                                        3、要求原创(不能在网上搜了抄袭)，文笔或专业，或幽默，或结合时事，具备新闻性皆可。不要做的太像推广。                                        4、附上创意说明。5、带微信联系方式要求能发布于天涯，豆瓣，知乎，猫扑登知名论坛                            知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2018-06-02,2018.06.08,任务编号：621562,250.0,"4天,3天,2天,3天,4天,2天,5天,2天,1天,1天,10天","湖北省-孝感市,山东省-青岛市,广东省-珠海市-金湾区,北京市-北京市,福建省-泉州市-永春县,广东省-广州市,上海市-市辖区,四川省-成都市,贵州省-安顺市-西秀区,四川省-成都市-青羊区,四川省-资阳市-安岳县",传奇网络软件开发,https://shop.epwk.com/m7d7wgg2p5q8/,传奇网络软件开发,出售服务,https://shop.epwk.com/m7d7wgg2p5q8/chushou/,工作室,六品,73分,,,传奇网络软件开发,,【品牌故事】产品文案策划电商业计划书PPT软文写作,"￥300
            /套",移动手机app开发 电脑PC+手机wap移动网站+手机app开发,"￥48000
            /套",图片处理PS图片处理PS修图接单图片处理,"￥100
            /套",【网站建设】营销网站建设/企业网站建设/商务网站建设/网站建设的周期/孝感网站建设服务,"￥3000
            /起",手机APP封装网站转app封装App打包,"￥300
            /起",网站建设 PSD效果图转html网页 网站前端代码编写 网页前端页面设计,"￥1000
            /起",公司简介产品广告语撰写微信招商文案公众号品牌全案,"￥498
            /套",微信文案微博文案电商爆款商品文章创作商业计划书PPT宣传文案撰写,"￥300
            /起",app打包 手机网站打包app 网站转app,"￥300
            /起",软文发布
【产品卖点】睡眠辅助产品文案写作,https://task.epwk.com/621243/,4594人,28人,1000元以内,圆满完成,信天游009,产品：睡多邦，深睡眠喷雾，化妆品产品；产品文案，针对这个化妆品写一个文案，效果改善睡眠的，文案要精练，要体现痛点、痒点、卖点、特点。每个点都有一个鲜明的标题、内容表诉，然后，需要再写一个睡眠与健康，睡眠与肥胖，睡眠与脱发，睡眠与美容的总结。,2018-06-01,2018.06.27,任务编号：621243,298.0,"2天,30天,1天,4天,7天,1天,2天,5天,6天,2天,2天","山东省-济南市,福建省-莆田市-仙游县,河北省-秦皇岛市,广东省-广州市-番禺区,湖南省-长沙市,福建省-厦门市,内蒙古-呼和浩特市,上海市-上海市-闵行区,河南省-南阳市,北京市-北京市,广东省-广州市",智通策划文案,https://shop.epwk.com/09drjjzkl53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【商业提案】撰写一份艺术类师资培训的商业计划书,https://task.epwk.com/619735/,1697人,8人,1000元以内,圆满完成,mf135****9903,我们是一家做艺术师资培训的公司，就是在外招生进行培训然后安排就业。现在想融资，需要一份融资计划书,2018-05-29,2018.05.31,任务编号：619735,500.0,"2天,2天,3天,10天,1天,5天,7天,7天","山东省-泰安市,广东省-广州市,山东省-济南市,广东省-广州市,上海市-市辖区,福建省-厦门市,江西省-赣州市-章贡区,陕西省-商洛市-商州区",泰安尚水文化传媒有限公司,https://shop.epwk.com/j7n3833e35e1/,泰安尚水文化传媒有限公司,出售服务,https://shop.epwk.com/j7n3833e35e1/chushou/,企业,四品,30分,,,泰安尚水文化传媒有限公司,,书籍著述,100,电子政务,180,网店策划,100,自媒体发布,"￥100
            /次",法律诉讼文书写作,1500,jpeg\png等格式转换为word,200,应用文案,100,工作陈述,150,文学作品创作,150,商业提案
【百科/问答撰写】心理学科普类的文字稿改写成演讲逐字稿,https://task.epwk.com/617012/,2820人,12人,1000元以内,圆满完成,o5b03f496e8da9,50元1000字，改写文字稿成演讲逐字稿（口语化），优先选择有心理学，医学知识。,2018-05-22,2018.06.30,任务编号：617012,168.0,"2天,3天,2天,3天,7天,7天,3天,1天,2天,1天,1天,5天","山东省-济南市,四川省-成都市-金牛区,北京市-北京市,山东省-泰安市-泰山区,浙江省-杭州市-西湖区,黑龙江-齐齐哈尔市,山西省-太原市,湖南省-长沙市-岳麓区,山东省-泰安市,江苏省-南通市-启东市,福建省-厦门市,河南省-濮阳市-华龙区",智通策划文案,https://shop.epwk.com/09drjjzkl53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【商业提案】健康饮品商业计划书,https://task.epwk.com/614044/,2088人,22人,3000-5000元,圆满完成,chdzh,本产品是采用鲜果蔬发酵（只有无农残的果蔬才可发酵，如同牛奶一样。一等牛奶做酸奶，二等牛奶做纯奶，三等牛奶做奶粉），不但保留了果蔬的独特风味，并且经过发酵后更有利用身体吸收、促进肠道健康等效果。目前为胡萝卜汁和芒果汁两个口味。市场中的竞品大都为果汁+发酵液+色素+香精+添加剂（调酸、调稠），调配而成的所谓的“发酵果汁”，而本品配料仅为纯净水、白糖、发酵果蔬汁。相比更健康，但由于未经过调香、调色，因此呈现的是果蔬的本色和本香，可能不够浓郁和鲜艳，但绝对原始。,2018-05-15,2018.05.31,任务编号：614044,3000.0,"9天,7天,5天,2天,3天,3天,5天,15天,3天,30天,5天,5天","河南省-濮阳市-华龙区,山西省-太原市,新疆-乌鲁木齐市,湖南省-长沙市-芙蓉区,陕西省-商洛市-商州区,山东省-泰安市-岱岳区,广东省-广州市-海珠区,黑龙江-齐齐哈尔市,广东省-深圳市,重庆市-市辖区-万州区,山东省-德州市,江苏省-苏州市",云起轩工作室,https://shop.epwk.com/omdwk2yemdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【宣传策划】教育平台文案 - 亲子育儿国际教育,https://task.epwk.com/613562/,2142人,21人,1000-3000元,圆满完成,cambridge,找软文写作人员，每天按亲子，育儿，儿童心理，香港教育，香港学校，国际高考，出国留学等撰写原创及伪原创软文,2018-05-14,2018.06.01,任务编号：613562,1250.0,"15天,2天,1天,2天,3天,1天,3天,5天,5天,1天,1天,2天","山东省-济南市,广东省-深圳市,湖南省-长沙市-天心区,北京市-北京市-通州区,广东省-河源市,山东省-泰安市-泰山区,河南省-郑州市-金水区,江苏省-苏州市,安徽省-合肥市-市辖区,河北省-石家庄市,浙江省-杭州市,山西省-太原市",智通策划文案,https://shop.epwk.com/09drjjzkl53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【项目策划】肉菜市场承包方案撰写,https://task.epwk.com/612011/,3013人,8人,1000元以内,圆满完成,o5af3b010ea872,现需作为承包商，承包肉菜市场经营权。需寻找写手5月18日前写出承包方案。我方能提供市场相关数据。,2018-05-10,2018.05.18,任务编号：612011,800.0,"5天,5天,3天,2天,3天,3天,3天,5天","山东省-滨州市-滨城区,江苏省-苏州市,北京市-北京市-海淀区,江苏省-南京市-雨花台区,山东省-德州市,广东省-中山市-中山市,上海市-市辖区-虹口区,江苏省-无锡市-宜兴市",一悦企划,https://shop.epwk.com/omdwk2x0xdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,项目策划
