标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,设计师,能力标签
【游戏代练】网页游戏试玩，每稿十元,https://task.epwk.com/429572/,2683人,1人,¥500,mf187****9071,500.0,,2016-06-23,1，先收藏任务，方便交稿。2，加我的QQ群 306912619 这个群专门为后续的奖励而开。3，注册账号   http://www.ttz.com/fd/81078877  复制到浏览器打开。4，在这个网站赚够30万黄钻，在这里交稿领取奖励10元。5，之后在这个网站每赚够50万黄钻，就可以在QQ群里找我领取奖励10元。这个长期有效。赚的越多领的越多。6，交稿格式如下图。,任务编号：429572,,,,,,,,,,,B任务编号：429572,游戏代练
【游戏其他】新手问卷小任务，简单易做30元一稿,https://task.epwk.com/428438/,8279人,5人,¥510,tywx124,510.0,,2016-06-18,注册地址：http://www.ttz.com/fd/32253480_334  （完整注册送3元）教程： http://www.jz45.cn/jc/ttz.html在试玩平台玩游戏/理财/等（打码不算）账户黄钻达到30万就算完成，截图交稿。无截图一律不通过。截图示例看附件,任务编号：428438,,,,,,,,,,,B任务编号：428438,游戏其他
【游戏其他】微信手机注册 轻松完成一稿5元,https://task.epwk.com/426629/,1621人,4人,¥500,纳兹的火焰,500.0,,2016-06-09,1、微信~搜索~公众号: LIxiang187511 第一个显示（每日多赚点）的公众号开始任务，注意加错没有奖励哦或者打开下方任务附件用微信扫描二维码添加公众号开始做任务 2、关注后，在对话框输入数字 5 获得5元任务教程按照教程内的方法完成后交稿到这里就可以获得5元佣金完成5任务后 在回复 数字 35 获得35元任务教程，按照教程内的方法完成后交稿到这里就可以再获得5元佣金再回复数字 36 获得36元任务教程，按照教程内的方法完成后交稿到这里就可以再获得5元佣金交稿任务一，领取5元佣金 ：点击交稿，提交你的ID截图即可任务二，领取5元佣金 ：点击交稿，提交你的头像截图即可任务三，领取5元佣金 ：点击交稿，提交你的头像截图即可手机赚钱任务，  任务多多，奖励多多。我们期待您的关注。必须要完成3个任务其中一个才算合格 ps：雇主不要求 银行卡实名认证 ~可不做,任务编号：426629,,,,,,,,,,,B任务编号：426629,游戏其他
【游戏其他】天天钻网站注册任务  10元一稿,https://task.epwk.com/426639/,6845人,2人,¥500,三只鹅,500.0,,2016-06-09,大家注意做任务的网站中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），首次赏金30加上网站30，都是你的哦。请收藏该网站长期做每天80-300不等任务步骤和要求：                                     1.  注册地址 http://www.juxiangyou.com/floor/games/7914874   （复制浏览器打开此链接，注意验证码是语音哦）  （若注册不上用备用注册链接：http://www.juxiangyou.com/floor/games/7914874  ）                                                                  2.  新手教程： http://pro00029372.isitestar.cn    （复制打开）                                 3.  注册就送10000U币，试玩游戏，理财赚钱账户达到30万U币就算完成任务（注意：手机赚钱的不算）    然后截图（看下方示范，余额显示为30万U币以上)注明：首次只规定30万事为了让大家快速完成任务，另外不光是首次60元，后面只要你长期做，我还会给梯度奖励无上限，教程里面有。请务必收藏下来做。,任务编号：426639,,,,,,,,,,,B任务编号：426639,游戏其他
【游戏其他】天天钻游戏试玩在线审核，50元1稿,https://task.epwk.com/425752/,1108人,0人,¥500,xiaohuai123,500.0,,2016-06-04,"1.  注册地址   http://www.ttz.com/fd/13272181  （不是此链接注册无效）2.  完整注册并完成新人任务奖励3W黄钻，只能是通过试玩游戏，体验广告账户达到50W黄钻 才算完成任务。然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为 500000黄钻以上）,任务赏金的50元加上网站得到的50W黄钻（1W黄钻等于1元）一共是100元，轻松又好赚可以长期玩的！写在最后：  有不懂的可以加QQ群  992525  一起交流，教你怎么快速完成任务.   此网站可以长期做，安全，稳定，有效  ，各种奖励拿到手软，现在网站在搞活动 还有各种红包奖励可以拿！熟练后每日收入可以50-200元不等。最后重新申明一下：任务提交只限发布任务之后通过我的链接注册的才有效，以前在别的地方注册过的跑到这来骗稿的就不要来了，我会一一查看注册时间的。否则一律举报！！",任务编号：425752,,,,,,,,,,,B任务编号：425752,游戏其他
【游戏其他】天天钻游戏试玩任务30元一稿,https://task.epwk.com/425598/,822人,0人,¥510,mf181****4386,510.0,,2016-06-03,建议注册并收藏，放桌面慢慢做，长期做100-300元/天注册地址：https://www.ttz.com/Other/FdRedPacket/ParentId/38389188（完整注册送3元）若注册不上，用备用链接注册也可以：http://www.ttz.com/fd/38389188教程： http://www.jz45.cn/jc/ttz.html在试玩平台玩游戏/理财/等（打码不算）账户黄钻达到30万就算完成，截图交稿,任务编号：425598,,,,,,,,,,,B任务编号：425598,游戏其他
【游戏其他】51晚游，玩游戏赚钱，一稿25元,https://task.epwk.com/425097/,779人,0人,¥500,晚游平台,500.0,,2016-06-01,注册地址：http://www.51wanyou.cn687474703a2f2f7777772e353177616e796f752e636e注册后，进入平台“我是大主宰”游戏，两周内将游戏升级到180级注：游戏不限区域，但一个注册号只能交稿一次选稿方法：玩家将注册账号，和游戏等级截图给我们（如下图所示）关注微信公众号，有意想不到的惊喜哦,任务编号：425097,,,,,,,,,,,B任务编号：425097,游戏其他
【游戏其他】送钱小任务，快速注册，步骤简单,https://task.epwk.com/424415/,3401人,3人,¥510,mf53c75c33df3a0,510.0,￥6,2016-05-29,新手小任务，很简单，按照步骤做几分钟完成，一品金牌雇主，支付赏金过万元。1.  注册地址  http://activity.juxiangyou.com/redpacket/index.php?r=4272409    必须由以上链接注册，输入手机号，接受语音验证码，拆开红包，注册成功。2.  点击拆红包页面的左上方“新人任务”进入新手专区，完成新人任务快速赚取2元的四个步骤。    此处注意：第四步用U币兑换2元，必须由电脑用支付宝兑换，用聚享赚微信兑换无效，一律不给合格！3.  截图交稿，赏金3元，加自己赚的2元，一共5元到手。    以上3步找不到位置的请看任务附件的图解完成后可继续做赏金10元任务 http://www.epwk.com/task/376488/ ，无需重新注册。注意事项：本任务除了接收验证码用手机完成以外，都必须由电脑端完成，任何其他步骤由手机端完成则无效。此网站可长期赚钱，全面赚钱教程 http://pro20e80078.isitestar.cn,任务编号：424415,叫我辉哥,国际孤独狼,,,,,,,,,B任务编号：424415,游戏其他
【游戏其他】新手必做微信任务10元一稿，长期可做,https://task.epwk.com/424297/,1827人,3人,"¥1,000",自由的我2012,1000.0,￥20,2016-05-28,任务很简单，只要你有微信就可以参与打开微信添加好友   SZLM9588   第一个显示《手赚联盟》的公众号开始任务 “加错没有奖励”或者打开描述下方的 任务附件 用微信扫描二维码添加公众号开始任务关注后在对话框内回复数字  20  获得20元任务教程，按照教程内的方法完成后交稿到这里就可以获得10元稿费了哦完成20任务后 再回复 数字 95  获得95元任务教程，按照教程内的方法完成后交稿到这里就可以再获得10元稿费，以上两个任务都是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会不定期有新的手机赚钱任务，玩手机游戏比赛可以赚钱，手机签到也可以赚钱，更多精彩还在开发中。手机赚钱任务，  任务多多，奖励多多。我们期待您的关注。必须要完成2个任务其中一个才算合格 ps：雇主不要求 银行卡实名认证 ~可不做,任务编号：424297,mf183****1121,mf183****1121,,,,,,,,,B任务编号：424297,游戏其他
【游戏其他】新手必做注册任务超级简单，长期可做,https://task.epwk.com/424081/,2488人,3人,¥510,mf53c75c33df3a0,510.0,￥3,2016-05-27,新手小任务，很简单，按照步骤做几分钟完成，一品金牌雇主，支付赏金过万元。1.  注册地址  http://activity.juxiangyou.com/redpacket/index.php?r=4272409    必须由以上链接注册，输入手机号，接受语音验证码，拆开红包，注册成功。2.  点击拆红包页面的左上方“新人任务”进入新手专区，完成新人任务快速赚取2元的四个步骤。    此处注意：第四步用U币兑换2元，必须由电脑用支付宝兑换，用聚享赚微信兑换无效，一律不给合格！3.  截图交稿，赏金3元，加自己赚的2元，一共5元到手。    以上3步找不到位置的请看任务附件的图解完成后可继续做赏金10元任务 http://www.epwk.com/task/376488/ ，无需重新注册。注意事项：本任务除了接收验证码用手机完成以外，都必须由电脑端完成，任何其他步骤由手机端完成则无效。此网站可长期赚钱，全面赚钱教程 http://pro20e80078.isitestar.cn,任务编号：424081,天亮威武,,,,,,,,,,B任务编号：424081,游戏其他
【游戏其他】天天钻游戏试玩任务30元一稿,https://task.epwk.com/423029/,2065人,0人,¥510,tywx124,510.0,,2016-05-22,建议注册并收藏，放桌面慢慢做，长期做100-300元/天注册地址：https://www.ttz.com/Other/FdRedPacket/ParentId/32253480  （完整注册送3元）若注册不上，用备用链接注册也可以：http://www.ttz.com/fd/32253480_334教程： http://www.jz45.cn/jc/ttz.html在试玩平台玩游戏/理财/等（打码不算）账户黄钻达到30万就算完成，截图交稿,任务编号：423029,,,,,,,,,,,B任务编号：423029,游戏其他
【游戏其他】游戏试玩，每稿40元,https://task.epwk.com/422631/,1111人,0人,¥500,d2846****30,500.0,,2016-05-20,注册试玩http://www.juxiangyou.com/r7831856（要求试玩满200元赏金40，按样本截图）温馨提示1.在新人专区赚3元送1元，赚10元送5元，完成整个新人任务送200元 2.可以用页游辅助启动脚步自动挂机，同时挂几个这样就很容易赚100元了（新浪页游助手下载链条http://rj.baidu.com/soft/detail/24584.html?ald，还有一款智猫页游）  3.先在游戏平台注册游戏，再把游戏平台网址复制粘贴到下载的页游助手搜索框搜索，启动游戏脚本就可以自动挂机了审核要求，达到200元视为合格，不需要实名认证及银行卡认证。,任务编号：422631,,,,,,,,,,,B任务编号：422631,游戏其他
【游戏其他】新手体验小任务，简单易做,https://task.epwk.com/421280/,4261人,6人,¥510,mf53c75c33df3a0,510.0,￥12,2016-05-13,新手小任务，很简单，按照步骤做几分钟完成，一品金牌雇主，支付赏金过万元。1.  注册地址  http://activity.juxiangyou.com/redpacket/index.php?r=4272409    必须由以上链接注册，输入手机号，接受语音验证码，拆开红包，注册成功。2.  点击拆红包页面的左上方“新人任务”进入新手专区，完成新人任务快速赚取2元的四个步骤。    此处注意：第四步用U币兑换2元，必须由电脑用支付宝兑换，用聚享赚微信兑换无效，一律不给合格！3.  截图交稿，赏金3元，加自己赚的2元，一共5元到手。    以上3步找不到位置的请看任务附件的图解完成后可继续做赏金10元任务 http://www.epwk.com/task/376488/ ，无需重新注册。注意事项：本任务除了接收验证码用手机完成以外，都必须由电脑端完成，任何其他步骤由手机端完成则无效。此网站可长期赚钱，全面赚钱教程 http://pro20e80078.isitestar.cn,任务编号：421280,北极星闪耀,prettyjessie,"工作室 |            
            乔木&LY工作室",只为你倾心,,,,,,,B任务编号：421280,游戏其他
【游戏其他】天天钻游戏试玩在线审核，50元1稿,https://task.epwk.com/421159/,1052人,0人,¥500,xiaohuai123,500.0,,2016-05-12,"1.  注册地址   http://www.ttz.com/fd/13272181  （不是此链接注册无效）2.  完整注册并完成新人任务奖励3W黄钻，只能是通过试玩游戏，体验广告账户达到50W黄钻 才算完成任务。然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为 500000黄钻以上）,任务赏金的50元加上网站得到的50W黄钻（1W黄钻等于1元）一共是100元，轻松又好赚可以长期玩的！写在最后：  有不懂的可以加QQ群  992525  一起交流，教你怎么快速完成任务.   此网站可以长期做，安全，稳定，有效  ，各种奖励拿到手软，现在网站在搞活动 还有各种红包奖励可以拿！熟练后每日收入可以50-200元不等。最后重新申明一下：任务提交只限发布任务之后通过我的链接注册的才有效，以前在别的地方注册过的跑到这来骗稿的就不要来了，我会一一查看注册时间的。否则一律举报！！",任务编号：421159,,,,,,,,,,,B任务编号：421159,游戏其他
【游戏其他】51晚游，玩游戏赚钱，一稿25元,https://task.epwk.com/420588/,989人,0人,¥500,晚游平台,500.0,,2016-05-10,注册地址：http://www.51wanyou.cn注册后，进入平台“我是大主宰”游戏，两周内将游戏升级到180级注：玩家将注册账号，和游戏等级截图给我们关注微信公众号，有意想不到的惊喜哦,任务编号：420588,,,,,,,,,,,B任务编号：420588,游戏其他
【游戏其他】聚享游+天天钻首次完成给31元，可以长期做长期赚钱,https://task.epwk.com/420513/,3126人,5人,¥510,mf188****3298,510.0,,2016-05-09,2个任务同时注册的，不论您是否试玩，联系我打一元（白天太忙，晚上7点联系我）。以下二个任务都是游戏试玩，随便做哪个都可交稿，也可2个都做交2次。首次完成：聚享游拿30元，天天钻提现30元，再加上我赏金30.一共90元。建议都注册并收藏，放桌面慢慢做，长期做的每天100-300元/天任务一 聚享游 http://activity.juxiangyou.com/redpacket/index.php?r=7914874 （注册送1元，首次完成30）若注册不上，用备用链接注册也可以：http://www.juxiangyou.com/r7914874教程：http://pro00029372.isitestar.cn（建议看看）任务二 天天钻注册： http://www.ttz.com/fd/77599671（完整注册送3元，首次完成30）教程：http://www.ttz.com/fd/77599671在试玩平台玩游戏/理财/打码等账户U币达到30万就算完成，截图交稿,任务编号：420513,,,,,,,,,,,B任务编号：420513,游戏其他
【游戏其他】苹果手机注册试玩游戏，一稿3.92元,https://task.epwk.com/420301/,1003人,0人,¥510,cjx1218,510.0,,2016-05-08,网站注册https://playtoken.com/account/register?referralID=cjx0529（只能这里注册）游戏网站https://playtoken.com/campaign（只能这里试玩。下载游戏不要钱的。放心下载）注册后点左上边或左下边游戏推广任务下载游戏。点获取。IOS安装下载。打开游戏5分钟。之后回谷歌商店搜Endgods.之后好评。随便写一些评论。 试玩后要求在谷歌商店里对游戏5星好评。进网站左上角要选 中文。上传试玩游戏截图。上传5星好评截图。并附上账号。（账号要对的。）每个一品ID只能参与一次。,任务编号：420301,,,,,,,,,,,B任务编号：420301,游戏其他
【游戏其他】新手体验小任务，简单易做,https://task.epwk.com/420150/,2995人,5人,¥501,mf53c75c33df3a0,501.0,,2016-05-07,新手小任务，很简单，按照步骤做几分钟完成，一品金牌雇主，支付赏金过万元。1.  注册地址  http://activity.juxiangyou.com/redpacket/index.php?r=4272409    必须由以上链接注册，输入手机号，接受语音验证码，拆开红包，注册成功。2.  点击拆红包页面的左上方“新人任务”进入新手专区，完成新人任务快速赚取2元的四个步骤。    此处注意：第四步用U币兑换2元，必须由电脑用支付宝兑换，用聚享赚微信兑换无效，一律不给合格！3.  截图交稿，赏金3元，加自己赚的2元，一共5元到手。    以上3步找不到位置的请看任务附件的图解完成后可继续做赏金10元任务 http://www.epwk.com/task/376488/ ，无需重新注册。注意事项：本任务除了接收验证码用手机完成以外，都必须由电脑端完成，任何其他步骤由手机端完成则无效。此网站可长期赚钱，全面赚钱教程 http://pro20e80078.isitestar.cn学习交流QQ群44133872,任务编号：420150,,,,,,,,,,,B任务编号：420150,游戏其他
【游戏其他】天天钻游戏试玩任务30元一稿,https://task.epwk.com/419130/,2196人,1人,¥510,tywx124,510.0,,2016-05-01,建议注册并收藏，放桌面慢慢做，长期做100-300元/天注册地址：https://www.ttz.com/Other/FdRedPacket/ParentId/32253480  （完整注册送3元）若注册不上，用备用链接注册也可以：http://www.ttz.com/fd/32253480_334教程： http://www.jz45.cn/jc/ttz.html在试玩平台玩游戏/理财/等（打码不算）账户黄钻达到30万就算完成，截图交稿,任务编号：419130,,,,,,,,,,,B任务编号：419130,游戏其他
【游戏其他】加入有赚网试玩，一单10元,https://task.epwk.com/419090/,896人,0人,¥500,淡淡幽兰香,500.0,,2016-05-01,"大家注意做任务的网站中： 理财赚钱，试玩平台这两个项目很赚钱，快的话，几分钟就能完成了，任务奖励的10元加上网站得到的50元，一共是60元，可以长期玩的！任务步骤和要求：                                     1.  注册地址 :http://www.youzhuan.com/tg/?u=71918659bd( 复制打开此链接，不由此链接注册无效）；2.  完善资料，绑定手机；3.注册就送5000，1元=10000，试玩游戏，理财赚钱，账户达到50万就算完成任务（手机类不算），（强烈建议通过游戏试玩平台，理财赚钱频道，只注册不投资也可赚钱）然后截图（网站首页的大头像，金币显示为50万以上算完成,可以重复提交稿件)；4.此网站可以长期做，安全，稳定，有效率，各种奖励拿到手软，熟练后每日收入可以50-200元不等。",任务编号：419090,,,,,,,,,,,B任务编号：419090,游戏其他
【游戏其他】简单微信任务，10元一稿长期可做,https://task.epwk.com/418731/,3550人,39人,"¥1,200",快赚998,1200.0,￥170,2016-04-29,任务很简单，只要你有微信就可以参与打开微信添加好友    SZLM9588   搜索显示第一个显示《手赚联盟》的添加关注开始任务 （加错没有奖励）或者打开描述下方的 任务附件 用微信扫描二维码添加公众号开始任务关注后在对话框内回复数字  20  获得20元任务教程，按照教程内的方法完成后交稿到这里就可以获得10元稿费了哦完成20任务后 再回复 数字 95  获得95元任务教程，按照教程内的方法完成后交稿到这里就可以再获得10元稿费，以上两个任务都是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会不定期有新的手机赚钱任务，玩手机游戏比赛可以赚钱，手机签到也可以赚钱，更多精彩还在开发中。手机赚钱任务，  任务多多，奖励多多。我们期待您的关注。必须要完成2个任务其中一个才算合格 ps：雇主不要求 银行卡实名认证 ~可不做,任务编号：418731,mf183****1121,mf131****5783,mf189****0509,mf183****8319,gcliu,云南青才信息科技,csf_小陈,mf188****3782,绝品维克,bored,B任务编号：418731,游戏其他
【游戏其他】好平台游戏任务30一稿，可长期赚钱做的快,https://task.epwk.com/418474/,2683人,5人,¥555,三只鹅,555.0,￥58.42,2016-04-27,以下二个任务都是游戏试玩，随便做哪个都可交稿，也可2个都做交2次。首次完成：一共可获得60元。建议都注册并收藏，放桌面慢慢做，长期做的每天100-300元/天任务一  聚享游 http://activity.juxiangyou.com/redpacket/index.php?r=7914874 （注册送1元，首次完成20）若注册不上，用备用链接注册也可以：http://www.juxiangyou.com/r7914874在试玩平台玩游戏/理财/打码等账户U币达到30万就算完成，截图交稿教程：http://pro00029372.isitestar.cn任务二  天天钻注册： http://www.ttz.com/fd/77599671（完整注册送3元，首次完成20）在试玩平台玩游戏/理财/打码等账户U币达到30万就算完成，截图交稿教程：http://user.qzone.qq.com/1951698260/blog/1444925393,任务编号：418474,巽疾科技,孔颖爱小颖,,,,,,,,,B任务编号：418474,游戏其他
【游戏其他】新手体验小任务，简单易做,https://task.epwk.com/417458/,5271人,15人,¥501,mf53c75c33df3a0,501.0,￥24,2016-04-22,新手小任务，很简单，按照步骤做几分钟完成，一品金牌雇主，支付赏金过万元。1.  注册地址  http://activity.juxiangyou.com/redpacket/index.php?r=4272409    必须由以上链接注册，输入手机号，接受语音验证码，拆开红包，注册成功。2.  点击拆红包页面的左上方“新人任务”进入新手专区，完成新人任务快速赚取2元的四个步骤。3.  截图交稿，赏金3元，加自己赚的2元，一共5元到手。    以上3步找不到位置的请看任务附件的图解完成后可继续做赏金10元任务 http://www.epwk.com/task/376488/ ，无需重新注册。注意事项：本任务除了接收验证码用手机完成以外，都必须由电脑端完成，任何其他步骤由手机端完成则无效。此网站可长期赚钱，全面赚钱教程 http://pro20e80078.isitestar.cn学习交流QQ群44133872,任务编号：417458,aean,天霖飞飞,acgotaking,mf150****1323,mf159****2928,a5553602,开心就幸福,如形随形,,,B任务编号：417458,游戏其他
【游戏其他】苹果手机电脑注册试玩游戏,https://task.epwk.com/417145/,960人,0人,¥510,cjx1218,510.0,,2016-04-20,网站注册https://playtoken.com/account/register?referralID=cjx0529（只能这里注册）游戏网站https://playtoken.com/campaign（只能这里试玩。下载游戏不要钱的。放心下载） 游戏下载试玩2分钟以上试玩后要求在网站里对游戏5星好评。进网站左上角要选 中文。上传试玩游戏截图。上传5星好评截图。并附上账号。（账号要对的。）每个一品ID只能参与一次。,任务编号：417145,,,,,,,,,,,B任务编号：417145,游戏其他
【游戏其他】简单游戏试玩任务30元一稿，长期能做,https://task.epwk.com/416787/,2414人,3人,¥510,tywx124,510.0,,2016-04-19,喜欢做微信任务的请去我发布的任务 http://www.epwk.com/index.php?do=task&task_id=406816以下二个任务都是游戏试玩，随便做哪个都可交稿，也可2个都做交2次。一共可获得120元。建议都注册并收藏，放桌面慢慢做，长期做100-300元/天任务一 注册：http://www.jz45.cn/ttz.php （完整注册送3元）若注册不上，用备用链接注册也可以：http://www.ttz.com/fd/32253480_334教程： http://www.jz45.cn/jc/ttz.html在试玩平台玩游戏/理财/等（打码不算）账户黄钻达到30万就算完成，截图交稿任务二 http://activity.juxiangyou.com/redpacket/index.php?r=1863447  注册（送1元）若注册不上，用备用链接注册也可以：http://www.juxiangyou.com/r1863447教程：http://www.jz45.cn/jc/ttz.html   建议看看）在试玩平台玩游戏/理财/等（打码不算）账户U币达到30万就算完成，截图交稿,任务编号：416787,,,,,,,,,,,B任务编号：416787,游戏其他
【游戏代练】网页游戏，长期任务持续赚钱,https://task.epwk.com/415677/,1700人,0人,¥500,mf187****9071,500.0,,2016-04-13,1，先收藏任务，方便交稿。2，加我的QQ群 306912619 这个群专门为后续的奖励而开。3，注册账号   687474703a2f2f7777772e74747a2e636f6d2f66642f3831303738383737   复制到浏览器打开。4，在这个网站赚够30万黄钻，在这里交稿领取奖励10元。5，之后在这个网站每赚够50万黄钻，就可以在QQ群里找我领取奖励10元。这个长期有效。赚的越多领的越多。6，交稿格式如下图。,任务编号：415677,,,,,,,,,,,B任务编号：415677,游戏代练
【游戏其他】网站最新游戏试玩任务30一稿，可以长期做,https://task.epwk.com/415369/,2807人,4人,¥500,三只鹅,500.0,,2016-04-11,大家注意做任务的网站中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），首次赏金30加上网站30，共60元。请收藏该网站长期做每天80-300不等任务步骤和要求：                                     1.  注册地址 http://activity.juxiangyou.com/redpacket/index.php?r=7914874   （复制浏览器打开此链接，注意验证码是语音）  （若注册不上用备用注册链接：http://www.juxiangou.com/r7914874  ）                                                                  2.  新手教程： http://pro00029372.isitestar.cn    （复制打开）                                 3.  注册就送10000U币，试玩游戏，理财赚钱，竞猜赚钱，体验广告赚钱等方式免费赚钱（注意：手机赚钱的不算）   交稿：余额显示为30万U币以上即可只要你长期做，我还会给梯度奖励无上限，教程里面有。请务必收藏下来做。,任务编号：415369,,,,,,,,,,,B任务编号：415369,游戏其他
【游戏其他】简单游戏试玩任务30元一稿，长期能做,https://task.epwk.com/413730/,2725人,7人,¥510,tywx124,510.0,,2016-04-03,喜欢做微信任务的请去我发布的任务 http://www.epwk.com/index.php?do=task&task_id=406816以下二个任务都是游戏试玩，随便做哪个都可交稿，也可2个都做交2次。一共可获得120元。建议都注册并收藏，放桌面慢慢做，长期做100-300元/天任务一 注册：http://www.jz45.cn/ttz.php （完整注册送3元）若注册不上，用备用链接注册也可以：http://www.ttz.com/fd/32253480_334教程： http://www.jz45.cn/jc/ttz.html在试玩平台玩游戏/理财/打码等账户黄钻达到30万就算完成，截图交稿任务二 http://activity.juxiangyou.com/redpacket/index.php?r=1863447  注册（送1元）若注册不上，用备用链接注册也可以：http://www.juxiangyou.com/r1863447教程：http://www.jz45.cn/jc/ttz.html   建议看看）在试玩平台玩游戏/理财/打码等账户U币达到30万就算完成，截图交稿,任务编号：413730,,,,,,,,,,,B任务编号：413730,游戏其他
【游戏其他】简单游戏试玩，轻松赚取5元,https://task.epwk.com/413394/,4474人,0人,"¥1,000",o560357ee454c2,1000.0,,2016-04-01,"步骤和要求：1.  注册地址 http://www.ttz.com/fd/37501521（不是此链接注册无效）2、活动时间：4月1日-4月31日，成功加QQ群  370610185，还可以找群主领取月入最低400攻略。3.  完整注册就送3W黄钻，只有通过试玩游戏，体验广告账户达到10W黄钻 就算完成任务。然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为100000黄钻以上）网站10元（10w黄钻等于10元）加上我们奖励的5元，一共15元。网站可以长期赚钱，每天有十万人在这里赚钱，你还在等什么？写在最后：  有不懂的可以加QQ群  370610185  一起交流，教你怎么快速完成任务.群里还有后续奖励   此网站可以长期做，安全，稳定，有效  ，各种奖励拿到手软，现在网站在搞活动 还有各种红包可以拿！熟练后每日收入可以50-200元不等。最后重新申明一下：任务提交只限发布任务之后通过我的链接注册的才有效，以前注册过的跑到这来骗稿的就不要来了。一律举报！！ 比喻任务是10月20号发布的,那么你10月20号之前注册的帐号就不能在些提交任务,否则一律举报！！",任务编号：413394,,,,,,,,,,,B任务编号：413394,游戏其他
【游戏其他】简单任务，一稿12元不限次数,https://task.epwk.com/413342/,1113人,0人,"¥1,000",愤怒De粉色小裤衩,1000.0,,2016-03-31,"这个是长期赚钱的任务，大家用点心做。（1000元赏金已托管，用完会及时补充，任务长期有效！）赏金5元是实实在在的我付的奖励，还有网站奖励7元，赚到手是12元。并且可以长期赚钱一直投稿，每达到40W钻-80W钻-120W钻交一次稿,以此类推.无限交稿！【1】复制此链接注册 ：   687474703a2f2f7777772e74747a2e636f6d2f66642f3930313130383437    （不是此链接注册的属无效参与视为不合格，完整注册后账户就有30000黄钻=3元）【2】通过、游戏赚钱、理财专区、广告大厅、赚到70000黄钻就算完成任务。【3】提交 天天钻ID+截图（如下图，余额显示必须为70000黄钻以上请查看附件）领取奖励。不懂的加微信私聊： lisiyuan712",任务编号：413342,,,,,,,,,,,B任务编号：413342,游戏其他
【游戏其他】好平台游戏试玩任务30一稿，可长期赚钱做的快,https://task.epwk.com/412014/,2745人,8人,¥510,三只鹅,510.0,,2016-03-25,以下二个任务都是游戏试玩，随便做哪个都可交稿（网站30+我奖励30=60），如果2个任务都完成就是120元。建议都注册并收藏，放桌面慢慢做，长期做的每天100-300元/天任务一 天天钻注册： http://www.ttz.com/fd/77599671（完整注册送3元，首次完成20）教程：http://tiantianzhuan.isitestar.cn/ 在试玩平台玩游戏/理财/打码等账户U币达到30万就算完成，截图交稿任务二 聚享游 http://activity.juxiangyou.com/redpacket/index.php?r=7914874 （注册送1元，首次完成20）若注册不上，用备用链接注册也可以：http://www.juxiangyou.com/r7914874教程：http://pro00029372.isitestar.cn（建议看看）在试玩平台玩游戏/理财/打码等账户U币达到30万就算完成，截图交稿,任务编号：412014,,,,,,,,,,,B任务编号：412014,游戏其他
【游戏其他】简单任务12元，一稿5分钟完成,https://task.epwk.com/410644/,1164人,0人,"¥1,000",愤怒De粉色小裤衩,1000.0,,2016-03-18,"这个是长期赚钱的任务，大家用点心做。（1000元赏金已托管，用完会及时补充，任务长期有效！）赏金5元是实实在在的我付的奖励，还有网站奖励7元，赚到手是12元。并且可以长期赚钱一直投稿，每达到40W钻-80W钻-120W钻交一次稿,以此类推.无限交稿！【1】复制此链接注册 ：   http://www.ttz.com/fd/90110847    （不是此链接注册的属无效参与视为不合格，注册后账户就有15000黄钻=1.50元）【2】通过、游戏赚钱、理财专区、广告大厅、赚到70000黄钻就算完成任务。【3】提交 天天钻ID+截图（如下图，余额显示必须为70000黄钻以上请查看附件）领取奖励。不懂的加微信私聊： lisiyuan712",任务编号：410644,,,,,,,,,,,B任务编号：410644,游戏其他
【游戏其他】简单微信任务10元一稿，长期能做,https://task.epwk.com/410177/,9468人,56人,"¥2,100",自由的我2012,2100.0,￥220,2016-03-16,任务很简单，只要你有微信就可以参与打开任务附件用微信扫描二维码添加公众号开始任务关注后在对话框内回复数字  20  获得20元任务教程，按照教程内的方法完成后交稿到这里就可以获得10元稿费了哦完成20任务后 再回复 数字 95  获得95元任务教程，按照教程内的方法完成后交稿到这里就可以再获得10元稿费，以上两个任务都是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会不定期有新的手机赚钱任务，玩手机游戏比赛可以赚钱，手机签到也可以赚钱，更多精彩还在开发中。手机赚钱任务，  任务多多，奖励多多。我们期待您的关注。必须要完成2个任务其中一个才算合格 ps：雇主不要求 银行卡实名认证 ~可不做,任务编号：410177,mf183****1121,cherishcherish,mf153****4599,mf139****2512,mf189****9593,mf156****9669,zgyzgy,峻哥,mf177****9716,mf137****4046,B任务编号：410177,游戏其他
