标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,知识
【小程序开发】微信小程序商城开发,https://task.epwk.com/862211/,129人,1人,"¥15,000",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,微信小程序商城开发,直接雇佣￥ 15000,￥ 15000,任务编号：862211,328-412.csv,,,,,,"微信小程序, 商城开发"
【网站UI设计】基础型网站设计,https://task.epwk.com/862214/,568人,1人,¥500,圆满完成,https://task.epwk.com/page407.html?m=6&o=7,基础型网站设计,直接雇佣￥ 500,￥ 500,任务编号：862214,328-412.csv,,,,,,"基础型网站, 网站设计"
【VI设计】工业流水线生产制造机械设备研发设计 三期款,https://task.epwk.com/862216/,197人,1人,"¥20,000",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,工业流水线生产制造机械设备研发设计 三期款,直接雇佣￥ 20000,￥ 20000,任务编号：862216,328-412.csv,,,,,,"工业流水线, 机械设备研发, 生产制造设计"
【视频定制】各行业培训视频录制,https://task.epwk.com/862225/,473人,1人,"¥37,000",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,各行业培训视频录制,直接雇佣￥ 37000,￥ 37000,任务编号：862225,328-412.csv,,,,,,"行业培训, 视频录制"
【电商】电商系统软件开发,https://task.epwk.com/862229/,83人,1人,"¥16,850",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,电商系统软件开发,直接雇佣￥ 16850,￥ 16850,任务编号：862229,328-412.csv,,,,,,"电商系统, 软件开发"
【财务管理系统】财务管理软件二次开发,https://task.epwk.com/862232/,1377人,1人,"¥13,650",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,财务管理软件二次开发,直接雇佣￥ 13650,￥ 13650,任务编号：862232,328-412.csv,,,,,,"财务管理, 软件开发"
【VI设计】旅游行业VI设计,https://task.epwk.com/862236/,128人,1人,"¥39,999",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,旅游行业VI设计,直接雇佣￥ 39999,￥ 39999,任务编号：862236,328-412.csv,,,,,,"旅游行业, VI设计"
【APP开发】人工智能APP开发项目2期,https://task.epwk.com/862243/,165人,1人,"¥9,999",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,人工智能APP开发项目2期,直接雇佣￥ 9999,￥ 9999,任务编号：862243,328-412.csv,,,,,,"人工智能APP, 项目开发, 二期"
【APP开发】嵌入式系统开发2期,https://task.epwk.com/862245/,131人,1人,"¥29,980",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,嵌入式系统开发2期,直接雇佣￥ 29980,￥ 29980,任务编号：862245,328-412.csv,,,,,,"嵌入式系统, 系统开发"
【APP开发】生鲜超市APP开发第四期,https://task.epwk.com/862257/,113人,1人,"¥39,890",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,生鲜超市APP开发第四期,直接雇佣￥ 39890,￥ 39890,任务编号：862257,328-412.csv,,,,,,"生鲜超市, APP开发, 第四期"
【企业官网】外贸行业网站定制开发,https://task.epwk.com/862261/,93人,1人,"¥9,000",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,外贸行业网站定制开发,直接雇佣￥ 9000,￥ 9000,任务编号：862261,328-412.csv,,,,,,"外贸行业网站, 定制开发"
【网站二次开发】网站开发一期,https://task.epwk.com/862263/,401人,1人,"¥7,500",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,网站开发一期,直接雇佣￥ 7500,￥ 7500,任务编号：862263,328-412.csv,,,,,,"网站开发, 一期"
【小程序开发】小程序制作,https://task.epwk.com/862275/,222人,1人,"¥42,000",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,小程序制作,直接雇佣￥ 42000,￥ 42000,任务编号：862275,328-412.csv,,,,,,小程序开发
【动画设计】H5动画制作,https://task.epwk.com/862283/,577人,1人,¥800,圆满完成,https://task.epwk.com/page407.html?m=6&o=7,H5动画制作,直接雇佣￥ 800,￥ 800,任务编号：862283,328-412.csv,,,,,,"H5动画, 制作"
【APP开发】制作一个多商户商城的APP,https://task.epwk.com/862310/,129人,1人,"¥40,000",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,制作一个多商户商城的APP,直接雇佣￥ 40000,￥ 40000,任务编号：862310,328-412.csv,,,,,,"多商户商城, APP开发"
【APP开发】多商户商城APP二次开发,https://task.epwk.com/862314/,92人,1人,"¥40,000",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,多商户商城APP二次开发,直接雇佣￥ 40000,￥ 40000,任务编号：862314,328-412.csv,,,,,,"多商户商城, APP二次开发"
【APP开发】APP开发,https://task.epwk.com/862315/,86人,1人,"¥9,800",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,APP开发,直接雇佣￥ 9800,￥ 9800,任务编号：862315,328-412.csv,,,,,,APP开发
【APP开发】APP开发,https://task.epwk.com/862317/,85人,1人,"¥13,600",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,APP开发,直接雇佣￥ 13600,￥ 13600,任务编号：862317,328-412.csv,,,,,,APP开发
【APP开发】物流货运企业网站,https://task.epwk.com/862321/,102人,1人,"¥7,000",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,物流货运企业网站,直接雇佣￥ 7000,￥ 7000,任务编号：862321,328-412.csv,,,,,,"物流货运, 企业网站"
【LOGO设计】公司标志设计,https://task.epwk.com/862322/,60人,1人,¥600,圆满完成,https://task.epwk.com/page407.html?m=6&o=7,公司标志设计,直接雇佣￥ 600,￥ 600,任务编号：862322,328-412.csv,,,,,,"公司标志, 标志设计"
【APP开发】教育培训小程序,https://task.epwk.com/862323/,92人,1人,"¥13,000",圆满完成,https://task.epwk.com/page407.html?m=6&o=7,教育培训小程序,直接雇佣￥ 13000,￥ 13000,任务编号：862323,328-412.csv,,,,,,"教育培训, 小程序"
【LOGO设计】纺织行业logo,https://task.epwk.com/862324/,46人,1人,¥600,圆满完成,https://task.epwk.com/page407.html?m=6&o=7,纺织行业logo,直接雇佣￥ 600,￥ 600,任务编号：862324,328-412.csv,,,,,,"纺织行业, logo"
【LOGO设计】标志设计,https://task.epwk.com/862325/,191人,1人,¥600,圆满完成,https://task.epwk.com/page407.html?m=6&o=7,标志设计,直接雇佣￥ 600,￥ 600,任务编号：862325,328-412.csv,,,,,,标志设计
【LOGO设计】品牌logo,https://task.epwk.com/862326/,44人,1人,¥600,圆满完成,https://task.epwk.com/page407.html?m=6&o=7,品牌logo,直接雇佣￥ 600,￥ 600,任务编号：862326,328-412.csv,,,,,,"品牌, logo"
【LOGO设计】餐饮行业logo设计,https://task.epwk.com/862327/,86人,1人,¥600,圆满完成,https://task.epwk.com/page407.html?m=6&o=7,餐饮行业logo设计,直接雇佣￥ 600,￥ 600,任务编号：862327,328-412.csv,,,,,,"餐饮行业, logo设计"
【LOGO设计】图文logo设计,https://task.epwk.com/862328/,88人,1人,¥600,圆满完成,https://task.epwk.com/page407.html?m=6&o=7,图文logo设计,直接雇佣￥ 600,￥ 600,任务编号：862328,328-412.csv,,,,,,"图文logo, 设计"
【LOGO设计】水上乐园logo设计,https://task.epwk.com/862329/,82人,1人,¥600,圆满完成,https://task.epwk.com/page407.html?m=6&o=7,水上乐园logo设计,直接雇佣￥ 600,￥ 600,任务编号：862329,328-412.csv,,,,,,"水上乐园, logo设计"
【LOGO设计】游泳馆logo设计,https://task.epwk.com/862332/,245人,1人,¥900,圆满完成,https://task.epwk.com/page406.html?m=6&o=7,游泳馆logo设计,直接雇佣￥ 900,￥ 900,任务编号：862332,328-412.csv,,,,,,"游泳馆, logo设计"
【创意短视频】mg动画制作,https://task.epwk.com/862359/,648人,1人,"¥2,300",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,mg动画制作,直接雇佣￥ 2300,￥ 2300,任务编号：862359,328-412.csv,,,,,,"mg动画, 制作"
【小程序开发】小程序开发,https://task.epwk.com/862387/,143人,1人,"¥29,900",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,小程序开发,直接雇佣￥ 29900,￥ 29900,任务编号：862387,328-412.csv,,,,,,小程序开发
【小程序开发】app,https://task.epwk.com/862388/,124人,1人,"¥10,900",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,app,直接雇佣￥ 10900,￥ 10900,任务编号：862388,328-412.csv,,,,,,"app设计, 移动应用开发"
【品牌策划】鱼谷洞乡,https://task.epwk.com/862391/,235人,1人,"¥35,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,鱼谷洞乡,直接雇佣￥ 35000,￥ 35000,任务编号：862391,328-412.csv,,,,,,"鱼谷洞乡, 乡村旅游, 自然景观"
直播功能开发,https://task.epwk.com/862401/,39人,1人,"¥8,800",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,直播功能开发,直接雇佣￥ 8800,￥ 8800,任务编号：862401,328-412.csv,,,,,,"直播功能, 开发"
【品牌策划】品牌全案,https://task.epwk.com/862402/,84人,1人,"¥4,500",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,品牌全案,直接雇佣￥ 4500,￥ 4500,任务编号：862402,328-412.csv,,,,,,品牌全案
【小程序开发】计时器动画模块开发,https://task.epwk.com/862403/,121人,1人,"¥1,970",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,计时器动画模块开发,直接雇佣￥ 1970,￥ 1970,任务编号：862403,328-412.csv,,,,,,计时器
【网站UI设计】游戏网站开发设计,https://task.epwk.com/862406/,442人,1人,"¥10,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,游戏网站开发设计,直接雇佣￥ 10000,￥ 10000,任务编号：862406,328-412.csv,,,,,,"游戏网站, 开发设计"
【网站UI设计】人脸识别系统开发3期,https://task.epwk.com/862408/,443人,1人,"¥20,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,人脸识别系统开发3期,直接雇佣￥ 20000,￥ 20000,任务编号：862408,328-412.csv,,,,,,"人脸识别系统, 开发, 三期"
【宣传策划】商业计划书,https://task.epwk.com/862410/,260人,1人,"¥6,800",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,商业计划书,直接雇佣￥ 6800,￥ 6800,任务编号：862410,328-412.csv,,,,,,商业计划书
【VI设计】做个火锅连锁餐饮全案,https://task.epwk.com/862411/,282人,1人,"¥50,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,做个火锅连锁餐饮全案,直接雇佣￥ 50000,￥ 50000,任务编号：862411,328-412.csv,,,,,,"火锅连锁, 餐饮全案"
【VI设计】做个火锅连锁餐饮全案,https://task.epwk.com/862413/,232人,1人,"¥50,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,做个火锅连锁餐饮全案,直接雇佣￥ 50000,￥ 50000,任务编号：862413,328-412.csv,,,,,,"火锅连锁, 餐饮全案"
【VI设计】做个火锅连锁餐饮全案,https://task.epwk.com/862414/,251人,1人,"¥50,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,做个火锅连锁餐饮全案,直接雇佣￥ 50000,￥ 50000,任务编号：862414,328-412.csv,,,,,,"火锅连锁, 餐饮全案"
【VI设计】做个火锅连锁餐饮全案,https://task.epwk.com/862415/,177人,1人,"¥30,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,做个火锅连锁餐饮全案,直接雇佣￥ 30000,￥ 30000,任务编号：862415,328-412.csv,,,,,,"火锅连锁, 餐饮全案"
【LOGO设计】希尼尔品牌设计,https://task.epwk.com/862417/,580人,1人,"¥45,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,希尼尔品牌设计,直接雇佣￥ 45000,￥ 45000,任务编号：862417,328-412.csv,,,,,,"品牌设计, 希尼尔"
【APP开发】商城app应用开发,https://task.epwk.com/862418/,104人,1人,"¥32,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,商城app应用开发,直接雇佣￥ 32000,￥ 32000,任务编号：862418,328-412.csv,,,,,,"商城app, 应用开发"
【H5开发】摘星星小游戏H5宣传页面开发,https://task.epwk.com/862420/,1471人,1人,"¥1,980",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,摘星星小游戏H5宣传页面开发,直接雇佣￥ 1980,￥ 1980,任务编号：862420,328-412.csv,,,,,,"摘星星小游戏, H5宣传页面, 游戏开发"
【微信代运营】微信代运营,https://task.epwk.com/862424/,136人,1人,"¥4,200",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,微信代运营,直接雇佣￥ 4200,￥ 4200,任务编号：862424,328-412.csv,,,,,,"微信运营, 代运营"
【LOGO设计】牛人设计总监 全网中标最高设计师操刀,https://task.epwk.com/862427/,177人,1人,"¥4,878",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,牛人设计总监 全网中标最高设计师操刀,直接雇佣￥ 4878,￥ 4878,任务编号：862427,328-412.csv,,,,,,"设计总监, 全网中标, 最高设计师"
【店铺装修】京东店铺装修,https://task.epwk.com/862431/,224人,1人,"¥10,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,京东店铺装修,直接雇佣￥ 10000,￥ 10000,任务编号：862431,328-412.csv,,,,,,"京东店铺, 店铺装修"
【其他行业】考勤打卡系统,https://task.epwk.com/862434/,466人,1人,"¥53,210",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,考勤打卡系统,直接雇佣￥ 53210,￥ 53210,任务编号：862434,328-412.csv,,,,,,"考勤系统, 打卡系统"
【LOGO设计】制造行业标志设计,https://task.epwk.com/862435/,64人,1人,¥600,圆满完成,https://task.epwk.com/page406.html?m=6&o=7,制造行业标志设计,直接雇佣￥ 600,￥ 600,任务编号：862435,328-412.csv,,,,,,"制造行业, 标志设计"
【LOGO设计】煎饼店logo设计,https://task.epwk.com/862440/,63人,1人,¥600,圆满完成,https://task.epwk.com/page406.html?m=6&o=7,煎饼店logo设计,直接雇佣￥ 600,￥ 600,任务编号：862440,328-412.csv,,,,,,"煎饼店, logo设计"
【其他行业】考勤打卡系统,https://task.epwk.com/862442/,238人,1人,"¥21,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,考勤打卡系统,直接雇佣￥ 21000,￥ 21000,任务编号：862442,328-412.csv,,,,,,"考勤系统, 打卡系统"
【LOGO设计】logo设计,https://task.epwk.com/862447/,78人,1人,¥600,圆满完成,https://task.epwk.com/page406.html?m=6&o=7,logo设计,直接雇佣￥ 600,￥ 600,任务编号：862447,328-412.csv,,,,,,logo设计
【品牌策划】品牌全案,https://task.epwk.com/862448/,82人,1人,"¥5,200",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,品牌全案,直接雇佣￥ 5200,￥ 5200,任务编号：862448,328-412.csv,,,,,,品牌全案
【其他行业】公司厂房门头+文化墙制作,https://task.epwk.com/862450/,262人,1人,"¥36,800",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,公司厂房门头+文化墙制作,直接雇佣￥ 36800,￥ 36800,任务编号：862450,328-412.csv,,,,,,"公司厂房门头, 文化墙制作"
【LOGO设计】图文logo设计,https://task.epwk.com/862452/,89人,1人,¥600,圆满完成,https://task.epwk.com/page406.html?m=6&o=7,图文logo设计,直接雇佣￥ 600,￥ 600,任务编号：862452,328-412.csv,,,,,,"图文logo, 设计"
【宣传策划】活动执行方案,https://task.epwk.com/862456/,278人,1人,"¥3,000",圆满完成,https://task.epwk.com/page406.html?m=6&o=7,活动执行方案,直接雇佣￥ 3000,￥ 3000,任务编号：862456,328-412.csv,,,,,,"活动执行, 方案设计"
【淘宝/天猫代运营】店铺推广代运营,https://task.epwk.com/862458/,382人,1人,"¥36,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,店铺推广代运营,直接雇佣￥ 36000,￥ 36000,任务编号：862458,328-412.csv,,,,,,"店铺推广, 代运营"
【企业宣传片】VCR 汇报视频,https://task.epwk.com/862459/,285人,1人,"¥30,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,VCR 汇报视频,直接雇佣￥ 30000,￥ 30000,任务编号：862459,328-412.csv,,,,,,"VCR视频, 汇报视频"
【LOGO设计】logo标志设计,https://task.epwk.com/862460/,66人,1人,¥600,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,logo标志设计,直接雇佣￥ 600,￥ 600,任务编号：862460,328-412.csv,,,,,,"logo, 标志设计"
【淘宝/天猫代运营】店铺推广代运营二期,https://task.epwk.com/862461/,665人,1人,"¥48,700",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,店铺推广代运营二期,直接雇佣￥ 48700,￥ 48700,任务编号：862461,328-412.csv,,,,,,"店铺推广, 代运营, 二期"
【微信开发】微信商城开发微信小程序定制开发,https://task.epwk.com/862463/,177人,1人,"¥29,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,微信商城开发微信小程序定制开发,直接雇佣￥ 29000,￥ 29000,任务编号：862463,328-412.csv,,,,,,"微信商城, 微信小程序"
【企业宣传片】企业宣传片制作,https://task.epwk.com/862466/,615人,1人,"¥60,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,企业宣传片制作,直接雇佣￥ 60000,￥ 60000,任务编号：862466,328-412.csv,,,,,,"企业宣传片, 制作"
【小程序开发】资讯类平台开发,https://task.epwk.com/862467/,140人,1人,"¥51,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,资讯类平台开发,直接雇佣￥ 51000,￥ 51000,任务编号：862467,328-412.csv,,,,,,"资讯平台, 平台开发"
【其他软件开发】游戏二开,https://task.epwk.com/862469/,296人,1人,"¥52,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,游戏二开,直接雇佣￥ 52000,￥ 52000,任务编号：862469,328-412.csv,,,,,,"游戏修改, 游戏二次开发"
【LOGO设计】网店logo,https://task.epwk.com/862470/,135人,1人,¥600,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,网店logo,直接雇佣￥ 600,￥ 600,任务编号：862470,328-412.csv,,,,,,"网店, logo"
【LOGO设计】宠物医院logo设计,https://task.epwk.com/862473/,221人,1人,¥600,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,宠物医院logo设计,直接雇佣￥ 600,￥ 600,任务编号：862473,328-412.csv,,,,,,"宠物医院, logo设计"
【LOGO设计】产品标志设计,https://task.epwk.com/862475/,168人,1人,¥600,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,产品标志设计,直接雇佣￥ 600,￥ 600,任务编号：862475,328-412.csv,,,,,,"产品标志, 设计"
【微信代运营】微信代运营,https://task.epwk.com/862489/,122人,1人,"¥5,600",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,微信代运营,直接雇佣￥ 5600,￥ 5600,任务编号：862489,328-412.csv,,,,,,"微信运营, 代运营"
【LOGO设计】字体设计,https://task.epwk.com/862490/,448人,1人,¥600,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,字体设计,直接雇佣￥ 600,￥ 600,任务编号：862490,328-412.csv,,,,,,字体设计
【品牌策划】品牌全案,https://task.epwk.com/862495/,96人,1人,"¥6,800",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,品牌全案,直接雇佣￥ 6800,￥ 6800,任务编号：862495,328-412.csv,,,,,,品牌全案
【LOGO设计】茶叶logo设计,https://task.epwk.com/862498/,186人,1人,¥600,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,茶叶logo设计,直接雇佣￥ 600,￥ 600,任务编号：862498,328-412.csv,,,,,,"茶叶, logo设计"
开发个内部简单的任务管理小系统，基于TP框架开发的,https://task.epwk.com/862500/,64人,1人,"¥49,980",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,开发个内部简单的任务管理小系统，基于TP框架开发的,直接雇佣￥ 49980,￥ 49980,任务编号：862500,328-412.csv,,,,,,"任务管理, TP框架, 系统开发"
【LOGO设计】面馆logo设计,https://task.epwk.com/862506/,62人,1人,¥600,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,面馆logo设计,直接雇佣￥ 600,￥ 600,任务编号：862506,328-412.csv,,,,,,"面馆, logo设计"
【微信代运营】微信代运营,https://task.epwk.com/862507/,118人,1人,"¥3,900",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,微信代运营,直接雇佣￥ 3900,￥ 3900,任务编号：862507,328-412.csv,,,,,,"微信运营, 代运营"
【直播】教育平台网站开发,https://task.epwk.com/862509/,126人,1人,"¥20,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,教育平台网站开发,直接雇佣￥ 20000,￥ 20000,任务编号：862509,328-412.csv,,,,,,"教育平台, 网站开发"
【其他行业】娱乐成品源码尾款,https://task.epwk.com/862512/,114人,1人,"¥20,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,娱乐成品源码尾款,直接雇佣￥ 20000,￥ 20000,任务编号：862512,328-412.csv,,,,,,"娱乐成品, 源码, 尾款"
微信小程序开发,https://task.epwk.com/862514/,157人,1人,"¥37,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,微信小程序开发,直接雇佣￥ 37000,￥ 37000,任务编号：862514,328-412.csv,,,,,,"微信小程序, 开发"
【LOGO设计】美团外卖logo设计,https://task.epwk.com/862518/,116人,1人,¥600,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,美团外卖logo设计,直接雇佣￥ 600,￥ 600,任务编号：862518,328-412.csv,,,,,,"美团外卖, logo设计"
【LOGO设计】农副产品logo,https://task.epwk.com/862527/,57人,1人,¥600,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,农副产品logo,直接雇佣￥ 600,￥ 600,任务编号：862527,328-412.csv,,,,,,"农副产品, logo"
【旅游出行】外送定位软件开发三期,https://task.epwk.com/862529/,244人,1人,"¥50,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,外送定位软件开发三期,直接雇佣￥ 50000,￥ 50000,任务编号：862529,328-412.csv,,,,,,"外送定位, 软件开发, 三期"
【LOGO设计】快餐店标志设计,https://task.epwk.com/862534/,79人,1人,¥600,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,快餐店标志设计,直接雇佣￥ 600,￥ 600,任务编号：862534,328-412.csv,,,,,,"快餐店, 标志设计"
【LOGO设计】中餐馆logo,https://task.epwk.com/862537/,167人,1人,¥600,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,中餐馆logo,直接雇佣￥ 600,￥ 600,任务编号：862537,328-412.csv,,,,,,"中餐馆, logo"
游戏策划UI设计三期款,https://task.epwk.com/862540/,82人,1人,"¥49,880",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,游戏策划UI设计三期款,直接雇佣￥ 49880,￥ 49880,任务编号：862540,328-412.csv,,,,,,"游戏策划, UI设计, 三期款"
视频教育直播 app二期加功能,https://task.epwk.com/862542/,47人,1人,"¥49,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,视频教育直播 app二期加功能,直接雇佣￥ 49000,￥ 49000,任务编号：862542,328-412.csv,,,,,,"视频教育, 直播, app功能"
【LOGO设计】品牌logo,https://task.epwk.com/862544/,68人,1人,¥500,圆满完成,https://task.epwk.com/page405.html?m=6&o=7,品牌logo,直接雇佣￥ 500,￥ 500,任务编号：862544,328-412.csv,,,,,,"品牌, logo"
【APP开发】交友APP定制开发,https://task.epwk.com/862546/,99人,1人,"¥36,000",圆满完成,https://task.epwk.com/page405.html?m=6&o=7,交友APP定制开发,直接雇佣￥ 36000,￥ 36000,任务编号：862546,328-412.csv,,,,,,"交友APP, 定制开发"
【LOGO设计】笔记本logo,https://task.epwk.com/862548/,171人,1人,¥500,圆满完成,https://task.epwk.com/page404.html?m=6&o=7,笔记本logo,直接雇佣￥ 500,￥ 500,任务编号：862548,328-412.csv,,,,,,"笔记本, logo"
自动滚屏显示提示控件开发,https://task.epwk.com/862549/,45人,1人,"¥41,500",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,自动滚屏显示提示控件开发,直接雇佣￥ 41500,￥ 41500,任务编号：862549,328-412.csv,,,,,,"自动滚屏, 提示控件, 开发"
【APP开发】交友APP二次开发,https://task.epwk.com/862551/,123人,1人,"¥24,000",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,交友APP二次开发,直接雇佣￥ 24000,￥ 24000,任务编号：862551,328-412.csv,,,,,,"交友APP, 二次开发"
机械设备软件开发四期,https://task.epwk.com/862558/,71人,1人,"¥40,040",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,机械设备软件开发四期,直接雇佣￥ 40040,￥ 40040,任务编号：862558,328-412.csv,,,,,,"机械设备软件开发, 四期"
【APP开发】定制商城小程序,https://task.epwk.com/862562/,92人,1人,"¥9,000",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,定制商城小程序,直接雇佣￥ 9000,￥ 9000,任务编号：862562,328-412.csv,,,,,,"定制商城, 小程序"
医疗课程教程app开发,https://task.epwk.com/862564/,176人,1人,"¥30,000",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,医疗课程教程app开发,直接雇佣￥ 30000,￥ 30000,任务编号：862564,328-412.csv,,,,,,"医疗课程, app开发, 教程内容"
【APP开发】商城APP二期款,https://task.epwk.com/862571/,159人,1人,"¥24,600",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,商城APP二期款,直接雇佣￥ 24600,￥ 24600,任务编号：862571,328-412.csv,,,,,,"商城APP, 二期款"
【APP开发】商城小程序二次开发,https://task.epwk.com/862579/,76人,1人,"¥6,000",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,商城小程序二次开发,直接雇佣￥ 6000,￥ 6000,任务编号：862579,328-412.csv,,,,,,"商城小程序, 二次开发"
【小程序开发】类似滴滴打车小程序开发,https://task.epwk.com/862583/,167人,1人,"¥33,670",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,类似滴滴打车小程序开发,直接雇佣￥ 33670,￥ 33670,任务编号：862583,328-412.csv,,,,,,"滴滴打车, 小程序开发"
【APP开发】企业网站定制,https://task.epwk.com/862585/,112人,1人,"¥5,000",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,企业网站定制,直接雇佣￥ 5000,￥ 5000,任务编号：862585,328-412.csv,,,,,,"企业网站, 定制"
文化建设,https://task.epwk.com/862592/,52人,1人,"¥22,100",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,文化建设,直接雇佣￥ 22100,￥ 22100,任务编号：862592,328-412.csv,,,,,,文化建设
【APP开发】企业网站,https://task.epwk.com/862594/,105人,1人,"¥2,000",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,企业网站,直接雇佣￥ 2000,￥ 2000,任务编号：862594,328-412.csv,,,,,,"企业网站, 网站设计"
【APP开发】医美app、教育app,https://task.epwk.com/862595/,88人,1人,"¥16,000",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,医美app、教育app,直接雇佣￥ 16000,￥ 16000,任务编号：862595,328-412.csv,,,,,,"医美app, 教育app"
【APP开发】商城系统pc,https://task.epwk.com/862596/,76人,1人,"¥36,000",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,商城系统pc,直接雇佣￥ 36000,￥ 36000,任务编号：862596,328-412.csv,,,,,,"商城系统, PC端设计"
【APP开发】鲜花商城APP,https://task.epwk.com/862597/,86人,1人,"¥15,000",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,鲜花商城APP,直接雇佣￥ 15000,￥ 15000,任务编号：862597,328-412.csv,,,,,,"鲜花商城, APP"
【APP开发】点评、家政、运动健康、代驾、乘车、快递、外卖等app,https://task.epwk.com/862598/,122人,1人,"¥48,000",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,点评、家政、运动健康、代驾、乘车、快递、外卖等app,直接雇佣￥ 48000,￥ 48000,任务编号：862598,328-412.csv,,,,,,"点评, 家政, 运动健康, 代驾, 乘车, 快递, 外卖"
【APP开发】小程序开发,https://task.epwk.com/862603/,114人,1人,"¥3,000",圆满完成,https://task.epwk.com/page404.html?m=6&o=7,小程序开发,直接雇佣￥ 3000,￥ 3000,任务编号：862603,328-412.csv,,,,,,小程序开发
