标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,知识
宣传设计画面,https://task.epwk.com/373322/,205人,1人,¥600,圆满完成,https://task.epwk.com/page2913.html?m=6&o=7,宣传设计画面,直接雇佣￥ 600,￥ 600,任务编号：373322,2900-3152.csv,,,,,,,,"宣传设计, 画面"
驾校logo设计,https://task.epwk.com/373326/,218人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2913.html?m=6&o=7,驾校logo设计,直接雇佣￥ 1000,￥ 1000,任务编号：373326,2900-3152.csv,,,,,,,,"驾校, logo设计"
生物行业企业网站建设,https://task.epwk.com/373327/,146人,1人,"¥23,700",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,生物行业企业网站建设,直接雇佣￥ 23700,￥ 23700,任务编号：373327,2900-3152.csv,,,,,,,,"生物行业, 企业网站, 网站建设"
投资企业网站开发,https://task.epwk.com/373328/,116人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,投资企业网站开发,直接雇佣￥ 30000,￥ 30000,任务编号：373328,2900-3152.csv,,,,,,,,"企业网站, 网站开发"
【网站优化方案】网站流量推广（二）,https://task.epwk.com/373336/,347人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,网站流量推广（二）,直接雇佣￥ 10000,￥ 10000,任务编号：373336,2900-3152.csv,,,,,,,,"网站流量, 推广"
网站修改,https://task.epwk.com/373356/,171人,1人,¥800,圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,网站修改,直接雇佣￥ 800,￥ 800,任务编号：373356,2900-3152.csv,,,,,,,,网站修改
宣传片制作,https://task.epwk.com/373361/,544人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,宣传片制作,直接雇佣￥ 10000,￥ 10000,任务编号：373361,2900-3152.csv,,,,,,,,"宣传片, 制作"
【企业官网】B2B2C商城开发,https://task.epwk.com/373380/,285人,1人,"¥90,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,B2B2C商城开发,直接雇佣￥ 90000,￥ 90000,任务编号：373380,2900-3152.csv,,,,,,,,"B2B2C商城, 商城开发"
【企业官网】商城的app开发 ios应用,https://task.epwk.com/373384/,319人,1人,"¥80,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,商城的app开发 ios应用,直接雇佣￥ 80000,￥ 80000,任务编号：373384,2900-3152.csv,,,,,,,,"商城app, ios应用"
【企业官网】商城的app开发 安卓应用,https://task.epwk.com/373385/,218人,1人,"¥70,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,商城的app开发 安卓应用,直接雇佣￥ 70000,￥ 70000,任务编号：373385,2900-3152.csv,,,,,,,,"商城app, 安卓应用"
书法字抠图,https://task.epwk.com/373387/,396人,1人,¥100,圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,书法字抠图,直接雇佣￥ 100,￥ 100,任务编号：373387,2900-3152.csv,,,,,,,,"书法字, 抠图"
【企业官网】商城功能添加 地图定位功能和及时聊天功能,https://task.epwk.com/373389/,393人,1人,"¥60,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,商城功能添加 地图定位功能和及时聊天功能,直接雇佣￥ 60000,￥ 60000,任务编号：373389,2900-3152.csv,,,,,,,,"商城功能, 地图定位, 即时聊天"
【APP开发】微信商城开发,https://task.epwk.com/373399/,457人,1人,"¥35,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,微信商城开发,直接雇佣￥ 35000,￥ 35000,任务编号：373399,2900-3152.csv,,,,,,,,"微信商城, 开发"
【APP开发】微信商城开发（后端）,https://task.epwk.com/373400/,197人,1人,"¥25,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,微信商城开发（后端）,直接雇佣￥ 25000,￥ 25000,任务编号：373400,2900-3152.csv,,,,,,,,"微信商城, 后端开发"
食品图片,https://task.epwk.com/373405/,84人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,食品图片,直接雇佣￥ 10000,￥ 10000,任务编号：373405,2900-3152.csv,,,,,,,,食品图片
【营销型网站】社交类app的开发 ios,https://task.epwk.com/373420/,392人,1人,"¥60,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,社交类app的开发 ios,直接雇佣￥ 60000,￥ 60000,任务编号：373420,2900-3152.csv,,,,,,,,"社交类app, ios开发"
【APP开发】社交类app的开发 安卓,https://task.epwk.com/373421/,190人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,社交类app的开发 安卓,直接雇佣￥ 40000,￥ 40000,任务编号：373421,2900-3152.csv,,,,,,,,"社交类app, 安卓开发"
【包装设计】柏莱雅针织品包装设计,https://task.epwk.com/373423/,263人,1人,"¥6,416",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,柏莱雅针织品包装设计,直接雇佣￥ 6416,￥ 6416,任务编号：373423,2900-3152.csv,,,,,,,,"柏莱雅, 针织品, 包装设计"
蔓瑞钢琴图书封面封底设计、蔓瑞钢琴品牌有关VI设计,https://task.epwk.com/373424/,243人,1人,"¥2,300",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,蔓瑞钢琴图书封面封底设计、蔓瑞钢琴品牌有关VI设计,直接雇佣￥ 2300,￥ 2300,任务编号：373424,2900-3152.csv,,,,,,,,"钢琴图书封面, 钢琴品牌VI设计"
【小程序开发】物流ERP开发（一）,https://task.epwk.com/373426/,188人,1人,"¥22,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,物流ERP开发（一）,直接雇佣￥ 22000,￥ 22000,任务编号：373426,2900-3152.csv,,,,,,,,"物流ERP, 开发"
【小程序开发】物流ERP开发（二）,https://task.epwk.com/373427/,156人,1人,"¥28,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,物流ERP开发（二）,直接雇佣￥ 28000,￥ 28000,任务编号：373427,2900-3152.csv,,,,,,,,"物流ERP, 开发"
【包装设计】产品包装设计,https://task.epwk.com/373435/,225人,1人,"¥1,200",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,产品包装设计,直接雇佣￥ 1200,￥ 1200,任务编号：373435,2900-3152.csv,,,,,,,,"产品包装, 设计"
【包装设计】三款套盒的包装,https://task.epwk.com/373439/,203人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,三款套盒的包装,直接雇佣￥ 5000,￥ 5000,任务编号：373439,2900-3152.csv,,,,,,,,"三款套盒, 包装设计"
开发一个单页网站,https://task.epwk.com/373441/,166人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,开发一个单页网站,直接雇佣￥ 1000,￥ 1000,任务编号：373441,2900-3152.csv,,,,,,,,"单页网站, 网站开发"
【LOGO设计】天途电脑VI设计,https://task.epwk.com/373447/,192人,1人,"¥5,200",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,天途电脑VI设计,直接雇佣￥ 5200,￥ 5200,任务编号：373447,2900-3152.csv,,,,,,,,"天途电脑, VI设计"
电子商务网站开发,https://task.epwk.com/373454/,123人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,电子商务网站开发,直接雇佣￥ 20000,￥ 20000,任务编号：373454,2900-3152.csv,,,,,,,,"电子商务网站, 网站开发"
【企业官网】电商网站UI设计美化,https://task.epwk.com/373469/,270人,1人,"¥15,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,电商网站UI设计美化,直接雇佣￥ 15000,￥ 15000,任务编号：373469,2900-3152.csv,,,,,,,,"电商网站, UI设计, 美化"
【电商网站】数码产品电子商城建设,https://task.epwk.com/373477/,285人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,数码产品电子商城建设,直接雇佣￥ 10000,￥ 10000,任务编号：373477,2900-3152.csv,,,,,,,,"数码产品, 电子商城, 建设"
现代汽车图库,https://task.epwk.com/373503/,132人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,现代汽车图库,直接雇佣￥ 20000,￥ 20000,任务编号：373503,2900-3152.csv,,,,,,,,"现代汽车, 图库"
【APP开发】财务软件二次开发,https://task.epwk.com/373506/,184人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,财务软件二次开发,直接雇佣￥ 50000,￥ 50000,任务编号：373506,2900-3152.csv,,,,,,,,"财务软件, 二次开发"
【包装设计】电子产品包装设计,https://task.epwk.com/373507/,265人,1人,"¥8,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,电子产品包装设计,直接雇佣￥ 8000,￥ 8000,任务编号：373507,2900-3152.csv,,,,,,,,"电子产品包装, 设计"
【电商网站】财务公司咨询系统开发,https://task.epwk.com/373508/,276人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2912.html?m=6&o=7,财务公司咨询系统开发,直接雇佣￥ 50000,￥ 50000,任务编号：373508,2900-3152.csv,,,,,,,,"财务公司, 咨询系统, 系统开发"
视频制作,https://task.epwk.com/373521/,326人,1人,"¥9,750",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,视频制作,直接雇佣￥ 9750,￥ 9750,任务编号：373521,2900-3152.csv,,,,,,,,视频制作
手机app开发,https://task.epwk.com/373523/,100人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,手机app开发,直接雇佣￥ 10000,￥ 10000,任务编号：373523,2900-3152.csv,,,,,,,,"手机app, 开发"
【电商网站】单用户电商网站建设,https://task.epwk.com/373528/,271人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,单用户电商网站建设,直接雇佣￥ 3000,￥ 3000,任务编号：373528,2900-3152.csv,,,,,,,,"单用户电商, 网站建设"
汽车公司企业网站开发,https://task.epwk.com/373536/,155人,1人,"¥3,500",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,汽车公司企业网站开发,直接雇佣￥ 3500,￥ 3500,任务编号：373536,2900-3152.csv,,,,,,,,"企业网站, 汽车公司"
【LOGO设计】APP logo设计,https://task.epwk.com/373545/,259人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,APP logo设计,直接雇佣￥ 1000,￥ 1000,任务编号：373545,2900-3152.csv,,,,,,,,"APP logo, 设计"
【企业官网】金融理财网站建设,https://task.epwk.com/373546/,181人,1人,"¥35,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,金融理财网站建设,直接雇佣￥ 35000,￥ 35000,任务编号：373546,2900-3152.csv,,,,,,,,"金融理财, 网站建设"
增加改动首页,https://task.epwk.com/373553/,239人,1人,¥200,圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,增加改动首页,直接雇佣￥ 200,￥ 200,任务编号：373553,2900-3152.csv,,,,,,,,"首页, 改动"
【电商网站】B2C电商平台网站设计开发,https://task.epwk.com/373554/,396人,1人,"¥43,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,B2C电商平台网站设计开发,直接雇佣￥ 43000,￥ 43000,任务编号：373554,2900-3152.csv,,,,,,,,"B2C电商, 网站设计, 网站开发"
【电商网站】WAP商城网站制作,https://task.epwk.com/373556/,393人,1人,"¥13,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,WAP商城网站制作,直接雇佣￥ 13000,￥ 13000,任务编号：373556,2900-3152.csv,,,,,,,,"WAP商城, 网站制作"
【广告设计】房产公司广告设计,https://task.epwk.com/373578/,221人,1人,"¥19,995",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,房产公司广告设计,直接雇佣￥ 19995,￥ 19995,任务编号：373578,2900-3152.csv,,,,,,,,"房产广告, 公司形象设计"
【企业官网】网站二次开发第二期,https://task.epwk.com/373583/,151人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,网站二次开发第二期,直接雇佣￥ 10000,￥ 10000,任务编号：373583,2900-3152.csv,,,,,,,,"网站二次开发, 第二期"
酒店设计效果图,https://task.epwk.com/373584/,205人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,酒店设计效果图,直接雇佣￥ 20000,￥ 20000,任务编号：373584,2900-3152.csv,,,,,,,,"酒店设计, 效果图"
专题页设计和制作,https://task.epwk.com/373599/,315人,1人,"¥2,500",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,专题页设计和制作,直接雇佣￥ 2500,￥ 2500,任务编号：373599,2900-3152.csv,,,,,,,,"专题页设计, 专题页制作"
一个小型网站外包开发,https://task.epwk.com/373606/,124人,1人,"¥6,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,一个小型网站外包开发,直接雇佣￥ 6000,￥ 6000,任务编号：373606,2900-3152.csv,,,,,,,,"网站外包, 开发"
【其他软件开发】企业ERP综合管理系统 一期,https://task.epwk.com/373607/,286人,1人,"¥60,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,企业ERP综合管理系统 一期,直接雇佣￥ 60000,￥ 60000,任务编号：373607,2900-3152.csv,,,,,,,,"企业ERP, 综合管理系统, 一期"
【其他软件开发】企业ERP综合管理系统 二期,https://task.epwk.com/373609/,257人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,企业ERP综合管理系统 二期,直接雇佣￥ 50000,￥ 50000,任务编号：373609,2900-3152.csv,,,,,,,,"企业ERP, 系统, 二期"
【产品卖点】软文发布,https://task.epwk.com/373610/,489人,1人,¥800,圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,软文发布,直接雇佣￥ 800,￥ 800,任务编号：373610,2900-3152.csv,,,,,,,,"软文, 发布"
【其他软件开发】找车软件,https://task.epwk.com/373611/,209人,1人,"¥34,800",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,找车软件,直接雇佣￥ 34800,￥ 34800,任务编号：373611,2900-3152.csv,,,,,,,,找车软件
【APP开发】药材店网站APP开发,https://task.epwk.com/373617/,464人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,药材店网站APP开发,直接雇佣￥ 10000,￥ 10000,任务编号：373617,2900-3152.csv,,,,,,,,"药材店网站, APP开发"
【电商网站】多用户商城开发,https://task.epwk.com/373618/,388人,1人,"¥15,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,多用户商城开发,直接雇佣￥ 15000,￥ 15000,任务编号：373618,2900-3152.csv,,,,,,,,"多用户商城, 开发"
【APP开发】药材店网站IOS版应用开发,https://task.epwk.com/373619/,377人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,药材店网站IOS版应用开发,直接雇佣￥ 10000,￥ 10000,任务编号：373619,2900-3152.csv,,,,,,,,"药材店网站, IOS应用, 应用开发"
【小程序开发】做一个中医体质辨识系统,https://task.epwk.com/373635/,252人,1人,"¥5,001",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,做一个中医体质辨识系统,直接雇佣￥ 5001,￥ 5001,任务编号：373635,2900-3152.csv,,,,,,,,"中医体质辨识, 系统开发"
【网站UI设计】企业VI整体设计,https://task.epwk.com/373638/,341人,1人,"¥9,732",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,企业VI整体设计,直接雇佣￥ 9732,￥ 9732,任务编号：373638,2900-3152.csv,,,,,,,,"企业VI, 整体设计"
百花网商城开发,https://task.epwk.com/373640/,400人,1人,"¥15,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,百花网商城开发,直接雇佣￥ 15000,￥ 15000,任务编号：373640,2900-3152.csv,,,,,,,,"百花网商城, 开发"
手机站源码开发,https://task.epwk.com/373641/,111人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,手机站源码开发,直接雇佣￥ 10000,￥ 10000,任务编号：373641,2900-3152.csv,,,,,,,,"手机站, 源码开发"
微信企业网站带分享,https://task.epwk.com/373650/,124人,1人,"¥14,359",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,微信企业网站带分享,直接雇佣￥ 14359,￥ 14359,任务编号：373650,2900-3152.csv,,,,,,,,"微信企业网站, 分享功能"
【电商网站】在线开发电商网站,https://task.epwk.com/373653/,336人,1人,"¥48,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,在线开发电商网站,直接雇佣￥ 48000,￥ 48000,任务编号：373653,2900-3152.csv,,,,,,,,"电商网站, 在线开发"
.net+html5+CSS3源码,https://task.epwk.com/373657/,138人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,.net+html5+CSS3源码,直接雇佣￥ 10000,￥ 10000,任务编号：373657,2900-3152.csv,,,,,,,,".net, html5, css3"
电商网站架构搭建,https://task.epwk.com/373664/,223人,1人,"¥17,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,电商网站架构搭建,直接雇佣￥ 17000,￥ 17000,任务编号：373664,2900-3152.csv,,,,,,,,"电商网站, 架构设计"
【企业官网】生物医药专业网站建设第二期,https://task.epwk.com/373665/,157人,1人,"¥12,000",圆满完成,https://task.epwk.com/page2911.html?m=6&o=7,生物医药专业网站建设第二期,直接雇佣￥ 12000,￥ 12000,任务编号：373665,2900-3152.csv,,,,,,,,"生物医药专业网站, 建设, 第二期"
LOGO设计,https://task.epwk.com/373669/,98人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,LOGO设计,直接雇佣￥ 5000,￥ 5000,任务编号：373669,2900-3152.csv,,,,,,,,LOGO设计
ui设计,https://task.epwk.com/373671/,105人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,ui设计,直接雇佣￥ 5000,￥ 5000,任务编号：373671,2900-3152.csv,,,,,,,,UI设计
【企业官网】生物医药专业网站建设,https://task.epwk.com/373672/,110人,1人,"¥26,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,生物医药专业网站建设,直接雇佣￥ 26000,￥ 26000,任务编号：373672,2900-3152.csv,,,,,,,,"生物医药专业, 网站建设"
APPCAN开发,https://task.epwk.com/373675/,51人,1人,"¥9,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,APPCAN开发,直接雇佣￥ 9000,￥ 9000,任务编号：373675,2900-3152.csv,,,,,,,,"APPCAN, 开发"
现有的微信服务号开发成便民平,https://task.epwk.com/373676/,566人,1人,"¥3,500",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,现有的微信服务号开发成便民平,直接雇佣￥ 3500,￥ 3500,任务编号：373676,2900-3152.csv,,,,,,,,"微信服务号, 便民平台"
网站二次开发第三期,https://task.epwk.com/373680/,57人,1人,"¥23,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,网站二次开发第三期,直接雇佣￥ 23000,￥ 23000,任务编号：373680,2900-3152.csv,,,,,,,,"网站二次开发, 第三期"
【企业官网】公司网站建设（前端）,https://task.epwk.com/373690/,152人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,公司网站建设（前端）,直接雇佣￥ 30000,￥ 30000,任务编号：373690,2900-3152.csv,,,,,,,,"公司网站, 前端开发"
【企业官网】公司网站建设（后端）,https://task.epwk.com/373693/,174人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,公司网站建设（后端）,直接雇佣￥ 30000,￥ 30000,任务编号：373693,2900-3152.csv,,,,,,,,"公司网站, 后端开发"
【园林设计】教学楼广场效果图制作,https://task.epwk.com/373697/,1266人,1人,¥500,圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,教学楼广场效果图制作,直接雇佣￥ 500,￥ 500,任务编号：373697,2900-3152.csv,,,,,,,,"教学楼广场, 效果图, 制作"
【网站优化方案】网站流量推广（三）,https://task.epwk.com/373698/,332人,1人,"¥12,500",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,网站流量推广（三）,直接雇佣￥ 12500,￥ 12500,任务编号：373698,2900-3152.csv,,,,,,,,"网站流量, 推广"
【手机网站】企业网站制作,https://task.epwk.com/373707/,228人,1人,"¥12,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,企业网站制作,直接雇佣￥ 12000,￥ 12000,任务编号：373707,2900-3152.csv,,,,,,,,"企业网站, 网站制作"
西餐厅标志设计,https://task.epwk.com/373737/,152人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,西餐厅标志设计,直接雇佣￥ 5000,￥ 5000,任务编号：373737,2900-3152.csv,,,,,,,,"西餐厅, 标志设计"
【微信开发】O2O微信公众平台开发,https://task.epwk.com/373742/,250人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,O2O微信公众平台开发,直接雇佣￥ 10000,￥ 10000,任务编号：373742,2900-3152.csv,,,,,,,,"O2O, 微信公众号"
临水小别墅建筑方案设计,https://task.epwk.com/373746/,277人,1人,¥100,圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,临水小别墅建筑方案设计,直接雇佣￥ 100,￥ 100,任务编号：373746,2900-3152.csv,,,,,,,,"临水小别墅, 建筑方案, 设计"
【企业官网】做几个简单的页面,https://task.epwk.com/373750/,142人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,做几个简单的页面,直接雇佣￥ 1000,￥ 1000,任务编号：373750,2900-3152.csv,,,,,,,,"网页设计, 页面设计"
【营销型网站】食品商城网站的开发,https://task.epwk.com/373757/,822人,1人,"¥60,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,食品商城网站的开发,直接雇佣￥ 60000,￥ 60000,任务编号：373757,2900-3152.csv,,,,,,,,"食品商城, 网站开发"
【营销型网站】食品商城网站的开发 二期,https://task.epwk.com/373759/,269人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,食品商城网站的开发 二期,直接雇佣￥ 40000,￥ 40000,任务编号：373759,2900-3152.csv,,,,,,,,"食品商城, 网站开发, 二期"
【小程序开发】食品公司官网仿站建设,https://task.epwk.com/373765/,178人,1人,"¥9,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,食品公司官网仿站建设,直接雇佣￥ 9000,￥ 9000,任务编号：373765,2900-3152.csv,,,,,,,,"食品公司官网, 仿站建设"
智源合益儿童手表APP界面UI设计,https://task.epwk.com/373769/,207人,1人,"¥16,800",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,智源合益儿童手表APP界面UI设计,直接雇佣￥ 16800,￥ 16800,任务编号：373769,2900-3152.csv,,,,,,,,"儿童手表, APP界面, UI设计"
【其他家装服务】小型健身房单元设计,https://task.epwk.com/373777/,603人,1人,¥500,圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,小型健身房单元设计,直接雇佣￥ 500,￥ 500,任务编号：373777,2900-3152.csv,,,,,,,,小型健身房
修改网站几个功能,https://task.epwk.com/373783/,173人,1人,"¥9,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,修改网站几个功能,直接雇佣￥ 9000,￥ 9000,任务编号：373783,2900-3152.csv,,,,,,,,"网站功能, 修改"
多媒体软件开发,https://task.epwk.com/373798/,153人,1人,"¥8,800",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,多媒体软件开发,直接雇佣￥ 8800,￥ 8800,任务编号：373798,2900-3152.csv,,,,,,,,"多媒体软件, 软件开发"
【网站UI设计】网站美工前台页面设计,https://task.epwk.com/373804/,273人,1人,"¥1,400",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,网站美工前台页面设计,直接雇佣￥ 1400,￥ 1400,任务编号：373804,2900-3152.csv,,,,,,,,"网站美工, 前台页面, 设计"
flash,https://task.epwk.com/373810/,149人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,flash,直接雇佣￥ 5000,￥ 5000,任务编号：373810,2900-3152.csv,,,,,,,,"flash动画, 动画设计"
【VI设计】LOGO加vi设计（高级版）,https://task.epwk.com/373822/,230人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,LOGO加vi设计（高级版）,直接雇佣￥ 10000,￥ 10000,任务编号：373822,2900-3152.csv,,,,,,,,"LOGO, VI设计, 高级版"
手机app开发,https://task.epwk.com/373829/,114人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,手机app开发,直接雇佣￥ 50000,￥ 50000,任务编号：373829,2900-3152.csv,,,,,,,,"手机app, 开发"
php项目部分模块二开,https://task.epwk.com/373834/,320人,1人,¥500,圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,php项目部分模块二开,直接雇佣￥ 500,￥ 500,任务编号：373834,2900-3152.csv,,,,,,,,php项目
Android开发外包，可长期合作,https://task.epwk.com/373837/,187人,1人,"¥25,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,Android开发外包，可长期合作,直接雇佣￥ 25000,￥ 25000,任务编号：373837,2900-3152.csv,,,,,,,,"Android开发, 外包合作"
4S店汽车微信公众号开发,https://task.epwk.com/373842/,328人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,4S店汽车微信公众号开发,直接雇佣￥ 20000,￥ 20000,任务编号：373842,2900-3152.csv,,,,,,,,"4S店汽车, 微信公众号"
打车APP开发,https://task.epwk.com/373845/,57人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2910.html?m=6&o=7,打车APP开发,直接雇佣￥ 10000,￥ 10000,任务编号：373845,2900-3152.csv,,,,,,,,"打车APP, 开发"
【其他软件开发】微信红包插件,https://task.epwk.com/373854/,417人,1人,"¥5,400",圆满完成,https://task.epwk.com/page2909.html?m=6&o=7,微信红包插件,直接雇佣￥ 5400,￥ 5400,任务编号：373854,2900-3152.csv,,,,,,,,"微信红包, 插件"
人物漫画,https://task.epwk.com/373859/,364人,1人,¥600,圆满完成,https://task.epwk.com/page2909.html?m=6&o=7,人物漫画,直接雇佣￥ 600,￥ 600,任务编号：373859,2900-3152.csv,,,,,,,,人物漫画
微信企业网站带分享,https://task.epwk.com/373867/,231人,1人,"¥7,000",圆满完成,https://task.epwk.com/page2909.html?m=6&o=7,微信企业网站带分享,直接雇佣￥ 7000,￥ 7000,任务编号：373867,2900-3152.csv,,,,,,,,"微信企业网站, 分享功能"
【APP开发】Android版城管通APP开发,https://task.epwk.com/373868/,327人,1人,"¥70,000",圆满完成,https://task.epwk.com/page2909.html?m=6&o=7,Android版城管通APP开发,直接雇佣￥ 70000,￥ 70000,任务编号：373868,2900-3152.csv,,,,,,,,"Android版城管通, APP开发"
【企业官网】开发网站,https://task.epwk.com/373870/,219人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2909.html?m=6&o=7,开发网站,直接雇佣￥ 30000,￥ 30000,任务编号：373870,2900-3152.csv,,,,,,,,网站开发
超级简洁官网的设计与制作,https://task.epwk.com/373874/,122人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2909.html?m=6&o=7,超级简洁官网的设计与制作,直接雇佣￥ 10000,￥ 10000,任务编号：373874,2900-3152.csv,,,,,,,,"超级简洁官网, 设计, 制作"
【包装设计】两个系列产品包装，共18个单品。,https://task.epwk.com/373875/,256人,1人,"¥35,000",圆满完成,https://task.epwk.com/page2909.html?m=6&o=7,两个系列产品包装，共18个单品。,直接雇佣￥ 35000,￥ 35000,任务编号：373875,2900-3152.csv,,,,,,,,"系列产品包装, 单品设计"
LOGO设计,https://task.epwk.com/373876/,324人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2909.html?m=6&o=7,LOGO设计,直接雇佣￥ 5000,￥ 5000,任务编号：373876,2900-3152.csv,,,,,,,,LOGO设计
