标题,标题链接,查看数,参与数,需求价���,状态,需求方,需求文本,发布时间,完成时间,任务编号,赏金总额,参与交稿,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12
【LOGO设计】【LOGO设计】教育/留学企业LOGO设计,https://task.epwk.com/1054174/,4635人,65人,,圆满完成,JudyHS,企业名称：嗨申留学企业经营范围：留学服务（申请的主要是学位课程，比如硕士、本科、高中）我们的广告语为：录得满意，申得容易公司特色：限量招生，口碑服务 要求：有教育的感觉，不要太卡通。 正能量，给人传递一种积极向上、满意开心的氛围。线条简洁大方，色彩别太多（我们办公室装修风格是原木风，因此色彩差别太大的比如红色紫色之类的都不太合适）。先设计图形，建议别用首字母缩写HS做引申图形和文字分开请确保没有类似商标，可以进行商标注册,2023.08.17,2023.08.30,任务编号：1054174,￥ 650,97,金生设计室,https://shop.epwk.com/4rn8qvk03ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】图标设计,https://task.epwk.com/1053929/,898人,24人,,圆满完成,鸿名杜,设计要求：用阳明两个字艺术变形成一个图标，体现山水特点，此图标主要是做旅游(漂流、露营等)服务。图标可以参考附件所画的标识来加工完成，做好图标后进行文字分析注解。,2023.08.16,2023.08.31,任务编号：1053929,￥ 500,37,KIN RABBIT,https://shop.epwk.com/rp5z411j7dx3/,KIN RABBIT,出售服务,https://shop.epwk.com/rp5z411j7dx3/chushou/,工作室,一品,67分,,,KIN RABBIT,,,,,,,,,,,,,,,,,,,
【封面设计】数模注塑模经典结构设计教程,https://task.epwk.com/1053902/,324人,6人,,圆满完成,数模科技,书名：数模注塑模经典结构设计教程（彩色图解）公司内部印刷图书的封面，和底页，A4尺寸，图书属于注塑模具教材，约400页，计划印刷1000册，要求封面颜色鲜明，立体感强，体现机械模具的行业特色，可以用封面的图片做素材,2023.08.16,2023.08.22,任务编号：1053902,￥ 300,7,金海岸Design,https://shop.epwk.com/81n41o2vonp6/,金海岸Design,出售服务,https://shop.epwk.com/81n41o2vonp6/chushou/,工作室,二品,50分,,,金海岸Design,,包装设计,价格面议,封面设计,价格面议,手提袋,价格面议,宣传页,价格面议,,,,,,,,,,
【LOGO设计】民宿名字logo,https://task.epwk.com/1053836/,1326人,39人,,圆满完成,一V渡江dlO9m,简洁大方，洋气。民宿位于公寓楼内，非村里。中文： 木澜朵英文： MoonLand,2023.08.16,2023.09.07,任务编号：1053836,￥ 500,51,1号品牌设计,https://shop.epwk.com/p05qj9zlwdev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】内蒙古冷鲜牛羊肉外袋设计,https://task.epwk.com/1053829/,1423人,15人,,圆满完成,mf159****2266,1、底色最好是绿色或白色2、体现内蒙古大草原的美3、是牛羊肉的通用袋，体现天然牧场的优点4、正面有小的天窗5、大气，简洁6、北纬45度黄金牧场直供、锡林郭勒大草原、原生态牧场这些文字可以选择性的放在设计里，也可以有更优的,2023.08.16,2023.09.05,任务编号：1053829,￥ 1000,12,星玥设计,https://shop.epwk.com/z2nkzpv42nqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【LOGO设计】""红色越律""党建""子品牌""LOGO设计",https://task.epwk.com/1053779/,3007人,36人,,圆满完成,小王哥,一、项目介绍【地区简要介绍】：诸暨是毛主席所题“枫桥经验”的诞生地，是越国古都，也是古代四大美女“西施”的故里。【项目背景介绍】党建引领促发展，品牌示范树先锋。近年来，绍兴市司法局紧紧围绕“红色越律”党建“主品牌”，在全市律师行业积极打造和培育了一批具有绍兴辨识度的“党建品牌”。（可参考一些党建品牌的链接：https://mp.weixin.qq.com/s/GlprDc36FjEEJwwnySsTRQ【项目设计的主题】本次项目设计是诸暨市司法局在落实绍兴市司法局“红色越律”党建“主品牌”的基础上，以“诸暨”为地域主题元素创建的地区“子品牌”（目前“子品牌”暂定名“新枫越律”）。“新枫越律”体现了“枫桥经验”的创新发展，又体现了诸暨的地域属性和律师的行业属性。诸暨律师行业的相关介绍可参见附件。 二、项目设计内容1、“新枫越律”的LOGO设计。包括标志、标准字、标准色及配色方案，以及设计说明。3、VI应用范围：文化衫、宣传用的旗子、横幅、一次性纸杯、以LOGO为核心的PPT模板、法律服务合同书、手提袋等。 三、设计要求LOGO的样式：应庄重、简洁、美观大气。既要符合律师行业的特点、又要突出“党建”的主题，同时要有“诸暨”的特色元素。构思精巧，简洁明快，色彩协调，健康向上，有独特的创意，易懂、易记、易识别、易制作，有强烈的视觉冲击力和直观的整体美感，有较强的思想性、艺术性、感染力和时代感。 四、法律声明1、所设计的作品应为原创，能通过国家商标局商标注册审核，未侵犯他人著作权及其他在先合法权利；保证非改编、编撰等演绎作品；并保证不会侵犯他人版权、肖像权、名誉权等知识产权的合法权益。任何由此产生的法律风险请设计者自行承担（包括但不限于退还已经支付的奖金及承担我单位其他因此造成的损失）。如经发现某作品此前以某种形式发表或公开展示过一律算无效作品，投稿者不得有异议。2、作品一经采用，著作权、所有权、修改权、使用权归我单位所有；同时我单位有权以任何方式使用该作品，创作者不得再在其他任何地方使用该作品。　　3、设计方必须提供设计作品完整的、可用的矢量图原文件和所用到的字体及LOGO创意说明，可进行修改排版印刷文档。 　　4、我方支付中标作品报酬后，即拥有该作品完整的知识产权，包括商标权、著作权等。 　　5、投稿人至招标结束一直未获得我单位采用通知的，可以将投稿作品作其他用途，但必须先除去稿件中我公司及相关标识的任何元素。  6、投稿人请自行保留投稿作品的底稿，我单位不予退稿。我单位对本征集活动保留最终解释权。    7、参加设计投稿者，视为接受本文件中的所有条件。,2023.08.15,2023.09.12,任务编号：1053779,￥ 1000,53,深圳非凡设计工作室,https://shop.epwk.com/78dljyqv65lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】青岛华思泰新材料科技有限公司,https://task.epwk.com/1053770/,4403人,67人,,圆满完成,mf139****6001,1 logo设计要求立意新颖，构思巧妙2 公司行业：主要生产塑料管材管件，用于市政排污排水的连接，城市供暖管道的保护，石油天然气的防腐，公司是行业里的佼佼者，logo设计尽可能体现3 公司名字里有华这个字，所有公司底色要有国旗红：红色， 因为是在青岛，所有要有大海一样的胸怀和颜色：蓝色：因为有泰，所以要体现向泰山一样的稳重和巍峨，并且要有山的颜色：黑色（或者灰色），所以企业三原色：红蓝黑（灰）要在logo体现4 产品包装对外宣传企业文化与企业理念也可以给一个推荐,2023.08.15,2023.09.07,任务编号：1053770,￥ 1200,88,金生设计室,https://shop.epwk.com/4rn8qvk03ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【产品外观设计】手电筒纹路设计,https://task.epwk.com/1053670/,1157人,9人,,圆满完成,herngee,如图所示，这是一款直筒型手电筒，我需要在上面增加纹路。直径1.85cm筒身部分长4.8cm灯头长部分 2.7cm 筒身和灯头部分的纹路，最好不相同，可以相互补充，协调。通过拧开灯头放电池。 设计要求，原创设计，不抄袭。以下三个需求，选一个设计，后面选稿确定后，会再继续合作另外两款设计。 需求1 我喜欢这种螺旋式的纹路，参考下列这只手电筒的纹路设计，筒身和灯头都需要设计，（但图中的手电筒纹路，一定要有较大的改变，要不然容易被人告抄袭。）还可以参考广州塔的设计。螺旋环绕式，或者螺旋不规则设计。 需求2参考埃菲尔铁塔的纹路设计，但这个的要求，不能每一层都一样，需图所示，比如从上往下（或从下往上）先由原来的较宽的结构，慢慢收紧。 需求3参加比萨斜塔的设计，直接是一层一层的拱门。  以上三个需求，选其中一个设计交稿，目前给的参考图是黑色的，可以根据你们的设计，给换颜色（但只能是单一颜色），如深灰色，银本色等。如能多交作品，赞赏。,2023.08.14,2023.08.28,任务编号：1053670,￥ 700,18,colie视觉设计,https://shop.epwk.com/78dlj08vl5lx/,colie视觉设计,出售服务,https://shop.epwk.com/78dlj08vl5lx/chushou/,个人,五品,36分,,,colie视觉设计,,,,,,,,,,,,,,,,,,,
【LOGO设计】公司logo设计,https://task.epwk.com/1053496/,1506人,36人,,圆满完成,o60a9246bd5168,"企业名称:四川汉州物业服务集团有限公司

主营:物业服务、电梯销售安装、建筑工程、生态文旅等",2023.08.13,2023.08.25,任务编号：1053496,￥ 600,46,速 豹 品 牌 设 计,https://shop.epwk.com/0jnekk24xnv3/,速 豹 品 牌 设 计,出售服务,https://shop.epwk.com/0jnekk24xnv3/chushou/,工作室,一品,58分,,,速 豹 品 牌 设 计,,十年老品牌 品质有保障 客户的需求 就是我们的要求！,￥500,,,,,,,,,,,,,,,,
【LOGO设计】田园综合体场所logo设计,https://task.epwk.com/1053460/,1074人,36人,,圆满完成,o60a9246bd5168,名称:  西川·鹿野苑文旅项目业态，范围涉及:休闲康养、生态农庄、亲子游玩等田园综合体,2023.08.13,2023.09.01,任务编号：1053460,￥ 600,44,凡人设计工作室,https://shop.epwk.com/89dvgxy1ldl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】“敦煌论坛”LOGO设计,https://task.epwk.com/1053446/,823人,27人,,圆满完成,迪特利yGZ1c,以“敦煌论坛”四个字设计一款LOGO 图形加文字，要原创，下面一个有参考，设计之前请了解一下敦煌文化,2023.08.12,2023.09.02,任务编号：1053446,￥ 500,38,未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,,,,,,,,,,,
【LOGO设计】公司LOGO设计,https://task.epwk.com/1053398/,1226人,39人,,圆满完成,麦阁AVkj0,LOGO设计：梅捷新能源，做一个图形+文字，要有创意。原来的LOGO仅供参考如,2023.08.11,2023.08.31,任务编号：1053398,￥ 500,47,未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,,,,,,,,,,,
【LOGO设计】软件公司logo，名片设计,https://task.epwk.com/1053384/,1832人,45人,,圆满完成,winsoft,"公司名：上海易点点软件开发有限公司中文简称：易点点英文简称：EasyClickShang Hai EasyClick Software Development Co., Ltd要求：主题色可以是：橘色 或 科技蓝Logo要体现软件，科技公司可以用易点点文字变形，也可以用EasyClick英文来变形名片要符合软件公司气质，可以上面体现一些代码相关的。",2023.08.11,2023.08.22,任务编号：1053384,￥ 600,64,星玥设计,https://shop.epwk.com/z2nkzpv42nqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】维熙运动优品,https://task.epwk.com/1053309/,688人,22人,,圆满完成,o5cebb0b3c2491,主要做的是跟自行车相关的产品：自行车配件，自行车整车，山地车，死飞车，BMX等车型LOGO 要求运动风格 偏硬朗一点的风格LOGO文字：维熙运动   优品绿色低碳 .智能出行具本排版见附件可以按附件中的排版设置也可以设置横版的格式，附件图片中有个黑色的框，你们可以自由发挥，要也可以不要也行，但上面的字是要的时间，越快越好，最好在1-2天内完成,2023.08.11,2023.08.19,任务编号：1053309,￥ 500,29,明弈设计工作室,https://shop.epwk.com/rp5z4v7r8dx3/,明弈设计工作室,出售服务,https://shop.epwk.com/rp5z4v7r8dx3/chushou/,工作室,四品,55分,总 32 次中标，交易总金额,￥1.72万,明弈设计工作室,,创意海报设计,价格面议,创意手绘设计,价格面议,创意包装设计,价格面议,创意详情页设计,价格面议,,,,,,,,,,
【LOGO设计】心理咨询公司logo设计,https://task.epwk.com/1053228/,1618人,33人,,圆满完成,多财多亿,1、公司名称：山东人和心理咨询服务有限公司 。2、设计理念：通过自身努力，使得人和人之间关系融洽，社会和谐。3、构图简单易懂，符合行业特点，简约大气，易被人接受。,2023.08.10,2023.09.22,任务编号：1053228,￥ 500,47,宇易品牌策划,https://shop.epwk.com/m7d7wz62w5q8/,宇易品牌策划,出售服务,https://shop.epwk.com/m7d7wz62w5q8/chushou/,工作室,三品,43分,,,宇易品牌策划,,LOGO设计,"￥300
            /日",,,,,,,,,,,,,,,,
【产品外观设计】宠物猫房子外观设计,https://task.epwk.com/1053216/,1070人,9人,,圆满完成,君客行dertx,"设计要以年轻人喜欢的元素主要是以猫住的纸质猫房子.颜色及设计不要让猫看到害怕没有特别要求,但要有一定的特色.",2023.08.10,2023.09.06,任务编号：1053216,￥ 600,11,青衣舞水伴青山,https://shop.epwk.com/zqdplekxkn1v/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】给礼品公司设计一个LOGO,https://task.epwk.com/1053212/,5022人,70人,,圆满完成,创意就是生产力,给一个做礼品开发的文创公司设计LOGO公司名称：君子礼 设计方向建议：1、玉：可以体现玉的感觉；2、君子：儒家认为君子应当是外带恭顺，内具坚韧；光华内敛不彰不显；谦虚而严格要求自己；君子温其如玉，大雅卓尔不群。3、君子的造型，外形简洁憨厚。文质彬彬，温文儒雅。4、谦谦如玉，铮铮如铁：金玉组合。5、莲花：出淤泥而不染 濯清涟而不妖。6、崇尚自由，思想自由。翱翔。 不要用汉字或者首字母做设计，可以参考附件图片的样式。,2023.08.10,2023.09.10,任务编号：1053212,￥ 1000,86,北京大匠设计工作室,https://shop.epwk.com/2j5jjy6825pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】新能源运营公司LOGO设计,https://task.epwk.com/1053047/,2863人,53人,,圆满完成,rongshengjiaoyu,一：设计内容：钦电新能源运营管理有限公司LOGO。二：设计要求1、公司为新能源运营管理公司，LOGO风格自由发挥；2、公司经营内容主要是风电、太阳能的运营维护。包含发电技术服务（风力、太阳能），信息系统运行服务，信息系统集成服务，工程管理服务，新能源技术研发，发电设备销售维护租赁等；3、简洁、大方、辨识度高；4、附上效果图供参考。三：知识产权：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改，组合和应用；设计者不得再向其他任何地方使用该设计作品。3、中标设计者需开票。四：其他说明：欢迎设计师朋友积极参与，在征集结束后，我们会统一对提交稿件进行评选。谢谢。,2023.08.09,2023.09.03,任务编号：1053047,￥ 800,76,凡人设计工作室,https://shop.epwk.com/89dvgxy1ldl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【吉祥物设计】画一个卡通的爱心，见附件,https://task.epwk.com/1052957/,1588人,21人,,圆满完成,龙卷风2,画一个卡通的爱心，要求见附件,2023.08.08,2023.12.25,任务编号：1052957,￥ 500,23,立图设计,https://shop.epwk.com/9w56emz07dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】餐饮logo设计，  千喜锅贴,https://task.epwk.com/1052899/,4778人,70人,,圆满完成,o597c****51415,千喜锅贴  ，logo 简洁明了，店内经营 锅贴、混沌、面条为主,2023.08.08,2023.08.21,任务编号：1052899,￥ 500,77,诸侯视觉,https://shop.epwk.com/j7n38rkve5e1/,诸侯视觉,出售服务,https://shop.epwk.com/j7n38rkve5e1/chushou/,工作室,一品,145分,,,诸侯视觉,,诸侯视觉logo标志设计,"￥500
            /次",商城全店装修5000,￥5000,VI视觉DESIGN,"￥3000
            /日",,,,,,,,,,,,
【LOGO设计】餐厅LOGO设计,https://task.epwk.com/1052905/,1345人,28人,,圆满完成,风中芦苇,餐厅名称：鼓浪阁-闽菜馆餐厅文化：鼓浪阁闽菜馆位于厦门市海沧区，与厦门鼓浪屿风景区隔海相望，餐厅距离鼓浪屿邮轮码头（嵩屿码头）距离不到2公里。餐厅主打闽台特色及客家特色餐饮，服务全国游客及厦门本地消费。,2023.08.08,2023.08.31,任务编号：1052905,￥ 500,36,诸侯视觉,https://shop.epwk.com/j7n38rkve5e1/,诸侯视觉,出售服务,https://shop.epwk.com/j7n38rkve5e1/chushou/,工作室,一品,145分,,,诸侯视觉,,诸侯视觉logo标志设计,"￥500
            /次",商城全店装修5000,￥5000,VI视觉DESIGN,"￥3000
            /日",,,,,,,,,,,,
【展示设计】一面文化墙设计,https://task.epwk.com/1052684/,2048人,39人,,圆满完成,华美欣,设计一面3.73米的墙面，最好带效果图,2023.08.07,2023.08.22,任务编号：1052684,￥ 2000,41,广杨工作室,https://shop.epwk.com/zqdplx87kn1v/,广杨工作室,出售服务,https://shop.epwk.com/zqdplx87kn1v/chushou/,个人,四品,37分,,,广杨工作室,,,,,,,,,,,,,,,,,,,
【字体设计】店招文字设计,https://task.epwk.com/1052549/,1294人,27人,,圆满完成,小企鹅hlQk5,"使用场景：店招应用文字。定位中高端。主营商品各品类茶叶，茶具等。设计内容：“崎韵情名茶”""qiyunqing tea""可参考附件样式,只是样式参考。设计元素：汉字变形和字体美化，中英文能一体能组合使用在店招上。设计风格：简约大气大方，凸显高级感。                 中性风格，。知识版权：原创是基本需求了，请不要直接拿网络字体来投稿。谢谢！后续可能会根据情况，额外付费追加全套VI订单。",2023.08.05,2023.08.26,任务编号：1052549,￥ 500,36,金生设计室,https://shop.epwk.com/4rn8qvk03ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【背景墙设计】道教文化直播间背景设计,https://task.epwk.com/1052499/,968人,12人,,圆满完成,一品企鹅5a3ky,龙虎山道教文化文创直播间背景设计,2023.08.04,2024.09.22,任务编号：1052499,￥ 300,13,colie视觉设计,https://shop.epwk.com/78dlj08vl5lx/,colie视觉设计,出售服务,https://shop.epwk.com/78dlj08vl5lx/chushou/,个人,五品,36分,,,colie视觉设计,,,,,,,,,,,,,,,,,,,
【LOGO设计】家居生活馆logo设计，紧急！,https://task.epwk.com/1052488/,5068人,15人,,圆满完成,极品堂mZyIr,使用场景：家居生活馆，类似宜家或者无印良品，规模小点。但是定位中高端，高于前两者。主营商品包括厨房用品、卫浴用                     品、卧室家纺、小家电、数码潮玩、工艺礼品等。设计内容：“缦家”logo品牌来历：“缦”，丝绸之意，延伸为家纺百货等居家日用品；同时，借助谐音“慢”字，理解为慢生活。设计元素：汉字变形或者英文字母变形均可。                 副标题：生活美学馆（不强制）设计风格：简约大气大方，凸显高级感和对美好慢生活的追求。                 中性风格，需要区别于纯家具卖场的商务性。知识版权：原创是基本需求了。谢谢！后续可能会根据情况，额外付费追加全套VI订单。,2023.08.04,2023.08.17,任务编号：1052488,￥ 1500,33,金生设计室,https://shop.epwk.com/4rn8qvk03ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】设计高度白酒产品标识（LOGO）,https://task.epwk.com/1052415/,5939人,94人,,圆满完成,o5ea7f82ad6369,我们是拟从事白酒生产的企业，主要原材料是板栗，利用食用板栗作原料，采用高度白酒生产工艺生产其它香型（栗香型）白酒。计划设计一个产品LOGO，注册成功后用于产品标识和推广。,2023.08.04,2023.09.07,任务编号：1052415,￥ 2000,123,深圳非凡设计工作室,https://shop.epwk.com/78dljyqv65lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】酒类logo设计,https://task.epwk.com/1052170/,2706人,39人,,圆满完成,leondg26,以“酱香正脉”四个字为主要元素，对文字进行设计，并且设计logo，能直观的体现酒及酒文化要有历史感，厚重感，也要有文化底蕴，理念是:传承有序酱香正脉,2023.08.02,2024.09.19,任务编号：1052170,￥ 1000,51,鸽鸽子铺,https://shop.epwk.com/78dlj00695lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】基金公司LOGO,https://task.epwk.com/1052384/,4879人,73人,,圆满完成,威火力HcJR0,"设计内容：“小牛基金”LOGO公司经营介绍：基金管理公司设计要求：1、简洁大气，易于辨识和记忆。2、LOGO能突出金融公司特点，联想到企业的服务安全可靠性。3、色彩醒目，符合人们的审美，能够吸引金融投资客户注意力。4、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2023.08.04,2023.08.21,任务编号：1052384,￥ 1000,88,宇易品牌策划,https://shop.epwk.com/m7d7wz62w5q8/,宇易品牌策划,出售服务,https://shop.epwk.com/m7d7wz62w5q8/chushou/,工作室,三品,43分,,,宇易品牌策划,,LOGO设计,"￥300
            /日",,,,,,,,,,,,,,,,
【LOGO设计】汽车配件公司logo设计,https://task.epwk.com/1052364/,1703人,44人,,圆满完成,多财多亿,1、根据WEIKA这几个字母设计，行业是汽车配件。公司名：济南万奔商贸有限公司。2、以美观为主，符合行业特色，高端大气，易被人接受。,2023.08.04,2023.09.09,任务编号：1052364,￥ 500,58,布鲁恩设计,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【VI设计】设计一个类似超人和公主的卡通形象,https://task.epwk.com/1052160/,1940人,23人,,圆满完成,嗨铭威YzbBY,"各位设计师好，如附件图片参考，我们想要设计3个动物卡通形象贴在儿童人字拖的鞋带夹脚处
要求如下：
1.最终的形象我们是要开模具做成滴塑贴在雨鞋侧面上，所以设计不必太过复杂
2.设计要求形象，有趣，可爱，颜色要活泼，符合小朋友的审美
3.尺寸设计请参考附件图片，可以灵活利用鞋带，不局限于附件的参考图（例如可以设计一个长颈鹿形象，身子可以在夹脚的位置，脖子和头可以延伸到鞋带上去）。
4.需自主原创，无版权问题
5.不局限于动物形象，植物或者其他相关适合小朋友的元素皆可
有什么问题欢迎随时与我QQ/邮箱联系（邮箱工作时间基本都会看到，QQ有时候会忘记登陆）",2023.08.02,2023.08.25,任务编号：1052160,￥ 1200,23,未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,,,,,,,,,,,
【封面设计】书籍封面设计，“为母则刚”孕产主题，优秀者长期合作,https://task.epwk.com/1052061/,3503人,38人,,圆满完成,出版编辑Grace,本书尺寸170240，是讲母爱的，侧重于赞扬孕产过程中母亲的伟大与艰辛。跟市面上大多数讲孕产理论知识和技能的工具书不同，本书以很多个案例和故事，在思想层面歌颂母亲的伟大和不容易，令人感动和共情。封面设计由于文字较少，希望图像和颜色设计能炸裂精彩、吸引眼球一些，尤其是封面正面。,2023.08.02,2023.09.05,任务编号：1052061,￥ 1200,40,昊航设计,https://shop.epwk.com/v0n1xw7xk57y/,昊航设计,出售服务,https://shop.epwk.com/v0n1xw7xk57y/chushou/,个人,四品,37分,,,昊航设计,,,,,,,,,,,,,,,,,,,
【LOGO设计】公司LOGO设计“JGZ”,https://task.epwk.com/1051576/,3083人,71人,,圆满完成,o592a94c7e8909,"公司名称：桂林中科金钻材料科技有限公司公司主营：制造地质专用“金刚石钻头”设计要求：有视觉力，醒目易识别，能体现特色，简洁大气，易于延展（附创意说明，需能通过商标注册申请）LOGO要求：（JGZ代表金刚钻）以“JGZ”为中心作为基础延展，方案1：可以单字母形式，方案2:可以是以字母为基础构成图形但是要体现出JGZ                LOGO组成形式：图形+中科金钻行业及产品特性：地质勘探用金刚石钻头“ 钻探 大地 岩石 坚硬 锋利 金刚石 ”知识产权说明1.所设计的作为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2.中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2023.07.30,2023.08.16,任务编号：1051576,￥ 1000,88,金标点品牌设计,https://shop.epwk.com/7lngqqyw8dmr/,金标点品牌设计,出售服务,https://shop.epwk.com/7lngqqyw8dmr/chushou/,工作室,二品,60分,,,金标点品牌设计,,【金标点品牌设计- logo创意】商标Logo设计 标志创意  3套设计方案,"￥999
            /件",【金标点品牌设计 -标志设计】 标志设计高端 LOGO 企业公司商标 高大上原创,"￥300
            /件",【金标点品牌设计- 包装】包装设计 平面设计 产品包装 三套设计方案,"￥3500
            /件",【金标点品牌设计- 包装】包装设计平面设计保健品产品包装彩页宣传单,1500,,,,,,,,,,
【LOGO设计】小白匠白酒LOGO设计,https://task.epwk.com/1051543/,1107人,29人,,圆满完成,SocerDesign,1、文字logo：品牌名 小白匠 设计字体为主，字形清晰方便识别，字体刚毅厚重;2、图形logo:  高粱与麦穗简笔画加字体 形成福特标识3、色调及图案 ：主要以 宋 明简单极简的写意方式，体现轻松儒雅，意境高深的感觉 简单点注即可4、品牌对标人群、场景及整体表现：对标30-45左右中年男性，太过厚重的感觉会让喝小白匠难以释放，主要表现简单轻松，释放自己，快意人生，整体外观哑光图形文字清爽，不缺内涵，有互动与想象空间。,2023.07.29,2023.08.12,任务编号：1051543,￥ 500,38,未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,,,,,,,,,,,
【LOGO设计】美人红logo设计,https://task.epwk.com/1051148/,1635人,34人,,圆满完成,迪特利yGZ1c,红色辣椒logo设计 要求：美 人红 三个字进行字体设计 每个字上要有辣椒元素。辣椒像美女  辣椒上面有个帽子 看起来像个美女。,2023.07.26,2023.08.14,任务编号：1051148,￥ 500,43,未来城市设计,https://shop.epwk.com/j7n38zxp95e1/,未来城市设计,出售服务,https://shop.epwk.com/j7n38zxp95e1/chushou/,企业,二品,51分,,,未来城市设计,,,,,,,,,,,,,,,,,,,
【LOGO设计】全维健康logo设计要求：简洁、时尚、科技、健康等元,https://task.epwk.com/1051265/,2859人,56人,,圆满完成,sdggcm,"全维养生健康学习平台是一个致力于提供综合、全面、科学的养生健康知识学习平台。其目标是帮助用户学习关于营养、健身、心理健康等方面的知识，提供个性化的健康建议，促进用户的身心健康。

全维健康包含以下八个健康维度：
1、躯体维度
2、情绪维度
3、理智维度
4、社会维度
5、心灵维度
6、职业维度
7、环境维度
8、道德维度",2023.07.27,2023.08.19,任务编号：1051265,￥ 1288,75,QIN设计,https://shop.epwk.com/3gd2mq0rpner/,QIN设计,出售服务,https://shop.epwk.com/3gd2mq0rpner/chushou/,个人,五品,37分,,,QIN设计,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】“香熊家”LOGO设计,https://task.epwk.com/1051183/,1653人,39人,,圆满完成,国宾助力ckIyX,产品介绍：香熊家是精油香薰品牌，需要一个全新的LOGO。设计要求：类似hellokitty造型（附件），角色换成熊，可以是小白熊，头上戴一朵花就可以。可以一只小熊，如果设计师有表现能力，就来两只，三只。造型生动可爱，受女性喜欢，表现快乐，美好，享受，舒适，安逸等。必须为原创，无版权争议。,2023.07.26,2023.08.13,任务编号：1051183,￥ 800,48,隐形人设计工作室,https://shop.epwk.com/omdwkv97mdrp/,隐形人设计工作室,出售服务,https://shop.epwk.com/omdwkv97mdrp/chushou/,工作室,一品,53分,,,隐形人设计工作室,,企业电商详情页设计,"￥1000
            /起",产品字体设计,"￥500
            /起",产品海报设计,"￥1000
            /起",企业产品画册设计,"￥300
            /页",,,,,,,,,,
