标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,能力标签
【LOGO设计】冷链市场logo设计,https://task.epwk.com/891283/,317人,1人,1000元以内,圆满完成,vitorru,项目:冷链市场logo设计称呼:詹先生地区:福建厦门需求:冷链市场logo设计，名称“冰鉴云渡”，可以直接图案形式或图案+文字，用于商标注册，要求简单、色调单一些，设计的作品能刻印到模具，方便印刷,2020-09-09,2020.10.31,任务编号：891283,800.0,3天,福建省-厦门市,点道品牌设计,https://shop.epwk.com/m7d7w2pww5q8/,,,,,,,,,,,,,,,,,,,LOGO设计
【其他宣传品设计】垫餐纸设计,https://task.epwk.com/891090/,1112人,2人,1000元以内,圆满完成,o5cb342a2bc25e,湘菜外卖，基于我们的外卖包装盒定制垫餐纸,2020-09-08,2020.10.10,任务编号：891090,300.0,3天,陕西省-西安市-碑林区,一诺品牌,https://shop.epwk.com/qgdmj2mjqdke/,一诺品牌,出售服务,https://shop.epwk.com/qgdmj2mjqdke/chushou/,企业,六品,80分,,,一诺品牌,,logo设计科技logo餐饮logo设计,"￥1598
            /款",品牌设计vi导视设计vi设计企业形象设计,"￥998
            /套",高端LOGO设计/原创LOGO设计/LOGO设计/LOGO/logo设计/logo/商标设计/标志设,"￥998
            /件",海报设计朋友圈配图微信公众号海报易拉宝设计,"￥500
            /起",其他宣传品设计
【LOGO设计】企业LOGO设计,https://task.epwk.com/891024/,799人,1人,1000元以内,圆满完成,k3013****39,项目:企业LOGO设计称呼:刘先生地区:天津需求:咨询行业，要做LOGO设计，想用三个人的众字设计，体现出创业的那种意思，具体详谈,2020-09-08,2020.09.24,任务编号：891024,299.0,3天,上海市-市辖区,驼笛创意设计（上海）有限公司,https://shop.epwk.com/mod04xzg45yv/,驼笛创意设计（上海）有限公司,出售服务,https://shop.epwk.com/mod04xzg45yv/chushou/,企业,四品,42分,,,驼笛创意设计（上海）有限公司,,【自媒体全套包装】 logo商标演绎丨片头片尾丨关注引导,"￥499
            /套",企业品牌VI设计,"￥3000
            /起",企业IP吉祥物设计,"￥1500
            /起",工业仿真视频制作,"￥300
            /秒",LOGO设计
【LOGO设计】律所logo设计,https://task.epwk.com/891010/,246人,1人,1000元以内,圆满完成,k4033****38,律所logo设计，体现行业性质，与律所名字的文化、寓意，名字：贵州君贞律师事务所 ，“君贞“，取自于孔子的“君子，贞而不谅”， 加手机号微信联系。联系人：陈律师，,2020-09-08,2021.07.01,任务编号：891010,600.0,7天,山东省-淄博市,中创品牌设计策划,https://shop.epwk.com/78n96yv6znkv/,中创品牌设计策划,出售服务,https://shop.epwk.com/78n96yv6znkv/chushou/,企业,六品,39分,,,中创品牌设计策划,,品牌VI设计,"￥10000
            /套",logo设计,"￥1000
            /套",包装设计,"￥500
            /起",海报设计,"￥100
            /起",LOGO设计
【LOGO设计】商贸公司logo设计,https://task.epwk.com/890955/,720人,1人,1000元以内,圆满完成,k3540****36,"项目:商贸公司logo设计称呼:陈先生地区:河南省,洛阳市需求:商贸公司logo设计，要求图片+文字形式，联系评估报价",2020-09-08,2020.10.27,任务编号：890955,500.0,7天,江苏省-淮安市,MCKD麦昆品牌设计,https://shop.epwk.com/0jnekj31ynv3/,MCKD麦昆品牌设计,出售服务,https://shop.epwk.com/0jnekj31ynv3/chushou/,企业,二品,35分,,,MCKD麦昆品牌设计,,产品包装设计-资深版,"￥3500
            /件",折页设计-通用标准版（资深设计）,"￥150
            /页",海报设计-资深版,"￥500
            /件",画册设计-会务宣传册设计,"￥150
            /页",LOGO设计
【3D建模】根据建筑图出3D模型,https://task.epwk.com/890881/,3170人,1人,1000元以内,圆满完成,o5f56da3b02ce0,根据建筑图出3D模型，具体的详谈，有建筑图纸，需要渲染,2020-09-08,2020.09.13,任务编号：890881,900.0,3天,重庆市-重庆市-渝北区,睿达视觉,https://shop.epwk.com/zqdplxzwgn1v/,,,,,,,,,,,,,,,,,,,3D建模
【包装设计】洗发慕斯的气雾罐包装设计,https://task.epwk.com/890804/,664人,2人,1000-3000元,圆满完成,k8075****39,"项目:洗发慕斯的气雾罐包装设计称呼:任先生地区:浙江省,杭州市需求: 染发的，需要做洗发慕斯的气雾罐外壳包装设计 微信同号预算:提供报价",2020-09-07,2020.09.22,任务编号：890804,2000.0,5天,河南省-郑州市-二七区,芃麦创意设计,https://shop.epwk.com/zqdplg2yon1v/,,,,,,,,,,,,,,,,,,,包装设计
【包装设计】土特产品logo设计,https://task.epwk.com/890735/,461人,1人,1000元以内,圆满完成,k6045****18,土特产品logo设计，主要是粮油、辣椒、豆腐(豆干)、肉类、蛋类、淹制品、水果等产品！已经谈好，设计要求以具体沟通为准。地区：贵州联系人：李先生,2020-09-07,2020.09.10,任务编号：890735,300.0,2天,辽宁省-大连市-金州区,大连奇思妙想广告有限公司,https://shop.epwk.com/3gd2mo44pner/,,,,,,,,,,,,,,,,,,,包装设计
【3D建模】车间场景还原建模与渲染,https://task.epwk.com/890695/,4961人,3人,2万-5万元,圆满完成,十九九九九,场景：电焊车间建模、组装车车间建模素材：实地场景拍摄视频要求：基本还原车间内部环境与设备等，人物模型简单走动或原地抬手动作，直线行进运镜，有贴图，有灯光，不限软件，完成后需提供源文件和fbx风格参考：仿真,2020-09-07,2020.12.24,任务编号：890695,20000.0,"30天,20天,20天","河北省-邯郸市-临漳县,上海市-市辖区,江苏省-无锡市",噼里啪啦视觉设计工作室,https://shop.epwk.com/zqdplem66n1v/,,,,,,,,,,,,,,,,,,,3D建模
【VI设计】女包行业VI设计,https://task.epwk.com/890675/,917人,1人,3000-5000元,圆满完成,k7165****01,女包行业VI设计，包装设计，已经谈好，勿扰,2020-09-07,2020.10.13,任务编号：890675,3600.0,7天,上海市-市辖区,驼笛创意设计（上海）有限公司,https://shop.epwk.com/mod04xzg45yv/,驼笛创意设计（上海）有限公司,出售服务,https://shop.epwk.com/mod04xzg45yv/chushou/,企业,四品,42分,,,驼笛创意设计（上海）有限公司,,【自媒体全套包装】 logo商标演绎丨片头片尾丨关注引导,"￥499
            /套",企业品牌VI设计,"￥3000
            /起",企业IP吉祥物设计,"￥1500
            /起",工业仿真视频制作,"￥300
            /秒",VI设计
【LOGO设计】书院logo设计,https://task.epwk.com/890167/,636人,1人,1000-3000元,圆满完成,k8489****67,已经谈好，勿扰,2020-09-04,2020.09.07,任务编号：890167,1000.0,3天,江苏省-南京市-秦淮区,嘉一品牌设计,https://shop.epwk.com/7g5ykg9xgn0q/,,,,,,,,,,,,,,,,,,,LOGO设计
【LOGO设计】蔬菜店的logo设计,https://task.epwk.com/889860/,734人,1人,1000元以内,圆满完成,k2013****78,"项目:蔬菜店的logo设计称呼:羊先生地区:北京市,北京市需求:我的店子不大，四五十个平方。卖蔬菜的。名称暂定：妈妈有机蔬菜店，logo要一个妈妈那种图标，有参考预算:需要报价案例",2020-09-03,2021.10.14,任务编号：889860,500.0,3天,山东省-潍坊市,山东中航网络科技有限公司,https://shop.epwk.com/0jnekekq4nv3/,,,,,,,,,,,,,,,,,,,LOGO设计
【LOGO设计】LOGO设计,https://task.epwk.com/889667/,660人,11人,1000元以内,圆满完成,o5f4f3ac938ba3,logo设计，已有完整思路及手绘板草图,2020-09-02,2020.09.04,任务编号：889667,300.0,"2天,3天,2天,3天,1天,2天","福建省-厦门市-海沧区,广东省-深圳市,河南省-郑州市-二七区,山东省-青岛市,山东省-青岛市-黄岛区,四川省-成都市",目野设计,https://shop.epwk.com/78dljrex65lx/,,,,,,,,,,,,,,,,,,,LOGO设计
【宣传册设计】公司宣传册设计,https://task.epwk.com/889617/,953人,1人,1000-3000元,圆满完成,o5f4f10ab32fee,公司做医药设备和安装施工业务，我提供基本内容，请帮忙设计格式、形式和颜色，要求简单大气，层次清晰，有一定科技感。,2020-09-02,2020.09.16,任务编号：889617,1200.0,5天,湖北省-武汉市,旭辰品牌设计,https://shop.epwk.com/0jneke03jnv3/,旭辰品牌设计,出售服务,https://shop.epwk.com/0jneke03jnv3/chushou/,企业,七品,40分,,,旭辰品牌设计,,【首页设计】天猫淘宝商业摄影详情页制作首页面装修,价格面议,【详情页设计】天猫淘宝商业摄影详情页制作首页面装修,价格面议,【空间设计】(SI设计、外观设计、美陈设计）,价格面议,【包装设计】瓶贴设计 手提袋设计 标签设计,价格面议,宣传册设计
【表情设计】制作一套叉车卡通表情包,https://task.epwk.com/889480/,1983人,5人,1000-3000元,圆满完成,zhagnxiaohong,制作一套表情包24个，以我们个系列产品为原型制作。,2020-09-01,2020.09.14,任务编号：889480,2400.0,"10天,5天,12天","广东省-广州市,广东省-深圳市,山东省-青岛市",问途品牌设计,https://shop.epwk.com/78dljegkl5lx/,问途品牌设计,出售服务,https://shop.epwk.com/78dljegkl5lx/chushou/,企业,三品,134分,,,问途品牌设计,,vi设计vi系统设计品牌vi设计企业vi设计餐饮vi设计酒店vi设计咖啡店vi设计烘焙vi设计高端vi设计vi升级设计,"￥1199
            /起",插画设计创意插画设计卡通形象设计吉祥物设计卡通漫画设计手绘插画设计表情包设计原创插画设计商业插画设计,"￥1600
            /起",名片设计卡片设计创意名片设计时尚名片设计高档名片设计英文名片设计插画名片设计企业名片设计公司名片设计,"￥200
            /起",品牌logo设计企业logo设计餐饮烘焙logo设计教育logo设计食品logo设计门店logo设计品牌商标设计标志设计,"￥1488
            /起",表情设计
【LOGO设计】软件logo设计,https://task.epwk.com/888977/,1170人,15人,1000元以内,圆满完成,mf134****2717,有一个水上安全监管的软件，先需要找人帮忙设计下登录页面背景和头部背景，以及一个logo。登录背景需要适用web端和手机端。,2020-08-31,2020.09.05,任务编号：888977,800.0,"3天,3天,3天,4天,2天,2天","四川省-成都市-金牛区,广东省-深圳市,天津市-市辖区-和平区,陕西省-西安市-莲湖区,重庆市-市辖区-渝北区,天津市-市辖区-南开区",成都大成悉地品牌策划有限公司,https://shop.epwk.com/7g5ykgx72n0q/,成都大成悉地品牌策划有限公司,出售服务,https://shop.epwk.com/7g5ykgx72n0q/chushou/,企业,四品,45分,,,成都大成悉地品牌策划有限公司,,品牌策划,"￥4999
            /起",VI设计,"￥1999
            /起",logo设计,"￥1000
            /件",包装设计,"￥499
            /件",LOGO设计
【产品外观设计】一体机产品外观设计,https://task.epwk.com/889079/,2242人,2人,1000-3000元,圆满完成,o5cebac794304c,一、一体机建模及尺寸参数外协整体长宽高：前后深400，左右宽436，上下高850 mm；二、一体机外观设计要求1.        对一体机产品做造型设计更改，使其具有医疗器械产品特色，符合医疗临床要求；2.        只对造型进行变更，产品原有功能特点不做变化；3.        产品外观设计信息要求(1)      企业文化色：中灰色、白色为主；(2)      显示方式：显示屏显示；(3)      接口数量及内容：电源开关、重载连接器、电源接口、数据线接口；(4)      外壳材料要求：开模或者钣金方式实现；(5)      扶手使用软包或者包一层塑料；三、服务方式及预算1.  外观造型设计，出设计效果图和三维模型。2.  产品出方案，具体方式如下：(1)      需要的一体机外观造型进行设计，给出设计的草图效果图4个方向，直到客户选择其中合适的两个草图；(2)      对选定的2种草图出造型建模效果图，渲染效果图；,2020-08-31,2020.09.21,任务编号：889079,1200.0,"7天,5天","山东省-青岛市-崂山区,广东省-深圳市",极物设计,https://shop.epwk.com/0jnek071jnv3/,,,,,,,,,,,,,,,,,,,产品外观设计
【包装设计】包装盒设计,https://task.epwk.com/888934/,1477人,24人,1000-3000元,圆满完成,o5f2e****0356d,礼品包装盒设计，具体微信详谈,2020-08-30,2020.09.21,任务编号：888934,2000.0,"5天,5天,7天,5天,5天","陕西省-西安市-莲湖区,广东省-深圳市,四川省-眉山市-东坡区,广东省-深圳市,天津市-市辖区",鼎臻幻屏品牌设计,https://shop.epwk.com/4rn8qj3vwngm/,鼎臻幻屏品牌设计,出售服务,https://shop.epwk.com/4rn8qj3vwngm/chushou/,企业,五品,39分,,,鼎臻幻屏品牌设计,,LOGO设计,"￥499
            /起",文案策划,价格面议,PPT设计,"￥180
            /起",画册设计,"￥200
            /起",包装设计
【名片设计】用CDR软件设计新年装饰品,https://task.epwk.com/888760/,2088人,5人,1000元以内,圆满完成,禧双缘88,用CDR软件进行设计 新年装饰品 具体需求详谈,2020-08-29,2021.01.28,任务编号：888760,500.0,"2天,5天,5天","湖南省-长沙市,陕西省-西安市-莲湖区,河北省-石家庄市-藁城市",脑洞中枢视觉设计事务所,https://shop.epwk.com/m7d7w2egr5q8/,脑洞中枢视觉设计事务所,出售服务,https://shop.epwk.com/m7d7w2egr5q8/chushou/,企业,三品,75分,,,脑洞中枢视觉设计事务所,,VI设计,"￥3500
            /起",书籍设计,价格面议,,,,,名片设计
【LOGO设计】建筑行业LOGO设计,https://task.epwk.com/888654/,1025人,1人,1000元以内,圆满完成,k8917****91,王先生  建筑行业 LOGO设计  需要用来注册商标  带案例加微信沟通 已跟设计师谈好 按事先谈好的来 勿扰。,2020-08-28,2020.09.14,任务编号：888654,500.0,5天,山东省-潍坊市,山东中航网络科技有限公司,https://shop.epwk.com/0jnekekq4nv3/,,,,,,,,,,,,,,,,,,,LOGO设计
【详情页设计】制作300-500个产品详情页,https://task.epwk.com/888621/,1901人,6人,1000-3000元,圆满完成,o5ecc774ae6222,1、制作300-500个产品详情页,2020-08-28,2020.09.23,任务编号：888621,1500.0,"5天,5天,7天,3天","北京市-北京市-朝阳区,广东省-深圳市,山东省-青岛市,重庆市-市辖区-万州区",亿赞智合●商标品牌符号设计,https://shop.epwk.com/z2nkz97wonqy/,亿赞智合●商标品牌符号设计,出售服务,https://shop.epwk.com/z2nkz97wonqy/chushou/,个人,三品,70分,,,亿赞智合●商标品牌符号设计,,商标、网站、企业商业餐饮品牌门店公司logo设计,"￥810
            /件",【资深设计师】产品精修详情页设计 电商店铺详情页装修淘宝京东,"￥500
            /件",【资深设计师】吉祥物设计 修改到满意为止,"￥1999
            /件",,,详情页设计
【包装设计】柑橘包装设计,https://task.epwk.com/888575/,793人,1人,1000-3000元,圆满完成,mf137****5440,张先生 柑橘包装设计  外箱的设计  要求有设计过相关的设计师 带案例报价直接加微信沟通 XZ推广员,2020-08-28,2020.09.17,任务编号：888575,1500.0,4天,山东省-潍坊市,原道品牌设计创意机构,https://shop.epwk.com/78n96g8pxnkv/,,,,,,,,,,,,,,,,,,,包装设计
【VI设计】女包行业VI设计,https://task.epwk.com/888559/,675人,1人,1000元以内,圆满完成,k7165****01,女包行业VI设计，先设计logo，已经谈好，勿扰,2020-08-28,2020.09.04,任务编号：888559,899.0,3天,上海市-市辖区,驼笛创意设计（上海）有限公司,https://shop.epwk.com/mod04xzg45yv/,驼笛创意设计（上海）有限公司,出售服务,https://shop.epwk.com/mod04xzg45yv/chushou/,企业,四品,42分,,,驼笛创意设计（上海）有限公司,,【自媒体全套包装】 logo商标演绎丨片头片尾丨关注引导,"￥499
            /套",企业品牌VI设计,"￥3000
            /起",企业IP吉祥物设计,"￥1500
            /起",工业仿真视频制作,"￥300
            /秒",VI设计
【包装设计】窗帘抱枕外包装设计,https://task.epwk.com/888553/,1241人,1人,1000-3000元,圆满完成,k4520****45,包装设计，我们是做窗帘抱枕的，需要产品的外包装设计：一款窗帘的，一款抱枕的，然后再一个大的可以快递的外包装。 需要报价，加手机号微信联系，地区：杭州联系人：刘女士,2020-08-28,2020.11.05,任务编号：888553,1800.0,7天,浙江省-杭州市,绘客设计（杭州）有限公司,https://shop.epwk.com/omdwkm29rdrp/,绘客设计（杭州）有限公司,出售服务,https://shop.epwk.com/omdwkm29rdrp/chushou/,企业,六品,39分,,,绘客设计（杭州）有限公司,,原创LOGO设计,"￥580
            /款",可注册原创商标设计 | LOGO设计,"￥800
            /款",高端原创LOGO设计,"￥1500
            /起",企业品牌标志VI系统设计,"￥2000
            /起",包装设计
【广告设计】网课平台课程介绍宣传设计,https://task.epwk.com/888390/,1628人,7人,1000元以内,圆满完成,o5f47****13ec0,一门有关自我康复治疗腰痛的网课上架平台，需要类似下图中这样的课程介绍宣传平面设计，宣传文案已经编辑好，需要设计得凸显亮点，吸引人。预算300到500元 ，最好5天内完成,2020-08-27,2020.09.07,任务编号：888390,500.0,"3天,7天,5天,5天,3天,3天","北京市-北京市-朝阳区,山东省-青岛市,北京市-北京市,山东省-烟台市,广东省-深圳市-龙岗区,重庆市-市辖区",亿赞智合●商标品牌符号设计,https://shop.epwk.com/z2nkz97wonqy/,亿赞智合●商标品牌符号设计,出售服务,https://shop.epwk.com/z2nkz97wonqy/chushou/,个人,三品,70分,,,亿赞智合●商标品牌符号设计,,商标、网站、企业商业餐饮品牌门店公司logo设计,"￥810
            /件",【资深设计师】产品精修详情页设计 电商店铺详情页装修淘宝京东,"￥500
            /件",【资深设计师】吉祥物设计 修改到满意为止,"￥1999
            /件",,,广告设计
【宣传册设计】化工产品手册设计,https://task.epwk.com/888178/,1630人,18人,1000元以内,圆满完成,o5f4533a1c518a,贸易公司化工产品说明手册，需要封面封底及内页设计，内页内容为企业简介及十几个产品说明简介。内页所有产品说明简介可以统一风格及版式。,2020-08-26,2020.09.01,任务编号：888178,800.0,"3天,3天,5天,4天,5天,5天","广东省-深圳市,广东省-深圳市,山东省-青岛市,北京市-北京市-朝阳区,陕西省-西安市,山东省-烟台市",匠蚁科技,https://shop.epwk.com/qgdmj21ygdke/,匠蚁科技,出售服务,https://shop.epwk.com/qgdmj21ygdke/chushou/,企业,四品,38分,,,匠蚁科技,,产品交互设计,"￥500
            /起",app UI设计,"￥150
            /页",网页Ui设计,"￥200
            /页",电商店铺装修设计,"￥1000
            /套",宣传册设计
【LOGO设计】服装LOGO设计,https://task.epwk.com/888000/,366人,1人,1000元以内,圆满完成,k2838****03,鹏先生 项目：服装LOGO设计  已事先谈好 按事先讲好的来 勿扰 设计到满意后验收,2020-08-26,2020.09.01,任务编号：888000,500.0,5天,山东省-潍坊市,山东中航网络科技有限公司,https://shop.epwk.com/0jnekekq4nv3/,,,,,,,,,,,,,,,,,,,LOGO设计
【LOGO设计】公众号logo设计,https://task.epwk.com/887983/,834人,2人,1000元以内,圆满完成,o5ea3d3be6bb37,项目:公众号logo设计称呼:陈先生地区:广东深圳需求:公众号名称：众令悬赏，可以单纯一个令字设计，用篆体试试，预算600元以内，联系评估报价。,2020-08-26,2020.11.16,任务编号：887983,600.0,3天,四川省-成都市,瑞艺品牌全案机构,https://shop.epwk.com/zqdplw136n1v/,,,,,,,,,,,,,,,,,,,LOGO设计
【LOGO设计】LOGO设计,https://task.epwk.com/887452/,1809人,8人,1000元以内,圆满完成,o5f43****4ca59,品牌名称：Reddy 瑞迪Refrigeration 制冷Dehumidification除湿英文释义：Reddy为取制冷和除湿的首字母组成，和英文单词ready同音，ready为准备好了，出发的意思。中文释义：瑞，吉祥，好预兆的意思，瑞雪兆丰年具有预兆丰收的意思；迪，开导，遵循，道理的意思，启迪具有开导，启发后人的意思。“旁求俊彦，启迪后人。中文整体意思是，通过使用reddy品牌的制冷除湿设备，保证种质资源安全，为粮食丰收提供基因资源保障，还有reddy是一个新的品牌，我们已经做好了充分的技术和专利储备，我们准备好了，我们将引领新的种质库制冷除湿系统，启迪未来。,2020-08-24,2021.02.01,任务编号：887452,700.0,"3天,3天,3天,3天,5天,4天","广东省-深圳市,重庆市-市辖区-万州区,陕西省-咸阳市-渭城区,山东省-青岛市,四川省-眉山市-东坡区,广东省-深圳市",映善中国,https://shop.epwk.com/09drjep7153w/,映善中国,出售服务,https://shop.epwk.com/09drjep7153w/chushou/,企业,一品,110分,总 190 次中标，交易总金额,￥128.29万,映善中国,,品牌企业VI / VIS / SI 系统设计,"￥100
            /件",产品外观 / 结构设计        工业设计 / 机械设计,"￥100
            /起",,,,,LOGO设计
【3D建模】3维立体图设计,https://task.epwk.com/887438/,2823人,2人,1000-3000元,圆满完成,o5f432f2f55075,3维立体图设计，具体QQ联系,2020-08-24,2020.08.27,任务编号：887438,1500.0,"2天,3天","重庆市-重庆市-渝北区,广东省-深圳市",睿达视觉,https://shop.epwk.com/zqdplxzwgn1v/,,,,,,,,,,,,,,,,,,,3D建模
【LOGO设计】视觉设计,https://task.epwk.com/887444/,598人,1人,1000元以内,圆满完成,o5d78d4845a167,主视觉设计，按照沟通好的来设计,2020-08-24,2020.11.16,任务编号：887444,800.0,3天,广东省-佛山市,佛山万态,https://shop.epwk.com/2j5jjpmy95pz/,,,,,,,,,,,,,,,,,,,LOGO设计
【产品外观设计】防水防霉条花型设计,https://task.epwk.com/887316/,1846人,3人,1000-3000元,圆满完成,o5f425ef52db2e,防水防霉条 花型设计，价格详谈，比较着急,2020-08-23,2020.08.28,任务编号：887316,1000.0,"7天,3天","北京市-北京市,广东省-深圳市",东品牌包装设计策划,https://shop.epwk.com/mod04xv2l5yv/,,,,,,,,,,,,,,,,,,,产品外观设计
【LOGO设计】水果品牌logo和包装设计,https://task.epwk.com/887195/,1062人,8人,1000元以内,圆满完成,o5f3d2c0b17368,"""勤奋”水果品牌                                    经营介绍： “勤奋”是一家经营水果批发的品牌，现以越南火龙果为主。                                    VI应用内容：设计LOGO、火龙果纸箱图案。                                    设计要求：                                                                            1、大气、简洁、明快;                                                                2、有视觉冲击力，醒目易识别，突出水果品牌元素;                                                                3、品牌意义，“机会只留给勤奋的人”。                                            4、附上创意说明。                                                                        知识产权说明：                                                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                                                2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2020-08-22,2020.08.26,任务编号：887195,800.0,"4天,3天","广东省-珠海市-香洲区,广东省-深圳市",艺佳工作室,https://shop.epwk.com/09drj8goe53w/,艺佳工作室,出售服务,https://shop.epwk.com/09drj8goe53w/chushou/,工作室,四品,35分,,,艺佳工作室,,LOGO设计,"￥1000
            /起",品牌VI设计,"￥6000
            /起",创意海报设计,"￥1000
            /起",产品包装设计,"￥1000
            /起",LOGO设计
【VI设计】做一套完整的vi,https://task.epwk.com/887173/,1696人,32人,1000-3000元,圆满完成,o5f40d56e740fb,中科赛奥生物科技有限公司公司logo设计，VI设计  尽量QQ联系不要打电话,2020-08-22,2020.09.03,任务编号：887173,1000.0,"5天,7天,4天,20天,15天,10天,5天,7天","山东省-青岛市-黄岛区,山东省-青岛市,广东省-深圳市,陕西省-西安市,江苏省-南京市-鼓楼区,河南省-新乡市,陕西省-西安市,江西省-南昌市-青云谱区",壹品伯爵设计工作室,https://shop.epwk.com/2j5jjpy225pz/,,,,,,,,,,,,,,,,,,,VI设计
【店铺装修】公司官网需要美化设计,https://task.epwk.com/887052/,1085人,12人,1000-3000元,圆满完成,o5f3fa24584f5a,"公司官网需要美化设计， 在原有的官网上进行字体优化,排版.价格详谈",2020-08-21,2020.09.10,任务编号：887052,1000.0,"4天,5天,8天,5天,4天,10天","陕西省-西安市-莲湖区,广东省-深圳市,四川省-成都市,广东省-东莞市,山东省-青岛市-黄岛区,天津市-市辖区-南开区",鼎臻幻屏品牌设计,https://shop.epwk.com/4rn8qj3vwngm/,鼎臻幻屏品牌设计,出售服务,https://shop.epwk.com/4rn8qj3vwngm/chushou/,企业,五品,39分,,,鼎臻幻屏品牌设计,,LOGO设计,"￥499
            /起",文案策划,价格面议,PPT设计,"￥180
            /起",画册设计,"￥200
            /起",店铺装修
【包装设计】文具胶水的标贴与展示盒设计,https://task.epwk.com/887007/,1738人,21人,1000-3000元,圆满完成,KAIZUO,我需要做5款学生用文具胶水的标贴与展示盒，需要展示品牌系列化。（浙江义乌优先考虑）,2020-08-21,2020.10.30,任务编号：887007,1500.0,"10天,7天,3天,7天,7天","福建省-厦门市-海沧区,山东省-青岛市,广东省-深圳市,河南省-新乡市,山东省-青岛市",目野设计,https://shop.epwk.com/78dljrex65lx/,,,,,,,,,,,,,,,,,,,包装设计
【宣传册设计】宣传册设计,https://task.epwk.com/886982/,1493人,1人,1000-3000元,圆满完成,vitorru,宣传册设计，已经谈好，按照合同，勿扰,2020-08-21,2020.10.28,任务编号：886982,2080.0,7天,江西省-南昌市-青云谱区,正旭图文广告有限公司,https://shop.epwk.com/78n96gje8nkv/,,,,,,,,,,,,,,,,,,,宣传册设计
【宣传册设计】变压器设备宣传册排版设计,https://task.epwk.com/886967/,1256人,1人,1000-3000元,圆满完成,sean880227,"项目: 变压器设备宣传册排版设计 称呼: 陈先生 地区:湖南省,衡阳市 需求: 公司是卖变压器设备，做电力和培训的，现在宣传册内容已经做好了，只需要一个擅长做排版的设计师来优化下排版，不需要印刷，预算:需要报价 注意：手机微信同号",2020-08-21,2020.08.29,任务编号：886967,1000.0,2天,陕西省-西安市,陕西臻创意设计有限公司,https://shop.epwk.com/qgdmj271gdke/,陕西臻创意设计有限公司,出售服务,https://shop.epwk.com/qgdmj271gdke/chushou/,企业,六品,40分,,,陕西臻创意设计有限公司,,展览设计,"￥100000
            /次",日语翻译,价格面议,高端书籍设计,"￥100
            /页",画册设计,"￥100
            /页",宣传册设计
【LOGO设计】设计一款带头像的风味豆豉商标,https://task.epwk.com/886905/,1254人,6人,1000-3000元,圆满完成,o5f3f39103d3db,"提供头像，LOGO,配料表及相关营养成分表，条码，生产地址，许可证，图案由设计师设计",2020-08-21,2020.11.13,任务编号：886905,1000.0,"5天,4天,3天,3天","山东省-烟台市,广东省-深圳市-市辖区,四川省-眉山市-东坡区,重庆市-市辖区",悦禾品牌设计,https://shop.epwk.com/j7n38ze2l5e1/,,,,,,,,,,,,,,,,,,,LOGO设计
【详情页设计】茶叶5款淘宝详情页设计（福州地区）,https://task.epwk.com/886793/,1134人,1人,5000-10000元,圆满完成,cx199****8,茶叶5款，拍照，详情页一周内做完,2020-08-20,2020.08.29,任务编号：886793,5300.0,10天,福建省-福州市,鑫视格文化传媒有限公司,https://shop.epwk.com/89dvgxv2gdl2/,,,,,,,,,,,,,,,,,,,详情页设计
【LOGO设计】电商箱包类商标及店内LOGO设计,https://task.epwk.com/886702/,1200人,4人,1000元以内,圆满完成,大众推广ABCD,"VI应用内容：设计LOGO、店面招牌设计(竖排，横排)、宣传画册 商品吊牌                                    设计要求：                                                                            1、体现高端 时尚 大气 自由的气质                                                                2、有视觉冲击力，醒目易识别，突出南韩品牌元素;                                                                3、能体现特色，LOGO已有，但如限制了设计师的创意，可重新设计。                                                                4、附上创意说明。                                                                        知识产权说明：                                                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                                                2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2020-08-20,2020.09.03,任务编号：886702,700.0,"5天,7天","广东省-深圳市,山东省-青岛市",映善中国,https://shop.epwk.com/09drjep7153w/,映善中国,出售服务,https://shop.epwk.com/09drjep7153w/chushou/,企业,一品,110分,总 190 次中标，交易总金额,￥128.29万,映善中国,,品牌企业VI / VIS / SI 系统设计,"￥100
            /件",产品外观 / 结构设计        工业设计 / 机械设计,"￥100
            /起",,,,,LOGO设计
【LOGO设计】设计一个快餐店的店铺牌子和Logo,https://task.epwk.com/886636/,682人,10人,1000元以内,圆满完成,o5f3d344205aa3,设计一个快餐店的店铺牌子和Logo~,2020-08-20,2020.08.21,任务编号：886636,200.0,"1天,3天,3天,3天","福建省-厦门市-海沧区,陕西省-西安市-莲湖区,重庆市-市辖区,上海市-市辖区",目野设计,https://shop.epwk.com/78dljrex65lx/,,,,,,,,,,,,,,,,,,,LOGO设计
