标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【FLASH制作】需要找人动画制作，每月都有,https://task.epwk.com/887211/,2082人,4人,3000-5000元,圆满完成,o5ad9855b46732,动画制作，一分钟左右一段，常年合作！按月供应，一个动画100-200元，一共30个微信联系，不要电话,2020.08.23,2020.09.11,任务编号：887211,"￥4999,￥10000","7天,7天","湖北省-武汉市,山东省-青岛市",武汉反光镜影视传媒有限公司,https://shop.epwk.com/09drj8mee53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【动画设计】养生视频动画制作,https://task.epwk.com/883368/,1117人,1人,1000-3000元,圆满完成,七叶菩提,养生动作，根据拍摄的几组动作，制作动画。形象可爱，并展现出视频动作即可。详情联系微信。,2020.08.06,2020.08.17,任务编号：883368,￥1500,10天,河北省-唐山市-路南区,二马一冯设计创意工作室,https://shop.epwk.com/z2nkz9zmxnqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】说唱短视频制作,https://task.epwk.com/882316/,2967人,3人,1000-3000元,圆满完成,o5d9d23ec527c0,该app是高效办公类软件，主要功能有扫描文件，可以扫描照片识别文字；文件类型转換，PDF和Word等文件转化再也不用发愁；云盘存储文件方便快捷，随转随存，随存随用。适用于行政单位、文职工作人员和教育行业以及其他等人群。此外还提供了文字翻译功能，并且添加了事件提醒，可以随手添加图片笔记，提高工作效率。,2020.08.03,2020.08.17,任务编号：882316,"￥2500,￥3000","7天,25天","山东省-潍坊市-奎文区,广东省-佛山市",中腾网络,https://shop.epwk.com/2j5xoyowx5xm/,中腾网络,出售服务,https://shop.epwk.com/2j5xoyowx5xm/chushou/,企业,七品,40分,,,中腾网络,,快手代运营,"￥100
            /件",美团代运营,"￥100
            /件",京东代运营,"￥100
            /件",美团团购代运营,"￥100
            /月",,,,,,,,,,
【三维动画】三维动画设计（短视频）,https://task.epwk.com/880362/,1609人,2人,1000-3000元,圆满完成,o5dfc260e29ba3,三维视频设计：动画：高速运转的地球-》中国地图-》江苏无锡市地图-》最后到xxx公司位置（一栋楼宇）类似以下的效果：https://www.vjshi.com/watch/4801219.htmlhttps://www.vjshi.com/watch/4226600.html具体需求再详谈,2020.07.24,2020.08.03,任务编号：880362,￥2438,5天,内蒙古-呼和浩特市-回民区,云志高科传媒,https://shop.epwk.com/7g5ykg7qzn0q/,云志高科传媒,出售服务,https://shop.epwk.com/7g5ykg7qzn0q/chushou/,企业,四品,40分,,,云志高科传媒,,软件开发,"￥5000
            /起",二维动画,"￥1000
            /起",三维动画,"￥1000
            /起",成品软件,"￥2000
            /起",视频拍摄,"￥1500
            /起",微信平台代运营,"￥1000
            /起",,,,,,
【创意短视频】PR做一个模板,https://task.epwk.com/878448/,4452人,4人,1000-3000元,圆满完成,o5f109ede85f4b,PR做一个模板，详情可微信详谈,2020.07.17,2020.07.29,任务编号：878448,"￥2000,￥2000,￥2000","3天,7天,5天","广东省-广州市-市辖区,江苏省-南京市-鼓楼区,广东省-深圳市",VideoW Studio,https://shop.epwk.com/7lngqxx66dmr/,VideoW Studio,出售服务,https://shop.epwk.com/7lngqxx66dmr/chushou/,工作室,七品,38分,,,VideoW Studio,,产品/服务宣传动画 MG动画 短视频制作,"￥150
            /秒",短视频制作 影视短片 超短视频设计制作,"￥150
            /秒",专业视频制作企业宣传片 影视短片制作 产品服务宣传视频制作,"￥9999
            /起",高品质主图设计,"￥299
            /件",高品质商品详情页设计,"￥1299
            /件",专业宣传画册、说明书、手册、菜单设计,"￥299
            /页",专业海报 易拉宝 X展架设计,"￥699
            /件",专业影视海报电影海报设计,"￥1999
            /件",专业广告设计,"￥1999
            /件"
【三维动画】高尔夫手推车简介视频制作,https://task.epwk.com/876707/,1697人,1人,5000-10000元,圆满完成,广州市卓历体育用品有限公司,"经营介绍：我司主营高尔夫系列产品，如：高尔夫手推车、球包、拾球器、球钉等等VI应用内容：根据产品功能性和卖点制作一段电动车产品宣传视频,电动自动跟随高尔夫球包车，用于承载高尔夫球包、球杆类用品，不载人。产品简介：1、二个储物仓 ：干湿物品分类存放、便捷舒心。2、创造性的双刹车系统：刹车安全可靠、更稳定。3、前轮有二种模式：360度转向模式、直行模式2种模式可以自由转换，操控更自如。4、独创的前轮组件及两个后轮均可拆卸，整车的包装体积更小，运输成本更低。5、3个大轮，通行能力大大提高，带来更高品质的体验。6、轮毂装饰条随心随意更换，多姿多彩的配搭更显独特魅力设计要求：1、视频需紧密结合车的功能性和卖点，具体功能性和卖点详见附件2、有视觉冲击力，产品功能性醒目易懂，突出产品卖点3、视频制作需要简洁，有现代感和科技感，40秒-50秒左右时长4、受文件大小限制，网页只能提供产品图片参考，如有兴趣合作，请联系我提供更详细的参考资料，谢谢！知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2020.07.09,2020.08.18,任务编号：876707,￥8961,15天,广东省-深圳市-福田区,深圳市平行视界影视传媒有限责任公司,https://shop.epwk.com/zqdplx02kn1v/,深圳市平行视界影视传媒有限责任公司,出售服务,https://shop.epwk.com/zqdplx02kn1v/chushou/,工作室,四品,61分,,,深圳市平行视界影视传媒有限责任公司,,,,,,,,,,,,,,,,,,,
【视频定制】找老师录制各大软件教程,https://task.epwk.com/874491/,2159人,2人,3000-5000元,圆满完成,o5cdc3cf89a7c3,录制【Office】【PS、AI、DW、CDR】【AE、PR、AU、C4D】【3DMAX、CAD】入门到精通的教程，需要你们提供老师录制。或者已有录制好的课程，授权给我使用。,2020.06.30,2020.07.28,任务编号：874491,"￥3000,￥20000","30天,25天","北京市-北京市-丰台区,广东省-佛山市",泽蓝斯林工作室,https://shop.epwk.com/7lngqvev3dmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【三维动画】隧道扫描车工作原理与效果宣传动画制作,https://task.epwk.com/872732/,1795人,1人,1万-2万元,圆满完成,wb462,如下图所示，车载设备上搭载一台三轴机械手，左右两边各三个激光测距传感器、面向隧道顶部有三个角度分别为85度，90度，95度三个激光测距传感器、设备上有一个陀螺仪（测定车子与地面水平面的夹角）、有三路监控摄像机（分别监控设备左边，正上方、右边）、机械手末端有一排激光扫描仪（点状光源）与一个相机，用来扫描槽道的3D位置与拍摄槽道实际图；工作流程如下：1）司机开车进入隧道（探照灯一进入隧道由光感传感器感知打开），观察监控中是否有槽道，如果有，则停下车并熄火 2）司机点击开始按钮 3）左边三个测距传感器与右边三个测距传感器启动工作，面向顶部的三个测距传感器一起工作，测量出当前车子所在的隧道位置 4）机械手开始变位（左右旋 转，上下旋转）变位到槽道处（槽道分布在隧道的左边（离地面1.5米处），正顶上方（离地10米处），右边（离地1.5米处））5）机械手末端相机开始拍照，视觉系统软件根据图片分析出槽道的大致位置与方向，引导机械手开始向槽道方向开始运动 6）机械手末端的激光器开始扫描，实时扫描出槽道的截面坐标（XYZ）7）软件系统根据扫描的结果生成3D图，并形成报表 8）司机可以输入隧道代码或编号 9）软件系统根据铁道要求，自动判断出槽道是合格还是不合格的，不合格的提示出来；,2020.06.23,2020.07.30,任务编号：872732,￥12000,7天,江苏省-南京市-浦口区,江尚数字,https://shop.epwk.com/rp5z4q62jdx3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剪辑服务】红楼梦剪辑,https://task.epwk.com/1042678/,310人,2人,3000-5000元,圆满完成,k8328****9,"制作红楼梦剪辑之前，需要对原作进行筛选，选择最具代表性的场景和情节，同时还要考虑在剪辑中所能容纳的长度和节奏感，以及剪辑的主题和风格。
需要注意剪辑的流畅性和结构性，以及画面的整体调色和特效的运用，使剪辑更具观赏性和可读性",2020.05.13,2023.05.26,任务编号：1042678,"￥5000,￥3000","10天,8天","河北-石家庄市-市辖区,湖南-岳阳市-市辖区",无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图片处理】食品图片修图处理,https://task.epwk.com/854337/,2448人,2人,1000元以内,圆满完成,o5e57****1016f,看起来要有食欲感，可以PS增加一点其他元素进去，增加产品面上的油光度，调整好后做一张海报，新品上市的海报,2020.04.20,2020.04.22,任务编号：854337,"￥180,￥1000","2天,3天","湖北省-武汉市-洪山区,广东省-深圳市",武汉反光镜影视传媒有限公司,https://shop.epwk.com/09drj8mee53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【影视拍摄】产品拍照P图（需专业摄影设备）武汉地区,https://task.epwk.com/851631/,1511人,1人,1000元以内,圆满完成,o5e8fcdc100361,我司需要拍摄一些高品质的产品图片并进行后期制作需要专业的设备和专业人士进行拍摄取材有些小零件可以发送到工作室进行拍摄，大型的只能在我司工厂拍摄所以疫情期间最好是武汉东西湖区（我司位于武汉市东西湖区）的摄影师能够接单拍摄时间和具体安排面议,2020.04.10,2020.04.20,任务编号：851631,￥300,5天,湖北省-武汉市-市辖区,武汉反光镜影视传媒有限公司,https://shop.epwk.com/09drj8mee53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剧本创作】8分钟左右一个事故教育视频脚本,https://task.epwk.com/849731/,1841人,3人,1000元以内,圆满完成,o5e85ea6b481a9,电话联系发内容,2020.04.02,2020.04.16,任务编号：849731,"￥200,￥1000,￥1000","1天,5天,25天","江苏省-淮安市-清河区,山东省-青岛市,广东省-佛山市",鲸跃传媒有限公司,https://shop.epwk.com/m7d7wvm4y5q8/,鲸跃传媒有限公司,出售服务,https://shop.epwk.com/m7d7wvm4y5q8/chushou/,工作室,四品,39分,,,鲸跃传媒有限公司,,视频制作,"￥500
            /件",平面设计,"￥100
            /件",,,,,,,,,,,,,,
【剪辑服务】视频混剪,https://task.epwk.com/843787/,4859人,8人,1000元以内,圆满完成,有位音乐,混剪当红偶像剧片段 搭配以下音乐 68747470733a2f2f6d757369632e3136332e636f6d/#/song?id=1430040122,2020.03.13,2020.03.15,任务编号：843787,"￥300,￥1000,￥500,￥500,￥1000,￥300","2天,25天,12天,2天,3天,5天","湖北省-武汉市-市辖区,广东省-佛山市,北京市-北京市-东城区,重庆市-市辖区,辽宁省-沈阳市-沈北新区,四川省-成都市-双流县",武汉反光镜影视传媒有限公司,https://shop.epwk.com/09drj8mee53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】短视频混剪制作,https://task.epwk.com/841862/,2877人,7人,1000元以内,圆满完成,蓉豆,短视频混剪，配音解说加字幕，加片头后续需要长期合作。招生宣传视频，大约3到4分钟,2020.03.07,2020.03.27,任务编号：841862,"￥650,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000","3天,15天,5天,15天,25天,3天,3天","重庆市-市辖区-万州区,北京市-北京市,江苏省-苏州市-太仓市,山东省-青岛市-黄岛区,广东省-佛山市,安徽省-合肥市-瑶海区,辽宁省-沈阳市-沈北新区",鱼禾草设计,https://shop.epwk.com/j7n381pm25e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】制作MG动画,https://task.epwk.com/838862/,947人,1人,1000-3000元,圆满完成,o5e551e779feb4,高先生。制作MG动画，8分钟的一个项目讲解,2020.02.26,2020.03.10,任务编号：838862,￥2300,7天,四川省-成都市-龙泉驿区,肆月动画工作室,https://shop.epwk.com/z2nkzx972nqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【短视频代运营】抖音视频剪辑制作,https://task.epwk.com/830338/,5856人,2人,1000-3000元,圆满完成,o5e17d9db13cd2,需要抖音快手视频剪辑,2020.01.10,2020.01.29,任务编号：830338,￥2000,10天,山东省-潍坊市-奎文区,中腾网络,https://shop.epwk.com/2j5xoyowx5xm/,中腾网络,出售服务,https://shop.epwk.com/2j5xoyowx5xm/chushou/,企业,七品,40分,,,中腾网络,,快手代运营,"￥100
            /件",美团代运营,"￥100
            /件",京东代运营,"￥100
            /件",美团团购代运营,"￥100
            /月",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】高层建筑逃生产品视频制作,https://task.epwk.com/829386/,1786人,3人,3000-5000元,圆满完成,sundyzhang,我司有一款待专利批复的高层建筑逃生产品需制作用于产品介绍及推广的视频。,2020.01.07,2020.04.06,任务编号：829386,"￥3000,￥10000","60天,25天","四川省-成都市,广东省-佛山市",肆月动画工作室,https://shop.epwk.com/z2nkzx972nqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【动画设计】网页动画设计,https://task.epwk.com/829580/,1378人,1人,1000元以内,圆满完成,baidushengzhe,需要一个页面，如附件，需要下面是主体是旋转木马，广告在转动，松鼠在上面跳跃,2020.01.08,2020.01.18,任务编号：829580,￥900,4天,湖南省-长沙市-雨花区,wiki吾奇,https://shop.epwk.com/m7d7wg7qp5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【三维动画】3D卡通设计,https://task.epwk.com/829584/,1873人,3人,1000元以内,圆满完成,baidushengzhe,根据素材设计3D人物,2020.01.08,2020.01.18,任务编号：829584,"￥500,￥800,￥800","4天,3天,3天","广西壮族自治区-南宁市-西乡塘区,河北省-唐山市-路南区,重庆市-重庆市-南岸区",夏杏设计,https://shop.epwk.com/2j5xoj13g5xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】剪辑视频,https://task.epwk.com/827748/,1500人,1人,1000-3000元,圆满完成,k9480****46,刘  我们开年会，部门想做一个用电影片段剪辑的视频，自己去配音那种，大概5分钟  已经谈好 按事先谈好的来 勿扰,2020.01.02,2020.01.10,任务编号：827748,￥1800,5天,北京市-北京市-丰台区,泽蓝斯林工作室,https://shop.epwk.com/7lngqvev3dmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【企业宣传片】年会开场视频制作,https://task.epwk.com/826469/,2183人,15人,1000元以内,圆满完成,o5e071db74b7f1,要求帮忙做一下年会开场视频，提供素材。,2019.12.28,2020.01.02,任务编号：826469,"￥600,￥20000,￥20000,￥10000,￥18888,￥13000","5天,4天,7天,5天,5天,10天","江苏省-苏州市-太仓市,福建省-厦门市,四川省-成都市-龙泉驿区,江苏省-南京市-鼓楼区,山东省-济南市,广东省-深圳市-宝安区",鲸跃传媒有限公司,https://shop.epwk.com/m7d7wvm4y5q8/,鲸跃传媒有限公司,出售服务,https://shop.epwk.com/m7d7wvm4y5q8/chushou/,工作室,四品,39分,,,鲸跃传媒有限公司,,视频制作,"￥500
            /件",平面设计,"￥100
            /件",,,,,,,,,,,,,,
【企业宣传片】工厂拍照以及宣传片制作,https://task.epwk.com/823622/,2346人,2人,5000-10000元,圆满完成,陈姑娘CXM,工厂地址：泉州安溪需求：工厂拍照以及宣传片制作 需要自带拍摄工具不常登录，电话联系价格面议,2019.12.19,2020.06.15,任务编号：823622,"￥5500,￥3000","10天,7天","福建省-福州市,福建省-厦门市-集美区",厦门视美创联文化传媒,https://shop.epwk.com/3gd2moeepner/,厦门视美创联文化传媒,出售服务,https://shop.epwk.com/3gd2moeepner/chushou/,企业,五品,40分,,,厦门视美创联文化传媒,,微电影,价格面议,广告片,价格面议,宣传片,价格面议,三维动画,价格面议,,,,,,,,,,
【FLASH制作】logo演绎小动画制作,https://task.epwk.com/822886/,1707人,2人,1000元以内,圆满完成,Mr130****1966,我们教育集团有5个子公司的logo演绎动画需要制作成gif，参考见附件。本人负责市场工作，会议较多，建议加微信沟通；有经验和相关案例者优先。,2019.12.17,2019.12.23,任务编号：822886,￥400,5天,江苏省-苏州市-太仓市,鲸跃传媒有限公司,https://shop.epwk.com/m7d7wvm4y5q8/,鲸跃传媒有限公司,出售服务,https://shop.epwk.com/m7d7wvm4y5q8/chushou/,工作室,四品,39分,,,鲸跃传媒有限公司,,视频制作,"￥500
            /件",平面设计,"￥100
            /件",,,,,,,,,,,,,,
【影视拍摄】广告宣传片拍摄 一期款,https://task.epwk.com/819967/,1163人,1人,2万-5万元,圆满完成,k6422****99,已经沟通好，按照线下沟通的来,2019.12.09,2019.12.09,任务编号：819967,￥25000,2天,湖北省-武汉市,玖陆造视界（武汉）影视科技有限公司,https://shop.epwk.com/89dvg23okdl2/,玖陆造视界（武汉）影视科技有限公司,出售服务,https://shop.epwk.com/89dvg23okdl2/chushou/,企业,二品,39分,,,玖陆造视界（武汉）影视科技有限公司,,一个年终总结报告及年会视频服务,"￥6000
            /套",MG动画制作,"￥120
            /秒",后期二维动画,"￥6600
            /套",后期三维制作,"￥8800
            /套",“建国70周年庆——党建专题片”,"￥8000
            /套",头条百度信息流广告视频,"￥1200
            /套",宣传片拍摄,"￥15000
            /套",广告片拍摄,"￥10000
            /套",军运会宣传片形象片拍摄服务,"￥3000
            /套"
【创意短视频】制作石油工具的原理视频,https://task.epwk.com/818742/,1301人,6人,1000元以内,圆满完成,o5de8****73b64,做一个石油工具的原理视频，具体需求详谈,2019.12.05,2020.01.02,任务编号：818742,"￥100,￥200,￥1000,￥1000,￥1000","7天,15天,7天,3天,20天","湖北省-武汉市-洪山区,江苏省-南京市,山东省-青岛市-黄岛区,江苏省-南京市-鼓楼区,广东省-深圳市",汉赏传媒,https://shop.epwk.com/p05qjm20ydev/,汉赏传媒,出售服务,https://shop.epwk.com/p05qjm20ydev/chushou/,企业,九品,40分,,,汉赏传媒,,模型动画,"￥5000
            /起",,,,,,,,,,,,,,,,
【影视拍摄】进口化妆品的拍摄制作,https://task.epwk.com/814456/,2086人,8人,5000-10000元,圆满完成,o591eca3c17a53,进口化妆品的拍摄制作预算是1000-2000.,2019.11.21,2020.01.01,任务编号：814456,"￥4500,￥3000,￥3000","7天,10天,5天","江苏省-常州市-武进区,湖北省-武汉市,北京市-北京市-海淀区",白马影视文化传媒,https://shop.epwk.com/7lngqxymedmr/,白马影视文化传媒,出售服务,https://shop.epwk.com/7lngqxymedmr/chushou/,企业,五品,38分,,,白马影视文化传媒,,产品宣传片,"￥600
            /件",产品拍摄,"￥600
            /件",形象宣传片,"￥600
            /件",海报画册,"￥600
            /件",店铺装修,"￥600
            /件",logo设计,"￥600
            /件",VI设计,"￥800
            /件",,,,
【广告片/MV】仪器设备视频尾款,https://task.epwk.com/811405/,1043人,1人,1万-2万元,圆满完成,vitorru,项目：仪器设备视频拍摄：2到3分钟，总共3个仪器，2个是现成的，1个还在设计中已谈好合作，勿联系,2019.11.11,2019.11.11,任务编号：811405,￥13200,7天,浙江省-杭州市,橡树文化,https://shop.epwk.com/9w56er97kdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【企业宣传片】APP使用教学短视频制作,https://task.epwk.com/805543/,2060人,7人,3000-5000元,圆满完成,o5d2859fb2eb80,制作两段教学短视频，每段时长约1分钟。一段是在手机上面通过浏览器激活账号另一段是APP使用的教程短视频,2019.10.23,2020.03.24,任务编号：805543,"￥3000,￥2000,￥3000,￥3000,￥2000","5天,1天,10天,25天,5天","湖北省-武汉市,广东省-深圳市,北京市-北京市-海淀区,广东省-佛山市,辽宁省-沈阳市-沈河区",武汉市慧润天成信息科技有限公司,https://shop.epwk.com/m7d7w9r2w5q8/,武汉市慧润天成信息科技有限公司,出售服务,https://shop.epwk.com/m7d7w9r2w5q8/chushou/,企业,一品,39分,,,武汉市慧润天成信息科技有限公司,,桌面端应用定制开发,"￥4000
            /套",公安执法办案系统,"￥140000
            /套",小程序开发,"￥20000
            /套",微信开发微信公众号微信商城开发微信小程序定制开发,"￥10
            /套",生活服务网站建设 php平台开发 软件开发,"￥25000
            /套",APP定制开发,"￥30000
            /起",,,,,,
【影视特效】做三个特效,https://task.epwk.com/805328/,3491人,2人,1000-3000元,圆满完成,o5d8c3d9d902b4,需要做三个特效，一个是照片的显示的，要惊艳的，一个是类似消失的特效，看着酷炫的，最后一个是中奖的，可以调整大小的。,2019.10.23,2019.10.31,任务编号：805328,"￥1500,￥3000","4天,3天","河南省-郑州市,北京市-北京市",初影工作室,https://shop.epwk.com/4rn8q3131ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【影视特效】视频后期处理,https://task.epwk.com/804749/,2464人,1人,1000元以内,圆满完成,o5c4b423f48e49,大学晚会开场视频以及暖场视频，自己提供素材一部分有自己的创意，具体详谈价格商议,2019.10.21,2019.10.25,任务编号：804749,￥600,3天,北京市-北京市-海淀区,北京晋元文化传媒有限公司,https://shop.epwk.com/j7n38ovx95e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【动画设计】篮球动画分镜设计,https://task.epwk.com/804542/,1921人,2人,1000-3000元,圆满完成,lee0929,"给投篮机上面的屏幕的做十秒钟左右的开场动画或待机动画剧本，请以分镜的形式画出来。-（这个篮球机是由左中右三个“点阵屏”组成的：三个面的总长为240cm+120cm+240cm=600cm。高度是200cm。点阵之间的间隔是4cm。像素是7500点）机台名字：Super shot    公司名字：play star 2020《剧本要求》：1.既然是篮球机，那就设计跟篮球有关的10秒左右的简单动画剧本（分镜）。比如；可以是一位篮球选手从出场运球到灌篮退场的动2. 动画风格自定，尽情发挥（NBA风,街头风格，科幻风格等等）3.在整个动画结束后需要显示机台名（Super shot），下面加上公司名(Play star 2020)4.由于屏幕解析度很偏低，无需细节只需设计粗糙画面投稿方式：以分镜（带配色）的形式来投稿q'w'q",2019.10.20,2019.11.15,任务编号：804542,"￥1000,￥1000","3天,25天","广东省-深圳市,广东省-佛山市",映善中国,https://shop.epwk.com/09drjep7153w/,映善中国,出售服务,https://shop.epwk.com/09drjep7153w/chushou/,企业,一品,67分,,,映善中国,,品牌企业VI / VIS / SI 系统设计,"￥100
            /件",产品外观 / 结构设计        工业设计 / 机械设计,"￥100
            /起",,,,,,,,,,,,,,
【创意短视频】Team Building 活动启动视频制作,https://task.epwk.com/801091/,1549人,8人,1000元以内,圆满完成,o5d9d****062fb,有逼格，突出团队精神和中法文化融合。时间在10分钟左右,2019.10.10,2019.10.14,任务编号：801091,"￥500,￥1000,￥1000,￥1000,￥1000,￥1000","3天,25天,20天,3天,5天,2天","江苏省-常州市,广东省-佛山市,广东省-深圳市,安徽省-合肥市-瑶海区,广东省-深圳市,江苏省-南京市-鼓楼区",白马影视文化传媒,https://shop.epwk.com/7lngqxymedmr/,白马影视文化传媒,出售服务,https://shop.epwk.com/7lngqxymedmr/chushou/,企业,五品,38分,,,白马影视文化传媒,,产品宣传片,"￥600
            /件",产品拍摄,"￥600
            /件",形象宣传片,"￥600
            /件",海报画册,"￥600
            /件",店铺装修,"￥600
            /件",logo设计,"￥600
            /件",VI设计,"￥800
            /件",,,,
【三维动画】人物模型添加衣服贴图,https://task.epwk.com/799477/,1932人,2人,1000元以内,圆满完成,武汉尚艺映画,人物模型添加衣服贴图。模型已经有了。只需要做贴图，长期合作。,2019.10.02,2019.10.03,任务编号：799477,"￥200,￥500","1天,3天","北京市-北京市-东城区,广东省-深圳市-市辖区",噼里啪啦视觉设计工作室,https://shop.epwk.com/zqdplem66n1v/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图片处理】做一个图片合成的ps模板,https://task.epwk.com/785555/,2064人,1人,1000元以内,圆满完成,o5ab37fb25705f,做一个图片合成的ps模板，合成好的图片要求看起来自然，后续要求一键傻瓜式操作,2019.08.21,2019.08.30,任务编号：785555,￥500,2天,河南省-郑州市,芃麦创意设计,https://shop.epwk.com/zqdplg2yon1v/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】制作 3分钟视频,https://task.epwk.com/782521/,1544人,3人,1000元以内,圆满完成,o5d5268fdcf2ea,产品视频制作 3分钟 （食品类）非深圳威客请勿联系,2019.08.13,2019.08.14,任务编号：782521,"￥200,￥100,￥1000","7天,5天,25天","广东省-深圳市-市辖区,广东省-深圳市-福田区,广东省-佛山市",深圳心影文化传媒有限公司,https://shop.epwk.com/2j5jjyrr25pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【FLASH制作】制作两个简单效果的GIF,https://task.epwk.com/778585/,1963人,4人,1000元以内,圆满完成,关耳设计,制作两个GIF，一个logo的演绎，一个产品的演绎，设计静态图我都能够提供，只要做出一些转场和动态特效就行，必须要透明背景的，需要放在微信公众号的页头及页尾的位置,2019.08.02,2019.08.05,任务编号：778585,"￥300,￥1000,￥1000","3天,3天,2天","四川省-成都市-龙泉驿区,山东省-枣庄市-市中区,江苏省-南京市-鼓楼区",肆月动画工作室,https://shop.epwk.com/z2nkzx972nqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【微电影】部队微电影拍摄,https://task.epwk.com/776826/,2684人,5人,1000元以内,圆满完成,浅浅一唱,部队微电影，要求摄影师看来就可以完成拍摄，要求原创，部队题材励志电影，时间20分钟要求人员情感丰富，剧情紧扣人心演员对话，场景要详细，内容贯彻一条主线，思路清晰价格详谈,2019.07.28,2019.08.09,任务编号：776826,"￥400,￥1000,￥1000,￥1000","5天,25天,10天,30天","四川省-成都市-龙泉驿区,广东省-佛山市,湖北省-武汉市,浙江省-杭州市-江干区",肆月动画工作室,https://shop.epwk.com/z2nkzx972nqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【影视拍摄】宠物用品拍照,https://task.epwk.com/774738/,2193人,5人,1000元以内,圆满完成,空色旋律,1.专业摄影的，异地邮寄产品给中标者。2.拍摄宠物用品，家里需要有养猫，或者找人借。3.拍摄自然光线。4.懒惰拖延症勿扰。拍摄一组，价格200视拍摄效果另外给予奖励请留下联系方式，发私聊以往的拍摄作品，和自家猫的照片,2019.07.23,2019.08.18,任务编号：774738,"￥200,￥1000,￥1000,￥200","3天,25天,5天,3天","浙江省-杭州市-上城区,广东省-佛山市,北京市-北京市,北京市-北京市-海淀区",杭州一门心思影视文化有限公司,https://shop.epwk.com/rp5z490p8dx3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】做60个微信小视频,https://task.epwk.com/771357/,2422人,16人,1000元以内,圆满完成,o5cbddc61b681b,做30段微信小视频，主要就是介绍产品和宣传我自己的品牌，没什么素材，一般就是去网上然后拼接起来，做出来的视频不能太模糊,2019.07.14,2019.07.25,任务编号：771357,"￥600,￥500,￥600,￥100,￥600,￥1000,￥1000,￥200,￥1000,￥600,￥300","4天,3天,5天,3天,10天,5天,25天,1天,15天,6天,15天","山东省-东营市-东营区,新疆-乌鲁木齐市,江苏省-南京市-市辖区,广东省-广州市,湖北省-武汉市-洪山区,广东省-广州市,广东省-佛山市,上海市-市辖区-黄浦区,福建省-厦门市-湖里区,山东省-德州市-临邑县,山东省-临沂市-郯城县",山东尚艺恒睿文化传媒有限责任公司,https://shop.epwk.com/0jnek330xnv3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【三维动画】一分钟摄像机动画制作,https://task.epwk.com/771242/,1992人,3人,1000-3000元,圆满完成,武汉尚艺映画,模型已经建好，贴图都有。只需要按照参考样片做出一样视角的相似的摄像机动画。16号之前完成。具体和我联系。,2019.07.13,2019.07.22,任务编号：771242,"￥1000,￥1000","2天,3天","四川省-巴中市-巴州区,江苏省-南京市-鼓楼区",思阳品牌策划,https://shop.epwk.com/zqdpleewpn1v/,思阳品牌策划,出售服务,https://shop.epwk.com/zqdpleewpn1v/chushou/,企业,四品,40分,,,思阳品牌策划,,【UI设计】,"￥500
            /起",【空间设计】,2000,【创意产品】,￥100,【创意产品】,￥100,【创意产品】,￥100,【创意产品】,￥100,,,,,,
