标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【品牌起名】品牌起名产品起名,2865人,151人,¥300,圆满完成,蛹士电商,这就是我的产品（见附件图），起个品牌产品名字产品方面：产品卖点：1、环保；2、快速有效；3、简单易用产品：英国高分子实验室出来的产品，原料都是来自英国，在国内分装，纯植物提取，喷到空气中后会与空气中的甲醛、硫、硫化氢、醚、烟味、臭味等分子发生反应，将空气中的有害物质处理掉，有效期为15天产品是从英国进口的原料，在国内分装的要求：能体现出：健康、环保、易用、快速起效、持久功效健康字数要求：5个字以内都可以商标注册：要求5类可以注册要有简短释义或者简单广告语其他问题可以微信或者QQ加我都可以,2018-08-11,2018.08.30,任务编号：648093,300.0,230.0,嘉多宝,个人,七品,35分,,,,,,,,,,,,,,,,,,,,,品牌起名
【店铺/网店起名】三明治店铺取名,4691人,179人,¥200,圆满完成,mf170****1102,1.产品介绍：以三明治咖啡为主产品线的早午餐 ，定位白领及学生群体2.使用范围：包装袋、店面门头、推广3.名字必须未经商标注册的，请标注可以注册那个品类4.竞品类似：肚子里有料（主打流沙包） 大喜刈包（主要刈包）5.品牌名称：简单易懂，好记，能一下记住,2018-08-10,2018.08.24,任务编号：647642,200.0,291.0,绷带工作室,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【宝宝起名】宝宝起名征集,4213人,258人,¥300,圆满完成,活鱼先生,我想给孩子起个名字，孩子父亲姓宋，母亲姓郭，生于公历2018年8月5日凌晨4点零3分；孩子是女宝；希望争得一朗朗上口，便于记忆的名字。,2018-08-10,2018.12.31,任务编号：647473,300.0,341.0,空山我不空,,,,,,,,,,,,,,,,,,,,,,,,宝宝起名
【品牌起名】征集酵素粉、代餐丸的名称起名,2301人,100人,¥100,圆满完成,大力水手三人组,"征集酵素粉、代餐丸的名称起名征集酵素粉、代餐丸的名称。产品介绍：产品A：酵素粉--复合型粉剂（由酵素粉剂以及各种蔬果粉调配而成）1.方便携带，即冲即饮2.补充人体所需的酵素，改善人体亚健康状态3.可作代餐粉食用 产品B：代餐丸:--一款代餐丸剂，有酵素粉、以及各种蔬果粉调配而成。1.充饥作用，既可以细细咀嚼，也可以直接吞服 要求：·        1、名称响亮，易记，文雅，有创意·        2、附上创意说明      知识产权说明：·        1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;·        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2018-08-10,2018.11.24,任务编号：647621,100.0,137.0,清潭阁主,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】服装品牌商标取名征集,2330人,133人,¥200,圆满完成,o5b30434f1e8d6,服装品牌商标，要求大气好记时尚现代，时装品牌，可以英文单词可以是组合单词缩。,2018-08-09,2018.09.17,任务编号：646371,200.0,191.0,一品专家,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【专业代笔】威尼斯吉他温馨卡文案征集,2220人,39人,¥100,圆满完成,o5affbb842745a,由于公司产品太受欢迎，公司并在扩大生产规模，增添新设备提高产品品质，从而导致出现暂时性的缺货，借此向新老顾客表示歉意。温馨卡文案要求：需要温馨，突出产品品质以及对客户的歉意,2018-08-09,2018.09.07,任务编号：647444,100.0,40.0,慕雨星辰,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【品牌起名】日用陶瓷品牌取名,2340人,128人,¥100,圆满完成,horizon9,产品：日用陶瓷（茶器、花器、水杯、餐具等陶瓷相关产品）理念：乐活、实用、极简要求：1、定位中高端，不要XX堂，XX苑之类的名字。2、中文2-4个字，名字好记、好理解，有内涵；3、如果是英文，中文音译需好记，最好也是有意义的中文词汇，如“奔驰”、“可口可乐”的音译案例。4、注册21类和35类商标成功率在9成以上,2018-08-09,2018.08.30,任务编号：647179,100.0,161.0,星橙设计QQ1356183009,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】为一款日常蚊虫叮咬小器械起名字,2734人,182人,¥100,圆满完成,mf151****5660,要求：       1  容易记忆，1-2秒钟记忆       2  中英文都可背景：该产品是一款治疗蚊虫叮咬，蛇毒等的器械，户外家居伴侣，具有止痒快，吸出毒素快的特点。简单易用，精美便携备注：不必费心思考，全凭灵感,2018-08-08,2018.08.17,任务编号：646788,100.0,258.0,嘉多宝,个人,七品,35分,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】饺子品牌起名,4534人,293人,¥100,圆满完成,楊Sir,"1.产品介绍：纯手工制作，水饺以口感鲜美为主，用秘制配方与独特生产工艺，打造绿色健康有营养的食品。
2.使用范围：速冻食品包装袋、店面门头、推广。
3.名字必须未经商标注册的，有含义的、两个或三个字的，与三全思念相似的。",2018-08-07,2018.12.01,任务编号：646391,100.0,397.0,唐山设计师,个人,九品,38分,,,ps修图抠图P图换脸换背景图片去水印,"￥30
            /次",,,,,,,,,,,,,,,,,品牌起名
【品牌故事】食品商标品牌故事征集,2663人,16人,¥500,圆满完成,htkm,云祥记品牌故事征集1.        商标：云祥记2.        商标主要做休闲食品，零食、糕点、茶叶等3.        品牌定位：百年品牌，中高端4.        要求：1)       围绕“云祥记”找到一定的历史渊源，或者有历史故事，可以追溯；2)       云祥记，要做中国能吃的礼品，中高端路线；3)       云祥记，要有一个耳熟能详的宣传语；4)       字数300-500字左右；5)       配有历史图片最好；   知识产权说明：1、作品为原创，第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由创作者承担所有法律责任。2、中标的商品，我方支付创作费，即拥有该产品的知识产权和著作权以及使用权和发布权等，有权对作品进行修改和应用，创作和不得在任何地方发布该作品。,2018-08-06,2018.12.29,任务编号：646084,500.0,17.0,知知工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌故事
【品牌起名】IT公司O2O取名,2389人,132人,¥100,圆满完成,HUALALA1,共享网管    企业网管外包  服务   上门修电脑   服务   要求 好记，明了     2-4字  保证42类 35类 可以注册,2018-08-05,2018.12.31,任务编号：645713,100.0,185.0,avataotao,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】文化传播公司取名,3527人,116人,¥100,圆满完成,mf139****0325,文化传播公司取名，大气，简约。,2018-08-06,2018.12.28,任务编号：645959,100.0,187.0,小武的店铺,工作室,七品,39分,,,原创字体LOGO设计,"￥4000
            /件",,,,,,,,,,,,,,,,,公司起名
【品牌起名】一个购物省钱加分享赚钱的APP起名,3987人,162人,¥200,圆满完成,年轻的人,一个购物省钱加分享赚钱的APP起名 代理商可以发展代理， 组建自己的团队， 实现管道收入的项目要求：清新，个性，时尚，好记！例如：熊猫优选  省钱快报   花生日记  猩便利  等等这样的名称要求能够注册商标。否则无效！,2018-08-06,2019.01.31,任务编号：645955,200.0,230.0,十月创意工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【广告策划】餐饮店广告语征集,3141人,133人,¥200,圆满完成,o5b65f06330c18,饭店名字是：家湘宴    用两句话突出特色。要求：创新，易懂。字数简洁（每句话字数控制3-5字）,2018-08-05,2018.08.18,任务编号：645781,200.0,171.0,王府,,,,,,,,,,,,,,,,,,,,,,,,广告策划
【公司起名】网络科技公司取名,4139人,168人,¥168,圆满完成,o5b65f06330c18,网络科技公司取名 取一个创新，富有科技感，易记的名字。,2018-08-05,2018.08.25,任务编号：645564,168.0,249.0,卓越品牌策划工作室,工作室,九品,35分,,,,,,,,,,,,,,,,,,,,,公司起名
【文学创作】天猫品牌故事征集,3216人,18人,¥300,圆满完成,o5b654c1296f80,"我们是一个天猫店铺，里面有两个不同类型的模特，一个温柔，一个偏男孩子气，店铺想写一个品牌起源的故事，是两个闺蜜从彼此不喜欢，不认可，经过一些事情（撰写）然后发现大家都是一类人，男孩子性格的模特其实有颗小女人心，温柔的那位其实也有颗不服输倔强的心，原来大家都是处女座，然后出来开了一间淘宝店铺完成彼此的梦想做自己想做的事情。文章突出闺蜜感情，可适度凌驾于单纯的友谊之上，女女间的暧昧之下，可营造一种神秘感，作者自由发挥。文章会发于包装内作为品牌起源故事，务必在前面几句能抓住眼球，让买家有新鲜感能读下去。。。 知识产权说明：1. 所提交的作品为必须原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由中标者承担所有法律责任。2. 中标的作品，我方支付稿费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对作品进行修改,组合和应用;中标者不得再向其他任何地方使用该作品。",2018-08-04,2018.12.31,任务编号：645399,300.0,18.0,o5b5db1285f619,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【品牌起名】微信公众号和网站取名,3136人,185人,¥200,圆满完成,o5a66ae235592f,公众号主要从事苹果手机信息的查询服务，针对客户群体是做手机的老板，回收手机的商家；类似于果粉等公众号这样的，要求简单易记，朗朗上口就行，最好能带个果字，如果有特别好听的，不带果字也行有同行的网站和公众号名字参考：果快网（果快）  找果网（找果） 爱果查询（爱果）等,2018-08-03,2018.09.02,任务编号：645037,200.0,262.0,逍遥王royal,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【店铺/网店起名】社区生活超市起名,5185人,201人,¥100,圆满完成,o5b6377b85ebb9,社区生活超市起名1.主要经营：蔬菜、水果、生鲜、粮油、酒水、副食品、家庭清洁等符合家用一日三餐。2.要求名字要贴切、近民、好记、要有往品牌发展的空间。3.本名字要注册商标，色彩搭配要合理，很鲜艳。,2018-08-03,2018.10.25,任务编号：644854,100.0,278.0,不才工作室,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【公司起名】给新公司起一个合适的名字,3084人,159人,¥180,圆满完成,yg366,我们公司做针对社会餐饮和校园食堂的管理软件，订货平台，以及相关智能硬件。现需要重新对公司命名，要求符合公司行业定位，符合科技企业定位。公司名同时作为品牌名，可注册商标。可供参考同行名称的“餐链”“良厨房”“易订货”等。,2018-08-02,2018.08.26,任务编号：644802,180.0,252.0,抖音DIY手创体验屋,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【宝宝起名】男娃女娃未知，给予小宝赐名,6885人,300人,¥300,圆满完成,o5b624cdc1d36e,娃快出生了，男娃女娃未知，给予小宝赐名各位智囊大神   大家好！ 本人单姓“陈”爱人姓“张”娃最终依爸姓为姓氏！ 娃预产期于公历2018年8月21日出生，由于是第一胎，也没有要求医   院查询结果！但是对宝爸宝妈来说，无论是男娃还是女娃，都是喜欢、超爱的！    因小生不才，所以再此向各位智囊大神求赐“男娃、女娃”一名！如能包含乳名/小名，娃出生后，无论男娃女娃，一旦笔者启用后，将给予额外单笔额度报酬！   起名要求如下：   1、名字容易上口，如能结合传统中国古风古韵风格，而赐出清新脱俗，独居特色，寓意深刻唯美，笔者一旦启用，可另外增加报酬！    2、不要有不好的谐音，不易联想起外号。      3、构思好，清新不俗、独具特色、与众不同     4、笔者也乐于接受古代、易经、风水、玄学、生辰日期等传统古学赐名方式、但一定是清新脱俗，独居特色，寓意深刻唯美      5、特别注意：请赐名的各位智囊大神在名字后面注释全名的详细含义：          如：学名：XXX   寓意/含义：xxxx   如： 乳名/小名：XXX   寓意/含义：xxxx    6、特别注意：网上搜的名，软件起的就不要参加了！           在此笔者再次感谢各位智囊大神为宝宝姓氏赐名！！,2018-08-02,2018.08.22,任务编号：644418,300.0,416.0,翰墨轩工作室,,,,,,,,,,,,,,,,,,,,,,,,宝宝起名
【成人起名】个人起名改名,4634人,150人,¥100,圆满完成,o5b5547d35e5a8,不喜欢现在的名字想改名字其他要求：1.姓名要吉利，避免冲害；2.名字要品味高雅、内涵深远、大气，普通话、粤语叫起来都要顺口响亮；3.不选多音字，生僻字和与不雅词谐音的字（如候岩（喉炎），韩渊（喊冤）），尽量不用太俗、洋化的字，如李二、胡平娃、约翰等；4.改后的名字不能太俗气，平凡，尽可能减少生活中重名的机会。但也不能太怪异和另类。5.双名，字形结构不要太单一，要有变化的美感，比如不能都是左右结构等。描述补充1.采用周易古法或五格剖象法取名为佳，八字、数理要吉，避免冲害；若采用古籍取名的，需配相应的古籍出处解析。2.按八字五行喜用，姓氏特点，参考大运流年走势，依照周易古法或五格剖象法相关理论，三才，五行，数理全面考虑。3.影响人生各个阶段的数理尽量全部为吉，包括：基本运势（人格）、上半生运势（地格）、下半生运势（总格）、辅助运势（外格），特别是三才的配置，除受先天八字的影响不能配备“大吉”外，也一定要配“吉”数或半吉。三才与人格（基本运势）绝对不能为凶。 4.若可行，尽量选择符合生肖喜用的偏旁文字给以起名。 5.名字的五行要自成体系、必须与先天五行完美结合，相互补充，名字的五行可补先天五行的不足或八字需要的缺行。6.注重创意性、独特性、艺术性，实用性。尽可能做到“数”“理”“形”“音”“义”并重，三才，五行，八字合理兼顾，并易于记忆，书写。7.改后的名字需给出符合本人命理的全套喜忌分析。姓：黎，女，出生日期（阳历）：1990年02月04日11 时40分，出生地：广东湛江,2018-07-30,2018.08.13,任务编号：643450,100.0,202.0,泰沧起名,个人,九品,35分,,,,,,,,,,,,,,,,,,,,,成人起名
【店铺/网店起名】茶饮店起名+广告语征集,3155人,160人,¥100,圆满完成,mf134****4520,奶茶饮品，茶饮店起名+广告语！较有创意，别人没有使用过的。接地气  比较有韵味  广告语协调如:找茶，不找茶没故事！,2018-07-30,2018.12.31,任务编号：643126,100.0,202.0,一品专家,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【店铺/网店起名】茶饮店起名,3214人,238人,¥100,圆满完成,o5b5d5582d6c30,大学校园内店铺，主营茶饮，水果茶，水果捞等要求简洁，有辨识性，有吸引力，顺口，好记，有谐音类名字更好（附带英文名字，附带创意说明）名字在4个字以内最好谢谢,2018-07-29,2018.11.19,任务编号：642926,100.0,314.0,林李工作室。,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【品牌起名】养生保健类的茶叶名字征集,3422人,146人,¥200,圆满完成,富平金秋霜柿,起个名字，能注册商标，我们是做茶叶的，养生保健类的茶叶。有红豆薏米茶 、玉米须茶  、冬瓜荷叶茶等2-4个字,2018-07-28,2018.12.31,任务编号：642400,200.0,202.0,谢小石广告设计工作室,工作室,九品,37分,,,,,,,,,,,,,,,,,,,,,品牌起名
【店铺/网店起名】重庆中端美发店名称征集,1605人,88人,¥100,圆满完成,k6553****10,"重庆中端美发店名称征集 经营介绍： 美容美发要求：1、 简洁，大气，有品质感，容易记，能体现出时尚，并可注册商标           2、 附上创意说明         3、名称能体现出时尚美有创意，并且易读（必须可以注册公司） 4、经营理念: 创造美丽空间，打造美丽人生，让生活变美，让世界更美！能够延伸出企业理念知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品",2018-07-28,2019.03.03,任务编号：642476,100.0,118.0,见证奇迹,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【宣传策划】纺织生产贸易公司宣传语文案,2893人,54人,¥150,圆满完成,s1072****89,我公司商标 '梵帛睿' 商标英文意解为“TY-fbric”我公司名称为天缘纺织，英文等于天缘面料。我公司主营男装面料，棉布，化纤等。请根据我公司行业及商标名出一段郎朗上口，针对性强的宣传语。一句到两句。,2018-07-26,2018.12.31,任务编号：641782,150.0,60.0,小武的店铺,工作室,七品,39分,,,原创字体LOGO设计,"￥4000
            /件",,,,,,,,,,,,,,,,,宣传策划
【品牌起名】产品名字征集,2642人,155人,¥200,圆满完成,ganshaolu,我公司根据大师传统配方，开发了一款玻璃瓶装甜品饮料，暂定名为润喉羹。其主要成分为胖大海果肉，加上藕粉，葛根粉，陈皮，桂花，糖，水等。纯天然植物基饮料，口感润滑，微甜，润喉，利咽，清火。产品名目前为润喉羹，想征集新的名字，两到三个字，体现产品特色，朗朗上口，好记，简单，能被各年龄层次接受，具有一定时尚色彩。,2018-07-25,2018.09.08,任务编号：641379,200.0,196.0,o598317fa17b5e,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【产品卖点】产品名称以及卖点策划,2026人,19人,¥200,圆满完成,o5b58338c725b2,产品为除甲醛活性炭，专业名称是：纳米矿晶需要人帮忙起一个名称，以及文案策划，要突出一下卖点，跟同行有所区别，有自己的卖点，首先介绍一下我家产品，我家产品分为两个，一个是纳米矿晶，就是纯物理吸附的那种，另外一个是 喷剂，俗称光触媒，化学分解甲醛，这两个产品为一个组合，希望有想法的人，帮忙策划一下名称跟文案，以及卖点。需要了解这类产品的话 可以在淘宝上面搜一下，了解一下产品。,2018-07-25,2018.12.30,任务编号：641388,200.0,19.0,Peterbare,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【品牌起名】时装品牌取名,4355人,252人,¥250,圆满完成,xiaolululu,我们是类似朋友圈销售产品的品牌，产品全部代工的，目前我们有微商城和在当地高端写字楼的实体店面，我们的产品风格主要是潮牌，还有时装等，内衣，配饰，希望大家可以想一个比较好的名字。,2018-07-25,2018.08.18,任务编号：641197,250.0,399.0,o5acc032306652,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】电子科技有限公司取名,3341人,89人,¥100,圆满完成,sz298****22,"任务需求注：公司从事数控自动化行业，经营步进电机驱动器和伺服驱动器运动控制卡研发生产。二、取名要求：1、名称为中文并有英文对应，名称字数两个或三个字为佳，文字笔画简洁；2、名称要有好的寓意，大方易记符和行业性质。公司注册地址：深圳市重点：名称可以注册商标、可以注册公司。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;,注：公司从事数控自动化行业，经营步进电机驱动器和伺服驱动器运动控制卡研发生产。二、取名要求：1、名称为中文并有英文对应，名称字数两个或三个字为佳，文字笔画简洁；2、名称要有好的寓意，大方易记符和行业性质。公司注册地址：深圳市重点：名称可以注册商标、可以注册公司。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2018-07-24,2018.12.31,任务编号：641083,100.0,112.0,壹格视觉设计,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【广告策划】为童鞋天猫店铺想一句广告语,4046人,181人,¥188,圆满完成,o5b4709b079c36,为童鞋天猫店铺公司想一句广告语，要原创品牌名字：小布民        婴童鞋品牌理念：以舒服 品质为主要求：简单 好记，能变成一句营销口号,2018-07-24,2018.08.25,任务编号：641004,188.0,213.0,平面 创意＋,工作室,九品,36分,,,,,,,,,,,,,,,,,,,,,广告策划
【品牌起名】不锈钢水槽品牌起名,6835人,272人,¥600,圆满完成,o5a9c9ab7550b3,"不锈钢水槽品牌起名，1. 产品材质为不锈钢，追求金属质感的档次，通常用于家居厨房和洗衣房的做洗涤用途。要求品牌名字能突出高端的特点。2. 新颖，朗朗上口，易记3. 可参考行业龙头品牌： 四季沐歌，九牧，友莱，欧琳等等。4. 要求能够通过商标注册的11, 20, 21类",2018-07-24,2018.11.29,任务编号：640976,600.0,491.0,我想活成你的样子啊,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【宣传策划】一款活络药酒的宣传语,3069人,83人,¥100,圆满完成,lye7891,一款活络药酒的宣传语品名：金钟罩活络酒主要功效：解决酸痛，跌打损伤，划伤烫伤，蚊虫叮咬一句话介绍宣传语：（示范）来自武行师傅练功的药酒传承30分钟解决酸痛希望写得更精炼，漂亮，出众，内涵,2018-07-24,2018.08.20,任务编号：640863,100.0,98.0,千秋万名,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【品牌起名】野生五味子酒起名,2438人,113人,¥300,圆满完成,o5448****6d568,本公司研发、生产、销售野生五味子酒，现因产品发展急需给野生五味子酒起名，条件如下：1、本产品中的五味子产子秦岭，需要和秦岭有关素材;2、本产品是有机产品，要突出原生态；3、可根据唐、秦历史起名；4、不能体现五味子三个字。,2018-07-24,2018.08.13,任务编号：640814,300.0,182.0,ZS代写,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】智能保鲜容器品牌取名,1969人,152人,¥500,圆满完成,o5b541b35bf1c8,本公司生产智能保鲜容器，主要用在原浆啤酒保鲜，需要为公司取一个名字！要求原创，作品为第一次发布，可注册。,2018-07-24,2019.02.07,任务编号：640040,500.0,241.0,广州搏锋,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】熟食品牌名字征集,2485人,155人,¥100,圆满完成,o5b55a394af985,产品是熟食，以牛肉为主，附带面点，蛋禽取的名字需要注册商标，类别29类,2018-07-23,2018.12.30,任务编号：640539,100.0,214.0,一品专家,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【广告策划】电商平台广告语征集,3985人,137人,¥300,圆满完成,o5b51733c68ee0,征集广告语，公司名称为农订购农产品电商平台，广告语内容反映：可以追溯农产品的种养殖过程；销售的农品重在生产过程对农品品质的反映。如：健康农品从成长过程抓起。,2018-07-23,2018.08.16,任务编号：640205,300.0,184.0,雨打芭蕉   文案·设计,,,,,,,,,,,,,,,,,,,,,,,,广告策划
【店铺/网店起名】简餐厅的名字征集,4271人,278人,¥138,圆满完成,阿呆豆豆,求一个简餐厅的名字，和同桌有关系，需要能注册商标，像同桌的你、那年那月 都不可以使用了商标被注册过了，原因：和高中同桌谈了几年了，快要结婚了，由于一些莫名其妙的因素分手了，想开个简餐厅，关于同学或者同桌的意思，要是店面很好的话 另有重谢。,2018-07-22,2018.10.21,任务编号：640193,138.0,393.0,o5b46c55aebc20,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【成人起名】甜品行业艺名,3123人,172人,¥100,圆满完成,o5b53****0b4f0,本人从事西点行业，主要以做甜品为主。 希望取一个简单明了的艺名,2018-07-22,2019.01.15,任务编号：639959,100.0,233.0,海先生设计,,,,,,,,,,,,,,,,,,,,,,,,成人起名
【品牌起名】餐饮品牌起名,2686人,165人,¥120,圆满完成,ptccc,"餐饮面馆品牌起名,要求可以通过商标注册的名称.此面馆为福建的福鼎小吃:排骨面之类的.想要起名如:和府捞面,之类的名称.有一定寓意的名称.",2018-07-21,2018.08.05,任务编号：639874,120.0,202.0,o5a7beb1760e9f,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】雨伞品牌取名征集,14697人,517人,¥600,圆满完成,o5a2699a7a6dd1,雨伞上主要印有文字（潮流语，个性潮流网络用语，诗词等，产品风格参考附件图片）                            要求：                                            1、品牌名要古风潮流或者文艺，笔画简单，有创意。（参考品牌名：雨言  集云 后序 小时光 异度 ）2、有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任,2018-07-21,2018.09.01,任务编号：639848,600.0,1017.0,醉青空,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【文学创作】初中生演讲稿,4376人,26人,¥200,圆满完成,dgtddq,1、以“我与祖国共成长”为主题的演讲稿，为深入学习宣传贯彻习大大新时代中国特色社会主义思想和党的十九大精神，隆重纪念庆祝改革开放40周年。2、演讲时间控制在5至7分钟、1500字左右！3、主题鲜明，内容积极向上。4、语言自然流畅，富有真情实感；5、层次分明，逻辑性强，结构自然合理。,2018-07-21,2018.08.10,任务编号：639781,200.0,26.0,o5b3f81899c941,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【品牌起名】取名美国注册的英文商标，类别是灯具照明,1897人,82人,¥400,圆满完成,qwe453621,"取名美国注册的英文商标，类别是灯具照明 要求： 1.能在美国注册并通过； 2.不能侵犯知识产权；3.比较好记忆，有识别度4.商标的文字不能有不好的含义,要符合北美人的审美 5不能是纯数字",2018-07-20,2018.08.12,任务编号：639358,400.0,115.0,xdfswyyg,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】K12教培行业品牌取名,2306人,107人,¥200,圆满完成,o5b485cdcc3cc0,K12教培行业品牌取名1、不要生僻字2、3个字以内3、顺口、简单4、附上释义说明,2018-07-18,2018.08.23,任务编号：638743,200.0,148.0,老四的店,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】网络科技公司名字征集,2585人,146人,¥100,圆满完成,o5b4d7571d08e8,主要做网络科技 线上和线下商家的 连接，让线下客户入驻线上，更好的服务商家！围绕这一块给公司命名！2-3个字要能注册的,2018-07-17,2018.11.24,任务编号：638099,100.0,199.0,智通策划文案,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】电信科技有限公司取名征集,2159人,111人,¥200,圆满完成,o5a903cbac4f98,我想注册一个公司，注册地在武汉市武昌区，公司名预设为：武汉……电信科技有限公司，帮取名且工商注册能过的。名字2-4个字左右公司经营范围：通信产品技术开发 .计算机软硬件技术开发 .计算机网络工程的施工 .计算机系统集成 :通信工程.安防工程.室内装饰工程的设计与施工:视频会议系统.办公智能化设备的销售设计及安装.安防设备.通讯器材（不含无线电发射设备）.电子产品.建筑装饰材料的批发兼零售.基础电信业务代理（依法须经批准的项目，经相关部门批准后方可开展经营活动）预估一个月时间完成。名字必须能注册通过,2018-07-16,2018.08.16,任务编号：636295,200.0,146.0,ZS代写,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】帮一间企业服务集团公司取名,12192人,234人,"¥3,000",圆满完成,epqihua,简要背景：一品威客网是一个以中小企业作为服务对象，提供创意设计、财税金融、创业孵化、知识产权等服务的平台型互联网公司，旗下业务包括：一品威客（创意服务众包）、一品创客（创业孵化）、一品财税（财税金融）、一品标局（知识产权服务）等。现征集一个以“一品”作为开头的集团企业名称。取名要求：1、名字结构：一品XX；作为囊括以上各种企业服务品类的集团公司名称；附上简要说明。2、名字要求正能量、一目了然，符合企业服务定位。最好为“小中见大”、“谦逊”和“朴实”的调性。如：“蚂蚁金服”、“微信”、“小程序”这种风格。体现企业“诚信经营、无声呼人、品质优先、客户至上”，助力中国中小企业成功成长的经营管理理念。3、名字最好为商标可注册、域名可注册。商标查询：http://wsjs.saic.gov.cn/域名查询：https://wanwang.aliyun.com/知识产权说明：1、所提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由提交者承担所有法律责任；2、中标作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；中标者不得再向其他任何地方使用该作品。QQ咨询：630857144,2018-07-16,2018.08.24,任务编号：637543,3000.0,776.0,冰块BinGki,个人,七品,36分,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】房地产投资公司取名,4395人,240人,¥200,圆满完成,queendie,任务要求：公司取名，新注册公司。1.主要经营内容：房地产投资开发，营销策划，渠道整合，商业招商，运营管理，物业服务，家装设计，餐饮公司运营管理，文化活动组织，健康养生，医疗立项，文玩把件，旅游业等。2.公司设立在海南，名字要大气，容易记，又不失内涵（例：卓越亮点房地产投资）3.以“银”字开头进行取名，如“银**房地产投资”字数要求：最好6字以内周期：尽快,2018-07-16,2018.08.16,任务编号：637699,200.0,309.0,老四的店,,,,,,,,,,,,,,,,,,,,,,,,公司起名
