标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,任务类型
【产品卖点】家居产品文案编写,https://task.epwk.com/674215/,1246人,4人,¥150,圆满完成,郎哥,1、根据要求编写沙发文案2、内容要求简洁，符合沙发特征和体现家庭温馨氛围3、具体要求可加微信说明,2018-10-25,2018.10.28,任务编号：674215,150.0,"1天,10天,4天,2天","广东省-广州市-白云区,北京市-北京市,广东省-广州市-番禺区,山东省-济南市",o5bba0913c7300,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【宣传策划】共享农场文案策划,https://task.epwk.com/661089/,1084人,1人,¥500,圆满完成,o59b787b53d5fe,项目：共享农场文案策划需求：大概的都写好了，现在需要提炼,2018-09-17,2019.04.02,任务编号：661089,500.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",宣传策划
【产品卖点】机械产品结构说明书撰写,https://task.epwk.com/671589/,1046人,1人,¥960,圆满完成,x1985****285,已协商好，勿扰！,2018-10-18,2018.10.18,任务编号：671589,960.0,7天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",产品卖点
【宣传策划】UI培训专业老师专业申请书,https://task.epwk.com/667991/,774人,1人,¥500,圆满完成,贝利2018,UI培训专业老师，写一份专业申请书，具体以实际沟通为准。已经谈好合作，勿扰，谢谢！,2018-10-09,2018.10.25,任务编号：667991,500.0,2天,江苏省-南通市-市辖区,猫诣广告传媒有限公司,https://shop.epwk.com/2j5xoo2mx5xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【专业代笔】做一个4s店的工作流程,https://task.epwk.com/662124/,1554人,4人,¥300,圆满完成,o5ba26e10da9fc,做一个4s店的工作流程，包括销售，售后，财务各个部门参与的流程！一份给老总看，要简明而要，步骤清晰，看完整个流程，了解所有售车细节，然后可签字！一份给员工看的，要详细具体，可让员工查缺补漏！助员工提高工作效率！我们汽车店在二线城市，要依据我给的材料，再稍微补足一些漏洞！我们要能用！,2018-09-20,2018.09.21,任务编号：662124,300.0,"1天,5天,1天,3天","山东省-德州市,山东省-青岛市,北京市-北京市-海淀区,内蒙古-呼和浩特市",金芭蕉文案服务工作室,https://shop.epwk.com/78n96wzkxnkv/,金芭蕉文案服务工作室,出售服务,https://shop.epwk.com/78n96wzkxnkv/chushou/,工作室,五品,37分,,,金芭蕉文案服务工作室,,代笔影视文案宣传片解说词微电影剧本影视策划,价格面议,专业定制各类文书写作,价格面议,商业计划书融资合作招商运营方案可行性报告代写,价格面议,品牌文案,价格面议,微信文章写作公众号服务号微博配图文推广文案,价格面议,,,,,,,,,,,专业代笔
【软文发布】贴吧营销推广,https://task.epwk.com/661031/,1257人,1人,¥700,圆满完成,hui117715,01.按照附件报表中的贴吧发帖和填写验证方式02.不按照附件中贴吧发帖，一律不予付款，删帖吞贴不予付款，存活按照交付看到算存活03.按照附件内容灌水，可以在评论区灌水，确保图片保留一张以上04.保证内容和图片的完整性。05.注：贴吧关注人数必须大于2000。PS：验证方式 提交链接地址 和贴吧ID 灌水需提供楼层数PS：图片找任务主获取,2018-09-17,2018.09.26,任务编号：661031,700.0,6天,安徽省-合肥市,一缕阳光520,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,软文发布
【宣传策划】宣传文案撰写,https://task.epwk.com/658522/,893人,1人,¥1000,圆满完成,驭网科技,初稿 ：3个工作日修改：双方进行协商后续满意再追加500元。具体以实际沟通为准。,2018-09-10,2018.09.21,任务编号：658522,500.0,5天,广东省-深圳市,明杨品牌策划,https://shop.epwk.com/m7d7wzyyp5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【商业提案】商业计划书,https://task.epwk.com/656007/,1198人,1人,¥3500,圆满完成,o5b8c932853e9b,文案策划 商业计划书，CL是一个合作社，需要一笔资金建设厂房，购买机械，小辣椒分加工这方面的，河南  周口市。预估需要拉到300w左右的投资  已经跟服务商谈好,2018-09-03,2018.09.09,任务编号：656007,3500.0,10天,,经略智成咨询,https://shop.epwk.com/9w56e188kdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【专业代笔】创作一部微电影剧本,https://task.epwk.com/653734/,2175人,10人,¥500,圆满完成,金大地影视,我们我们需要创作一部微电影剧本。作品内容应紧扣反腐倡廉主题，充分挖掘中国优秀传统文化，革命文化，社会主义先进文化中蕴含的廉洁元素，弘扬廉洁文化，传播廉洁理念，培树新风正气。剧本时间15分钟以内,2018-08-27,2018.08.31,任务编号：653734,500.0,"2天,5天,3天,3天,3天,5天,2天,7天,5天,2天","吉林省-长春市-南关区,山东省-青岛市,河南省-郑州市-金水区,山西省-太原市-万柏林区,北京市-北京市,广东省-广州市,山东省-泰安市-泰山区,陕西省-西安市-碑林区,山西省-太原市,广东省-广州市",o5b628da46c0c7,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【商业提案】新零售商业计划书,https://task.epwk.com/653274/,2065人,1人,¥2000,圆满完成,o5b820a2caff6e,已跟服务商沟通好了，勿扰！按需求而定。,2018-08-26,2018.09.01,任务编号：653274,2000.0,5天,北京市-北京市-东城区,思睿观通创融服务,https://shop.epwk.com/78n96oe98nkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【项目策划】虚拟币区块链方面项目文案,https://task.epwk.com/651879/,2585人,1人,¥5000,圆满完成,o5b79079b24150,已经谈好合作1、	PPT类方案（商业计划书和产品解决方案）：基本排版设计、文案逻辑、技术要求、解决方案等都会体现；2、	白皮书会针对提供公允的信息和分析；提出问题及解决方案；及基于权威的研究给出问题解决方案等主张（大体简框架有：概要、简介、问题解释、解决方案、风险说明及结尾等信息）3、	费用总计：5000.00元4、	制作工期：7个工作日5、	修改沟通：三套方案根据交稿情况与客户进行沟通，进行三次修改调整，直达满意。,2018-08-22,2018.09.07,任务编号：651879,5000.0,7天,山东省-青岛市-崂山区,光影品牌策划,https://shop.epwk.com/89dvgrvjwdl2/,光影品牌策划,出售服务,https://shop.epwk.com/89dvgrvjwdl2/chushou/,企业,三品,45分,,,光影品牌策划,,活动策划方案撰写（线上&线下）,"￥999
            /起",商业计划书撰写,￥5000,折页/画册设计,"￥299
            /页",企业标志设计,￥5000,创意海报设计,"￥999
            /起",,,,,,,,,,,项目策划
【文学创作】修改一篇解说稿,https://task.epwk.com/651215/,2860人,6人,¥200,圆满完成,秦唐映像丶,需要找一个文案，改一篇解说稿，西安本地面谈,2018-08-20,2018.08.23,任务编号：651215,200.0,"1天,1天,3天,2天,1天,2天","山西省-吕梁市-离石区,山东省-泰安市-泰山区,北京市-北京市,浙江省-杭州市-余杭区,北京市-北京市,河南省-郑州市",不二家的童初,https://shop.epwk.com/mod042qg05yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学创作
【宣传策划】任务4-微信公众号建设运营管理,https://task.epwk.com/650277/,728人,1人,¥5000,圆满完成,vitorru,任务4-微信公众号建设运营管理,2018-08-17,2018.08.31,任务编号：650277,5000.0,10天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",宣传策划
【宣传策划】文案任务3-运营管理,https://task.epwk.com/650276/,570人,1人,¥3000,圆满完成,vitorru,文案任务3-运营管理,2018-08-17,2018.08.31,任务编号：650276,3000.0,10天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",宣传策划
【宣传策划】文案任务2-营销策划,https://task.epwk.com/650274/,710人,1人,¥3000,圆满完成,vitorru,文案任务2-营销策划,2018-08-17,2018.08.31,任务编号：650274,3000.0,10天,山东省-青岛市-李沧区,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",宣传策划
【宣传策划】招商策划文案1,https://task.epwk.com/650272/,567人,1人,¥3000,圆满完成,vitorru,文案任务1-招 商策划,2018-08-17,2018.08.31,任务编号：650272,3000.0,10天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",宣传策划
【专业代笔】关于写改革开放四十年座谈会文章撰写,https://task.epwk.com/647001/,1392人,13人,¥300,圆满完成,o5b6ac94d793a3,关于写改革开放四十年座谈会材料，急需能手1500字左右座谈交流的材料,2018-08-08,2018.08.14,任务编号：647001,300.0,"2天,5天,2天,3天,1天,2天,3天,3天,10天,3天,1天,3天","山东省-德州市,山东省-青岛市,山西省-太原市,广东省-广州市,浙江省-温州市,广东省-广州市-越秀区,云南省-曲靖市-会泽县,四川省-成都市,广东省-广州市,山东省-济南市,山东省-泰安市-泰山区,山东省-泰安市-泰山区",金芭蕉文案服务工作室,https://shop.epwk.com/78n96wzkxnkv/,金芭蕉文案服务工作室,出售服务,https://shop.epwk.com/78n96wzkxnkv/chushou/,工作室,五品,37分,,,金芭蕉文案服务工作室,,代笔影视文案宣传片解说词微电影剧本影视策划,价格面议,专业定制各类文书写作,价格面议,商业计划书融资合作招商运营方案可行性报告代写,价格面议,品牌文案,价格面议,微信文章写作公众号服务号微博配图文推广文案,价格面议,,,,,,,,,,,专业代笔
【宣传策划】攻心式类宣传文案,https://task.epwk.com/644232/,704人,1人,¥600,圆满完成,vitorru,江先生  文案书写  攻心式文案   需要帮忙写培训教程的,2018-08-01,2018.08.09,任务编号：644232,600.0,5天,山东省-德州市,金芭蕉文案服务工作室,https://shop.epwk.com/78n96wzkxnkv/,金芭蕉文案服务工作室,出售服务,https://shop.epwk.com/78n96wzkxnkv/chushou/,工作室,五品,37分,,,金芭蕉文案服务工作室,,代笔影视文案宣传片解说词微电影剧本影视策划,价格面议,专业定制各类文书写作,价格面议,商业计划书融资合作招商运营方案可行性报告代写,价格面议,品牌文案,价格面议,微信文章写作公众号服务号微博配图文推广文案,价格面议,,,,,,,,,,,宣传策划
【专业代笔】高中生红楼梦论文撰写,https://task.epwk.com/641556/,1419人,5人,¥200,圆满完成,o5b58a10ccc815,高中生写红楼梦小论文，提纲写过两遍了，必须有看完一整本红楼梦，至于价格我也不太了解，第一次找代写，毕竟高中生没多少钱，两百左右,2018-07-26,2018.08.05,任务编号：641556,200.0,"1天,7天,2天,5天","山东省-泰安市-泰山区,福建省-福州市-市辖区,浙江省-杭州市,北京市-北京市-顺义区",泰安尚水文化传媒有限公司,https://shop.epwk.com/j7n3833e35e1/,泰安尚水文化传媒有限公司,出售服务,https://shop.epwk.com/j7n3833e35e1/chushou/,企业,四品,30分,,,泰安尚水文化传媒有限公司,,书籍著述,100,电子政务,180,网店策划,100,自媒体发布,"￥100
            /次",法律诉讼文书写作,1500,jpeg\png等格式转换为word,200,应用文案,100,工作陈述,150,文学作品创作,150,公司品牌策划,400,专业代笔
【商业提案】做一份股权合作协议书,https://task.epwk.com/640950/,1195人,6人,¥300,圆满完成,o5b226b688f030,做一份股权合作协议书，有涉及法律问题，需要对法律知识比较了解。具体详谈,2018-07-24,2018.07.27,任务编号：640950,300.0,"1天,10天,2天,5天,3天,3天","山东省-泰安市-泰山区,山东省-青岛市,上海市-市辖区,山西省-太原市,上海市-市辖区,山东省-济南市",泰安尚水文化传媒有限公司,https://shop.epwk.com/j7n3833e35e1/,泰安尚水文化传媒有限公司,出售服务,https://shop.epwk.com/j7n3833e35e1/chushou/,企业,四品,30分,,,泰安尚水文化传媒有限公司,,书籍著述,100,电子政务,180,网店策划,100,自媒体发布,"￥100
            /次",法律诉讼文书写作,1500,jpeg\png等格式转换为word,200,应用文案,100,工作陈述,150,文学作品创作,150,公司品牌策划,400,商业提案
【专业代笔】文员绩效考核文件制作,https://task.epwk.com/639048/,2002人,11人,¥100,圆满完成,huangzuchao,设定300元为文员绩效考核奖金文员工作内容1、考勤2、系统数据3、部门KPI数据核实4、报表数据更新单据5、出货标签打印核实6、员工的生产绩效核算7、物料领用单据8、月底盘点数据真实9、部门周报数据10、生产成本数据作成绩效考核，以以下格式编写,2018-07-19,2018.07.25,任务编号：639048,100.0,"1天,2天,1天,7天,2天,2天,7天,2天,1天,1天,1天","浙江省-杭州市,北京市-北京市-朝阳区,山东省-烟台市-蓬莱市,山西省-太原市,河南省-郑州市,河北省-石家庄市,北京市-北京市-朝阳区,上海市-市辖区,山东省-济南市,湖南省-长沙市-岳麓区,山东省-泰安市-泰山区",无忧致之,https://shop.epwk.com/m7d7w92yv5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【宣传策划】健康和美容行业文案策划,https://task.epwk.com/636449/,1656人,1人,¥20000,圆满完成,vitorru,健康和美容行业文案策划：关于产品，结合网络的宣传传播，具有可看性，趣味性，内在，要求长沙当面面谈，预算直接沟通报价联系,2018-07-12,2018.07.12,任务编号：636449,20000.0,1天,湖南省-长沙市,超体文化创意,https://shop.epwk.com/78n96zryonkv/,超体文化创意,出售服务,https://shop.epwk.com/78n96zryonkv/chushou/,企业,一品,70分,,,超体文化创意,,包装设计干货坚果零食农产品大米花茶叶类食品包装袋年货礼盒设计,"￥2980
            /起",【超体设计】LOGO设计商标品牌设计标志设计公司logo设计,"￥980
            /起",【定制】 高端包装设计食品饮料包装设计 瓶贴 茶叶等外包装平面设计,"￥2980
            /起",【定制】创意宣传单海报公司海报食品餐饮化妆品微信微海报淘宝海报、文化墙设计,"￥500
            /起",【定制】休闲娱乐互联网医疗生物科技/公司品牌形象企业VI应用设计,"￥5000
            /起",【定制】详情页设计宝贝描述网店装修设计首页设计 整店装修美工店铺装修,"￥1000
            /起",【定制】画册设计/品牌/产品/宣传/ 企业画册/画册,"￥200
            /起",【定制】商品拍摄淘宝产品广告静物摄影服务宣传片 产品详情拍摄,"￥100
            /起",【超体知识产权】商标注册查询申请/个人企业/加急/专业/代办续展变更全球商标注册,"￥1000
            /起",企业官方网站 PC网站  手机网站  小程序 微信平台开发,"￥2000
            /起",宣传策划
【专业代笔】企业简介文案撰写,https://task.epwk.com/635298/,898人,4人,¥500,圆满完成,o591eb1f3a5ec6,企业简介文案可提供最基础的信息，一天完成初稿,2018-07-10,2018.07.31,任务编号：635298,500.0,"1天,3天,1天,1天","山东省-青岛市,山西省-忻州市-忻府区,上海市-市辖区,江苏省-无锡市-宜兴市",利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",专业代笔
【专业代笔】文案协助润色方案,https://task.epwk.com/634251/,1246人,6人,¥100,圆满完成,宇和模具,我司是设计工作室现和一家大公司订立承包方案，需要一个文案协助润色方案工期1-2天,2018-07-07,2018.08.26,任务编号：634251,100.0,"1天,5天,1天,100天,2天,1天","山东省-济南市,山东省-青岛市,广东省-广州市-越秀区,贵州省-贵阳市-云岩区,上海市-市辖区-浦东新区,安徽省-马鞍山市",智通策划文案,https://shop.epwk.com/09drjjzkl53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【专业代笔】公司简介撰写,https://task.epwk.com/634107/,1412人,2人,¥100,圆满完成,o5b3f28db3e72d,公司介绍撰写主营：建材具体联系沟通,2018-07-06,2018.08.07,任务编号：634107,100.0,"2天,10天","山东省-济南市,山东省-青岛市",智通策划文案,https://shop.epwk.com/09drjjzkl53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【商业提案】商业融资计划书撰写,https://task.epwk.com/631127/,1590人,24人,¥2500,圆满完成,o5b226b688f030,商业融资计划书工期：1周,2018-06-29,2018.07.13,任务编号：631127,2500.0,"9天,10天,3天,7天,1天,10天,3天,15天,7天,3天,6天,5天","河南省-濮阳市-华龙区,山东省-青岛市,广东省-深圳市-南山区,重庆市-市辖区-万州区,河北省-秦皇岛市,陕西省-西安市,上海市-市辖区-普陀区,河北省-石家庄市-市辖区,广东省-广州市-海珠区,山东省-泰安市-泰山区,广东省-佛山市-高明区,广东省-深圳市",云起轩工作室,https://shop.epwk.com/omdwk2yemdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【宣传策划】推广软文撰写,https://task.epwk.com/630274/,1147人,9人,¥500,圆满完成,tc001,本公司在淘宝上开了多家关于印章的店铺，销量可以。现在微信上开通了自己的公众平台及微信商城，希望撰友们能出一份详细的线下招代理的文案，主要是能体现出商城的优点   以及未来的发展优势。  如有感兴趣的可以直接联系我们   聊具体细节,2018-06-27,2018.07.10,任务编号：630274,500.0,"10天,3天,3天,3天,1天,1天,1天,5天,5天","山东省-青岛市,上海市-市辖区,山东省-济南市,内蒙古-呼和浩特市,山东省-泰安市-泰山区,河北省-石家庄市,北京市-北京市,黑龙江-七台河市,四川省-成都市-市辖区",利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",宣传策划
【宣传策划】品牌文案制作,https://task.epwk.com/626078/,826人,1人,¥400,圆满完成,o5a10f338344fb,品牌文案制作 具体详谈,2018-06-14,2018.07.10,任务编号：626078,400.0,2天,辽宁省-沈阳市,紫彧营销咨询机构,https://shop.epwk.com/p05qjj3xydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【百科/问答撰写】百度百科申请,https://task.epwk.com/625935/,1840人,1人,¥1500,圆满完成,yantingji,人物，书，词条百度百科登录。内容基本编辑完毕，少许修改即可。,2018-06-14,2018.06.30,任务编号：625935,1500.0,15天,广东省-广州市,云起轩工作室,https://shop.epwk.com/omdwk2yemdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【产品卖点】网页可行性分析报告及产品说明书撰写,https://task.epwk.com/623855/,1083人,1人,¥200,圆满完成,tel13****88468,http://39.108.5.84/Duanzishequ/Index上面的网站是我的毕业设计，需要写一份可行性分析报告 产品说明书要求每一样都在word 10页左右，6月10日前交付文档中产品名称：Tale社区,2018-06-08,2018.06.10,任务编号：623855,200.0,3天,河北省-石家庄市,爱妈妈的店铺,https://shop.epwk.com/zqdpl7kkpn1v/,爱妈妈的店铺,出售服务,https://shop.epwk.com/zqdpl7kkpn1v/chushou/,个人,九品,37分,,,爱妈妈的店铺,,,,,,,,,,,,,,,,,,,,,,产品卖点
【宣传策划】化妆品行业文案推广,https://task.epwk.com/623492/,539人,1人,¥500,圆满完成,vitorru,张女士   化妆品行业 文案推广类文案    要求有经验的设计团队微信,2018-06-07,2018.06.15,任务编号：623492,500.0,3天,山东省-青岛市-崂山区,光影品牌策划,https://shop.epwk.com/89dvgrvjwdl2/,光影品牌策划,出售服务,https://shop.epwk.com/89dvgrvjwdl2/chushou/,企业,三品,45分,,,光影品牌策划,,活动策划方案撰写（线上&线下）,"￥999
            /起",商业计划书撰写,￥5000,折页/画册设计,"￥299
            /页",企业标志设计,￥5000,创意海报设计,"￥999
            /起",,,,,,,,,,,宣传策划
【宣传策划】文案策划公司简介,https://task.epwk.com/619159/,1359人,1人,¥500,圆满完成,vitorru,杨先生。金融行业文案策划:写一个公司简介。预算直接沟通报价联系,2018-05-28,2018.07.16,任务编号：619159,500.0,3天,北京市-北京市-丰台区,译诚传媒,https://shop.epwk.com/7g5ykxo2gn0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
