标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,交易价格统一,任务类型
【项目策划】官方任务：产品升级思路征集 一品威客“御用产品人”招募,https://task.epwk.com/549264/,7606,11,"¥1,000",七七sweet,￥ 1000,￥200,2017/11/1,背景情况：一品威客网处于升级新阶段，寻求多元化发展道路。现就新产品思路发布任务征集，寻求广大有能之士参与，思维碰撞，各抒己见。征集内容：整合一品威客现有资源（包含但不限于企业客户资源、雇主威客资源、平台推广资源、各地加盟商资源），思考一品威客未来产品思路，完成文档提案。简介：一品威客网（www.epwk.com）是国内领先的新型创意托付式服务平台，于2010年7月1日上线运营。目前拥有超1400万注册用户，成功服务超百万级的各类机构、单位和个人雇主。平台以分享经济发展模式，对社会资源进行撮合匹配，为国内千万级企业提供一站式的、全生命周期的、涵盖企业注册、财税服务、创意设计、软件开发、商标注册及知识产权保护、营销推广等在内的创意众包服务。征集要求：1、能有效最大限度利用一品威客现有产品线积累的客户。以他们为目标客户，提供产品思路。2、能适用于各规模公司企业，有宽泛的用户基础，尽量避免特定小众的客户群体。3、能对一品威客现有产品线有优化或者提升意义，能相互促进，良性循环。4、思路方向建议：提升企业客户工作效率、解决企业客户日常工作中的技术难点、提供企业客户运营等技术支持。5、新产品要注重低开发运营成本，能快速投入进行市场验证。6、提案内容需要阐述清楚：产品理念、产品说明、商业模式、产品优势与挑战，并附上思维导图。否则算无效稿件。7、如若能附上个人/团队简历一份，更能获得选稿官的青睐。8、请以word文档形式附件上传提案作品，谢谢合作。9、中标威客可以成为一品威客网产品外援智囊团成员，与一品威客网共同参与研发新产品，为新产品上市提供助力。10、根据方案内容情况，中标威客有机会获得补充奖励：现金、平台广告资源、任务推送特权、增值服务等。咨询QQ：2387489015备注：一品威客网现有产品线：VIP产品/一品通、一品标局、有其屋、一品财税、一品同城等。更多了解请看：VIP商铺：http://www.epwk.com/vip/ 一品通：http://www.epwk.com/eptong.html一品标局：http://www.epbiao.com/有其屋装修网：http://www.youqiwu.com/一品财税：http://cs.epwk.com/一品同城：http://www.epwk.com/eptc-view-city_index-c-350200-a-350212-page-1.html,任务编号：549264,"工作室 |            
            宏瞻网络","个人 |            
            美其名曰",,,,,,,,,1000,项目策划
【公司起名】寻找微信公众号注册可用名称,https://task.epwk.com/538638/,8740,111,¥900,ChuckM6,￥ 900,￥120,2017/9/25,要求：名称只限于，金融， 微交易， 股票，投资 这四种相关名称。且微信用微信指数搜索必须要有指数1个指数点起步。只要把可注册的相关名称发上，查询通过即为合格。一个名称3元。详情看附件,任务编号：538638,流年的青春,o59c0733cac515,"个人 |            
            快乐创意工作室",逍遥hhd,逍遥hhd,书海小主,MaryAo,MaryAo,"工作室 |            
            万思新的商铺",子书,900,公司起名
【宣传策划】软文推广，需被百度收录,https://task.epwk.com/504467/,2390,1,¥501,临渊如墨,￥ 501,,2017/5/24,"任务要求：  1帖子3元一条，要求文章必须保证7天内不被删。  2要求高流量，高权重网站，百度权重大于3，收录才算合格，收录后不被秒删。  3发论坛人气高的板块，同一论坛只能发一条，论坛不限。  4发在各大博客也可以，如新浪、网易、搜狐等大型博客，要求博客关注度高。  5发论坛人气高的板块，同一论坛，同一板块只能发一次。  6帖子必须为主题贴，回帖不算，帖子不登录可见，标题记得要换，可修改自编。  7一个推手可做多次(一个论坛算一搞,多做多赚)，达到以上要求就算有效。  8只收20个稿件，过后不算。提交发帖的链接以便审核 ，发帖前联系QQ2974835969.这边会提供发帖内容。",任务编号：504467,,,,,,,,,,,501,宣传策划
【软文发布】一稿 12元  APP下载链接和推广软文发布到微博或，美拍,https://task.epwk.com/491642/,1422,1,¥600,o58d3****340aa,￥ 600,,2017/4/12,"经三个步骤完成APP推广任务若被100名下载可赚取人民币1000元~2500元。 Step1-> 进入官网 www.cauly.com.cn 注册Step2-> 选择APP: 在官网随意选择自己喜欢的APP，复制专属它的链接，同时准备推广原创软文内容。* 选择与发布APP链接技巧: 请参考附件内容或登入官网后->在操作指南页面-> 平台示例图及创作文案技巧 客服咨询 qq:3219772632, 移动电话 18610773402 Step3->发布: 微博、美拍社交平台当中选好平台后编辑短文并与APP链接一起发布即可。     任务完成啦！是不是很简单呢？ 注意！！ 推广的APP链接每发生一次安装单价是人民币10元~25元不等哦发布的内容保持3天就算审核通过 审核条件将以下截图上传即可  1) 进入会员中心截图包含ID画面（Email地址要清晰）2) 在微博、美拍上发布的截图。3）发布的链接（重要的）， 保持3天后算审核通过",任务编号：491642,,,,,,,,,,,600,软文发布
【软文发布】一稿 7元  APP下载链接和推广软文发布到微信朋友圈上,https://task.epwk.com/491637/,1536,1,¥500,o58d3****340aa,￥ 500,,2017/4/12,"经三个步骤完成APP推广任务若被100名下载可赚取人民币1000元~2500元。 Step1-> 进入官网 www.cauly.com.cn 注册Step2-> 选择APP: 在官网随意选择自己喜欢的APP，复制专属它的链接，同时准备推广原创软文内容。* 选择与发布APP链接技巧: 请参考附件内容或登入官网后->在操作指南页面-> 平台示例图及创作文案技巧 客服咨询 qq:3219772632, 移动电话 18610773402 Step3->发布: 在微信朋友圈李编辑好的推广软文和APP链接一起发布即可。         任务完成啦！是不是很简单呢？ 注意！！ 推广的APP链接每发生一次安装单价是人民币10元~25元不等哦发布的内容保持3天 审核条件将以下截图上传即可  1) 进入会员中心截图包含ID画面（Email地址要清晰）2) 在微信朋友圈上发布的截图。",任务编号：491637,,,,,,,,,,,500,软文发布
【软文发布】APP下载链接推广 一稿9元,https://task.epwk.com/490979/,1458,3,¥500,o58d3****340aa,￥ 500,￥27.27,2017/4/10,"经三个步骤完成APP推广任务若被100名下载可赚取人民币1000元~2500元Step1-> 进入官网 www.cauly.com.cn  注册Step2-> 选择APP: 在官网随意选择自己喜欢的APP，复制专属它的链接，同时准备发布。* 选择与发布APP链接技巧: 请参考附件内容或登入官网后->在操作指南页面-> 平台示例图及创作文案技巧 客服咨询 qq:3219772632, 移动电话 18610773402 Step3-> 发布: 单选或多选微博、微信、美拍等社交平台后编辑短文并与APP链接一起发布即可。任务完成啦！是不是很简单呢？注意！！若别人通过您的APP推广链接，每发生一次安装都会有相应的奖励。审核条件（（雇主实时秒审）将以下截图上传即可1) 进入会员中心截图包含ID画面（Email地址要清晰）2) 在微博、微信、美拍等其中之一的社交平台发布的截图。",任务编号：490979,"个人 |            
            永不放弃",chens8,"个人 |            
            一颗冰心",,,,,,,,500,软文发布
【文学创作】《创客与威客》创业故事征集,https://task.epwk.com/487124/,11455,14,"¥10,000",epjuan,￥ 10000,￥8000,2017/3/27,汇聚创客和威客的集体智慧，大家一起写本创客与威客主题的书。在这本《创客与威客》新书里，创客是采取了广义的定义——用了比较有创意的模式或创新出新产品的创业者（与传统的创业者区隔开来，比如说你开了家饺子馆当自己的老板，这也是创业，但不是我们所说的“创客”）；威客也是创客当中的一种，也是创业者。 我们非常欢迎正在创业的团队把自己创业的经历、故事、经验（可供其他创客和威客学习借鉴的）写成稿件投给我们。字数可以在三千到一万左右。 我们欢迎在威客网站上业绩做的比较好的威客把自己多年来创业的故事心得经验，值得与其它威客分享的内容写成稿件投给我们，因为威客也是创客啊。 注意事项： 1、有兴趣参与任务的创客、威客不妨先沟通一下王博士（联系微信号是drwangqxm，邮箱是 1152683656@qq.com），初稿里已写好了的内容就不要重复投稿（已完成的部分会陆续在微信公众号DrwangqCHO里发布）。 2、写作的语言、文字请尽量严谨，不要口语化。写自己的创业故事也请采用第三人称而不要第一人称——也即不要满篇都是“我我我”。 引用其他文献时请注明出处——文献是指他人已经在书籍、文章、网络上发表过的作品，尊重他人知识产权，绝对不可抄袭；如果因此导致的法律纠纷，涉及的威客需要自己承担相应的法律责任。出处的格式可以找本厦大出版社的书，参考一下书后参考文献、一页底下的脚注的正规写法。 3、因此书定位主要是一本创客（包含威客）新人的入手教科书，写作时请站在创客（含威客）新人的角度考虑：一个创客菜鸟最希望在一本16万字左右的专业书籍里学习到哪些东西？尽量多分享干货、含金量高的知识点，避免空洞无物——最终计算字数时我们肯定是会把水分剔除，所以千万别注水。 4、一旦投稿者得到作品被采用的通知之后，文字的版权即归任务发布者所有，文案就会被放进书稿的初稿里，后续仍然存在被修改、删减、补充的可能。 提交方式：将你提交的文案发表在该任务中，并留下联系方式；同时把文案抄送到联系邮箱1152683656@qq.com 。 征稿要求： 1、保证内容的原创性；如果有引用其他文献的地方，请按照正规著作里面标注引用出处的标准写法在脚注里写明引用出处。 2、符合征集的内容和格式规范，请在稿件中留下您的联系方式。 征集时间：2017 年3月27日-5月15日。 入选奖励: 稿酬：创业故事入选1个（不少于3000），支付稿费400元。如果字数更多，稿费可酌情增加……注：这里的字数是按删除掉啰嗦的、无价值的字之后被采用的文字。 赠书：入选故事超过3000字的，在该书出版之后获赠1本样书。 后记里致谢：入选文案数量、质量排名在前20位的创客、威客姓名将会出现在此书后记的致谢名单里（投稿时联系方式里请留下真实姓名），将会对创客、威客自身起到很好的推广效果。 另外：未入选的稿件，只要作者允许，可以利用我们的微信公众号等自媒体平台，帮助宣传推广内容。可在投稿时特别声明自己是否愿意。 说明：投稿者投稿前，最好和王博士进行沟通，说说计划写什么——以免书稿章节目录中提到的一些章节已经写好，如事前不沟通、先看看已到什么程度就自顾自地写，做重复工作属于无用功。请投稿者主动联系，王博士（联系微信号是drwangqxm）可将最新书稿发给投稿者看看。 附件1：《创客与威客》目录大纲（说明：该大纲供大家参考，后续不排除有大的变化。）附件2：故事参考案例,任务编号：487124,"个人 |            
            狼崽工作室","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒","个人 |            
            新智传媒",10000,文学创作
【生日祝福】创意生日祝福，视频加一张照片,https://task.epwk.com/484055/,8982,15,¥500,mf187****3508,￥ 500,,2017/3/16,朋友生日，想做个短视频集和祝福相册（视频加照片20），钱不多，但真心希望大家帮帮忙，越有创意和心意越好，谢谢各位了，祝各位开心每一天~她喜欢旅游，最好是那种风景特别漂亮的地方，或者标志性建筑的地方（跪求一张稻城亚丁当地的场景，特别特别需要，可以加价到50），时间是4月中旬为止，所以有出去旅游的也可以把这事捎带上，就当帮我个忙，在这谢过了各位了~1.最好是小孩子或者女孩，情侣出镜当然最好了（爷爷奶奶辈的出来秀个恩爱更加求之不得哈）。拍的时候照片清晰点，角度要好，最好在风景漂亮的地方，其他地方有新意也可以。2.在纸上或者卡片上写：王潇雯（小孩子可以写潇雯姐姐，名字加了问我）生日快乐！我是（例如浙江杭州）的某某某（姓名或者昵称），祝在浙江台州的你（祝福语这个自己写，自己发挥一下哈）。最好用彩色字体。要是在一个比较有名的景点或者你觉得很有意义的地方，记得加上，比如我是哪里的某某某，在（稻城亚丁），祝.......这样的的，谢谢各位3.拍的时候视频就是按照纸上写的那段话说一句，（小孩的话，表达出生日快乐就行了哈）也就几秒时间，说完顺便拍张照，视频我会试着串起来，照片洗出来做个相册。到时候想看的也可以发给你们哈，确实貌似挺麻烦，钱也不多，我也就是求大家帮个忙哈，感谢各位了总共还需要20张，截止时间4月中旬，拜托大家帮帮忙，合格稿件发我邮箱7902 45596@qq.com，照片发原图撒，谢谢啦,任务编号：484055,,,,,,,,,,,500,生日祝福
【纪念日祝福】节日祝福短信,https://task.epwk.com/481351/,8096,36,¥501,o58be6c7323c29,￥ 501,￥54,2017/3/7,彭同学，女生节快乐，最真挚祝福，姓某某送上……就这种模本，选取十七条有效稿件 收件人手机号码在附件，在3月7号前发送就行。不要重复发送,任务编号：481351,呆子991,o58be38ad433e3,o58be9a0ddd035,人生如雾亦如梦,mf152****3802,mf152****3802,mf138****1703,"个人 |            
            上帝不相信眼泪",mf152****3802,mf152****3802,501,纪念日祝福
【品牌故事】产品软文征集 10元一稿,https://task.epwk.com/476379/,6194,23,¥500,o58a41ba81ed92,￥ 500,￥40,2017/2/17,"现代中式屏风软文征集，10元一稿现代中式屏风 征集软文了，欧亲店铺名： 美亚装饰馆 联系QQ：504440159软文对象：https://meiyai.taobao.com/index.htm?spm=2013.1.w5002-9490031283.2.fqFJAT  买家秀手机端： https://h5.m.taobao.com/wx/cb/show/sellerTopic.html?id=2620075600 定制 镂空实木花格屏风原木仿古门窗格客厅进门玄关隔断墙格栅中式花窗可以选取连接中一个款式，也可以连接中的全部款式，要求能突出产品的特点。1.用于推广店铺带来更多点击量以及成交量。 2.目标读者：购房装修人群，年龄在30岁以上，有一定经济基础3.软文将用于发布在各种装修论坛、问答、百度等各大型论坛。标题和内容要能引起点击和共鸣，能吸引网友参与讨论或点击浏览，最好是成交。4. 文章要有吸引力，有趣味性， 要站在用户的角度来描写，可以各种形态（故事、体验等...）展现，可以是自己的切身经历。最好是以购买者的体会，心得来描写，加以对我们宝贝的评论，服务的评论， 对比， 会比较真实自然，也容易引起读者共鸣。 5.要带有 单品链接、插入图片要显得自然，无广告味。 提交作品需具有针对性 有明显的推广作用 是具体而实用活动。（确保带有店铺或单品链接的贴子不能被删贴哦）6.要求原创不少于300字，如能形成系列文章最佳 总之能够为本店带来巨大浏览量的创意、方案 ，皆为备选作品。 知识产权说明: 所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品；征集结果公布后，未采用的作品即可自行处理； 参加此任务者被视为同意以上声明。,现代中式屏风软文征集，10元一稿现代中式屏风 征集软文了，欧亲店铺名： 美亚装饰馆 联系QQ：504440159软文对象：https://meiyai.taobao.com/index.htm?spm=2013.1.w5002-9490031283.2.fqFJAT  买家秀手机端： https://h5.m.taobao.com/wx/cb/show/sellerTopic.html?id=2620075600 定制 镂空实木花格屏风原木仿古门窗格客厅进门玄关隔断墙格栅中式花窗可以选取连接中一个款式，也可以连接中的全部款式，要求能突出产品的特点。1.用于推广店铺带来更多点击量以及成交量。 2.目标读者：购房装修人群，年龄在30岁以上，有一定经济基础3.软文将用于发布在各种装修论坛、问答、百度等各大型论坛。标题和内容要能引起点击和共鸣，能吸引网友参与讨论或点击浏览，最好是成交。4. 文章要有吸引力，有趣味性， 要站在用户的角度来描写，可以各种形态（故事、体验等...）展现，可以是自己的切身经历。最好是以购买者的体会，心得来描写，加以对我们宝贝的评论，服务的评论， 对比， 会比较真实自然，也容易引起读者共鸣。 5.要带有 单品链接、插入图片要显得自然，无广告味。 提交作品需具有针对性 有明显的推广作用 是具体而实用活动。（确保带有店铺或单品链接的贴子不能被删贴哦）6.要求原创不少于300字，如能形成系列文章最佳 总之能够为本店带来巨大浏览量的创意、方案 ，皆为备选作品。 知识产权说明: 所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品；征集结果公布后，未采用的作品即可自行处理； 参加此任务者被视为同意以上声明。",任务编号：476379,"个人 |            
            且将新火试新茶","个人 |            
            舒云阁文案",断肠人在天涯,呆子991,,,,,,,500,品牌故事
【爱情表白】情人节祝福,https://task.epwk.com/472845/,9303,12,¥680,勇敢的心520,￥ 680,￥20,2017/2/3,情人节，我要送她全球各地朋友手持纸板写上祝福语，在当地地标性建筑或者地标建筑前拍摄的照片作为送给她的礼物。1.纸板内容为：“执子之手，与子偕老！静，我爱你！ 阳”，纸板字体可自由设计。2.整个画面中须展示：手持纸板与完整内容、地标性建筑或城市特色，可参考我添加的附件，重复稿件或者相同背景稿件无效！3.拍摄像素要高，清晰，美观！4.递交方式：大家可添加本人QQ，把拍摄好的照片发送给我即可。本人QQ为‪2418337127‬回复一品添加我就可以了。5.截稿时间为2017年2月12号晚上24点。6.审核标准：截取与我的聊天记录为证， 带有照片和一张发送成功的截图。感谢大家的支持！如未查看到附件中的参考图片，请联系qq查看参考照片。谢谢！,任务编号：472845,o589e71ee3e601,,,,,,,,,,680,爱情表白
【感恩回馈】征集视频，说一句话10块钱,https://task.epwk.com/470241/,5094,1,¥500,song8708,￥ 500,,2017/1/11,我们公司现在征集一些视频做宣传，你只要说一句话即可。要求如下：1、用手机的请横屏拍摄、不倒拿；2、台词是：鼻炎草茶，超赞的农产品，羽丰团队，我的机会！3、画面清晰不抖动，说话大声清晰，应该类似于很欣喜、表决心之类吧。谢谢！,任务编号：470241,,,,,,,,,,,500,感恩回馈
【品牌故事】随记（3-9张照片+文），一稿10元,https://task.epwk.com/469950/,5509,33,¥500,Leslie1020,￥ 500,￥170,2017/1/9,"参照附件：1.一张照片配一句随感是一个随记,    3—9个这样有所关联的随记为一组2.随记内容：(图片需自己拍摄，而非网络图片，一定要高清的）3.交稿方式：图片单张按顺序重命名为阿拉伯数字，文案按顺序写好存成word格式即可。题材风格不限，生活中方方面面都可以，只要你脑洞所及，就尽情发挥关键在于内容上不要太平凡，要有趣！特立不独行！要既视感很强！要有点小惊喜！文案字数控制在1-30之间。如果图片像素很差 文案也没啥创意 可能就要被pass掉了有问题可以随时联系QQ：2589378964，微信：790098773",任务编号：469950,mf185****3258,mf177****5816,mf135****8424,monnan,monnan,monnan,mf178****0813,"个人 |            
            ColorTwo",小珊儿珊,小珊儿珊,500,品牌故事
【生日祝福】生日祝福短信，一稿3元,https://task.epwk.com/465830/,8957,38,¥500,天蝎冷寒风,￥ 500,￥108.36,2016/12/20,发信时间：2016年12月20日（周二）晚上12点之前。1.我女朋友的电话为：15123177185 2.内容.张丽女士你好。我是xx市的xx，我代替陈红祝你生日快乐！后面加上各位的祝福，要快一点...3.同一个一个手机号发送3条祝福内容不能一致  算一稿3元   或者  用2个手机号各发送一条不同的祝福   算一稿3元。各选一种方式发送。4.若有回复，请不回复短信！5.审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图6.截稿时间为2016年12月20日号晚上22点之前，之后发送的不合格。,任务编号：465830,"个人 |            
            游戏试玩吧",sunny梦,o5858b9f51c4db,o58343f2039ef5,mf137****8485,mf186****0564,"个人 |            
            金点子服务",mf152****0403,mf132****1295,o5858d1be1719d,500,生日祝福
【生日祝福】送给朋友34个省份的生日创意祝福,https://task.epwk.com/459761/,6304,25,¥500,孤狼0924,￥ 500,￥100,2016/11/21,本人只需要34条生日短信祝福送给朋友，汇总全国34个省份，每个省份只选一条（每个省份投稿的第一位视为合格稿件，第二位同省份的稿件视为淘汰，请谅解），短信开头须表明您是来自哪个省份的谁。1.短信内容中要有：“蕾蕾”或“幸运蕾”，原来你才是我最想留住的幸运，祝你生日快乐”，剩余内容自由发挥，突出关心/暧昧/惊喜等创意都可以，不限制。2.短信发送时间为：2016年11月23日（周三），时间早上8点到晚上22点送祝福。时间很重要，一定要在那天，不能晚呀，谢谢朋友们了。3.若有回复，请不回复短信！4.同一个威客ID帐号仅限参与一次。5.截稿时间为2015年11月23日号凌晨十二点。6.审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！7.投稿中请添加我的QQ（455746940）或微信（18891530811），我会告知要发送的号码，发送完成后，请提交截图审核。一个号码一个身份只限发一次哦！一条5元！一个身份只要一稿。,任务编号：459761,"个人 |            
            漠漠小店",mf131****0810,damai54321,o5832e3e454e69,o58330c3cf0681,mf189****0790,"个人 |            
            一言设计",烦着呢824,"个人 |            
            凤凰","个人 |            
            专业，录音，拍视频，",500,生日祝福
【生日祝福】送朋友全国34个省市的创意照片生日祝福,https://task.epwk.com/456848/,5947,1,¥680,孤狼0924,￥ 680,,2016/11/8,朋友过生日，我要送她全国34个省份的“34份手持纸板写上祝福语，在当地地标性建筑前拍摄的照片”作为生日礼物，每个省份只选一条（每个省份能体现当地标志性建筑或具有城市代表性的背景照片视为合格，否则视为淘汰，请谅解），纸板上需标明我在**省***哪里，例如：我在陕西西安古城墙（背景为西安古城墙）。1.纸板除标明地址外，剩余内容为：“原来你才是我最想留住的幸运：刘蕾，生日快乐”，纸板字体可自由设计。2.整个画面中须展示：手持人、纸板与完整内容、地标性建筑或城市特色，朋友喜欢帅哥、美女，如果您不吝啬您的肖像权，就大胆展示出来，谢谢朋友们了。可参考我添加的附件，不过要有城市背景哦。3.拍摄像素要高，计划利用各位发送的照片进行相册制作。4.递交方式：大家可添加本人微信或QQ，把拍摄好的照片发送给我即可。本人微信为：18891530811或ss-hao8888，QQ为455746940，回复一品添加我就可以了。5.同一个威客ID帐号仅限参与一次。6.截稿时间为2015年11月20日号晚上24点。7.审核标准：截取与我的微信聊天记录为证， 带有内容和一张发送成功的截图。感谢大家的支持！8.投稿中请留下你们的联系方式（QQ号码或手机号均可）以及妳所在的省份，这里会与你们联系，并告知发送号码，发送完成后，请提交截图审核。一个号码一个身份只限发一次哦！一条20元！一个身份只要一稿。,任务编号：456848,,,,,,,,,,,680,生日祝福
【爱情表白】情人节给男友短信惊喜 每稿3元,https://task.epwk.com/438975/,10321,44,¥500,mf155****8576,￥ 500,￥114.38,2016/8/9,"1.请各自发挥创意，没有固定模式，不要复制已投稿的稿件内容2.要求:祝福语要有新意，不要百年好合之类老套的话3.发送时间:8月9日    24:00之前      发送时间一定核实好，千万不要提前发送,过时请勿发送！！！4.切勿回复或接听电话，请大家保密，不要透漏一品威客网发布的信息，一旦发现会举报，拜谢！5.审核标准：截图为证， 一个电话号码只能提交一个稿件，交稿提交截图,截图请带有内容 日期和成功发送页面   请附上手机尾号4位数6.需要自己创作，不可抄袭",任务编号：438975,"个人 |            
            梦工厂设计",lcy123,"个人 |            
            kyo5566",梦璇歆怡,少年飞飞,手绘芛诺,"个人 |            
            炼金术",赛巴斯蒂安,创意小屋,mf138****4809,500,爱情表白
【百科/问答撰写】15元文章伪原创撰写，大量需求,https://task.epwk.com/438637/,9443,26,¥510,ipooqi,￥ 510,￥120,2016/8/6,预先给150字左右的源主题文稿，根据源主题文稿意思进行伪原创；主题意思不变，表述方式改变；非常简单；  根据一个主题稿的意思写5个伪原创稿，每个伪原创稿字数不低于源主题稿；5个伪原创稿为一单，一单15元。长期需求，当天审核。有意者加QQ：14296514 咨询。优秀稿件每单额外加5元人工审核  语句通顺  意思与源稿一致完整,任务编号：438637,"个人 |            
            越悦文案小铺",画扇迟迟,画扇迟迟,"个人 |            
            越悦文案小铺",木木yu,"个人 |            
            越悦文案小铺",mf158****5127,画扇迟迟,,,510,百科/问答撰写
【生日祝福】生日祝福和劝解短信，7月29号当天发送,https://task.epwk.com/437094/,6546,41,¥500,破镜重圆,￥ 500,￥141.47,2016/7/28,"一、我太太她的生日是7月29日（明天）,时间比较紧急，送其来自五湖四海潮水般祝福，一稿三元；一定要在7月29八点到7月29日晚上10点期间发送才算有效，谢谢!二、除了送生日祝福，还有就是最近我们发生比较严重的争吵，希望大家能劝解下，比如说些百年修得同船渡，千年修得共枕眠的话，但不需要刻意道歉，还是以祝福为主，能让她感受到我已经意思到我的诚意，以后会好好对待她的想法三、太太号码和短信格式：（请见附件）四、发完短信请提交发送短信内容的截图和手机后四位就可以了。五、大概30-50条短信就够了。六，手机要求是不同省市的。",任务编号：437094,mf131****4732,"个人 |            
            你和我有缘分！",无敌碎碎念安安琴,mf185****4331,Lys自渡,mf137****9079,mf137****9079,少年飞飞,mf157****3613,青稞遇见麦穗,500,生日祝福
【生日祝福】生日短信祝福，一稿三元（7.27号）,https://task.epwk.com/436178/,19123,43,"¥4,980",流照君也,￥ 4980,￥63,2016/7/25,1、短信格式：流照你好，我是来自XX的某某（例如山西大同的赵佳丽），今天是你的生日，我代表成文祝你********（祝福语自由发挥不能表达爱意，不可重复哦），以后有机会一定带流照来xx（当地好玩的地方）浪哦！（或者以后有机会一定带她来吃我们地道的xx（当地有名小吃）哦！）2、依格式发送，但不要复制黏贴了事。3、朋友号码：18122407643（一个号码只限用一次）4、时间限制：2016年8月13日 0:00-18:00（不能提前和延后，否则视为无效）5、保密需求：不管收到任何短信或来电回复，都不要理会，绝对做到保密。谢谢各位配合6、审核标准：截图为证， 带有内容和定时发送成功且带号码的截图。文字内容跟别的完全相同也不合格（防止盗图）。 7、希望得到不同地方的，所以超过36个，相同省份以时间优先。少于36个就不限地方了。8、谢谢，由于后面时间比较忙，所以任务时间比较短。见谅，谢谢大家~9、每个一品ID仅限参与一次，否则视为无效稿件，感谢大家配合。,任务编号：436178,创意小屋,苦瓜味的西红柿,mf187****5007,"工作室 |            
            猫又工坊","个人 |            
            sun--shine创意小店",mf159****1283,sail119,o5795e75bbe507,梦想成真12,mf187****3835,4980,生日祝福
【感恩回馈】简单感恩回馈注册 15元一稿 在线审核立结,https://task.epwk.com/435932/,8250,19,"¥2,100",自由的我2012,￥ 2100,￥135,2016/7/23,任务很简单，只要你有微信就可以参与打开微信添加好友   SZLM9588   第一个显示《手赚联盟》的公众号开始任务 “加错没有奖励”或者打开描述下方的 任务附件 用微信扫描二维码添加公众号开始任务关注后在对话框内回复数字  20  获得20元任务教程，按照教程内的方法完成后交稿到这里就可以获得15元稿费了哦这个任务是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会不定期有新的手机赚钱任务，玩手机游戏比赛可以赚钱，手机签到也可以赚钱，更多精彩还在开发中。手机赚钱任务， 首选SZLM9588 任务多多，奖励多多。我们期待您的关注。ps：雇主不要求 银行卡实名认证 ~可不做雇主在线秒审稿件，让您在第一时间获得您的稿费~,任务编号：435932,mf183****1121,mf187****9668,mf151****3482,望乡骑士,"个人 |            
            解忧文案铺",mf152****6105,hellokitty123,Slash921,o579978f22b1f0,,2100,感恩回馈
【感恩回馈】关注公众号游戏试玩,https://task.epwk.com/433057/,5548,5,"¥1,000",纳兹的火焰,￥ 1000,,2016/7/10,1、微信~搜索~公众号: LIxiang187511 第一个显示（每日多赚点）的公众号开始任务，注意加错没有奖励或者打开下方任务附件用微信扫描二维码添加公众号开始做任务 2、关注后，做任务一，在对话框输入数字 5 领取任务教程，实际任务一到手16元做任务二 和任务三 直接在对话框回复数字 23 领取任务教程，实际到手16元+16元注意：（任务二 任务三 是电脑上做，不懂如何做可联系微信 Hong187511 解答 ）交稿 任务一 提交你的2张截图即可任务二任务三 提交网站截图即可手机赚钱任务，  任务多，奖励多。我们期待您的关注ps：雇主不要求 银行卡实名认证 ~可不做,任务编号：433057,,,,,,,,,,,1000,感恩回馈
【感恩回馈】手机微信回馈任务 15元一稿 在线审核,https://task.epwk.com/430069/,15019,100,"¥1,500",自由的我2012,￥ 1500,￥645,2016/6/26,任务很简单，只要你有微信就可以参与打开微信添加好友   SZLM9588   第一个显示《手赚联盟》的公众号开始任务 “加错没有奖励”或者打开描述下方的 任务附件 用微信扫描二维码添加公众号开始任务关注后在对话框内回复数字  20  获得20元任务教程，按照教程内的方法完成后交稿到这里就可以获得15元稿费了哦这个任务是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会不定期有新的手机赚钱任务，玩手机游戏比赛可以赚钱，手机签到也可以赚钱，更多精彩还在开发中。手机赚钱任务， 首选SZLM9588 任务多多，奖励多多。我们期待您的关注。ps：雇主不要求 银行卡实名认证 ~可不做雇主在线秒审稿件，让您在第一时间获得您的稿费~,任务编号：430069,mf183****1121,"个人 |            
            死肥仔",jj西贝土,o5774da3c0b7e9,mf138****6070,CAD制造,mf183****0506,snail0402,mf188****3049,xpynb,1500,感恩回馈
