标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,能力标签,订单编号后缀,需求方,设计师,知识
logo设计,https://task.epwk.com/370077/,424人,1人,¥450,圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,logo设计,直接雇佣￥ 450,￥ 450,任务编号：370077,2900-3152.csv,,,,,,,,,370077,A370077,B370077,logo设计
【企业官网】第一期 工程 天天宠物网里面的 窝窝 功能,https://task.epwk.com/370099/,332人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,第一期 工程 天天宠物网里面的 窝窝 功能,直接雇佣￥ 2000,￥ 2000,任务编号：370099,2900-3152.csv,,,,,,,,企业官网,370099,A370099,B370099,"工程, 天天宠物网, 窝窝功能"
画手绘图，按照照片出设计手绘图7套,https://task.epwk.com/370109/,410人,1人,"¥1,400",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,画手绘图，按照照片出设计手绘图7套,直接雇佣￥ 1400,￥ 1400,任务编号：370109,2900-3152.csv,,,,,,,,,370109,A370109,B370109,"手绘图, 设计, 照片"
【宣传册设计】两份宣传彩页修正着急任务,https://task.epwk.com/370150/,496人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,两份宣传彩页修正着急任务,直接雇佣￥ 1500,￥ 1500,任务编号：370150,2900-3152.csv,,,,,,,,宣传册设计,370150,A370150,B370150,"宣传彩页, 修正, 紧急任务"
net.aspx整站网页设计,https://task.epwk.com/370152/,243人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,net.aspx整站网页设计,直接雇佣￥ 3000,￥ 3000,任务编号：370152,2900-3152.csv,,,,,,,,,370152,A370152,B370152,"整站网页设计, 网页设计"
网站开发,https://task.epwk.com/370153/,337人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,网站开发,直接雇佣￥ 20000,￥ 20000,任务编号：370153,2900-3152.csv,,,,,,,,,370153,A370153,B370153,网站开发
【LOGO设计】一张图象合成,https://task.epwk.com/370202/,349人,1人,¥50,圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,一张图象合成,直接雇佣￥ 50,￥ 50,任务编号：370202,2900-3152.csv,,,,,,,,LOGO设计,370202,A370202,B370202,图像合成
人物9（炮兵）,https://task.epwk.com/370219/,173人,1人,"¥2,200",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,人物9（炮兵）,直接雇佣￥ 2200,￥ 2200,任务编号：370219,2900-3152.csv,,,,,,,,,370219,A370219,B370219,"炮兵, 人物"
整套VI设计,https://task.epwk.com/370220/,195人,1人,"¥18,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,整套VI设计,直接雇佣￥ 18000,￥ 18000,任务编号：370220,2900-3152.csv,,,,,,,,,370220,A370220,B370220,"VI设计, 整套设计"
云南牧本集门头设计、矢量图制作,https://task.epwk.com/370240/,638人,1人,¥500,圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,云南牧本集门头设计、矢量图制作,直接雇佣￥ 500,￥ 500,任务编号：370240,2900-3152.csv,,,,,,,,,370240,A370240,B370240,"云南牧本集门头, 矢量图设计"
【产品卖点】软文写作,https://task.epwk.com/370241/,246人,1人,¥160,圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,软文写作,直接雇佣￥ 160,￥ 160,任务编号：370241,2900-3152.csv,,,,,,,,产品卖点,370241,A370241,B370241,软文写作
【企业官网】国企类CMS网站开发,https://task.epwk.com/370245/,238人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,国企类CMS网站开发,直接雇佣￥ 40000,￥ 40000,任务编号：370245,2900-3152.csv,,,,,,,,企业官网,370245,A370245,B370245,国企类CMS网站开发
写一个红外遮断程序,https://task.epwk.com/370249/,297人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,写一个红外遮断程序,直接雇佣￥ 2000,￥ 2000,任务编号：370249,2900-3152.csv,,,,,,,,,370249,A370249,B370249,"红外遮断, 程序设计"
企业网站建设,https://task.epwk.com/370260/,203人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,企业网站建设,直接雇佣￥ 1000,￥ 1000,任务编号：370260,2900-3152.csv,,,,,,,,,370260,A370260,B370260,"企业网站, 建设"
淘宝店首页设计,https://task.epwk.com/370317/,458人,1人,¥700,圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,淘宝店首页设计,直接雇佣￥ 700,￥ 700,任务编号：370317,2900-3152.csv,,,,,,,,,370317,A370317,B370317,"淘宝店首页, 设计"
【VI设计】宇晨企业logo和VI设计,https://task.epwk.com/370345/,324人,1人,"¥18,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,宇晨企业logo和VI设计,直接雇佣￥ 18000,￥ 18000,任务编号：370345,2900-3152.csv,,,,,,,,VI设计,370345,A370345,B370345,"企业logo, VI设计"
【宣传册设计】宣传册页重新设计,https://task.epwk.com/370352/,330人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,宣传册页重新设计,直接雇佣￥ 10000,￥ 10000,任务编号：370352,2900-3152.csv,,,,,,,,宣传册设计,370352,A370352,B370352,"宣传册页, 重新设计"
企业视频制作,https://task.epwk.com/370359/,392人,1人,"¥12,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,企业视频制作,直接雇佣￥ 12000,￥ 12000,任务编号：370359,2900-3152.csv,,,,,,,,,370359,A370359,B370359,"企业视频, 视频制作"
公司VI设计,https://task.epwk.com/370397/,207人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,公司VI设计,直接雇佣￥ 10000,￥ 10000,任务编号：370397,2900-3152.csv,,,,,,,,,370397,A370397,B370397,公司VI设计
茶物料设计补充,https://task.epwk.com/370407/,151人,1人,¥300,圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,茶物料设计补充,直接雇佣￥ 300,￥ 300,任务编号：370407,2900-3152.csv,,,,,,,,,370407,A370407,B370407,"茶物料设计, 补充设计"
【企业官网】电商网站建设,https://task.epwk.com/370414/,376人,1人,"¥15,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,电商网站建设,直接雇佣￥ 15000,￥ 15000,任务编号：370414,2900-3152.csv,,,,,,,,企业官网,370414,A370414,B370414,"电商网站, 建设"
【其他软件开发】管理软件开发,https://task.epwk.com/370422/,635人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,管理软件开发,直接雇佣￥ 10000,￥ 10000,任务编号：370422,2900-3152.csv,,,,,,,,其他软件开发,370422,A370422,B370422,"管理软件, 开发"
PSD转化为html页面，部分前端特效,https://task.epwk.com/370437/,222人,1人,¥100,圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,PSD转化为html页面，部分前端特效,直接雇佣￥ 100,￥ 100,任务编号：370437,2900-3152.csv,,,,,,,,,370437,A370437,B370437,"PSD转HTML, 前端特效"
卡帕克网页面调整修改,https://task.epwk.com/370462/,537人,1人,"¥2,500",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,卡帕克网页面调整修改,直接雇佣￥ 2500,￥ 2500,任务编号：370462,2900-3152.csv,,,,,,,,,370462,A370462,B370462,"卡帕克网, 页面调整, 页面修改"
【电商网站】电子商城,https://task.epwk.com/370473/,498人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,电子商城,直接雇佣￥ 10000,￥ 10000,任务编号：370473,2900-3152.csv,,,,,,,,电商网站,370473,A370473,B370473,"电子商城, 商品展示, 电商设计"
ui设计,https://task.epwk.com/370500/,146人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,ui设计,直接雇佣￥ 5000,￥ 5000,任务编号：370500,2900-3152.csv,,,,,,,,,370500,A370500,B370500,UI设计
数据收集,https://task.epwk.com/370507/,366人,1人,¥400,圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,数据收集,直接雇佣￥ 400,￥ 400,任务编号：370507,2900-3152.csv,,,,,,,,,370507,A370507,B370507,数据收集
200 元设计网站主页需要提交PSD格式,https://task.epwk.com/370514/,473人,1人,¥200,圆满完成,https://task.epwk.com/page2922.html?m=6&o=7,200 元设计网站主页需要提交PSD格式,直接雇佣￥ 200,￥ 200,任务编号：370514,2900-3152.csv,,,,,,,,,370514,A370514,B370514,"网站主页设计, PSD格式"
软文撰写以及发布,https://task.epwk.com/370532/,207人,1人,¥245,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,软文撰写以及发布,直接雇佣￥ 245,￥ 245,任务编号：370532,2900-3152.csv,,,,,,,,,370532,A370532,B370532,"软文撰写, 软文发布"
友拉科技,https://task.epwk.com/370534/,200人,1人,¥200,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,友拉科技,直接雇佣￥ 200,￥ 200,任务编号：370534,2900-3152.csv,,,,,,,,,370534,A370534,B370534,友拉科技
前一个雇佣任务作废新发起,https://task.epwk.com/370537/,371人,1人,¥300,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,前一个雇佣任务作废新发起,直接雇佣￥ 300,￥ 300,任务编号：370537,2900-3152.csv,,,,,,,,,370537,A370537,B370537,"雇佣任务, 作废, 新发起"
网站模仿开发追加款项,https://task.epwk.com/370546/,194人,1人,¥500,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,网站模仿开发追加款项,直接雇佣￥ 500,￥ 500,任务编号：370546,2900-3152.csv,,,,,,,,,370546,A370546,B370546,"网站模仿开发, 追加款项"
企业网站制作用DEDECMS,https://task.epwk.com/370548/,197人,1人,¥250,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,企业网站制作用DEDECMS,直接雇佣￥ 250,￥ 250,任务编号：370548,2900-3152.csv,,,,,,,,,370548,A370548,B370548,"企业网站, DEDECMS, 网站制作"
【海报设计】美容产品LOGO,https://task.epwk.com/370551/,520人,1人,¥200,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,美容产品LOGO,直接雇佣￥ 200,￥ 200,任务编号：370551,2900-3152.csv,,,,,,,,海报设计,370551,A370551,B370551,"美容产品, LOGO"
【产品卖点】软文写作,https://task.epwk.com/370554/,329人,1人,¥800,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,软文写作,直接雇佣￥ 800,￥ 800,任务编号：370554,2900-3152.csv,,,,,,,,产品卖点,370554,A370554,B370554,软文写作
软文撰写以及发布,https://task.epwk.com/370624/,184人,1人,¥505,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,软文撰写以及发布,直接雇佣￥ 505,￥ 505,任务编号：370624,2900-3152.csv,,,,,,,,,370624,A370624,B370624,"软文撰写, 软文发布"
原商标加字体设计,https://task.epwk.com/370644/,594人,1人,¥50,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,原商标加字体设计,直接雇佣￥ 50,￥ 50,任务编号：370644,2900-3152.csv,,,,,,,,,370644,A370644,B370644,"原商标, 字体设计"
公司企业_网站建设 商业版V1.2,https://task.epwk.com/370670/,202人,1人,¥280,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,公司企业_网站建设 商业版V1.2,直接雇佣￥ 280,￥ 280,任务编号：370670,2900-3152.csv,,,,,,,,,370670,A370670,B370670,"公司企业, 网站建设, 商业版"
【创意短视频】灯箱广告设计及客房图片精修,https://task.epwk.com/370697/,408人,1人,¥500,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,灯箱广告设计及客房图片精修,直接雇佣￥ 500,￥ 500,任务编号：370697,2900-3152.csv,,,,,,,,创意短视频,370697,A370697,B370697,"灯箱广告设计, 客房图片精修"
手机APP开发,https://task.epwk.com/370715/,309人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,手机APP开发,直接雇佣￥ 1000,￥ 1000,任务编号：370715,2900-3152.csv,,,,,,,,,370715,A370715,B370715,"手机APP, 开发"
【企业官网】网站二次开发,https://task.epwk.com/370723/,320人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,网站二次开发,直接雇佣￥ 10000,￥ 10000,任务编号：370723,2900-3152.csv,,,,,,,,企业官网,370723,A370723,B370723,网站二次开发
购买OA网站,https://task.epwk.com/370726/,371人,1人,"¥4,400",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,购买OA网站,直接雇佣￥ 4400,￥ 4400,任务编号：370726,2900-3152.csv,,,,,,,,,370726,A370726,B370726,"OA网站, 购买"
简单ASP.NET网站开发,https://task.epwk.com/370760/,257人,1人,"¥1,200",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,简单ASP.NET网站开发,直接雇佣￥ 1200,￥ 1200,任务编号：370760,2900-3152.csv,,,,,,,,,370760,A370760,B370760,"ASP.NET, 网站开发"
写一篇伏羲文化的宣传脚本,https://task.epwk.com/370770/,452人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,写一篇伏羲文化的宣传脚本,直接雇佣￥ 3000,￥ 3000,任务编号：370770,2900-3152.csv,,,,,,,,,370770,A370770,B370770,"伏羲文化, 宣传脚本"
仿一个营销型的网站,https://task.epwk.com/370771/,185人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,仿一个营销型的网站,直接雇佣￥ 1000,￥ 1000,任务编号：370771,2900-3152.csv,,,,,,,,,370771,A370771,B370771,"营销型网站, 网站仿制"
【APP开发】以一定格式发短息的APP,https://task.epwk.com/370773/,278人,1人,"¥11,000",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,以一定格式发短息的APP,直接雇佣￥ 11000,￥ 11000,任务编号：370773,2900-3152.csv,,,,,,,,APP开发,370773,A370773,B370773,"短息格式, APP"
高速公路机械外观设计,https://task.epwk.com/370778/,149人,1人,"¥35,750",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,高速公路机械外观设计,直接雇佣￥ 35750,￥ 35750,任务编号：370778,2900-3152.csv,,,,,,,,,370778,A370778,B370778,"高速公路机械, 外观设计"
【LOGO设计】整套VIS设计,https://task.epwk.com/370780/,144人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,整套VIS设计,直接雇佣￥ 10000,￥ 10000,任务编号：370780,2900-3152.csv,,,,,,,,LOGO设计,370780,A370780,B370780,"VIS设计, 整套设计"
【LOGO设计】化工厂logo设计,https://task.epwk.com/370784/,291人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,化工厂logo设计,直接雇佣￥ 1000,￥ 1000,任务编号：370784,2900-3152.csv,,,,,,,,LOGO设计,370784,A370784,B370784,"化工厂, logo设计"
吉米网咖,https://task.epwk.com/370785/,524人,1人,¥400,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,吉米网咖,直接雇佣￥ 400,￥ 400,任务编号：370785,2900-3152.csv,,,,,,,,,370785,A370785,B370785,"吉米网咖, 网咖服务"
【小程序开发】找停车位的APP开发,https://task.epwk.com/370839/,391人,1人,"¥23,000",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,找停车位的APP开发,直接雇佣￥ 23000,￥ 23000,任务编号：370839,2900-3152.csv,,,,,,,,小程序开发,370839,A370839,B370839,"停车位, APP开发"
【小程序开发】火车头采集修改,https://task.epwk.com/370857/,282人,1人,¥50,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,火车头采集修改,直接雇佣￥ 50,￥ 50,任务编号：370857,2900-3152.csv,,,,,,,,小程序开发,370857,A370857,B370857,"火车头采集, 修改"
MG二维动画设计,https://task.epwk.com/370858/,197人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,MG二维动画设计,直接雇佣￥ 10000,￥ 10000,任务编号：370858,2900-3152.csv,,,,,,,,,370858,A370858,B370858,"MG动画, 二维动画设计"
【小程序开发】开发一个后台管理系统,https://task.epwk.com/370859/,423人,1人,"¥7,500",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,开发一个后台管理系统,直接雇佣￥ 7500,￥ 7500,任务编号：370859,2900-3152.csv,,,,,,,,小程序开发,370859,A370859,B370859,"后台管理系统, 系统开发"
首页UI设计,https://task.epwk.com/370861/,274人,1人,¥400,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,首页UI设计,直接雇佣￥ 400,￥ 400,任务编号：370861,2900-3152.csv,,,,,,,,,370861,A370861,B370861,"首页UI, 设计"
茶包装修改,https://task.epwk.com/370896/,124人,1人,¥300,圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,茶包装修改,直接雇佣￥ 300,￥ 300,任务编号：370896,2900-3152.csv,,,,,,,,,370896,A370896,B370896,"茶包装, 修改设计"
开发一个IOS财经新闻的APP,https://task.epwk.com/370924/,343人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,开发一个IOS财经新闻的APP,直接雇佣￥ 20000,￥ 20000,任务编号：370924,2900-3152.csv,,,,,,,,,370924,A370924,B370924,"IOS, 财经新闻, APP"
网站醒目开发,https://task.epwk.com/370929/,806人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2921.html?m=6&o=7,网站醒目开发,直接雇佣￥ 10000,￥ 10000,任务编号：370929,2900-3152.csv,,,,,,,,,370929,A370929,B370929,"网站设计, 网站开发"
【软装设计】家庭电视墙设计,https://task.epwk.com/370933/,934人,1人,¥100,圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,家庭电视墙设计,直接雇佣￥ 100,￥ 100,任务编号：370933,2900-3152.csv,,,,,,,,软装设计,370933,A370933,B370933,"家庭电视墙, 设计"
【企业官网】时时彩源码包安装,https://task.epwk.com/370939/,154人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,时时彩源码包安装,直接雇佣￥ 3000,￥ 3000,任务编号：370939,2900-3152.csv,,,,,,,,企业官网,370939,A370939,B370939,"时时彩源码包, 安装"
高仿响应式网站，中英文版本,https://task.epwk.com/370943/,101人,1人,"¥1,200",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,高仿响应式网站，中英文版本,直接雇佣￥ 1200,￥ 1200,任务编号：370943,2900-3152.csv,,,,,,,,,370943,A370943,B370943,"高仿网站, 响应式设计, 中英文版本"
有机食用菌,https://task.epwk.com/370945/,311人,1人,¥100,圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,有机食用菌,直接雇佣￥ 100,￥ 100,任务编号：370945,2900-3152.csv,,,,,,,,,370945,A370945,B370945,"有机食用菌, 食用菌种植, 有机农业"
微信点餐系统和公司网站,https://task.epwk.com/370959/,345人,1人,"¥25,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,微信点餐系统和公司网站,直接雇佣￥ 25000,￥ 25000,任务编号：370959,2900-3152.csv,,,,,,,,,370959,A370959,B370959,"微信点餐系统, 公司网站"
【网站UI设计】网站页面调整,https://task.epwk.com/370986/,225人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,网站页面调整,直接雇佣￥ 2000,￥ 2000,任务编号：370986,2900-3152.csv,,,,,,,,网站UI设计,370986,A370986,B370986,"网站页面, 调整"
【LOGO设计】房地产LOGO设计,https://task.epwk.com/371003/,230人,1人,¥600,圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,房地产LOGO设计,直接雇佣￥ 600,￥ 600,任务编号：371003,2900-3152.csv,,,,,,,,LOGO设计,371003,A371003,B371003,"房地产, LOGO设计"
【LOGO设计】整套vi设计,https://task.epwk.com/371021/,233人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,整套vi设计,直接雇佣￥ 10000,￥ 10000,任务编号：371021,2900-3152.csv,,,,,,,,LOGO设计,371021,A371021,B371021,"vi设计, 整套设计"
发布新闻,https://task.epwk.com/371022/,182人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,发布新闻,直接雇佣￥ 1500,￥ 1500,任务编号：371022,2900-3152.csv,,,,,,,,,371022,A371022,B371022,新闻发布
【包装设计】咖啡机包装设计,https://task.epwk.com/371026/,197人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,咖啡机包装设计,直接雇佣￥ 10000,￥ 10000,任务编号：371026,2900-3152.csv,,,,,,,,包装设计,371026,A371026,B371026,"咖啡机, 包装设计"
【企业官网】仿一个团购网站开发,https://task.epwk.com/371031/,176人,1人,"¥7,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,仿一个团购网站开发,直接雇佣￥ 7000,￥ 7000,任务编号：371031,2900-3152.csv,,,,,,,,企业官网,371031,A371031,B371031,"团购网站, 开发, 仿照"
【新房装修】浴室图片,https://task.epwk.com/371034/,288人,1人,"¥18,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,浴室图片,直接雇佣￥ 18000,￥ 18000,任务编号：371034,2900-3152.csv,,,,,,,,新房装修,371034,A371034,B371034,"浴室, 图片"
金蝶与EC对接,https://task.epwk.com/371040/,326人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,金蝶与EC对接,直接雇佣￥ 20000,￥ 20000,任务编号：371040,2900-3152.csv,,,,,,,,,371040,A371040,B371040,"金蝶, EC对接"
【网站UI设计】网站页面设计,https://task.epwk.com/371045/,295人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,网站页面设计,直接雇佣￥ 5000,￥ 5000,任务编号：371045,2900-3152.csv,,,,,,,,网站UI设计,371045,A371045,B371045,"网站页面, 设计"
网站制作,https://task.epwk.com/371054/,99人,1人,"¥1,100",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,网站制作,直接雇佣￥ 1100,￥ 1100,任务编号：371054,2900-3152.csv,,,,,,,,,371054,A371054,B371054,网站制作
网站内页设计排版，广告宣传单设计,https://task.epwk.com/371081/,530人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,网站内页设计排版，广告宣传单设计,直接雇佣￥ 1500,￥ 1500,任务编号：371081,2900-3152.csv,,,,,,,,,371081,A371081,B371081,"网站内页设计, 广告宣传单设计"
百度地图功能更新,https://task.epwk.com/371083/,260人,1人,¥400,圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,百度地图功能更新,直接雇佣￥ 400,￥ 400,任务编号：371083,2900-3152.csv,,,,,,,,,371083,A371083,B371083,"百度地图, 功能更新"
以设计课题：”新东方元素在视觉传达中的运用“做一套的设计,https://task.epwk.com/371088/,288人,1人,"¥10,500",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,以设计课题：”新东方元素在视觉传达中的运用“做一套的设计,直接雇佣￥ 10500,￥ 10500,任务编号：371088,2900-3152.csv,,,,,,,,,371088,A371088,B371088,"视觉传达, 设计运用"
赶牛发帖软件,https://task.epwk.com/371090/,199人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,赶牛发帖软件,直接雇佣￥ 1500,￥ 1500,任务编号：371090,2900-3152.csv,,,,,,,,,371090,A371090,B371090,"赶牛, 发帖软件"
【数据库设计】金融工程课题（第四部分）,https://task.epwk.com/371132/,1555人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,金融工程课题（第四部分）,直接雇佣￥ 1500,￥ 1500,任务编号：371132,2900-3152.csv,,,,,,,,数据库设计,371132,A371132,B371132,"金融工程, 课题, 第四部分"
修改Windows窗口录音录像Demo程序,https://task.epwk.com/371154/,266人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,修改Windows窗口录音录像Demo程序,直接雇佣￥ 2000,￥ 2000,任务编号：371154,2900-3152.csv,,,,,,,,,371154,A371154,B371154,"Windows窗口录音, 录音录像程序, 程序修改"
网站运营模式,https://task.epwk.com/371159/,452人,1人,¥400,圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,网站运营模式,直接雇佣￥ 400,￥ 400,任务编号：371159,2900-3152.csv,,,,,,,,,371159,A371159,B371159,"网站运营, 运营模式"
h5 页面设计 10套,https://task.epwk.com/371163/,231人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,h5 页面设计 10套,直接雇佣￥ 5000,￥ 5000,任务编号：371163,2900-3152.csv,,,,,,,,,371163,A371163,B371163,"h5页面设计, 页面设计"
【宣传册设计】原创日用品产品画册两本,https://task.epwk.com/371193/,356人,1人,"¥9,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,原创日用品产品画册两本,直接雇佣￥ 9000,￥ 9000,任务编号：371193,2900-3152.csv,,,,,,,,宣传册设计,371193,A371193,B371193,"原创日用品, 产品画册"
【企业官网】企业网站设计及建设,https://task.epwk.com/371200/,125人,1人,"¥11,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,企业网站设计及建设,直接雇佣￥ 11000,￥ 11000,任务编号：371200,2900-3152.csv,,,,,,,,企业官网,371200,A371200,B371200,"企业网站, 网站设计, 网站建设"
250元企业网站制作用DEDECMS,https://task.epwk.com/371206/,150人,1人,¥250,圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,250元企业网站制作用DEDECMS,直接雇佣￥ 250,￥ 250,任务编号：371206,2900-3152.csv,,,,,,,,,371206,A371206,B371206,"企业网站, DEDE CMS"
英语培训机构  LOGO及整套VI设计,https://task.epwk.com/371209/,153人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,英语培训机构  LOGO及整套VI设计,直接雇佣￥ 2000,￥ 2000,任务编号：371209,2900-3152.csv,,,,,,,,,371209,A371209,B371209,"英语培训机构, LOGO设计, VI设计"
设计一款游戏耳机,https://task.epwk.com/371217/,243人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,设计一款游戏耳机,直接雇佣￥ 50000,￥ 50000,任务编号：371217,2900-3152.csv,,,,,,,,,371217,A371217,B371217,"游戏耳机, 设计"
功能饮料瓶子设计,https://task.epwk.com/371231/,188人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,功能饮料瓶子设计,直接雇佣￥ 5000,￥ 5000,任务编号：371231,2900-3152.csv,,,,,,,,,371231,A371231,B371231,"功能饮料, 瓶子设计"
茶饼包装设计,https://task.epwk.com/371238/,208人,1人,¥500,圆满完成,https://task.epwk.com/page2920.html?m=6&o=7,茶饼包装设计,直接雇佣￥ 500,￥ 500,任务编号：371238,2900-3152.csv,,,,,,,,,371238,A371238,B371238,"茶饼, 包装设计"
【VI设计】图文公司做LOGO,https://task.epwk.com/371239/,246人,1人,"¥5,300",圆满完成,https://task.epwk.com/page2919.html?m=6&o=7,图文公司做LOGO,直接雇佣￥ 5300,￥ 5300,任务编号：371239,2900-3152.csv,,,,,,,,VI设计,371239,A371239,B371239,"图文公司, LOGO设计"
LOGO 品牌设计,https://task.epwk.com/371255/,499人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2919.html?m=6&o=7,LOGO 品牌设计,直接雇佣￥ 1500,￥ 1500,任务编号：371255,2900-3152.csv,,,,,,,,,371255,A371255,B371255,"LOGO, 品牌设计"
【其他家装服务】网店装修,https://task.epwk.com/371267/,560人,1人,¥500,圆满完成,https://task.epwk.com/page2919.html?m=6&o=7,网店装修,直接雇佣￥ 500,￥ 500,任务编号：371267,2900-3152.csv,,,,,,,,其他家装服务,371267,A371267,B371267,"网店装修, 网店设计, 页面美化"
