标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【招牌设计】酒店门头设计,,2128人,19人,¥300,圆满完成,,o5c1994e214ca7,"酒店名称：尚文假日酒店（图片1酒店名每个字大小1.5米）；面向主要客群：酒店客群定位为年轻人及年轻家庭。设计要求：1、时尚、简介、大方；2、有视觉冲击力，醒目易识别；3、要求LOGO加名称亮化字体设计整体设计；4、要求日间及夜间亮化效果图（图片3、4、5）；5、要求设计原文件矢量图；6、附上创意说明。 知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2021-07-27,2021.08.23,任务编号：946773,300.0,,,渲染精彩,,,,,工作室,二品,55分,,,,,创意产品,"￥500
            /件",创意产品,"￥300
            /件",创意产品,"￥1000
            /件",效果图,"￥500
            /次",效果图,"￥500
            /次",效果图,"￥500
            /次",效果图,"￥500
            /次",效果图,"￥500
            /次",效果图,"￥500
            /次",招牌设计,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】影视摄影智能拍照公司LOGO设计,,2021人,36人,¥600,圆满完成,,o60ffb24a0005f,名称：一佳影视文化发展有限公司要求：高端 大气 上档次 前卫 简洁 明了公司主营：摄影拍摄、智能摄影拍摄、MV拍摄、短视频、照片、影集、相册等,2021-07-27,2021.08.07,任务编号：946743,600.0,,,崇尚简约品牌设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】谷神小龙虾 夜宵档logo设计,,8157人,115人,"¥1,000",圆满完成,,o5f2e34d5b8743,一家餐饮公司的夜宵餐饮店logo设计名字：谷神小龙虾餐厅主要招牌菜品：小龙虾和水蟹粥。环境：店面在河边，场地主要是露天和玻璃房建筑，星空灯，线性灯，霓虹灯装饰。装修后类似效果图如附件。餐厅经营方向：偏向年轻人，经营方向是服务晚上出来吃夜宵社交的堂食人群还有手机晚上宵夜下单消费的美团外卖客户。,2021-07-26,2021.08.19,任务编号：946516,1000.0,,,o5c8b03265c206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】局儿•剧本推理体验馆logo设计,,1873人,34人,¥500,圆满完成,,o60fe5546e6cdf,"名称：局儿•剧本推理体验馆 ，需要设计logo，内容：剧本杀店。
要求：新潮，年轻人聚集地，独特。需要原创设计",2021-07-26,2021.08.17,任务编号：946504,500.0,,,雨夜品牌设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】3D冰淇淋产品LOGO设计,,3380人,44人,¥500,圆满完成,,o60bad865becf9,LOGO设计， 名称 ：MiNi宝贝    行业：3D冰淇淋产品。吸引小孩眼球简洁颜色搭配醒目。,2021-07-26,2021.09.02,任务编号：946478,500.0,,,龙蛇映像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】潮牌logo设计,,2116人,35人,¥500,圆满完成,,o60fd****71379,潮牌logo设计，潮牌名字：星火 ， 英文名称：Spark ，设计要求：有火焰元素，需要原创设计。,2021-07-25,2021.08.06,任务编号：946378,500.0,,,金生设计室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【礼品设计】婚房装饰无纺布套装设计,,1868人,8人,"¥1,000",圆满完成,,o5fafba327aaf9,"1.设计请原创，请勿抄袭或者模仿。，一经选稿既拥有设计文件的所有权。不得传播选稿的设计文件2.原创婚房装饰无纺布套装，压缩包款式的风格，压缩包图片只供参考，所有元素请原创。3.整个思路为 新中式加潮流风格。款式好会加选稿，可以提前投稿。设计为矢量图，AI或者CDR格式，喜4,字体用于喜糖盒上边5.整个思路为中式加潮流风格。款式好会加选稿，可以提前投稿。款式好会加选稿款式好会加选稿款式好会加选稿款式好会加选稿设计前可以加微信沟通：18037889951",2021-07-25,2021.08.19,任务编号：946338,1000.0,,,鎯鐺的设计小铺子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,礼品设计,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【礼品设计】喜糖盒设计,,3497人,9人,¥600,圆满完成,,o5fafba327aaf9,1.设计请原创，请勿抄袭或者模仿。，一经选稿既拥有设计文件的所有权。不得传播选稿的设计文件2.新中式元素，也可以自由发挥，保证原创就行，压缩包图片只供参考，所有元素请原创3.整个思路为 新中式加潮流风格。款式好会加选稿，可以提前投稿。设计为矢量图，AI或者CDR格式，喜糖盒尺寸为看附件4。整个喜字为中式，红色底部剪纸，表面为金黄色，喜字原创，红色剪纸部分原创。5.整个思路为中式加潮流风格。款式好会加选稿，可以提前投稿。款式好会另外下单购买，需要的稿件比较多，请大家积极投稿！！！提醒:不要改变喜糖盒结构提醒:不要改变喜糖盒结构提醒:不要改变喜糖盒结构提醒:不要改变喜糖盒结构设计之前可以加微信沟通：18037889951,2021-07-24,2021.08.19,任务编号：946305,600.0,,,步同品牌设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,礼品设计,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】中象公司logo设计,,4279人,59人,¥500,圆满完成,,显示触摸一体机,请看附图，就是LOGO的要求,2021-07-24,2021.08.19,任务编号：946274,500.0,,,Na0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】洗衣液LOGO和中文商标设计,,8527人,74人,"¥1,700",圆满完成,,共卿悲喜,一、品牌故事：洗衣液厂的老板曾经是一位打打杀杀的江湖社会人，一度也曾锒铛入狱。出狱后，发愿做奉公守法的公民，开办了洗衣液制造厂。一度收留了二百余位回头的浪子。但因为种种原因，企业难以为继，濒临倒闭。与此同时，我们有幸与王师兄相遇， 在了解到他和企业的故事后，我们众多佛弟子，决心尽自己的全部所能与所有，仰仗佛法的指引，护持王师兄的企业走出困境。二、社会现状与编者感言：物欲横流、利令智昏成了广泛而严重的社会问题。我们看到自私自利可以盆满钵满，诚实本分却举步维艰，其实真正从更长远的时间来看，损人终究会害己，利人才能利己。 空谈道理不如作出样子给世人检阅。实践是检验真理的唯一标准。编撰这篇招标书的笔者，也是一位断恶向善的过来人，他用前半生的二十余年，把无底线 、无原则、背信弃义做到了极致，直到感召了现世报，坐在轮椅上才开始反省人生。后来通过多年的实践一路走到了今天。自己看到了命运的转变，从而对圣贤教育生起了坚定的信心，也希望把最好的生活方式分享给大家 ，让大家看到诚信做人，良心做事才会收获幸福美满的人生。好人虽然可能一时吃亏，但吃亏是福，后福无量。最好的活法一定是皆大欢喜的结果。完全没有必要把自己的幸福建立在别人的痛苦之上。 财富从布施来。想得到什么就先付出什么。持续不断的、真诚无私的、随缘的做下去。无论多么卑微、多么穷困潦倒的人生，都能在今生，在屈指可数的一段时间之后，看到命运的转变，最终过上幸福美好的生活。三、行业现状和我们的愿景：日化领域是一个假冒伪劣严重泛滥，已经到了触目惊心的的重灾区 。因为技术门槛很低，所以涌现出了大量的造假作坊。我们希望完全用佛教的理念，作为企业的价值观和愿景。用佛教修福的方法，帮助这家濒临倒闭的民营小企业，主动承担起社会责任，从积累福报开始，走出危机和困境，走出一条与众不同的路。让世人对圣贤文化，圣贤教育，因果轮回，建立正确的认知。让更多的世人，有信心做正直的人，有勇气做道义的事。我们参与企业经营只是希望借助这个机会把个人通过佛法转变命运的方法在企业中复制再现，待企业真正步入正轨后，我们会完全与之剥离。我们也希望通过为企业的服务，让更多回头人可以融入社会，做回奉公守法的公民，为国家社会和家庭排忧解难。四、设计要求：希望设计师们可以深刻理解我们的初心，结合佛教的这些价值观， 设计一款洗衣液的LOGO和中文名称，字数不限，朗朗上口，能通过商标注册。 请一定是中式设计风格，不要强势霸气的感觉，要柔和低调 有亲和力。谢绝起名软件的稿件。为了获得更多的设计方案，我们会在多网同时发布信息，请勿一稿多投。相同稿件以提交时间为选择依据。感恩大家的参与，每家网站我们都会选择一个最优方案，确保设计师权益。感恩大家的参与，功德无量，南无阿弥陀佛。,2021-07-22,2021.09.21,任务编号：945984,1700.0,,,豆砸的小店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】牧砚堂LOGO设计,,7733人,115人,"¥1,200",圆满完成,,o591d531bd6c68,LOGO设计：牧砚堂 设计内容：文化交流，书法培训，书法美育教育，以传统文化为基础，我们针对的人群是中小学生！,2021-07-22,2021.08.19,任务编号：945964,1200.0,,,昨夜星辰0928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【包装设计】简洁大气创新的猪肉脯包装袋设计,,2739人,21人,¥480,圆满完成,,o608e****77283,企业：钟福记重量：净含量80克口味：咸辣要一款以墨绿色为主的咸辣味猪肉脯包装袋要有封口  注意！必须是原创作品,2021-07-22,2021.08.22,任务编号：945941,480.0,,,小雪花大世界,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,包装设计,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】水果商标设计LOGO，4个文字设计,,8579人,139人,"¥1,500",圆满完成,,o60f92b72edd94,设计内容：丝路甜心设计主题：文字设计。丝路甜心主要卖新疆的特产，主要是水果类，从设计上能一眼看上去就是水果，还能体现出是西域风情的感觉。最好是文字设计，如果有比较好的带标志创意也可以。重点：简洁、大方、体现水果、体现西域。,2021-07-22,2021.08.04,任务编号：945939,1500.0,,,樱桃丶Creative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】农业科技有限公司LOGO设计,,1971人,32人,¥500,圆满完成,,o60f12e4a390f5,邵阳市同兴农业科技有限公司LOGO设计主要经营水泥预制件，农产品加工,2021-07-22,2021.08.15,任务编号：945865,500.0,,,深圳非凡设计工作室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】星驰眼镜LOGO设计,,2926人,39人,¥600,圆满完成,,o5cac54bd4612d,星驰logo设计，品牌中文名：星驰， 英文名Airfly 。主要针对驾驶者的眼睛保护。1.主色调为蓝色（也可考虑用金色等）；2.采用金箍如意造型为主设计素材；3.LOGO传递驾驶平安，吉祥如意的思想。,2021-07-22,2021.08.15,任务编号：945816,600.0,,,KIN RABBIT,,,,,工作室,一品,67分,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】一个重庆户外徒步活动群的旗帜设计,,2988人,38人,¥600,圆满完成,,sinoworm,旗帜实际上就是一个LOGO。这是山城重庆一群喜爱徒步等户外活动的人自发聚集起来的一个精炼的朋友圈。投标者了解背景，可以在B站查看“老杨Vlog”的视频。这个旗帜（LOGO）希望有两个关键元素。一是“能”的形象，请查阅能字的金文。请见附件1、2。二是孙子兵法有的“风林火山阴雷”六个字。原文是：其疾如风，其徐如林，侵掠如火，不动如山，难知如阴，动如雷震。我取四个合适的字 风 林 山 雷，组合成了“风雷山林” 。这四个字既符合我们徒步的精神风貌，也贴合徒步的自然特征。疾如风，徐如林，静如山，动如雷。同时我们希望把“能”字的金文形象融合进来。//我自己做了几个组合，但是缺乏设计感，放出来供投标者参考做靶子。最新的一期vlog，青峰山之悠游山水间，里面有我们现在用的旗帜。,2021-07-21,2021.08.21,任务编号：945747,600.0,,,风雨创意设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】江苏珠松智能电器有限公司logo设计,,1414人,16人,¥500,圆满完成,,珠松智能,江苏珠松智能电器有限公司 要设计一个LOGO 和包装标贴 等,2021-07-21,2021.08.04,任务编号：945732,500.0,,,速 豹 品 牌 设 计,,,,,工作室,一品,58分,,,,,十年老品牌 品质有保障 客户的需求 就是我们的要求！,￥500,,,,,,,,,,,,,,,,,LOGO设计,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】电商公司LOGO设计,,2159人,46人,¥500,圆满完成,,o5f26158fea2c3,1、电商公司LOGO设计，主要经营食品类，日用百货等；2、主要面对客户是社群用户，和中高端和B端客户；3、LOGO要求不提现单行业；4、要求可注册商标，版权等5、精简、大气、扁平化，后期开发APP会用到；6、logo 名字为“千百惠”可图可字；寓意受众广、品类多、品质好、性价比高（定位类似于小米）；,2021-07-21,2021.08.12,任务编号：945643,500.0,,,凡人设计工作室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】奶茶店logo设计,,3908人,66人,¥500,圆满完成,,o60f4****82e07,店名：氧柠产品主打柠檬茶。标志设计的结构是：中文+英文字体设计。颜色要求：蓝色和白色。要有特色，有内涵，时尚感十足，年轻化。,2021-07-18,2021.08.05,任务编号：945113,500.0,,,问途品牌设计,,,,,企业,三品,134分,,,,,vi设计vi系统设计品牌vi设计企业vi设计餐饮vi设计酒店vi设计咖啡店vi设计烘焙vi设计高端vi设计vi升级设计,"￥1199
            /起",插画设计创意插画设计卡通形象设计吉祥物设计卡通漫画设计手绘插画设计表情包设计原创插画设计商业插画设计,"￥1600
            /起",名片设计卡片设计创意名片设计时尚名片设计高档名片设计英文名片设计插画名片设计企业名片设计公司名片设计,"￥200
            /起",品牌logo设计企业logo设计餐饮烘焙logo设计教育logo设计食品logo设计门店logo设计品牌商标设计标志设计,"￥1488
            /起",包装设计食品包装设计茶叶包装设计水果包装设计礼盒包装设计化妆品包装设计手提袋设计纸箱卡盒瓶贴标签设计,"￥1488
            /起",宣传品设计DM设计宣传单张设计海报设计画册设计宣传册设计易拉宝设计单页设计折页设计三折页设计X展架设计,"￥1000
            /起",,,,,,,LOGO设计,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】大米品牌LOGO设计,,2744人,51人,¥500,圆满完成,,bksy0216,品牌名：N道米,2021-07-19,2021.07.30,任务编号：945299,500.0,,,w释慧海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】五金工厂logo设计,,1519人,30人,¥500,圆满完成,,o60f4d46f01fdc,公司名：广东鼎钲智造科技有限公司 行业： 五金颜色偏好： 红，橙，蓝,2021-07-19,2021.08.03,任务编号：945152,500.0,,,龙蛇映像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】服务平台logo设计,,2372人,25人,¥500,圆满完成,,sakaas,本logo之前招标过一次，选稿后还是不满意。再次发起招标，本次招标，只需要纯图形作品，请勿以数字或汉字变形投稿，谢谢大家！    1.logo中文名：至亲久久，logo英文名：JOY FULL 992.经营范围：借助移动互联网和手机APP、微信小程序、“久久一键通”服务呼叫应答系统等软硬件手段，以久久养老服务驿站+久久社工的招募与培训为特色，开展O2O+社区居家养老和社区康复保健智慧养老连锁服务、社区老龄健康生活服务，为社区长者提供生活助理、老龄照护、临床护理、社区康复保健等诸多养老服务解决方案。3. LOGO图形设计要求：（1）应体现专业服务团队与社区相结合的智慧居家养老服务亮点，突出敬老孝老、服务长者的中心内容；（2）图形应构思巧妙、新颖，线条简洁、流畅、优美；简单明了，识别率高，易于辨识和记忆；（3）色调、构图不受局限，由设计人根据自己的理解进行创作，可提供多种配色方案供选择；    （4）适合企业今后在业内的空间拓展。本次logo设计招标，只征集纯粹的图形作品，请勿以数字或汉字变形投稿。谢谢大家！,2021-07-18,2022.10.18,任务编号：945131,500.0,,,宏炬创意工作室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】幼儿园专用户外三轮车设计一个图形和一句slogan,,6835人,41人,"¥1,200",圆满完成,,大志哥666,"为我的品牌，设计一个图形和一句slogan！ 品牌名称：幼教博士 主营产品：幼儿园专用户外三轮车 说明：幼儿园专用户外三轮车，幼儿园三轮车具有功能单一，结构简单，耐用，结实（因为孩子们经常骑行，所以比家用的用料足很多）款式多样等特点，我家有三十多个款式！产品图片如图所示！我们的客户是谁？答：我们的客户是，幼儿园，幼教机构。以及从事幼教设备经销行业的经销商。我们的优势？答：我们专业为幼儿园制作幼教三轮车6年，拥有30多种款式，产品结实耐用，售后服务好！我们的销售量，几乎是全国第一（单指幼儿园三轮车这一个小小的细分市场），我们目前的主要销售渠道为线上销售。后期有拓展线下市场的打算。线上的客户，更多是实力稍微小一些的幼儿园。或者已经在办的普惠幼儿园添置户外设备时采购。ps：实力强一些的幼儿园，基本上会在实体采购我想要图形的效果是？答：客户能从图形中感受到我们的专业、亲切、信任感！或者说可以透过图形可以看出我们是专做幼儿园童车。如果图形未能完全达到这个效果，那就需要配上一句响亮，定位精准的slogan！设计过程中，有任何疑问，随时联系我。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2021-07-18,2021.08.04,任务编号：944970,1200.0,,,KIN RABBIT,,,,,工作室,一品,67分,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】简奢家具品牌logo及名片设计,,7613人,98人,¥700,圆满完成,,pxy2170,"任务要求：家具品名logo设计,品名叫　“皇家公馆 ”   设计需求：高端简约大方有内涵，要有HJGG 的英文缩写描述补充：　 皇家公馆 主要在天猫 淘宝 京东 唯品会 苏宁 等线上品台 销售 意式 简奢家具",2021-07-17,2021.08.31,任务编号：945030,700.0,,,莫思柯设计,,,,,个人,七品,40分,,,,,海报/折页/展板/宣传单/卡券/易拉宝/注水旗/工牌/设计,"￥100
            /起",书封设计封面原创设计画册年鉴设计宣传册教材封面设计平面设计,"￥388
            /起",企业公司品牌logo设计图文原创标志商标LOGO图标平面设计,"￥388
            /起",,,,,,,,,,,,,LOGO设计,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【包装设计】安防产品包装设计，原创思维,,2554人,28人,¥800,圆满完成,,o5f52f9f1a5674,我们是做防盗报警器类目   我们需要设计一款燃气泄漏器产品包装 1:产品包装尺寸：148*108*38mm2：产品正面文字内容我们提供的刀模线有文案以及包装上面的图案 这个都可以参照（或者改变图片造型意思不能变）主要是 不能与我发的参照设计的风格完全一样  不能完全照抄  不然就失去了 设计的意义，我们在附件内 提交了原产品高清图片可以取 2个不同方向的设计  选择其一就可以了 整体风格要匹配3：风格要求：简单 大气   能有层次感  包装不能太艳盖过产品锋芒   要凸出产品  像品牌一样的风格路线设计  不能做成礼品包装盒类型  看上去产品包装好看 然后客户才有进一步的了解产品的效果  吸引眼球  一眼看过去能让眼睛停留几秒  的与众不同4：产品图片有在附件里面上传 可以P高清一些  产品线条要明显 不能太模糊  附件也有产品包装盒刀模外形 可以参照做好 可以发过来看下 5：大家是专业的 可以提供自己的设计元素在里面 越活跃 越好 以及创新也很关键  谢谢 6：微信号：13662611763  有什么问题 可以联系我们,2021-07-16,2021.08.15,任务编号：944888,800.0,,,宏炬创意工作室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,包装设计,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】快餐店LOGO设计,,19020人,142人,"¥1,500",圆满完成,,cdzh56,一、品牌名字：猪八件二、设计要求：1、公司业务：该品牌属于专为上班族提供午餐盒饭的快餐公司，外卖为主，堂食为辅，2、设计要求：因为西游记，猪八戒拥有非常高的知名度，而且本身就是一个“贪吃”的形象，因此，“猪八件”的LOGO设计，尽量围绕“猪八戒”这个人物形象展开！3、后期延展外卖会启用“猪八件.管吃婆”，后面可能会考虑推出“猪婆婆”这样的一个服务形象，所以在LOGO设计上，也要适当考虑后期的应用延展性问题4、所提交作品，一定要原创，如果因为盗版和剽窃而产生纠纷与赔偿，将由作品提交者承担相关法律责任！5、我是一品威客的新注册商家，这也是我在这里的第一个任务，以前在其他任务网站发包过很多任务，拥有很好的支付信誉，现在入驻这里，也将保持这种风格，一旦发现优秀的作品，将第一时间发放任务奖金！,2021-07-16,2021.09.19,任务编号：944878,1500.0,,,一品流图,,,,,个人,五品,40分,,,,,插画卡通设计,"￥300
            /起",IP吉祥物设计,"￥300
            /起",LOGO设计,"￥300
            /起",个性包装设计,"￥300
            /起",,,,,,,,,,,LOGO设计,,,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】会名美业或者会名养生，设计个logo,,1849人,41人,¥600,圆满完成,,o5b534be95493a,会名美业或者会名养生，用“会名”设计个logo，体现“干净、舒适、放松”,2021-07-16,2021.12.25,任务编号：944823,600.0,,,龙蛇映像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGO设计,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】需要一个男装图像LOGO设计,,2867人,56人,¥600,圆满完成,,迟帅123,"需要一个男装图像logo,要求简单大气，主要是印在衣服上面，不说吧衣服秤砣的多好看，但是绝对不能丑化衣服，要那种简单点的就可以  ，品牌：迟帅 LATE OF HANDSOME注意，到时候需要注册版权，需要原创",2021-07-15,2021.08.01,任务编号：944732,600.0,,,金标点品牌设计,,,,,工作室,二品,60分,,,,,【金标点品牌设计- logo创意】商标Logo设计 标志创意  3套设计方案,"￥999
            /件",【金标点品牌设计 -标志设计】 标志设计高端 LOGO 企业公司商标 高大上原创,"￥300
            /件",【金标点品牌设计- 包装】包装设计 平面设计 产品包装 三套设计方案,"￥3500
            /件",【金标点品牌设计- 包装】包装设计平面设计保健品产品包装彩页宣传单,1500,【金标点品牌设计 -标志设计】 创意设计 标志设计高端 LOGO 企业公司 企业标志创意商标设计,"￥3000
            /件",,,,,,,,,LOGO设计,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【LOGO设计】小型灭火器 字体/LOGO设计,,3126人,40人,¥600,圆满完成,,mf135****5566,品牌名称：“对策”，适用于车载家用等小型水基灭火器，现征集“对策”品牌的商标字体或者logo的设计，请原创设计！,2021-07-11,2021.08.14,任务编号：943931,600.0,,,雨夜设计工作室,,,,,工作室,一品,68分,,,,,高端logo设计,"￥1500
            /起",包装设计,"￥3000
            /起",VI设计,"￥8888
            /起",,,,,,,,,,,,,LOGO设计,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【标签设计】服装吊牌设计,,2546人,28人,¥300,圆满完成,,o560266de9271f,设计吊牌 ，风格适合女士与男士共用的（产品用于女士文胸或者男女保暖衣）尺寸 最长与宽不得大或者小于：长9或者10CM  宽3CM商标名称：极地之悦    ，广告语：以极地之力，悦人生之美（也可用极地之光的元素,2021-07-15,2021.09.10,任务编号：944582,300.0,,,森设视觉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标签设计,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
"【卡通形象设计】亚洲""爱心小天使""卡通人物设计  小女孩款",,4519人,25人,¥500,圆满完成,,阳光设计168,一、公司基础信息1、企业中文全称：东莞市亚洲制药科技有限公司2、公司业务范围：医药、制药3、企业文化：亚洲制药 用爱心做药4、目的: 企业形象升级二、项目设计要求 设计儿童卡通人物形象设计  女孩款（昵称： 亚洲“爱心小天使“） 爱心！是大爱支疆的关爱情怀，更是心系苍生的奉献精神！”爱心“的深层意义：送爱保护生命。品牌调性：关爱、亲和、阳光、积极、活力、希望。2. 亲切感，容易与消费者产生共鸣。3. 独创性。体现出它与普通物件所不同的地方，有自己鲜明的个性。4. 守护人类健康5. 中标设计师需提供源文件，PSD等格式原文件，应为矢量图。  6. 附带文字说明，说明设计意图、创作理念。 三、 知识产权声明1.所设计的作品应为原创所设计的作品为原创，为第一次发布，未侵犯他人著作权；如有侵犯他人著作权，由设计者承担所有法律责任。如与现有商品的注册商标近似，公司有权要求设计者退回公司支付的一切费用或重新为本公司进行设计。2.如中标，设计方必须提供以上要求设计作品完整的方案，包括各种矢量图形源文件和所用到的字体，以方便进行修改完善和印刷。 3.中标的设计作品，我方支付设计制作费后，即拥有该作品知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改、组合和应用。 4.设计作品一经采用，所有权、修改权和使用权均归我方所有，设计者不得在其他任何地方使用该设计作品，包括并不限于著作权、使用权、发布权以及对设计作品进行修改、组合、应用等权利。设计作品一经采用，所有权、修改权和使用权均由本公司所有，设计者不得再在其他任何地方使用该作品，否则构成侵权，本公司保留依法追究设计方法律责任的权利。 5.征集结果公布后，未采用的作品即可自行处理，但必须除去稿件中我公司及产品标识的任何元素。6.参加此设计任务者被视为同意以上所有声明。备注；如以上某些要求限制设计师的创意，也可根据设计师的想法和创意进行设计可以联系QQ519838888,2021-07-15,2022.01.24,任务编号：944554,500.0,,,o5d5b4e052b890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,卡通形象设计,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
