标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,任务类型
【活动策划】牙科整形行业商业计划书,https://task.epwk.com/750489/,836人,1人,¥400,圆满完成,du6789,商业计划书，整形、牙科行业，想开一个培训，想做一个活动策划，已经谈好，请勿联系。,2019-05-22,2019.05.22,任务编号：750489,400.0,5天,广东省-深圳市,映善中国,https://shop.epwk.com/09drjep7153w/,映善中国,出售服务,https://shop.epwk.com/09drjep7153w/chushou/,企业,一品,67分,,,映善中国,,品牌企业VI / VIS / SI 系统设计,"￥100
            /件",产品外观 / 结构设计        工业设计 / 机械设计,"￥100
            /起",,,,,,,,,,,,,活动策划
【APP推广】认证公司百度百科词条创建,https://task.epwk.com/711768/,2832人,5人,¥1000,圆满完成,epqihua,需要做一个认证服务公司的百度百科词条，会提供初步的词条内容版本，服务商要能够将词条成功创建。,2019-02-18,2019.05.31,任务编号：711768,1000.0,"10天,15天,1天,7天","四川省-成都市,山东省-青岛市,山西省-太原市-市辖区,河北省-廊坊市-文安县",天府互联/四川天虎互联科技有限公司,https://shop.epwk.com/mod042p905yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,APP推广
【关键词优化】百度关键词优化SEO,https://task.epwk.com/741616/,1072人,1人,¥2900,圆满完成,喵喵任务,1、需要对我司品牌词语在百度搜索时进行优化考前，2、对于我司网站也是要进行SEO优化3、我司主要经营打印机相关产品4、服务任务需要如下，1、至少网站优化排名前三，2、至少需要三个大类词语能搜索到我司网站。,2019-04-30,2019.05.02,任务编号：741616,2900.0,3天,福建省-龙岩市-市辖区,蓝晶互联网,https://shop.epwk.com/j7n38o7we5e1/,蓝晶互联网,出售服务,https://shop.epwk.com/j7n38o7we5e1/chushou/,工作室,五品,35分,,,蓝晶互联网,,,,,,,,,,,,,,,,,,关键词优化
【活动策划】团线上策划一周年活动,https://task.epwk.com/737257/,1855人,4人,¥500,圆满完成,o5cba77975f884,美团线上策划一周年活动，包括海报，图片具体详谈,2019-04-20,2019.05.08,任务编号：737257,500.0,"6天,3天,3天,5天","广东省-广州市-从化市,山东省-青岛市,广东省-深圳市,陕西省-西安市-雁塔区",广州叁人间广告传媒有限公司,https://shop.epwk.com/7g5yk17g2n0q/,广州叁人间广告传媒有限公司,出售服务,https://shop.epwk.com/7g5yk17g2n0q/chushou/,企业,七品,39分,,,广州叁人间广告传媒有限公司,,招标招商文案计划书 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品等招商招标文案,"￥500
            /起",新媒体运营 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品等微信新媒体文案运营,"￥160
            /起",微商城搭建与开发 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品等商业模式微商城开发,"￥8000
            /次",品牌策划方案 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品企业品牌策划,"￥300
            /次",LOGO设计 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品企业LOGO设计,"￥400
            /起",官网搭建 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品官网搭建,"￥1000
            /起",公司手册设计 服装餐饮娱乐食品科技地产金融珠宝医疗农业化妆品宣传创作,"￥500
            /起",海报设计 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品海报宣传创作,"￥100
            /起",活动策划
【APP推广】看新闻APP注册推广,https://task.epwk.com/734719/,1303人,1人,¥180,圆满完成,o5cb074ec93836,二三里，华商数码开发的看新闻的APP。仅需注册（手机做）并填邀请码，20秒搞定：1、用手机扫描二维码下载“二三里”ＡＰＰ（或应用商店下载）2、苹果手机可以卸载后重新下载更换手机号登陆，可以多次提交。（安卓系统手机只能做一次），只要60ge具体以实际沟通为准。,2019-04-14,2019.04.14,任务编号：734719,180.0,2天,陕西省-西安市-未央区,app注册推广,https://shop.epwk.com/2j5xoykmk5xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,APP推广
【整合营销】提供承包方案通用范本,https://task.epwk.com/726474/,732人,1人,¥100,圆满完成,o5bf2abf1eef00,我需要一份向小区物业管理公司承包小区广告位跟商铺的承包方案。通用范本就可以，时间很赶，需要3-4个小时完成,2019-03-26,2019.03.27,任务编号：726474,100.0,1天,广东省-广州市-从化市,广州叁人间广告传媒有限公司,https://shop.epwk.com/7g5yk17g2n0q/,广州叁人间广告传媒有限公司,出售服务,https://shop.epwk.com/7g5yk17g2n0q/chushou/,企业,七品,39分,,,广州叁人间广告传媒有限公司,,招标招商文案计划书 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品等招商招标文案,"￥500
            /起",新媒体运营 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品等微信新媒体文案运营,"￥160
            /起",微商城搭建与开发 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品等商业模式微商城开发,"￥8000
            /次",品牌策划方案 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品企业品牌策划,"￥300
            /次",LOGO设计 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品企业LOGO设计,"￥400
            /起",官网搭建 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品官网搭建,"￥1000
            /起",公司手册设计 服装餐饮娱乐食品科技地产金融珠宝医疗农业化妆品宣传创作,"￥500
            /起",海报设计 食品地产金融服装餐饮娱乐食品地产金融珠宝医疗农业化妆品海报宣传创作,"￥100
            /起",整合营销
【关键词优化】qq群关键词推广,https://task.epwk.com/721697/,1843人,2人,¥1500,圆满完成,o5c287378eaf5d,群你提供，大概五六个词，能实时把词保证在前五一月一结一个词一月一千五，长期需求来个能力靠谱的，打酱油的勿扰,2019-03-14,2019.05.23,任务编号：721697,1500.0,"38天,30天","山西省-太原市-市辖区,null-null-null",下拉框网络科技有限公司,https://shop.epwk.com/v0n1xop1457y/,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【活动策划】瑜伽活动策划,https://task.epwk.com/717140/,1039人,1人,¥2000,圆满完成,o5c7b527fa453e,瑜伽活动策划工期：7至10个工作日～,2019-03-04,2019.03.18,任务编号：717140,2000.0,10天,山东省-青岛市,光影品牌策划,https://shop.epwk.com/89dvgrvjwdl2/,光影品牌策划,出售服务,https://shop.epwk.com/89dvgrvjwdl2/chushou/,企业,三品,45分,,,光影品牌策划,,活动策划方案撰写（线上&线下）,"￥999
            /起",商业计划书撰写,￥5000,折页/画册设计,"￥299
            /页",企业标志设计,￥5000,创意海报设计,"￥999
            /起",,,,,,,活动策划
【微信推广】针对【最一骨力】设计产品详情页,https://task.epwk.com/716076/,909人,1人,¥5950,圆满完成,vitorru,"针对【最一骨力】设计产品详情页相关事宜：1、设计【最一骨力】产品详情页，需要5-7个工作日左右。 2、设计详情页《新的版型》每个500元，套模板150元/个｡3、工作流程：按照确定风格-制作样稿-修改-定稿-套版的流程展开设计工作；4、定稿后不允以修改调整，如需调整则根据工作量需额外费用；5、为了保证最终效果，在套版过程中部分内容可能不会严格按照模版来制作，可能会根据实际内容来适当调整；6、甲方需告知哪部分为模版内容，以及哪部分为套版内容，如无要求则设计师可自行安排设计；7、每版可修改3次，超过后如还需要再次修改调整则根据工作量需额外费用；8、本次【最一骨力】产品详情页共计21页（具体以提供的素材为准）；9、8个版型风格以附图资料为准； 10、费用＝￥5,950(不含税）；",2019-03-01,2019.05.30,任务编号：716076,5950.0,7天,浙江省-温州市,千寻文化,https://shop.epwk.com/0z5o48rvxnjq/,千寻文化,出售服务,https://shop.epwk.com/0z5o48rvxnjq/chushou/,企业,一品,68分,,,千寻文化,,微信代运营 | 微信公众号 服务号 订阅号托管代运营,"￥998
            /件",微信开发/小程序开发,"￥688
            /次",公众号搭建 | 微官网微网站微商城托管设计装修,"￥998
            /件",画册/折页设计,"￥88
            /件",详情页设计,"￥299
            /件",主页设计整店装修设计,"￥668
            /件",H5设计 | 制作易企秀微场景H5页面设计,"￥88
            /件",H5游戏 | 微信游戏H5互动营销引爆朋友圈,"￥388
            /件",微信推广
【营销解决方案】健身房会员卡营销方案,https://task.epwk.com/709602/,1735人,1人,¥1200,圆满完成,k3151****03,1.称呼：刘先生2. 地区：安徽跟上海 3.需求：健身房   会员卡营销方案 要求有相关经验地区不限 微信是手机4.预算：无 5.备注：意向中 联系请说一品威客推广员小方推荐,2019-02-14,2019.02.22,任务编号：709602,1200.0,9天,山东省-滨州市,一悦企划,https://shop.epwk.com/omdwk2x0xdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,营销解决方案
【产品推广】百家号加关注,https://task.epwk.com/710015/,1065人,1人,¥100,圆满完成,吃素龙王,手机打开百度并且登录搜索 关键词在出现的第一个结果后面 点 关注按钮 短时间内请不要取消能做的留言   100元200个粉丝,2019-02-12,2019.02.13,任务编号：710015,100.0,1天,广东省-广州市-天河区,顺泽网络推广旗舰店,https://shop.epwk.com/2j5jj1k4z5pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【活动策划】母婴店线下活动营销方案尾款,https://task.epwk.com/708142/,1230人,1人,¥200,圆满完成,k7128****21,项目:母婴店线下活动策划称呼:庄先生 地区:海南海口云龙镇需求:母婴实体店 春节后做营销活动。需要找人帮忙做策划  已经谈好合作  先付800  收到稿件支 满意支付尾款,2019-01-29,2019.02.20,任务编号：708142,200.0,2天,广东省-深圳市,深圳市意典文化传媒有限公司,https://shop.epwk.com/0z5o44xllnjq/,深圳市意典文化传媒有限公司,出售服务,https://shop.epwk.com/0z5o44xllnjq/chushou/,企业,四品,40分,,,深圳市意典文化传媒有限公司,,影视服务,价格面议,原创设计,价格面议,策划方案,价格面议,,,,,,,,,,,活动策划
【活动策划】母婴店线下活动营销方案首付款,https://task.epwk.com/708141/,1101人,1人,¥800,圆满完成,k7128****21,项目:母婴店线下活动策划称呼:庄先生 地区:海南海口云龙镇需求:母婴实体店 春节后做营销活动。需要找人帮忙做策划  已经谈好合作  先付800  收到稿件支 满意支付尾款,2019-01-29,2019.01.29,任务编号：708141,800.0,2天,广东省-深圳市,深圳市意典文化传媒有限公司,https://shop.epwk.com/0z5o44xllnjq/,深圳市意典文化传媒有限公司,出售服务,https://shop.epwk.com/0z5o44xllnjq/chushou/,企业,四品,40分,,,深圳市意典文化传媒有限公司,,影视服务,价格面议,原创设计,价格面议,策划方案,价格面议,,,,,,,,,,,活动策划
【产品推广】百度百科，词条编辑,https://task.epwk.com/701439/,2038人,7人,¥500,圆满完成,o5b0314cc7aa6f,百度百科 词条编辑 预算500元 （公司简介方向）参与威客需提供之前有做过的词条案例qq联系，不要电话,2019-01-09,2019.01.26,任务编号：701439,500.0,"10天,7天,1天,7天,2天,365天,5天","四川省-成都市,福建省-厦门市,陕西省-西安市-莲湖区,广东省-深圳市-龙岗区,陕西省-宝鸡市-陈仓区,云南省-保山市-腾冲县",天府互联/四川天虎互联科技有限公司,https://shop.epwk.com/mod042p905yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【活动策划】找人做公益活动策划,https://task.epwk.com/697927/,896人,1人,¥3000,圆满完成,o5c26443ab9b3d,找专业慈善活动策划人员做最有创意的活动方案,2018-12-29,2019.06.04,任务编号：697927,3000.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",活动策划
【活动策划】做策划案,https://task.epwk.com/680752/,1054人,1人,¥888,圆满完成,vitorru,给售楼部放点绿植，做策划案 已经谈好 按谈好的来 不用联系 谢谢。,2018-11-12,2018.11.14,任务编号：680752,888.0,2天,云南省-昆明市-五华区,一起搞品牌策划  QQ  3370528179,https://shop.epwk.com/v0n1x6x9l57y/,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【微信推广】摄影工作室双十一营销活动策划,https://task.epwk.com/676448/,922人,1人,¥640,圆满完成,o5b989407eb59b,项目： 营销方案  称呼： 张女士地区：  西安 需求：摄影工作室  双十一营销活动策划  微信是手机号xf 预算：无 备注：意向中 备注：已谈好合作,2018-10-31,2018.10.31,任务编号：676448,640.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",微信推广
【整合营销】旅行社周年庆活动营销策划,https://task.epwk.com/672983/,1163人,1人,¥1000,圆满完成,o5bcd8d19388db,旅行社周年庆活动营销策划，一个旅行社，周年庆活动，需要做营销策划，看有没有什么好的点子。具体以实际沟通为准。,2018-10-22,2018.10.26,任务编号：672983,1000.0,2天,广东省-深圳市-龙岗区,深圳呢喃文化有限公司,https://shop.epwk.com/p05qjwww3dev/,深圳呢喃文化有限公司,出售服务,https://shop.epwk.com/p05qjwww3dev/chushou/,企业,六品,40分,,,深圳呢喃文化有限公司,,品牌策划,"￥18000
            /起",画册设计,"￥350
            /页起",包装设计,"￥2000
            /起",VI系统设计,"￥12000
            /起",LOGO设计 ｛送精美效果图｝,"￥2000
            /起",,,,,,,整合营销
【品牌策划】公司品牌文案编写,https://task.epwk.com/671536/,873人,1人,¥800,圆满完成,x1985****285,已协商好，勿扰！,2018-10-18,2018.10.18,任务编号：671536,800.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌策划
【小程序推广】推广微信小程序,https://task.epwk.com/668906/,1314人,1人,¥200,圆满完成,小二郎啊,张先生 要做 小程序推广  商户 商城 综合类 餐饮服装都有 人在深圳  推广,2018-10-11,2018.10.11,任务编号：668906,200.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",小程序推广
【微信推广】微信链接点赞,https://task.epwk.com/660242/,2184人,1人,¥200,圆满完成,kinsy0019,68747470733a2f2f6f70656e2e77656978696e2e71712e636f6d/connect/oauth2/authorize?appid=wxc1ffe1b5aec9db56&redirect_uri=https%3a%2f%2fcdn05.mangofun.cn%2f2018MidAutumnPre%2fauth%2findex.html&response_type=code&scope=snsapi_userinfo&state=510e6a987f834c9383cd2cb0b2397078#wechat_redirect微信打开此链接点赞，一次性打包，2000个赞，200元。点赞不用加微信好友，直接打开此链接就可以进行点赞。要求在9月15日之前完成,2018-09-14,2018.09.15,任务编号：660242,200.0,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",微信推广
【活动策划】美术培训机构周年庆活动策划,https://task.epwk.com/644508/,4379人,1人,¥1000,圆满完成,k7450****00,少儿美术培训机构  以幼儿园的学生为主  4年的周年庆。 要让4年来上过课程的家长和小朋友回归  可以带朋友过来。在公开的场合里面公开活动。 福建宁德，地区不限制 希望找有做过幼儿少儿培训机构周年庆活动案例的  比较专业的策划公司提供方案CL已经谈好  修改到满意为止,2018-08-19,2020.06.19,任务编号：644508,1000.0,7天,广东省-广州市,广州观远文化,https://shop.epwk.com/4rn8qq0wwngm/,广州观远文化,出售服务,https://shop.epwk.com/4rn8qq0wwngm/chushou/,工作室,五品,41分,,,广州观远文化,,「观远文化」影视制作-剧本创作/影片剪辑/后期制作,价格面议,「观远文化」摄影摄像-企业宣传片/广告片/活动跟拍/微电影/MV/短视频,价格面议,「观远文化」活动策划-方案定制/演艺资源/灯光舞美/婚庆宴会,价格面议,「观远文化」文案写作-创意文案/自媒体软文/文学创作/PPT,价格面议,「观远文化」品牌策划-品牌命名/品牌口号/品牌文化/品牌简介/品牌故事/全案策划,价格面议,「观远文化」手绘设计-插画设计/漫画设计/卡通形象设计,价格面议,「观远文化」名片设计-企业名片/个人名片,价格面议,「观远文化」电商设计-首页设计/详情页设计/主图设计/图片处理,价格面议,活动策划
【产品推广】H5游戏线上推广,https://task.epwk.com/650360/,899人,1人,¥3300,圆满完成,叶星辰1,具体详见附件,2018-08-17,2018.08.27,任务编号：650360,3300.0,20天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",产品推广
【关键词优化】公司项目百度百科创建,https://task.epwk.com/649215/,1955人,8人,¥850,圆满完成,o5b587ef8f10a0,我想为公司项目创建一个百度百科，希望有经验的联系我,2018-08-15,2018.10.22,任务编号：649215,850.0,"3天,1天,1天,1天,5天,5天,1天,10天,10天","四川省-成都市-锦江区,山东省-青岛市,安徽省-亳州市-市辖区,江苏省-常州市-武进区,广东省-广州市-天河区,北京市-北京市,重庆市-重庆市-渝中区,河南省-濮阳市-清丰县,河南省-濮阳市-清丰县",九州营联,https://shop.epwk.com/7g5ykxgg9n0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【品牌策划】服装行业的品牌介绍,https://task.epwk.com/644734/,920人,1人,¥450,圆满完成,k4226****28,服装品牌：S&Q，做品牌PPT，可以提供图片。但需要设计一下怎么好看洋气，然后做个品牌宣传的PPT资料，谈好了，不要再联系,2018-08-02,2018.08.16,任务编号：644734,450.0,10天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌策划
【活动策划】国庆假期景区活动方案策划+ppt,https://task.epwk.com/636693/,2328人,6人,¥1000,圆满完成,XXWH,国庆假期景区活动方案策划+ppt,2018-07-13,2018.10.24,任务编号：636693,1000.0,"7天,10天,5天,5天,10天,30天","山东省-德州市,山东省-青岛市,上海市-市辖区,广东省-深圳市,广东省-广州市-荔湾区,重庆市-重庆市-南岸区",金芭蕉文案服务工作室,https://shop.epwk.com/78n96wzkxnkv/,金芭蕉文案服务工作室,出售服务,https://shop.epwk.com/78n96wzkxnkv/chushou/,工作室,五品,37分,,,金芭蕉文案服务工作室,,代笔影视文案宣传片解说词微电影剧本影视策划,价格面议,专业定制各类文书写作,价格面议,商业计划书融资合作招商运营方案可行性报告代写,价格面议,品牌文案,价格面议,微信文章写作公众号服务号微博配图文推广文案,价格面议,,,,,,,活动策划
【APP推广】百度优化排名提升,https://task.epwk.com/635757/,1167人,2人,¥500,圆满完成,o5b45****85e4f,现在排名在第三页。提升到第一页，我的网站是 www.kz44.cn 关键词 寰宇浏览器,2018-07-11,2018.07.25,任务编号：635757,500.0,"7天,10天","湖北省-武汉市-洪山区,山东省-青岛市",惠天下网络工作室,https://shop.epwk.com/0z5o48y48njq/,惠天下网络工作室,出售服务,https://shop.epwk.com/0z5o48y48njq/chushou/,工作室,四品,40分,,,惠天下网络工作室,,外链代发,"￥10
            /起",企业网站开发,"￥3000
            /起",搜索引擎优化，关键词快速排名,"￥500
            /起",百度问答推广,"￥3000
            /组",,,,,,,,,APP推广
【活动策划】千人徒步大会活动策划,https://task.epwk.com/621693/,1626人,1人,¥400,圆满完成,k7569****91,千人徒步大会的一个活动方案。一共八公里。需要找人做宣传方案+活动方案+招商方案   内蒙通辽。地区不限制，不需要现场执行 只需要方案即可。已经跟威客谈好 具体按谈好的内容执行,2018-06-04,2018.06.05,任务编号：621693,400.0,1天,山东省-青岛市-崂山区,光影品牌策划,https://shop.epwk.com/89dvgrvjwdl2/,光影品牌策划,出售服务,https://shop.epwk.com/89dvgrvjwdl2/chushou/,企业,三品,45分,,,光影品牌策划,,活动策划方案撰写（线上&线下）,"￥999
            /起",商业计划书撰写,￥5000,折页/画册设计,"￥299
            /页",企业标志设计,￥5000,创意海报设计,"￥999
            /起",,,,,,,活动策划
【整合营销】XX车促销方案策划撰写,https://task.epwk.com/617082/,1137人,2人,¥600,圆满完成,Zz大魔王,汽车营销毕业设计XX车促销方案策划（有模版）,2018-05-22,2018.06.09,任务编号：617082,600.0,"3天,3天","北京市-北京市,河南省-郑州市",杰斯设计工作室,https://shop.epwk.com/mod046eg05yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,整合营销
【关键词优化】关键词优化,https://task.epwk.com/612167/,1811人,4人,¥500,圆满完成,云企工作室,新网站还未被百度收录要求：1.网站被收录数不低于1000             2.优化的关键词在本地排名中排在前五,2018-05-10,2018.06.04,任务编号：612167,500.0,"30天,60天,90天,30天","河北省-石家庄市,重庆市-市辖区-江北区,四川省-成都市,山东省-济宁市-市辖区",河北莱峰物联网科技有限公司,https://shop.epwk.com/rp5z4m7q8dx3/,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【整合营销】房地产营销策划案,https://task.epwk.com/611705/,1649人,2人,¥3000,圆满完成,BIUBIU000,房地产新项目营销策划案。1.前期宣传推广思路（线上线下）2.开盘活动思路3.节日活动4.收盘活动每一个活动不需要每一个细节都完善，只需将活动思路写出来。预计开盘时间：2018年7月预计收盘时间：2018年12月,2018-05-09,2018.05.14,任务编号：611705,3000.0,"4天,7天","浙江省-杭州市-萧山区,江苏省-苏州市",乐心文策工作室 187-6845-9100,https://shop.epwk.com/qgdmjx2gydke/,,,,,,,,,,,,,,,,,,,,,,,,,,,整合营销
