标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【品牌起名】交友APP起名,https://task.epwk.com/652964/,7417人,342人,¥500,快快慢慢,￥ 500,￥ 500,2018.08.25,一款高端质量男女交友APP起名字，避免重复，安卓，IOS市场同类型产品有的名字就不必提交了，最好同类社交类产品名字不带要取的名字里关键词.,任务编号：652964,木生花工作室,见证奇迹
【广告策划】王氏骨道广告语征集,https://task.epwk.com/651689/,2548人,95人,¥100,wwx34****369,￥ 100,￥ 100,2018.08.21,突出不用去医院就就能治好各种所有劲椎病,任务编号：651689,jazzy_126,左艺工作室
【宣传策划】女装店铺推广穿搭博文,https://task.epwk.com/651643/,2466人,12人,¥100,o5b778055da962,￥ 100,￥ 100,2018.08.21,字数要求70到150 内容有关时尚元素 潮流穿搭的动微博态 要求必须带与文字相关的4图或者9图,任务编号：651643,mf153****1756,雨打芭蕉   文案·设计
【宣传策划】要一个邀请客户进群的文案,https://task.epwk.com/650540/,15348人,41人,¥100,o5b778055da962,￥ 100,￥ 100,2018.08.18,一个淘宝女装店要做一个邀请客户进群有免费送大额优惠券的文案，如有疑问可以联系qq,任务编号：650540,雨打芭蕉   文案·设计,娜么迷糊
【品牌起名】根据字母取个节能品牌名字,https://task.epwk.com/650336/,3774人,272人,¥700,kamfat,￥ 700,￥ 700,2018.08.17,我是一家节能公司，目前主要做的是全国各地的物业小区照明节能改造。主要产品是LED智能照明灯具类产品。采用的是EMC合同能源管理模式为客户进行服务。EMC：理解为合同能源管理EMCO：理解为合同能源管理公司现在我想用EMCO这四个字母，拼成一个品牌名字（同时注册公司），要高端大气点的，两个字或多个字都行，要易记，易读。www.chinaemco.com域名已经注册。能注册商标11类  灯具,任务编号：650336,mf150****8038,Violet酱
【公司起名】起重机公司起名,https://task.epwk.com/648630/,3672人,129人,¥200,FEIHO,￥ 200,￥ 200,2018.08.13,公司是一家生产高新起重设备的制造商，专业生产欧式钢丝绳电动葫芦、欧式单梁起重机、悬挂起重机、新型双梁起重机、环链电动葫芦、立柱式悬臂吊、墙壁吊、吊具等起重设备。起名要有国际感且要贴合行业起名例如：法兰泰克EUROCRANE 、柯纳特KONART CRANES、科尼重工KONECRANES、德马格DEMAG等等,任务编号：648630,WinJ,谷声品牌策划
【公司起名】少儿机构取名,https://task.epwk.com/645750/,2956人,158人,¥200,mf139****0325,￥ 200,￥ 200,2018.08.05,少儿游学机构，比如夏令营，出去游玩，然后通过快乐的集体游玩，同时达到增加一些知识的效果 。寻求合适的名字。,任务编号：645750,小武的店铺,叁拾陆品牌设计
【店铺/网店起名】店铺取名,https://task.epwk.com/644898/,2854人,177人,¥101,o5ad5b4437e3d7,￥ 101,￥ 101,2018.08.03,想给店铺起个名，二楼婴幼儿游泳水育，一楼卖场，一楼面积和二楼一样大，主打洗澡游泳水育兼顾卖场，名字要充满童趣高端大气温馨吸引人，同时满足后期logo设计需求。,任务编号：644898,见证奇迹,耳著明月铛
【宝宝起名】男二宝取名,https://task.epwk.com/644604/,2531人,79人,¥100,Mr夜风,￥ 100,￥ 100,2018.08.02,"谢绝软件及网络在线智能取名，可提交多个备选方案！

男二宝于公历2018年7月30日09:07出生。
父亲:姓杨
母亲:姓王
男大宝:杨骏熙于公历2012年4月3日出生。
名字格式：三个字（含姓氏）

要求：
1.名字要符合传统命理五行、五格数理格局。请结合周易五行八卦的算法、生辰八字、五行旺衰喜忌进行综合分析，三才配置要好。格数理最好全是吉数，避免有凶，交稿时附带详尽的名称寓意，命理分析，解释名字并说明名字和生辰八字的联系，提交详细的起名方案。
2 起一学名， 再起一小名， 两者最好有某种关联。
3名字要有内涵、简洁大气，用字要有意义，字型流畅，写出来匀称好看，读起来朗朗上口，不拗口，不易重名，名字谐音没有不好的联想，别出心裁或独具匠心.
  谢谢大家的参与！",任务编号：644604,木成周,清潭阁主
【品牌故事】品牌故事和广告语征集,https://task.epwk.com/640645/,3585人,52人,¥200,mf138****0996,￥ 200,￥ 200,2018.07.24,附件中是目前的品牌故事和广告语1.嘿巷是一个茶饮+烘焙的品牌，主要产品为茶饮、可颂、拿破仑等，品牌走的是街头潮流风，现有品牌故事感觉不够契合品牌调性。新品牌故事需要跟整体品牌契合，能够符合18-28岁这部分追逐潮流时尚的年轻人的胃口，同时也要体现品牌的态度。2.现有广告语太过普通，同时不具备传播性！广告语要求字数上要简练，需要表达出一种态度，能够让18-28岁这部分追逐潮流时尚的年轻人产生共鸣，同时广告语朗朗上口，传播性强，符合品牌调性！品牌故事和广告语应坚持原创，可适当参考原有品牌故事，但不宜照搬照抄；广告语我原来想用“生于街头”，感觉这几个字挺符合品牌调性的，但是又总觉得少点什么，各位也可以往这方面想想，当然不强求用这几个字，一切以符合品牌为先！,任务编号：640645,雨打芭蕉   文案·设计,无何有之乡
,,,,,,,,,,,,
【品牌起名】衬衫 文化衫 毕业季服装商标起名,https://task.epwk.com/641768/,3307人,150人,¥200,mf180****4815,￥ 200,￥ 200,2018.07.26,经营介绍： 主营衬衫，文化衫，学生毕业季拍照服装（英伦风校服，学士服，民国中山，古装等）。客户人群以大学生为主。产品主要类：1、男女白衬衫。2、空白文化衫，团体服装3、团体拍照服装， （英伦风校服，学士服，民国中山，古装）要求：1、名称响亮，易记，文雅，有创意。;(要注册商标)2、最好有中、英文两种名称，并可注册服装类类商标。3、附上创意说明。中标要求：保证原创以及能注册（需在商标网进行查询可注册并附截图再提交），请勿抄袭。,任务编号：641768,江苏园翔装饰设计,大山的呐喊
【品牌起名】宠物食品商标起名注册,https://task.epwk.com/640043/,2845人,137人,¥200,o5b541af33808c,￥ 200,￥ 200,2018.07.22,准备做天猫商城，出售宠物用品，想起一个高大上且有内涵的名字，要求名字可以注册商标。本来想的是西萌，但被人注册了。,任务编号：640043,千秋万名,花拾榴工作室
【品牌起名】日式家居百货产品商标起名,https://task.epwk.com/636893/,2967人,139人,¥200,大圣1122,￥ 200,￥ 200,2018.07.13,产品是家居百货的小产品，带有日式、北欧类型的名字，比如栗家，原设，无印良品，原素。我发的这些是参考，主要带有日式风和家居用品关联的。,任务编号：636893,迷怪zq,谢诗妍
【店铺/网店起名】首饰店名征集,https://task.epwk.com/636414/,2854人,95人,¥200,o59e6baeead3f5,￥ 200,￥ 200,2018.07.12,英文名，要求.com 域名可以注册,任务编号：636414,o5b28bd0d74c29,霸气小可爱
【品牌起名】户外品牌起名,https://task.epwk.com/627465/,2892人,130人,¥200,Mr151****4366,￥ 200,￥ 200,2018.06.19,户外品牌取名，参考北极狐 草原狐，后面要有 狐字 ，可以注册的 具体商标类别 21 25 18类,任务编号：627465,启明星辰,风铃文案/平面设计
【品牌起名】公司品牌名称征集,https://task.epwk.com/625363/,3878人,46人,¥720,宁波FURJA,￥ 720,￥ 720,2018.06.12,"一、公司是一家专注于研发、销售清洁电器的高新技术企业，公司主要基于线上以及线下销售渠道为主。自主研发卧式吸尘器、无线吸尘器、便携手持式吸尘器、扫地机器人，家庭服务机器人；市场定位：国内中高端家电品牌公司主推产品：扫地机器人，家庭服务机器人，家用吸尘器。理念：科技 智能 家庭服务 家务清洁现需要一个公司品牌名，要求是可以注册商标，可以注册公司。二、取名要求：1、名称为中文并有英文对应，能方便设计企业logo，名称字数2-3个字为好，文字笔画简洁；2、名称要有好的寓意，内涵；3、名称要响亮大气，简单易记，朗朗上口。注意：取名是不要模仿市场现有品牌，要有创新。三、公司注册地址：宁波市特别注意：所取名称可以注册商标、可以注册公司。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：625363,yandi0922,小木兔工作室
【品牌故事】产品品牌故事编写、修改,https://task.epwk.com/623972/,3572人,17人,¥600,o5413e0c7a9b12,￥ 600,￥ 600,2018.06.08,产品品牌故事编写、修改（有基础，见附件word文件），只能以word附件交稿,任务编号：623972,智通策划文案,文案小匠
【品牌起名】蜂蜜，土特产品牌商标用名征集,https://task.epwk.com/623790/,11631人,326人,¥800,mf134****1883,￥ 800,￥ 800,2018.06.08,"主要做网店，经营蜂蜜，土特产。要求：两个字最好。简单，易读，易记，上口，要有寓意，能突出品牌核心价值。品牌名称最好可以跟产品无关，希望有点文艺范，不想见到什么某某蜂蜜  甜蜜蜜 某某蜂 什么蜂蜜园 之类的名字。提交品牌名称时请附带释义。品牌名称需要注册，所以想到名字以后请先到中国商标网查询一下可否注册。所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",任务编号：623790,奚舟司澜,睿柏网络传媒有限公司
【品牌故事】（日本料理）品牌故事撰写,https://task.epwk.com/619784/,4060人,22人,¥200,o5b0d4f98ccc88,￥ 200,￥ 200,2018.05.29,店名：本鲔-海匠 要求：（日本料理）进行品牌故事创意，字数100字以内重点：1突出真正的金枪鱼制作专家及日本料理正宗2突出品牌”本鲔-海匠 ”的内涵品牌故事：形式不限可以多元化，但要有创意及好的文采,任务编号：619784,千军万马,灵尚创意工坊
【品牌故事】品牌故事诠释,https://task.epwk.com/619113/,3515人,24人,¥100,yangyanji1230,￥ 100,￥ 100,2018.05.28,聚时尚文化主题餐厅以聚字为中心点去书写品牌故事言简意赅即可大致的故事我会发布到这里聚时尚餐厅的故事得从 2008 年说起。那年冬天的大冰灾将整个湖南的交通都瘫痪了，学校提前放假后，在长沙就读的几位大学生任然有家无法归。其中一个本地的邀请其它几位好友一同到自己家里过年，家人热情的接待，其乐融融，仿佛就像一大家子人，三杯两盏淡酒过后，有人提议说以后每年不管什么情况都要好好聚聚，商议之后的结论是依年龄长幼每年轮流去一家拜年。无论以后在天南地北，都要聚在一起！09年到18年，已经轮了5圈。在18年初，聚在一起的时候，其中一北漂之人，说想回来发展创业，商议之后一起创立了聚时尚餐厅。以此来给亲朋好友和顾客提供一个好的聚会环境。打造一个有文化，有人情关怀的舒适惬意的聚集地！要求：根据以上内容修改，字数越少越好,任务编号：619113,点尘文案,慧心分忧
【公司起名】互联网装修公司的取名,https://task.epwk.com/618773/,3571人,110人,¥100,yuzuiweihe,￥ 100,￥ 100,2018.05.27,我们公司目前的主营内容是：装修行业，将优秀的设计师作品，和优秀的业主自行设计的装修案例，全方位拍图，并且把各类物料列明，含品类，颜色，型号，花纹，价格，购买渠道等。线上的标注链接，线下的标注商店地址和联系电话。让新的装修业主，看到图片，就能装成自己家。公司的理想：1、让每个业主能够轻松的把家装成图画中的样子。高端奢华，或干净舒适，或小资小调。2、公司会通过大数据，在当地优先各类物料的供应商，供新业主选择。3、公司会通过大数据，在当地优先优秀工人，供业主选择。总之，公司的理想是，通过我们公司的平台和服务，大家能够轻松得到理想中的家。,任务编号：618773,美其名曰,乾隆宝今
【公司起名】装修及购物网站，公众号，APP的取名,https://task.epwk.com/618649/,3531人,89人,¥100,yuzuiweihe,￥ 100,￥ 100,2018.05.26,"具体要求：我需要起名取名，公司名，公众号，APP，同一个名字。要求：我们想做一个中国版的Houzz,意思是，把一些好的设计师和天才业主做出来的漂亮的房子，拍图给大家看，且，把图中所有的物料的购买链接和购买地址都告知大家，线上购买的提供购买链接，线下购买的提供线下店家的地址和电话。这样，想要装修的业主看中某个图片，只需要请个平面设计师更换一下尺寸，其他物料照买，或者买相似款，就可以造出跟图片类似的效果。所见即所得。      想请问一下大家，这样的平台，取什么样的名字比较好。",任务编号：618649,DYyRr,五艺之星
【品牌起名】已有中文品牌起英文品牌名征集 （急）,https://task.epwk.com/618633/,2765人,72人,¥200,o58c3734c52031,￥ 200,￥ 200,2018.05.26,中文品牌：港巢行      业：智能平衡车、电动滑板车行业要     求：1、名字朗朗上口，大气、沉稳，最好有大品牌的气质和潜力。 2、读音和中文品牌“港巢”相近、或者英文的意思和中文品牌有联想性。3、可以注册第12类商标。,任务编号：618633,月雾,蓦然相欢
【品牌起名】构思一个品牌名,https://task.epwk.com/616517/,3852人,133人,¥300,o5b027132b6967,￥ 300,￥ 300,2018.05.21,本公司经营化妆品类现征集一个品牌名字全英文的 有好的想法或者设计的请投稿公司暂时需要的是1.品牌名称 可注册:全英文 有一定含义 例如 LA PURE 这个品牌的 pure 是纯净的意思我会悬赏3个 欢迎 参与互动 头奖我会注册 其他的就当集思广益了,任务编号：616517,o59f72942c21cb,Alice39
【品牌起名】公司起名和商标起名,https://task.epwk.com/615854/,4495人,119人,¥388,o5afcf76d18233,￥ 388,￥ 388,2018.05.19,医药、药业类的公司起名，广东什么什么药业、医药，注意的是冠名广东省的，比如广东白云山制药，广东纵生药业等；商标名称能与公司名称一致最好，如果不能一致可以单独起商标名。公司名称：大气、易读易记、寓意要好。可参考人福医药、正大天晴、葵花药业商标名称：易读易记、体现健康理念。注册类型为5类（药品保健品）、10类（医疗器械）、30类（非医营养类）。可参考“鱼跃”医疗器械商标、能全力商标等注意：公司起名请上中国工商局查询系统查询能否注册；商标起名请在中国工商商标查询系统查询能否注册。,任务编号：615854,星橙设计QQ1356183009,五艺之星
【品牌起名】潮流饮品店品牌取名,https://task.epwk.com/614404/,3816人,130人,¥200,mf138****0996,￥ 200,￥ 200,2018.05.16,需求类型：潮流饮品店品牌取名要求：1.需要中英文，中文两个字到三个字为宜，名字要能够注册商标            2.茶饮店风格潮流时尚，后期设计和营销会融入街头文化（涂鸦、纹身、RAP、街舞等），以符合当今年轻人的精神需求，所以取名需要符合本店的风格            3.名字不要太局限于**茶，比较没有新意，思路可以开阔一点，一个好的名字是可以通过后期设计包装来达到需要的效果的            4.名字要读起来顺口，方便记忆，识别度强            5.最后感谢各位的投稿，感谢！,任务编号：614404,雨莎莎莎,北京新科氏文化传媒有限公司
【品牌起名】一款维生素功能饮料品牌取名,https://task.epwk.com/613486/,5280人,183人,¥300,mf137****7775,￥ 300,￥ 300,2018.05.14,一款类似红牛的维生素能量饮料起名。要求：1、名字简单易记；2、该名字要有自身的特色；3、3个字以内；4、符合商标注册条件；要求可注册商标,任务编号：613486,赵庸阙设计工作室,千秋万名
【品牌起名】雪糕、冰激凌等冷饮商标名,https://task.epwk.com/611868/,3731人,134人,¥100,mf187****3186,￥ 100,￥ 100,2018.05.09,个性、简单易记，需要在国家商标局网站30大类确认过能注册再提交。,任务编号：611868,见证奇迹,mf185****4770
【品牌起名】一款传播情怀的青春小酒起名,https://task.epwk.com/611917/,4288人,169人,¥120,o5af302b25ed28,￥ 120,￥ 120,2018.05.09,"想做一款传播正能量，让人励志，拼搏的青春小酒，请大家为起名字最近几年已江小白小酒为代表，主打青春情怀小酒，通过征集一些走心的语录，传播刁丝文化，大受欢迎，红极一时。江小白的成功让本人看到了文化酒的力量，想做一款传播正能量，让人励志拼搏的青春小酒，有情怀的，通过一个名字，加上一些语录，让迷茫的小青年看到成功的方向，让遇到挫败的人能够看到希望，传递正能量，一定会赢的这么一个想法白酒产品，本人表达能力有限，让请大家为这个起好记，易懂，顺口，有无线遐想和能量的空间，便于传播,有意思的名字！希望最好是二三个字，并且是能够在33类白酒注册商标的！",任务编号：611917,小九设计工作室,点点起名优
【品牌起名】写字楼的餐饮品牌取名征集,https://task.epwk.com/609389/,4277人,150人,¥100,o5ae92da901c8f,￥ 100,￥ 100,2018.05.03,专用于写字楼餐饮品牌的名字。,任务编号：609389,知知工作室,o5925a7f32c5ed
【文学创作】征集反转短篇故事,https://task.epwk.com/605541/,7713人,45人,¥600,澜山文化传媒,￥ 600,￥ 600,2018.04.22,征集生活中的遇见的、听见的、好玩的、各种题材的原创“神反转短篇故事”无论你的脑洞有多大，情节多曲折，人物多传奇，结局多么不可思议只要故事能讲的圆，就是牛逼的故事要求：200---1000字，只要不是怪力乱神、封建迷信、妖魔鬼怪之说的故事、题材不限,任务编号：605541,浪花刀坊,梧桐曦晚
【品牌起名】品牌起名,https://task.epwk.com/604708/,2992人,115人,¥100,mengjun8167,￥ 100,￥ 100,2018.04.20,看病就医资讯中介行业品牌起名，显著性要强，易读易懂易记，能够体现出行业特质，突出权威性、领导意义的创新词组，要求对大众寓意深刻，字数要求2-4个字之间，可注册5和44和45类商标。不能直接用表示商品和行业质量、原料、功能、用途、重量、数量、及其他特点的大众词汇，个性化要强。参考 好大夫、春雨医生、寻医问药、优步、摩拜、百度,任务编号：604708,醉青空,Lavender2333
【公司起名】上海**税务师事务所有限公司起名,https://task.epwk.com/602010/,4238人,160人,¥500,o592a63a3449c4,￥ 500,￥ 500,2018.04.13,上海**税务师事务所有限公司  起名，2个字，可以通过工商注册，尽量体现经济特点。PS，通常的、普通的，常用的都是不能通过工商注册的。需要通过工商注册,任务编号：602010,奋斗奋斗在奋斗,wang921118
【品牌起名】想一款小酒商标名,https://task.epwk.com/601531/,3819人,137人,¥200,o5acebdeb93f15,￥ 200,￥ 200,2018.04.12,打算做一款类似江小白的小酒，定位跟四川的凉露（吃辣喝的酒）差不多，我们定位为火锅白酒，到重庆吃火锅的喝的酒，求一个能注册的商标,任务编号：601531,aweibb,半残秋月
【公司起名】河南某地市家政公司起名字,https://task.epwk.com/597728/,5068人,146人,¥450,o5ac1****22dfc,￥ 450,￥ 450,2018.04.02,城市：河南省安阳市。任务：起公司名称，业务主要是提供保姆服务。涉及到：为保姆培训。 然后以劳务派遣的形式提供给需要保姆的家庭。 主要服务高端客户。  名字最好能体现出公司高端大气上档次的的特点。同时简洁，好记，有内涵。这个名字最好也可以作为品牌，设计成logo可以注册，为下一步注册小程序做准备。,任务编号：597728,半残秋月,闹闹的淘
【品牌起名】求简单易懂又能突出核心价值的品牌名字,https://task.epwk.com/591967/,4620人,158人,"¥1,000",o5aab****33770,￥ 1000,￥ 1000,2018.03.17,我公司主要做东南亚天然野生蜂蜜，缅甸的为主，围绕“进口蜂蜜”“野生蜂蜜” “天然绿色”“有机无污染”“健康养生”起两个可以注册的品牌，有劳各位大神了。后续还有品牌包装设计。营销文案等等，，,任务编号：591967,hencongmingde,vivid悦968
【宝宝起名】男宝宝与女宝宝各取一个名字,https://task.epwk.com/592441/,3149人,59人,¥100,o5a3f516e70928,￥ 100,￥ 100,2018.03.19,男宝宝与女宝宝各取一个名字，，姓陈，预产期18.3.20父亲姓陈，属羊；母姓王，属马。1、名字总共3个字，要无歧义，无不良谐音。2、会看生辰八字，名字要符合传统命理五行、数理格局。请结合周易五行八卦的算法、生辰八字、五行旺衰喜忌进行综合分析，三才配置要好。3、交稿时最好附带详尽的名称寓意及出处，命理分析，解释名字并说明。4、谢绝电脑软件起名，多谢！,任务编号：592441,风铃文案/平面设计,小米的商铺
【公司起名】新加坡商务集团公司起名,https://task.epwk.com/591924/,5997人,128人,¥465,renfei660,￥ 465,￥ 465,2018.03.17,新加坡公司起名，业务涉及 商务，会计，留学，移民等板块，需要名称有比较好的拓展性。公司名需要结合中英文可以搭配，举例 翼新集团-ESIN GROUP名字最好能体现出新加坡的特点。同时简洁，好记，有内涵。这个名字最好也可以作为品牌，设计成logo可以注册。,任务编号：591924,仟仟™孤媒,尚锐品牌策划
【广告策划】销售部门口号和队名征集,https://task.epwk.com/591208/,3922人,73人,¥100,性感的小野兔,￥ 100,￥ 100,2018.03.15,我公司分三个战区 每个战区下面三个小组我们一战区总口号是冠军之队 舍我其谁 全力以赴 无能能敌 需要小组口号和名称 口号需要朗朗上口 顺嘴的 适合销售公司的口号,任务编号：591208,TSLSC,huhetuga
【宣传策划】短租民宿别墅取名征集,https://task.epwk.com/589981/,4342人,74人,¥100,o5aa668c62acdb,￥ 100,￥ 100,2018.03.12,目前在广东经营短租别墅，有5个楼盘在运营短租别墅，目前想重新打造一个民宿品牌和 公司网站平台 名称， 主要是 度假，休闲，聚会，疗养，为主的私家别墅求起一个有深意的名字（取名）,任务编号：589981,o5aa540808e9ad,青纱帐1988
,,,,,,,,,,,,
【品牌起名】品牌起名征集，见附件！,https://task.epwk.com/588431/,2948人,54人,¥300,o5413e0c7a9b12,￥ 300,￥ 300,2018.03.08,2个品牌起名，见附件！,任务编号：588431,美其名曰,o5a9e7c2b30789
【专业代笔】写文如何幸福地当XX,https://task.epwk.com/585401/,1003人,14人,¥180,a7040****3,￥ 180,￥ 180,2018.02.28,"开展“如何幸福地当老师”讨论，要求解放思想，打开思路，立足客观实际，遵守社会核心价值观，从有利于学校发展，有利于教师成长，有利于学生进步的方向，谈感悟，想办法，出举措（拒绝任何百度及各种搜索引擎出来的，一律不接受）字数1000,低于700的只做入围考虑",任务编号：585401,o5a8932d26b710,xdfswyyg
【品牌起名】水果零食超市起名,https://task.epwk.com/585167/,4556人,135人,¥150,mf157****6061,￥ 150,￥ 150,2018.02.27,介绍：1店铺定位于高端水果零食连锁超市2.主营国内外进口水果，进口零食3.靠近小区周边，服务于高档小区住户4.名称会作为品牌进行连锁开店要求:1.符合品牌定位，名字大气好记2.随名字附带一条简短广告语（要求:十字以内）3.名字要求不超过三个字，带英文名，百度，高德地图等搜索软件检索无同名4.名字好听，好记，符合店铺的定位 5.起名方式为XX水果.零食  或xxx水果.零食6.提供两个名字及广告语，是成熟店铺的名字，供参考案例：名称一：加一加     广告语：有家的地方就有加一加名称二：果果多,任务编号：585167,见证奇迹,o5a94dd80c11ed
【宣传策划】浴盐微信公众号软文撰写,https://task.epwk.com/584670/,719人,13人,¥300,赛维芦荟妞,￥ 300,￥ 300,2018.02.26,从自贡角度切入，介绍盐文化，带出赛维芦荟淋浴盐产品介绍。淋浴盐卖点如下：盐成分来自千年盐都——四川自贡的井盐蕴含芦荟精华、多种草本、矿物质等，洗澡保湿滋润沐浴露+浴盐二合一像沐浴露一样使用方便清洁身体，去角质，去异味泡沫丰富利用盐杀菌，不含防腐剂自贡井盐具体介绍图片，已在附件里，可以看附件认识自贡井盐淋浴盐更详细介绍在如下地址：https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-14433087865.140.72bb2243yTje6e&id=10126616243&rn=0abd615794d76d8e143bfb6c679d0dc0&abbucket=3&skuId=3683613679701从四川自贡切入，以赛维芦荟淋浴盐为中心，结合网络流心语言，要有针对性。要求原创(不能在网上搜了抄袭)，文笔或专业，或幽默，或结合时事，具备流行性皆可。字数大概800字 。能深扒最优产品特性、使用方法、产品功效或奇闻趣事等。标题吸引人，有点击欲望。请通过平台交稿，谢谢！,任务编号：584670,小累案牍,艺文创工作室
【宣传策划】化妆品舒缓系列公众号软文撰写,https://task.epwk.com/584633/,530人,12人,¥300,赛维芦荟妞,￥ 300,￥ 300,2018.02.26,春季到来，是皮肤过敏高发期。推荐赛维芦荟舒缓系列四件套：洁面乳、爽肤水、乳液、霜卖点如下：1、不添加色素、香精等，从根本上阻断过敏源。2、芦荟性质温和，温柔呵护肌肤。3、采用专利技术，保留了芦荟73多种活性成分，比如大量的天然蛋白质、维生素、矿物质等营养成分。持久保湿，舒缓滋养。4、在安全性方面，与成都（国家）中药安全性评价中心（GLP）合作，采用先进的单细胞凝胶电泳（彗星实验）技术等先进安全评价手段，严格筛选所选用的每一种成份，以保证其低致敏性。详情页图片，已在附件里，系列单品介绍、检验证书可以看附件以芦荟舒缓系列为中心，结合网络流心语言，要有针对性。要求原创(不能在网上搜了抄袭)，文笔或专业，或幽默，或结合时事，具备流行性皆可。字数大概800字 。能深扒最优产品特性、使用方法、产品功效或奇闻趣事等。请通过平台交稿，谢谢！,任务编号：584633,小累案牍,造 字 坊
【宣传策划】化妆品精华油公众号软文撰写,https://task.epwk.com/583382/,970人,12人,¥250,赛维芦荟妞,￥ 250,￥ 250,2018.02.22,我们芦荟面部精华油，蕴含6种植物油+2种植物精华，全新植物混合配方，全天滋养修护，质地轻盈，只留光感，不留油腻。改善肌肤干燥缺水，提亮肤色，恢复肌肤光泽，缓解幼纹及干纹的形成。护肤油可以和面膜、粉底液、保湿乳等等搭配使用，效果很好。更详细卖点都在详情页https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-14433087865.149.7cd022431Pdf2t&id=562433471063&rn=a376aec319eb04f9617a206a47439fd0&abbucket=3&skuId=3697554579124我们已有图片素材，已在附件里，希望达人能帮忙写文，以精华油为中心结合网络流心语言，要有针对性。要求原创(不能在网上搜了抄袭)，文笔或专业，或幽默，或结合时事，具备流行性皆可。字数大概600字 。能深扒最优产品特性、使用方法、产品功效或奇闻趣事等。请通过平台交稿，谢谢！,任务编号：583382,造 字 坊,艺文创工作室
【宝宝起名】彭姓女宝宝取名,https://task.epwk.com/582783/,7491人,210人,¥200,天天爱你123,￥ 200,￥ 200,2018.02.18,彭姓女宝宝，阳历2018年2月13日（农历腊月28）早上6点25分出生，名字偏向彭晓*，中间字也不局限“晓”，有更好的也可以，大名小名都起一下,任务编号：582783,传统起名大师智慧,见证奇迹
【公司起名】传媒公司名称征集,https://task.epwk.com/581636/,1463人,96人,¥300,chenshu616,￥ 300,￥ 300,2018.02.09,主要服务内容 企业形象策划 会展服务 文化传媒 视频制作 等综合性传媒公司，要求名字最好有一定文化底蕴。,任务编号：581636,qhk1314,心路小家的店铺
【广告策划】面包奶茶店广告语征集,https://task.epwk.com/576702/,6446人,83人,¥300,o5a414cd272422,￥ 300,￥ 300,2018.01.23,设计广告语，本店店面叫:纯萃 Bread 主营:软欧面包及奶茶，蛋糕，本店的软欧面包是主打健康无添加，奶茶是主打原茶现场萃取，加入鲜奶等无添加产品，蛋糕也是用进口高端原材料，响应健康主题，整个店产品是走健康无添加路线，希望征求广告语和健康理念的故事，放于店内展出，重要位置射灯照射，以及用于传单等地方，希望能切合主题，加深印象,任务编号：576702,MAKA****HANG,乐活创享
【公司起名】公司已有中文名，需要取英文名,https://task.epwk.com/573024/,6334人,76人,¥100,mf186****5765,￥ 100,￥ 100,2018.01.13,"中文名是“春诵夏弦教育”“春诵学堂”
做学生托管培训辅导方面的业务。

希望可以意译或者音译，尽量简洁好上口。

春诵夏弦是按时节使用合适的学习方法的含义。
我们的理念是因材施教，因地制宜，多元化的综合培养孩子。

取名请附上含义。",任务编号：573024,见证奇迹,o5a30d85a2cd23
【品牌起名】交易平台网站名起名,https://task.epwk.com/572626/,5528人,74人,¥100,mf183****1307,￥ 100,￥ 100,2018.01.11,交易平台网站名起名要求取一个虚拟币的交易平台的名字英文一个 中文一个  要求域名目前可以注册的名字最好：2-4左右,任务编号：572626,醉青空,小武的店铺
【公司起名】公司取名征集,https://task.epwk.com/571471/,4988人,99人,¥100,o5a53813a71a3f,￥ 100,￥ 100,2018.01.08,重庆，互联网，网络广告行业相关！,任务编号：571471,一日不见兮,你的益达来了
【其他】提升啤酒销量的金点子征集,https://task.epwk.com/568203/,4711人,23人,¥100,Bacchus,￥ 100,￥ 100,2017.12.28,我们是在商场内做进口啤酒销售的， 我们想有一个金点子来提升商场内产品的销量,任务编号：568203,灵犀文案,o5a2f503eb5dd9
