标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【公司起名】连锁商超起名,7590人,171人,¥100,圆满完成,o5951d0b43e589,连锁商超取名，要满足以下条件：1、体现商超的服务性，最好的、最贴心的服务；2、连锁性质，朗朗上口；3、食品安全，安全食品；4、采用众筹方式，扩大经营；5、突出物美价廉，商品好，价格优；6、寓意生意兴隆；7、最好是三个字的名字，尽量避开四个字；,2017.06.27,2017.07.24,任务编号：512816,￥ 100,,胶影时代小铺,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】急！！给新开发的一款手机APP办公软件取名,4287人,93人,¥100,圆满完成,amaier,"1.给新开发的一款手机APP办公软件取名，手机APP哈2.APP名称可以围绕""掌上“一点，”指尖“等字眼，但是像“掌上工作，“一点办公”，指尖里“就有点俗气”3.名字要新颖一点",2017.06.27,2017.07.15,任务编号：512798,￥ 100,,舒云阁文案,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】长汀县供销e家淘宝企业C店起名,7801人,113人,¥150,圆满完成,JackyChen117,具体要求：C店主营农特产品，生活物资，需要有电商特色的农产品销售网店店铺名；2-4个中文，或者英文也行，如：百农汇、农易购、农品汇、农家汇、农家乐、农一购、农e购...等希望是尽量不与其他网店重名，有全国供销e家营运性质，名字简单好记，独特最好，也能兼顾前缀名使用，为众创人员加盟网店提供统一名称。例：国美——国美·福建总店、国美·龙岩店...       淘宝企业C店网址：https://shop319077740.taobao.com,2017.06.26,2017.08.05,任务编号：512567,￥ 150,,仕雅传媒,企业,四品,45分,,,上门洗车APP  上门服务项目  车辆管理  路上救援  上门汽车保险  地图定位,10000,软件二次开发 农产品安全追溯 物联网系统定制 专业经验物联网 信息采集追溯处理 数据库 网站定制,价格面议,网站建设 自助建站 设计开发发布注册一站式服务 公司资质 服务保障,价格面议,企业微信公共平台托管 定期推送消息 平面设计排版软文组织 企业资质,价格面议,服务器维护 故障排除 在线维护 问题诊断 专业软件维护 公司资质 售后保障,价格面议,400电话彩铃录制 男生女生专业配音 录音棚音质 可修改 速度秒出 品质保证 欢迎企业个人长期合作,价格面议,400电话申请 靓号办理 无月租 诚招代理 品质保证 正规安全 公司资质专业售后,价格面议,手机APP开发 手机应用设计 android+ios定制开发 企业资质 售后保障,价格面议,,
【品牌起名】鲜炖燕窝品牌取名,9353人,153人,¥500,圆满完成,mf180****6677,"干燕窝销售，鲜炖即时燕窝销售取名要求：1、四个字(含)以内，通俗简约.2、好听，易记，朗朗上口，有想象力，3、都市时尚，符合70.80.90后年轻代主流客群。4、原创 5、因为做的是燕窝产品，不仅要时尚阳光还要高大上投稿人投稿时隐藏一下稿件，谢谢1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.06.26,2017.07.13,任务编号：512506,￥ 500,,星橙设计QQ1356183009,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】胶合板、建材产品的起名,5025人,67人,¥200,圆满完成,mf138****7345,胶合板、建材产品品牌的起名。要求英文名，中文名组合，最好的英方表示喻意，中方译音易记可注册。注册19类,2017.06.26,2017.07.17,任务编号：512437,￥ 200,,神域的角落的商铺,个人,七品,37分,,,,,,,,,,,,,,,,,,,,
【公司起名】主营原生态产品公司起名,4370人,95人,¥200,圆满完成,o594f36fb4949a,主营原生态野生蜂蜜  其他农副产品 雪莲花  杨梅酒等。名称2-4个字，要能注册商标。,2017.06.25,2017.08.10,任务编号：512306,￥ 200,,壹品原创,个人,七品,38分,,,,,,,,,,,,,,,,,,,,
【品牌起名】网络订餐平台名称征集,6696人,135人,¥200,圆满完成,vitorru,公司计划做一个通过网络订餐（主要是供应满足社区居民需求，保证饭菜食品安全卫生健康方便快捷 用餐取餐不出本社区范围内）的餐饮企业 饭菜制作烹饪主要以五谷杂粮时令蔬菜 ，放心的肉鱼鸡和天然的调料调味品为食材的主要原料公司建立饭菜质量自检自查专职监督组织保证食品安全                             要求:1可以注册餐饮类43和35类商标                  2要突出绿色有机纯天然健康,2017.06.23,2017.08.07,任务编号：511973,￥ 200,,高阁雅依创意工作室,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他】活动联APP的标语slogon，只要一句话,7606人,129人,¥300,圆满完成,tyanzhiqi,"产品介绍：活动联是一款提供线下活动搜索与订阅的应用, 通过它你可以方便的找到你感兴趣的线下活动,轻松添加日程。这些线下活动可以是：会议、聚会、展会、展览、赛事等等官网：http://www.huodonglian.comAPP：各大应用市场搜索 活动联现在需要产品的一句话标语格式不限，可以是“活动联，xxxxxx” 或者其他，后面半句限制10字以内，尽量短。要准确概括产品功能，简单易记、易读。风格参考：土豆：每个人都是生活的导演百度：百度一下，你就知道....谢谢大家。发挥你的想象力吧！",2017.06.23,2017.07.08,任务编号：511905,￥ 300,,然创意工作室,工作室,九品,36分,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】披萨小吃店起名,7519人,149人,¥100,圆满完成,o5947d7a9629a3,餐厅以披萨和芝士烘焙小吃美团外卖为主  1.要求名字符合年轻大众的审美，有创意又不失大方，文雅，简明易记便于传播，有寓意注解为佳，可带点洋味英文，英文音译也可，但不要为了迎合英文而过于牵强附会，如果有很好的创意，可以忽略英文  2.最好能工商注册,2017.06.23,2017.09.05,任务编号：511871,￥ 100,,o594b48f9b8932,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】科技公司起名（可以商标注册）,15754人,139人,¥361,圆满完成,益墨,"科技公司名称征集，公司位于北京。                            经营介绍： 公司主要致力于中小企业网络营销服务，包括：营销型网站建设、APP制作、微信开发、SEO优化、竞价账户托管、信息流广告托管、品牌建设、视觉设计、托管运营等                    要求：名称的最后1个字必须是仄声（4声）；名称2个字最好，3个字也可以（名称拼音的字母数量最好是6个字母），最多4个字；名称的拼音所有字母控制在5-12个（比如：优诺（younuo）6个字母）且最好能注册.com的域名（通过https://wanwang.aliyun.com/查询）；公司名字要朗朗上口且有意义、易记忆、易识别、易联想；公司名称要有好的寓意，请附上名称创意说明；最最重要的一点，是先确认35和42类商标可以注册无重复相近似商标，否则无论投稿创意多么优秀，一律弃选。 查询方法：中国商标网（http://sbj.saic.gov.cn/sbcx/）的近似查询。衷心感谢每一位用心参与的设计师，非常感谢大家。                    知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.06.22,2019.01.14,任务编号：511854,￥ 361,,广州搏锋,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】服装公司个性文化衫定制品牌取名,5242人,66人,¥100,圆满完成,mf158****8166,服装公司个性文化衫定制品牌取名 25类能注册一、描述 品牌商标名，名称不超过4个字 有英文要说明中英文所包含的含义。 二、要求 1、中文和英文名 名字要简明易记、有吸引力和潮流感。取名一定要突出个性化定制的服装服饰类行业（T恤，polo，卫衣）特征或者是定制类行业特征。2、最最重要的一点，是先确认25类商标可以注册无重复相近似商标。 查询方法：中国商标网 无论投稿创意多么优秀，一律弃选。 3、请附创意简要说明。  提供一些品牌名称供大家参考：  t社-teeshe优t-uinp tee      yourtee    衫客          小匠     造梦狮     青年绘  三、衷心的感谢每一位用心参与的设计师，非常感谢大家。,2017.06.22,2018.03.26,任务编号：511154,￥ 100,,小二上酒的店铺,个人,九品,37分,,,,,,,,,,,,,,,,,,,,
【公司起名】新公司名称征集,1656人,92人,¥250,圆满完成,一品通无忧,基本简介：拟成立一家公司，主要经营业务包括：桑葚，桑葚酒，茶叶酒，饮料，鲜果，果酒等。 取名要求：1、公司名称高端大气、简洁易记、朗朗上口，考虑以后公司业务拓展性；2、要求公司名称有好的寓意，请附上名称创意说明；3、名称字数2-4个字，有更好创意可不限制。要可以进行公司注册和商标注册。商标查询：http://sbcx.saic.gov.cn:9080/tmois/wsjscx_getJscx.xhtml 知识产权说明：1、提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由提交者承担所有法律责任；2、中标作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；中标者不得再向其他任何地方使用该作品。,2017.06.22,2019.01.18,任务编号：511681,￥ 250,,书中自有颜如玉,,,,,,,,,,,,,,,,,,,,,,,
【专业代笔】写一篇小学语文说课稿,2689人,1人,¥150,圆满完成,lqcat1984,"写一篇小学语文说课稿，限时15分钟内，最好在十二三分钟内，有配套的ppt,板书，年级不限，哪一课不限，突出学生已有学情和本课重难点，具体可以qq详谈",2017.06.22,2017.07.11,任务编号：511659,￥ 150,,崔老师,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】梁姓女宝宝名字征集,9364人,186人,¥100,圆满完成,llt01,女  2017年6月16晚上生,2017.06.21,2017.08.20,任务编号：511558,￥ 100,,蜀山文化传媒,工作室,七品,40分,,,logo设计 保证原创 保证注册满意 无限制修改,"￥155
            /次",起名取名提供查询注册 保证原创 保证满意 不限量 低价促销,"￥100
            /次",,,,,,,,,,,,,,
【公司起名】物业管理公司命名,6206人,125人,¥300,圆满完成,mf180****2788,命名的要求：（2-3字数为宜）物业管理公司市场范围：立足江苏，面向全国。致力成为行业中的品牌企业。1.公司名字易记忆、易识别、易联想。（简单、明了）2.有意义（具有行业的特征）3体现人与人服务产生感情的共鸣4提供作品的数量2-3个/ 人，超出视为无效。5.需要通过注册,2017.06.21,2017.07.07,任务编号：511542,￥ 300,,逐金使者,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】为B2B网站征集广告语,4960人,184人,¥300,圆满完成,o587d94216ba00,网站名称： 万化宝网站类型：化工类的B2B站要求：简单、大气、朗朗上口且易记例子：多.快.好.省——京东            怕上火喝王老吉      小身材，大味道。（Kisses巧克力）    飞利浦：让我们做得更好！    立邦漆：处处放光彩！    金利来----男人的世界,2017.06.20,2017.07.22,任务编号：511243,￥ 300,,月雾,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】（茶叶销售企业）需要一个有文化底蕴的品牌商标名称,13975人,195人,¥500,圆满完成,看天下2005,1、公司重点经营福鼎白茶的批发及零售业务，附带其他品种名茶。2、品牌名称必须原创，须可以在工商进行商标注册，保证中标后我方能拥有完整的知识产权。3、名称要有内涵有创意，新颖别致，不拘泥于形式。能结合传统茶文化，贴近福鼎白茶的产品特色，有文化底蕴。,2017.06.20,2017.07.16,任务编号：511218,￥ 500,,林さんの百事屋,个人,九品,35分,,,,,,,,,,,,,,,,,,,,
【公司起名】教育培训机构集团取名（可以商标注册）,4719人,82人,¥200,圆满完成,o5948db051edf7,教育培训集团取名（可以商标注册），目前主要以文化课为主，集团下小学部、中学部区分开来，另会开展家庭教育讲座等，教育理念：让每一个人都能收获精彩丰盛的人生！,2017.06.20,2017.07.22,任务编号：511188,￥ 200,,懒人视觉品牌设计,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】教育培训机构小学部取名（可以商标注册）,4742人,74人,¥100,圆满完成,o5948db051edf7,我们是一家教育培训机构，主要以文化课（趣味数学、英语、作文、阅读）为主，艺术课（写字、魔方、软陶）为辅，群体以小学为主的，希望能够全方位的培养孩子，带给孩子一个不一样的同年，希望能取一个琅琅上口，符合小学生主题的名字，充满童趣，符合我们的中心思想（可以商标注册）,2017.06.20,2017.07.22,任务编号：511175,￥ 100,,蜀山文化传媒,工作室,七品,40分,,,logo设计 保证原创 保证注册满意 无限制修改,"￥155
            /次",起名取名提供查询注册 保证原创 保证满意 不限量 低价促销,"￥100
            /次",,,,,,,,,,,,,,
【公司起名】广告传媒公司起名,6471人,144人,¥100,圆满完成,o5948ce3b6828e,要求两个字，大气、年轻有创意，符合设计类、广告传媒类。福建地区无重复。,2017.06.20,2017.07.12,任务编号：511118,￥ 100,,醉青空,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】休闲会所起名,5430人,111人,¥200,圆满完成,mf188****1342,"休闲会所起名                                                                                                      经营范围：调酒，进口啤酒洋酒红酒，咖啡，饮品，茶品，特色小吃，花式咖啡，休闲会所，要能通过商标注册，                                                                    要求：名字得洋气一点，最好字母英文的也可以1.名称响亮，易记，朗朗上口.附上创意说明    知识产权说明：  1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品; 备注：所采取的作品需要注册商标的，必须得是原创",2017.06.15,2018.01.22,任务编号：509984,￥ 200,,xdfswyyg,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】某品牌核桃油命名,14658人,143人,"¥1,000",圆满完成,勤蚁设计,一、 设计内容：某品牌核桃油中英文命名二、产品介绍：精选贵州山核桃，采用超临界萃取工艺，高端食用核桃油。以时尚、健康食材、原始味道、大自然食品为创意元素，主要客户以现代热爱生活的都市小资、孕产妇及婴幼儿为服务对象。 三、 命名要求：1、名称要求：朗朗上口，容易让人印象深刻，2、命名要素：健康，高贵，奢华，3、字数要求：2-4个字以内，命名必须为原创，回避市场上雷同的名称，4、所提供的品牌名字必须能在商标局注册，才能为合格方案。,2017.06.19,2017.10.26,任务编号：510842,￥ 1000,,广州搏锋,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】小家电公司取名,4253人,66人,¥100,圆满完成,大漠孤烟2017,准备注册一家以玻璃器皿，陶瓷不锈钢小家电等为主的家居用品公司，现征集公司名称，最好有中英文注解，有寓意。可注册商标。,2017.06.19,2017.07.08,任务编号：510793,￥ 100,,仟仟™孤媒,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】小型餐饮店店名征集,4615人,94人,¥300,圆满完成,o594728d2600ce,"我想征店名，小型餐饮店，做的产品是：美鱼美蛙，以及一些小海鲜！要求：1、3~5个字  中文2、突出餐饮美鱼美蛙元素3、能体现特色4、附上创意说明知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.06.19,2017.07.27,任务编号：510678,￥ 300,,无双51——品牌服务直通车,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】餐饮公司起名,6507人,122人,¥200,圆满完成,o591ac145e4e2b,于当地洽谈Costa品牌（一个咖啡品牌）品牌代理，现征集公司名称。要求：1、名字大气，品牌的知名度还是不错的，要和品牌相衬            2、符合这个行业            3、不要英文，要可以在工商局注册公司            4、请附上创意说明，谢谢,2017.06.18,2017.07.28,任务编号：510624,￥ 200,,简正品牌设计,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】鹅卤制品店铺名字征集,8540人,115人,¥300,圆满完成,o5945e0a494cda,2016-11-04简介：本店主要以卤鹅产品为主，附带其他鹅系列产品。店铺主要开在人流集中的繁华地段，连锁运作模式。有点类似：绝味鸭脖、久久鸭的形式。但，我们不似他们小店铺形式，而是100平米以上和十几平米的小店铺皆可运作。也不限于在窗口购买，亦可进店购买类似他们的产品，也有包装好的产品或进店稍等片刻购买加工好的熟食品。要求：PS：卤鹅为我们主打系列，所以要围绕鹅来取名1、每个投稿的朋友取两种类型的名字。第一种：时尚、现代型的。第二种：复古形式的。2、字数要求3-4字。3、通俗易懂、朗朗上口、能让人容易记住4、全国连锁店形式。严禁方言，易于全国推广的名字5、不得抄袭，可注册商标,2017.06.18,2017.09.04,任务编号：510521,￥ 300,,懒人视觉品牌设计,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】公众号取名,6571人,140人,¥150,圆满完成,九洋阿贵,取一公众号名称，公众号定为服务号，是江西省高安市本地的一个公众号( 江西宜春市的一个县级市），想取的更好可以百度一下江西高安。这个公众号名称里面必须包含——高安可以是三个字或者四个字公众号是高安市的地方性公众号，包括地方性服务的全部内容。,2017.06.17,2017.07.14,任务编号：510483,￥ 150,,mf13238897907,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】XX钢铁管家（武汉）有限公司取名征集,4630人,91人,¥100,圆满完成,o5943ca65132a4,准备开一家钢铁金属材料销售公司，公司盈利主要来源于服务增值，并不是去赚客户差价，而是给客户去降低成本，  现已经想好公司名称，因为钢铁管家不适合注册字号，现向各位大仙求救，XX钢铁管家（武汉）有限公司   X钢供应链（武汉）有限公司    字号两个字或四个字皆可，主要突出互利互惠、为客户省心，为客户节约成本,2017.06.16,2017.06.30,任务编号：510304,￥ 100,,高阁雅依创意工作室,,,,,,,,,,,,,,,,,,,,,,,
【专业代笔】帮忙修改并完善一篇小学职称报告,3045人,15人,¥100,圆满完成,o5943****15cf3,是小学需要的评定职称的报告有原文，只是需要大大们在原基础上添砖加瓦并修改，有参考材料！也可以添加材料让论文更具有说服力，谢谢大大们！时间比较紧， 金额比较少，但是大大们应该很简单就能做好咯````拜托了,2017.06.16,2017.07.08,任务编号：510200,￥ 100,,崔老师,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】注意力训练线下教育机构品牌名,5984人,78人,¥100,圆满完成,aaronwu,1、公司从事注意力训练，针对人群为注意力不集中、有学习障碍、多动障碍、感统失调的学龄儿童。2、品牌名称需与注意力、专注力、全脑开发、思维或思想创新等有密切联系，具有正面意义。3、最好是可以形象化的名称，让人第一印象就能记住，比如卡通人物或者动物形象，也方便后面打造相关IP。4、起的名字必须是原创、独一无二，能够注册商标。,2017.06.15,2017.07.08,任务编号：509991,￥ 100,,千秋万名,,,,,,,,,,,,,,,,,,,,,,,
【专业代笔】“两学一做”、“感恩、公德、小康”三项教育演讲比赛,2985人,4人,¥100,圆满完成,疯狂的鸡蛋炒饭,写一篇演讲稿，要求主题鲜明深刻，格调积极进取，将疾控中心工作实际和“两学一做”、“感恩、公德、小康”三项教育内容紧密结合，围绕疾控中心工作任务和基层党建示范点创建，以“感恩教育树新风，创先争优开新局”、“感恩奉献重细节，自主管理促发展”、“公德在我身边”、“做好脱贫攻坚助推小康”、“感恩、公德、小康，创先争优”、“创先争优、亮岗定责”、“带头学习提高，促进自身专业成长”、“ 带头争创佳绩，永葆党员先进本色”、“带头服务群众，提高服务质量和水平”、“带头遵纪守法，坚决抵制歪风邪气”、“ 带头弘扬正气，争当医德医风表率”等方面为主线，富有时代感和教育意义。不能脱离主题，内容积极健康向上。字数在1500字左右,2017.06.15,2017.07.01,任务编号：509961,￥ 100,,文秘乐园,,,,,,,,,,,,,,,,,,,,,,,
【宣传策划】休闲食品公司品牌故事征集,5752人,18人,¥250,圆满完成,o5937****34619,"品牌名称：潘大爷品牌名称解释：英文PANDA的中文谐音特点：四川特色美食，以兔肉制品为核心LOGO形象：大熊猫+农夫的卡通形象产品：四川特色麻辣零食，冷吃兔，冷吃麻辣牛肉，鸡翅j尖，手撕兔，兔头，兔腿，豆腐干，麻辣肉酱下饭菜，四川老腊肉，香肠，腊排骨以及大山里的生态食品宣传口号：下单现炒，真空包装，不加防腐剂，快递发全国主要客户群体：小孩，大学生，年轻女孩，白领，外地的四川老乡，对生态有机食品有需求的高收入群体要求：品牌故事中 要突出老字号的概念，突出农家味道的概念，突出绿色食品，无添加，纯天然！潘家老字号，传统手工制作，新鲜食材，传承上千年的美食文字要求：字数不要求，故事完整，有逻辑，有历史感！        品牌故事+宣传口号            软文要求：                                            1、软文将用于发布在各种行业论坛及博客，标题和内容绝对不能有广告味，要能引起点击和共鸣，能吸引网友参与讨论或点击浏览                                        2、文章要有吸引力，有趣味性， 要站在用户的角度来描写，帖子内容与标题给人感觉以个人感受、经验分享或消费经历为表现形式,以宣传推广我司业务。                                        3、要求原创(不能在网上搜了抄袭)，文笔或专业，或幽默，或结合时事，具备新闻性皆可。不要做的太像推广。                                        4、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.06.15,2017.07.28,任务编号：509953,￥ 250,,天道酬勤919,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】ERASTE品牌中文名称,6638人,115人,¥500,圆满完成,o5938e2ae476a0,"致力于ERASTE品牌系列化妆品的研发、生产和推广，为众多爱美女士提供源源不断的美丽因子。拥有艾莱思黛独立的化妆品生产工厂，并拥有自有化妆品品牌“艾莱思黛”。提供最优质安全的美肤产品。ERASTE,英文来自古希腊语中的恋人一词。皮肤管理中心专门处理肌肤衰老、肤色暗黄、长期干燥受色素性疾病等肌肤问题，结合顾客自身情况制定一对一诊疗计划，让肤质彻底改善。音译，词译不限。要求简单易记朗朗上口。",2017.06.14,2017.07.16,任务编号：509677,￥ 500,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】公司系统品牌取名,5636人,92人,¥100,圆满完成,o5940db73ba9b3,消防信息化公司 需求品牌名称公司业务为消防信息化，主要做消防远程联网，消防信息化维保业务及其他智慧消防相关业务。目前市场上竞品有思迪，成安，城安，立安，安必信等。。。 字数：2~3个字竞品网站http://www.sdtec.cn 可参考。公司有正式名称，觉得不适合直接用于产品系统  故需要2-3字 产品名 用于以下  “XXX消防远程信息服务系统”希望每位投稿人能多个起步投稿，不强求。后续需要注册商标。商标查询链接： http://sbcx.saic.gov.cnvWD§67çFÖ1、所提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由提交者承担所有法律责任；2、中标作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；中标者不得再向其他任何地方使用该作品。,2017.06.14,2019.01.03,任务编号：509626,￥ 100,,明尼苏达猪工作室,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】小吃店店名征集,6911人,132人,¥100,圆满完成,mf136****2689,给小吃店改个名字，之前店里以凉皮、凉面为主叫《小凉皇》，如今以米线、酸辣粉、热干面、小面为主，虽仍有凉皮、凉面，但《小凉皇》名字有些不妥，想以米线为主起个字，在米线前面加2～3个字，两个字更好，要时尚、好记、朗朗上口，无不良谐音，能与年轻人产生共鸣，能与我现有的Logo有很好的结合，要能够注册。,2017.06.14,2017.07.15,任务编号：509434,￥ 100,,沙三郎品牌策划机构的店铺,个人,七品,37分,,,,,,,,,,,,,,,,,,,,
【品牌起名】海鲜、菌类等干货产品取名,6042人,86人,¥100,圆满完成,o593ffafeed371,"产品取名网上卖干货 干货品种多 包括海鲜干货（虾干 鱿鱼干 鱼干等）和菌类干货（香菇 木耳 猴头菇等）其他（黑米 小米 红枣 杏仁等）一系列干货需求： 起一个大气 、创意 、明了的名字， 前提可以注册的名字 ，能提现产品特性的名称。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标威客提供源文件，中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.06.14,2017.07.08,任务编号：509421,￥ 100,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】征集一个互联网平台公司的名称,2683人,114人,¥400,圆满完成,一品无忧,征集一个互联网平台公司的名称，要求名称可以注册商标（请到商标网站查询），优先考虑可注册商标的名称。一、平台涉及范围：目前主要是餐饮入驻，公司产品以平台形式开展，类似饿了么的一个B2C平台，有自己的app，后续可能会涉及酒店娱乐等，风格追求简洁大方有档次。消费人群不限定。二、取名要求1、公司名称响亮、简洁、易记，符合平台行业定位；2、公司名称要注册商标；3、格式：XXX网（字数2-4个字为宜，有好创意可放宽，最后一个字也可以不用“网”字）。 4、注：名字要与行业具有关联度的名称，吸引眼球，让人联想到吃的，但不能像一个餐饮门店的名字，要大气一点。5、请附上名称的创意说明。每位投稿人5个起名起步投稿。商标查询链接： http://sbcx.saic.gov.cn:9080/tmois/wsjscx_getJscx.xhtml1、所提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由提交者承担所有法律责任；2、中标作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；中标者不得再向其他任何地方使用该作品。,2017.06.13,2017.07.07,任务编号：509334,￥ 400,,smilefish工作室,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】健康餐饮品牌名称征集,4292人,61人,¥120,圆满完成,o59358ca4ccabd,"要求1.我公司主营低脂、低热量的健身套餐，低糖糕点，生鲜果蔬饮品、营养健康咨询，健康食品研发销售。2.要求品牌有时尚感，朗朗上口，关联行业，通俗易懂，突出健康餐饮理念特色，可以是英文缩写，但必须能注册3.、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2017.06.13,2017.06.24,任务编号：509323,￥ 120,,天脉智联,个人,九品,36分,,,,,,,,,,,,,,,,,,,,
【品牌起名】陕西西安新开一家正规专业宠物医院起名,5130人,111人,¥100,圆满完成,南京大洋子,陕西西安新开一家正规专业宠物医院起名    要求：起的名字 简单 大气 容易记忆 最好有区域标识等,2017.06.13,2018.06.18,任务编号：509314,￥ 100,,明尼苏达猪工作室,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】品牌伟松宣传文案征集,4542人,46人,¥250,圆满完成,k0892****59,名称：伟松公司主要生产不锈钢快餐盘，调味盒，酒店用品厨具类，求设计文案。20个字以内，可针对名称或产品特性进行延伸，让人一看就知道是什么产品，并且能提现产品的特性。,2017.06.13,2017.07.05,任务编号：509294,￥ 250,,虎三,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】冷饮店的英文logo名称,4957人,49人,¥100,圆满完成,mf185****8412,冷饮店的英文logo名称3个要求：国际化大气，不要太女性化，需要有英文名称的简要创意描述。,2017.06.13,2017.07.14,任务编号：509283,￥ 100,,一凡创设,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】征集一个“汽车美容服务”的品牌名字,5043人,75人,¥300,圆满完成,策联社团,任务需求：征集一个“汽车美容服务”的品牌名字，可以做男士内衣的品牌名字，可以做男士内衣的品牌名字、商标，,2017.06.13,2017.09.04,任务编号：509244,￥ 300,,美其名曰,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】小学托管中心宣传广告语,17023人,234人,"¥1,000",圆满完成,mf152****6357,中文名字：紫阳少儿教育托管中心英文名字：Violet Zora Educationtrusteeship Center 新开小学托管中心，现需征集一句精彩的广告语要求：不要老旧的土气感觉，要有创新，精简而明了。最好能体现，我们做托管的几个核心：安全、责任感、教育，不一定要带有这几个字眼，但是最好能让家长感受到这个感觉。,2017.06.12,2017.08.08,任务编号：509121,￥ 1000,,o5907ea57094f6,,,,,,,,,,,,,,,,,,,,,,,
