标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10
【生日祝福】送给朋友“31个省份”的生日短信祝福,https://task.epwk.com/375655/,8297人,26人,¥501,孤狼0924,￥ 501,￥60,2015.08.26,本人只需要31条生日短信祝福送给朋友，汇总全国31个省份，每个省份只选一条（每个省份投稿的第一位视为合格稿件，第二位同省份的稿件视为淘汰，请谅解），短信开头须表明您是来自哪个省份的谁。1.可称呼对方为：“give me five”或“苦力瑶”或“瑶哥”（朋友为女性），短信内容自由发挥，突出关心/暧昧/惊喜等等都可以。2.朋友“个子高、双眼皮、爱书法、很漂亮”，所以短信中可出现“喜欢你的双眼皮”等等一系列的词，针对其自身情况编写，不限制。3.短信发送时间为：2015年8月29日，时间早上8点到晚上22点送祝福。时间很重要，一定要在那天，不能晚呀，谢谢朋友们了。4.若有回复，请不回复短信！5.同一个威客ID帐号仅限参与一次。6.截稿时间为2015年8月29日号凌晨两点。7.审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！8.投稿中请留下你们的联系方式（QQ号码或手机号均可）以及妳所在的省份，这里会与你们联系，并告知发送号码，发送完成后，请提交截图审核。一个号码一个身份只限发一次哦！一条3元！一个身份只要一稿。,任务编号：375655,"工作室 |            
            POSTAL网络科技","个人 |            
            殚见一冾闻",枭狼,最初的梦,"工作室 |            
            藏头诗公社","工作室 |            
            飞我莫属",拍云的风,雅末威客,坏秋秋,mf157****8896
【其他】征集笑容吸引力段子,https://task.epwk.com/371339/,12852人,55人,¥500,阿佑999,￥ 500,￥185,2015.08.07,招募100个段子各位可能都在网上看过这个拍照的应用，如附件1 2 3！拍自己的照片，晒颜值，到系统出现答案。每一个都是有独立的段子。我们目前是做【笑容吸引力】，改为拍照后出现上下二个段子。也就是用户拍照片后，上面以笑容句子/段子为主。下半部出现一个梦想。【时间+实物o r 状态】如【三年内买一间大别墅/2个月养一只金毛犬/1年内找到如意配偶结婚/6个月成功减重，成为大美女/帅哥】参考附件4可以先以我列举出来的改编#段子上下半部都要#二个为一组！【附件5】我们内部的梦想，可以先以这个带入创作！也可以自由发挥，建议创作尽量都不要一样审核标准：段子有趣，创意！内容差不多，我们就会通过得标。得标后端我们可能再做修改！,任务编号：371339,孟不离姜,"个人 |            
            土鸭鸭的六一节的店铺",lcy123,lcy123,"个人 |            
            六毫米的猫",暴食狂万蛇K,mf159****7376,zyxia,zyxia,mf159****6995
【商业提案】征集任务电梯电子样本，每稿20元,https://task.epwk.com/367694/,7153人,13人,"¥1,800",wukaidk,￥ 1800,￥740,2015.07.21,奥的斯电梯、迅达电梯、蒂森电梯、西奥电梯、东芝电梯、富士达电梯、西尼电梯巨人通力电梯、康力电梯、永大电梯、东南电梯、江南嘉捷电梯、沈阳博林特电梯、上海现代电梯、三洋电梯的电子样本电子样本的出版时间需要是在2012年12月29以后。请以PDF或者压缩包的形式发到wukaidk@163.com邮箱，并截图作为发件证明。,任务编号：367694,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng,hconfeng
【商业提案】【长期】征集电梯行业投标文件,https://task.epwk.com/361835/,5285人,6人,"¥2,000",wukaidk,￥ 2000,,2015.06.24,大家好，本人正在编辑制作2015至2017年电梯行业的发展研究报告以及市场前景研究报告，需要征集2015年1月1日至今电梯行业设备采购的投标文件，投标文件需含有设备的基本参数，价格，品牌等。征集范围是以品牌为标准。合资品牌，日立、通力、三菱、奥的斯、迅达、蒂森、西奥、东芝、富士达、西尼国产品牌，巨人通力、康力、永大、东南、江南嘉捷以上品牌的投标文件都可以，国内标（不接受国际标），时间是2015年1月至今，我们将以文件来源的创建时间为准！若有修改，视为无效！交稿证明以发件箱截图为准！接收邮箱：wukaidk@163.com,任务编号：361835,,,,,,,,,,
【生日祝福】给老婆的生日礼物，带照片的生日祝福,https://task.epwk.com/358499/,11293人,26人,¥500,热带王企鹅,￥ 500,￥125,2015.06.08,您自己或家人朋友在自己城市的标志性建筑物旁，手持祝福卡片，其上写:美兰（兰儿、兰妮），我在xx给你送上最诚挚的祝福，祝xxxxx、xxxx，时间为六月二十四日，表情要丰富，自然，有创意。截止日期为本月二十日,任务编号：358499,"工作室 |            
            最美的遇见",爱吃蜜桔的小C,lcy123,qinhaihua,sushechihuntun,,,,,
【软文发布】欲春楼SEO原创文章征集,https://task.epwk.com/355699/,2955人,1人,¥500,mf186****7727,￥ 500,￥10,2015.05.26,征集SEO原创文章  要求如下：  1、要求原创作品(80%以上原创)，字数不少于900字(低于900字直接不合格，不包含标点符号)。禁止拷贝、抄袭、伪原创，符合我们要求的，都可以通过。原创文章内容以百度、谷歌搜索为准！2、文章要根据产品的功能 使用人群  行业编写，不是这方面不给通过。关键词在正文中要完整出现至少两次。（男女性产品为主）3、文章内容要有吸引力，具有可读性强、文字通畅、段落清晰、关键词锚文字的嵌入必须要自然。（文章主是给搜索引擎抓取，不主要是给人看）4、中标的作品，我方支付费用完成交易后，即拥有该产品的独立完整知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改、组合与应用；设计者不得将该作品再发布到其他任何媒体上，或为第三人提供该作品创意方案，否则构成侵权。征集结果公布后，未采用的作品即可自行处理。参与群可参与细节讨论，QQ群118652050公司网址http://test.yuchunlou.com   www.yuchunlou.com,任务编号：355699,"工作室 |            
            助力文案",,,,,,,,,
【软文发布】软文发布，十元一条,https://task.epwk.com/353587/,5276人,2人,¥500,wuling521,￥ 500,￥30,2015.05.17,做微营销课程的微信号推广，软文推广的方式发帖在百度帖吧、百度知道、妈妈帮、新浪微博、豆辨、宝宝树、新浪论坛、天涯论坛等网站热门论坛上，必须原创，每篇不少于400字，保证三天不被删除，发帖子的链接给我审核，软文内容需跟我的微营销课程有联系的内容里包含微信号，让人有想要联系微信号的欲望，QQ联系389212599给微信号和相关资料,任务编号：353587,赚德行,赚德行,赚德行,,,,,,,
【百科/问答撰写】简单评价任务，每稿10元，仅限上海地区。,https://task.epwk.com/348358/,1938人,7人,¥500,leocraft,￥ 500,￥62.5,2015.04.24,具体看附件仅限上海-大众点评网手机客户端五星好评10元一条,任务编号：348358,mf131****3467,o553f4c895a0fb,"个人 |            
            PS 小店——","个人 |            
            HC懒人工作室","工作室 |            
            隨緣雅名",,,,,
【百科/问答撰写】简单评价任务，每稿10元，仅限上海地区。,https://task.epwk.com/345527/,1197人,12人,¥500,leocraft,￥ 500,￥120,2015.04.12,具体看附件仅限上海-大众点评网手机客户端五星好评10元一条,任务编号：345527,孤舟一笠,非格图记,"个人 |            
            PS 小店——","个人 |            
            哈妮小铺",小奶包Iris,木棉3,"个人 |            
            哈妮小铺",鬼魂飘在光天化日,mf151****6017,tuotuohenaini
【生日祝福】给好闺蜜的生日祝福，4元1稿,https://task.epwk.com/342694/,10432人,30人,¥500,Mr186****8535,￥ 500,￥128,2015.04.02,她的生日是4月3日，希望她能收到来自天涯海角的祝福。短信内容大概是：亲爱的Jessie，我是来自XX省XX市的XX。代表你的最好的闺蜜为你送上生日祝福。在20年友谊即将到来之际，她想告诉你，有你这样的朋友，是她这辈子的荣幸。人生有你的陪伴，一路欢歌笑语，又圆圆满满。（然后加上任意祝福语，最好是温馨有新意的哦）手机号：138163895001、时间：从2015年4月03日 00：00-23：59，最好是00：00准时发哦。2、一个号码只限一次，祝福语可不要一样哦。若她有回复，请不要回复。千万不要提前发，过期了就不要发了。谢谢朋友们了。3、若对方回短信询问时无需回复，请大家保密，不要透漏一品威客发任务的信息，谢谢！4、审核标准：截图为证，带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！谢谢大家了！同时也祝为我投稿的人爱情美满，全家幸福！,任务编号：342694,多彩广告,"个人 |            
            艾豆笔尖",belliue,belliue,belliue,a275595005,a275595005,Drug,彭彭温温,Drug
【品牌故事】【征稿第一期】提供案例，进行原创创作，简单易过,https://task.epwk.com/339711/,4706人,7人,¥500,南澳海岸线,￥ 500,￥350,2015.03.22,此任务简单来说，就是深圳南澳某段海岸线赋予它一个你的定位。此海岸线长3公里，你可以设置为地中海风格、现代都市风格，任你想象，都可以。要求：1.附件里有提供案例展示，需按此格式进行再创作，赋予不同风格与功能区，可任意发挥想象。例如，里面是海滨城区风格来写，你可以在此基础上改成地中海风格、现代都市风格；2.创作不能更改主线，需以南澳海岸线为主；3.字数在700字以上，需为原创。背景介绍：南澳水头沙至畲吓段的海岸线全长3公里，整个海岸线位于月亮湾景区内，拥有综合性市民广场-月亮湾广场、停车场、龙舟仓储空间等配套设施，享览一线海景，视野开阔。海上渔船点点，渔家生活氛围浓厚，日落景观更是吸引大批游客驻足流连，同时，此处更是当地享有盛名的龙舟赛举办点，每逢端午前后，游人如织。,任务编号：339711,匠思小筑,艺苑劲松,mf53b******bf23,mf53b******bf23,mf53b******bf23,mf53b******bf23,"公司 |            
            zhihuigu",,,
【品牌起名】征集建筑模板商标名字，可用于商标注册,https://task.epwk.com/329838/,7140人,10人,¥500,88888,￥ 500,,2015.01.25,现征集建筑模板行业10个商标名字。名字要好记响亮。注1：悬赏的商标名要能用于注册商标。可上中国商标网查询（第19类）注2：计件任务请一个名字一条留言，否则多个名字中标也按一个计费哦。,任务编号：329838,,,,,,,,,,
【生日祝福】急求告白祝福，一稿25元,https://task.epwk.com/333687/,9094人,10人,¥500,a2738****10,￥ 500,￥160,2015.02.19,我跟我女朋友已经在一起一段时间了，我这个人相对比较内向， 不擅长表达，今天晚上八点想给她来一个正式的表白，让她圆了美个少女的梦，也希望让她终身难忘。大家可以叫我女朋友青青。以下是任务的大致需求第一：我希望要有质量的爱情告白祝福语。第二：任务可以多人参与老少皆宜，也可以单人参与。第三：祝福语可不要太简单咯，中英文都可以。第四：我要的是图片+人物+标志建筑或者好看的背景+祝福语，不懂得可以看附件来，所有参与投标者均以图片为准，没有图片一律淘汰。审核标准：提交图片，一稿25元  必须有质量注：可以重复交稿，但是图片内容、拍照背景、人物、必须不一样 地区没有限制。祝福内容可以参考（我是来自xxx的xxx，我受你包子的委托给你带来他美好的表白。。。。。。以下内容自己想象，中英文结合都可以。）我会实时在电脑面前等图片我只要20张，时间截止在今晚上12点整过后我就不会再要了。,任务编号：333687,"工作室 |            
            小胡建设计空间","个人 |            
            有约",o54dc532765921,"个人 |            
            有约","工作室 |            
            最美的遇见","个人 |            
            有约","个人 |            
            有约",heqiaolan888,,
【爱情表白】春节表白祝福短信，一稿3元,https://task.epwk.com/333565/,11212人,39人,¥500,Felix125,￥ 500,￥166.65,2015.02.16,"本人只需要前50条，第51条后无效1.短信格式： “你的眼是宁静的湖水 他望了一眼 就陷了进去""。车同学真的喜欢你(表白发挥三十字左右) 。2015陈同学给你们一个机会，相爱吧！2015祝你（发挥，对方女学生）来自（所在市）的祝福！ 新年快乐 2.发送时间：短信2月18-19日，时间早上8点到晚上22点送祝福。一定要在那天啊，不能晚呀哦，谢谢朋友们了，在线选搞。3.若有回复，请不回复短信！4.审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！5.对方手机号：180-0921-5432，一个号码只限发一次哦！一条3元！",任务编号：333565,"工作室 |            
            瀚森创意文字坊",qinhaihua,小御思,懵懂的路,lcy123,懵懂的路,"个人 |            
            index1的店铺","工作室 |            
            瀚森创意文字坊",zzc262603,"工作室 |            
            ——日说——"
【爱情表白】情人节表白短信，3元两条,https://task.epwk.com/332898/,12490人,40人,¥501,mf153****4457,￥ 501,￥114,2015.02.10,短信格式为下：晶晶同学，受赵先生所托给您说几句话：（自由发挥，要表白为主，限三十字以上，少字不合格）（楼主与女神的情况是恋爱四年，分手。但楼主想挽回，请大家踊跃发挥。对方手机号：15609963220）                                                                                                  情人节快乐 来自（地区）的祝福 注：每个手机号只限发送一条，多发不计费。发送时间是2015年2月13日晚12过后 截至时间为2015年2月14日中午2点。早发与过期均不合格，任务要截图，截图必须内容和日期清晰，否则算无效。就是3元发一条短信。本人只需要50条短信，第51条起视为无效。,任务编号：332898,belliue,"个人 |            
            index1的店铺",belliue,qinhaihua,刘子书,lj稻草人,小御思,多彩广告,"工作室 |            
            禹●爱工作室","个人 |            
            新视点"
【文学创作】搞笑视频小故事剧本，以餐厅为背景，在餐厅里发生的故事,https://task.epwk.com/327010/,12135人,12人,¥500,休闲哥,￥ 500,￥350,2015.01.10,"以餐厅为背景，拍摄搞笑视频，以对白或情节为主，类似于《武林外传》是以同福客栈为背景一样，餐厅为汉朝文化餐厅，演出人员均为餐厅服务人员或厨师，服务人员均穿着汉朝服装，情节可以是员工之间的故事，也可以是服务客人时发生的故事，或者是网上流传的搞笑段子，背景资料和餐厅情况请加餐厅微信公众账号做了解，搜索公众账号：八大菜，或者加微信好友：xinjiangbadacai，详细了解，大家可以和我直接联系，我的QQ是59959918                    剧本要求：                            1、以餐厅为背景，拍摄搞笑视频，以对白或情节为主，类似于《武林外传》是以同福客栈为背景一样。2、餐厅为汉朝文化餐厅，演出人员均为餐厅服务人员或厨师，服务人员均穿着汉朝服装，情节可以是员工之间的故事，也可以是服务客人时发生的故  事，或者是网上流传的搞笑段子，         3、每个视频大概只需要1~2分钟，所以，对白要简洁，搞笑，写明表情和动作，要达到搞笑的效果。4、也可以有长篇的故事，发生在餐厅的故事i就可以，要能吸引看视频的人，每个视频只有2分钟左右，长篇故事需要做每集的划分，并且有包袱。                                       知识产权说明：                                            1、所设计的作品为原创或者网络上自己搜集，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：327010,"工作室 |            
            瀚森创意文字坊","工作室 |            
            瀚森创意文字坊","个人 |            
            贪玩秀秀的商铺","工作室 |            
            瀚森创意文字坊","工作室 |            
            瀚森创意文字坊","工作室 |            
            瀚森创意文字坊","工作室 |            
            瀚森创意文字坊",,,
【其他】《众包与威客》的问题征集,https://task.epwk.com/326404/,13784人,52人,"¥3,000",epweike,￥ 3000,￥450,2015.01.07,平台征集，最贴近一线工作的实用案例;　　强强联手，草根力量汇聚尽显专业实力!　　清华大学电机系博士毕业，管理学博士后，副教授王强老师 联袂一品威客网，打造国内第一套《威客与众包》系列丛书(王老师的微信公众号是DrwangqCHO，其新浪微博是“磐石旗厦门”，欢迎大家关注、沟通)。“让赚钱更简单!”是一品威客网推出此书的目的。本书将汇集百篇实用案例，由王强博士执笔进行点评和案例分析。　　我们来出书，给自己一个机会，给读者一个惊喜……　　为了让此书更具有实用性和可读性，我们将面向威客朋友们征集您在威客平台使用中的问题，欢迎大家畅所欲言!　　其中有代表性的问题将入选本书进行详细解答。如果你的问题入选了，一品威客网CEO黄国华将提前给你单独解答。　　提交方式：将你的案例和问题发表在该任务中，并留下联系方式。　　截止时间：2015 年1 月30日　　入选奖励　　* 稿酬：入选1个问题支付稿费30元。　　详情咨询：QQ群：433060717　　王强博士微信：Drwangqxm　　一品小编微信：epweikeqiqi,任务编号：326404,"工作室 |            
            心物同元hjy",任行,"个人 |            
            乔蝎创意经典",lijie28,葡萄正在待命,"个人 |            
            133思维","个人 |            
            艾豆笔尖",yao7079,"工作室 |            
            楚楚文案工作室","工作室 |            
            独家设计"
【宣传策划】《众包与威客》的文案征集,https://task.epwk.com/325369/,19108人,20人,"¥5,400",epweike,￥ 5400,￥4500,2014.12.31,为了加快书稿《众包与威客》编写的进度，该书的部分章节计划由文笔好的威客采取众包竞赛的威客模式完成。例如：威客网的诚信保障机制一节，你可以提交2000字左右的文案，先分门别类地介绍一品威客网的诚信保障体系都包括哪些举措，再例举国内外其他威客同行网站还有哪些比较有效的诚信保障机制。在投稿的前面请注明关键词 #威客网的诚信保障体系# ，以便工作人员整理归类、方便王老师快速评选出最佳入选文案。  例如：威客平台的运营（威客网站的盈利模式——向威客或雇主的收费形式；制定悬赏、征集的问题；管理参与众包竞赛的各方身份；如何保护知识产权；展示众包和威客的价值；培养双边市场；吸引解答者参与；有效扩大众包竞赛的规模……）你可以提交3000-4000字左右的文案，先分门别类地介绍一品威客网的运营体系都包括哪些举措，再例举国内外其他威客同行网站还有哪些比较有效的运营机制，也可以给出一些自己的建议——怎么才能让威客网运作得更好。在投稿的前面请注明关键词 #威客平台的运营# ，以便工作人员整理归类、方便王老师快速评选出此节的最佳入选文案。   …… 注意事项：　　1、除了文案征集，我们还征集案例————(个人、工作室、公司)线上创新创业的案例，写出你在威客平台构建与配置中解决难题的过程，有机会入选本书案例，你也将成为本书作者之一。　  2、由于部分章节已经写好初稿，参与任务的威客最好先索取已经完成的初稿（联系信箱是 1152683656@qq.com），初稿里已经有的内容就不要重复投稿了。     3、本书的定位期望可以作为在校大学生采取威客形式创业的教科书，所以语言、文字请尽量严谨，不要太口语化。引用其他文献时请注明出处——文献是指他人已经在书籍、文章、网络上发表过的作品，尊重他人知识产权，绝对不可抄袭；如果因此导致的法律纠纷，涉及的威客需要自己承担相应的法律责任。     4、因为此书定位主要是一本威客新人的入手教科书，写作时请站在威客新人的角度考虑：一个威客菜鸟最希望在一本16万字左右的专业书籍里学习到哪些东西？尽量多分享干货、含金量高的知识点，避免空洞无物。　5、一旦威客得到作品被采用的通知之后，文字的版权即归任务发布者所有，文案就会被放进书稿的初稿里，后续仍然存在被修改、删减、补充的可能。 提交方式：将你提交的文案发表在该任务中，并留下联系方式；同时把文案抄送到qq信箱1152683656@qq.com 。　　征稿要求：1、保证内容的原创性；如果有引用其他文献的地方，请按照正规著作里面标注引用出处的标准写法在脚注里写明引用出处。2、符合征集的内容和格式规范。　　截止时间：2015 年1 月30日的24时。　入选奖励　　* 稿酬：入选1节（不少于2000字）支付稿费300元。　　* 赠书：入选文案超过三篇以上，获赠样书一本。　　* 后记里致谢：入选文案数量、质量排名在前十位的威客姓名将会出现在此书后记的致谢名单里，将会对威客自身起到很好的推广效果。,任务编号：325369,"工作室 |            
            心物同元hjy","工作室 |            
            嘉荷创意","工作室 |            
            东亚未卜设计机构","工作室 |            
            楚楚文案工作室","工作室 |            
            楚楚文案工作室","工作室 |            
            楚楚文案工作室","工作室 |            
            楚楚文案工作室","工作室 |            
            楚楚文案工作室","工作室 |            
            楚楚文案工作室","工作室 |            
            ——日说——"
,,,,,,,,,,,,,,,,,,,,
【品牌故事】史上最靠谱针对大学生的软文写作，一人交稿一次，一稿十元,https://task.epwk.com/322601/,13413人,52人,¥500,mf180****7112,￥ 500,￥150,2014.12.17,史上最靠谱针对大学生的软文写作    要求以分期购物和分期借款为主题，拟写一份软广告，针对客户群为大学生分期购买电子产品的广告和分期借款，要求有文采，字数50-100，可以直接撰写或者上传word形式，请在后面备注自己个人信息，如有疑惑详细说明请咨询相关人员。因消费群体为大一大二的学生，所以交稿人最好为在校大学生，其对大学生消费心理有一定体会。联系方式： Tel：18004097112                   QQ：528941113详情可咨询官方网址：www.cs199.com,任务编号：322601,w17868800376,Nancy110,"工作室 |            
            文采飞young",给我一瓶,唐伯虎点蚊香喽,峻成,Yyn_,好高兴,"工作室 |            
            创意文案定制",mf130****8420
【生日祝福】给女友生日祝福，一稿三元,https://task.epwk.com/320972/,14166人,64人,¥500,o5486****530a3,￥ 500,￥253.08,2014.12.09,"给女友生日祝福,时间紧急，就在今天啊朋友们，一稿三元1.希望能够得到全国各地朋友的祝福，让她感觉到幸福。谢谢你们2.短信内容：亲爱的，生日快乐！我是来自XX地的XX(名字自由发挥，可以是您喜欢的卡通人物或地上的一颗石子或河边的一颗小树），在此代表爱你的萌萌瓜送来了生日祝福+详细祝语+祝福我们的话（大家自由发挥，不要套俗套，才显得有诚意嘛）内容不要重复哦！结束语自由发挥----加急啊伙伴们在线等3.发送时间：短信12月9日今天，时间晚上5点前（17点前）送祝福。一定要在今天啊，不能晚呀哦，谢谢朋友们了，在线选搞。4.若有回复，请不回复短信！5.审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！6.我女朋友手机号：15952048391 一个号码只限发一次哦！加急三元一条。7.希望她生日今天可以收到各位朋友的祝福，在此先感谢大家的帮忙了",任务编号：320972,qinhaihua,mf131****7079,zzty0632,茶凉樱花落,cateli,YQ约瑟芬,DS520,mf185****2942,长公主,mf151****1320
【品牌故事】你的，我的威客的故事征集，一稿20元,https://task.epwk.com/320713/,9399人,23人,¥500,任务易,￥ 500,￥260,2014.12.08,纵观整个威客行业发展历程，从2005年开始，威客模式第一次被提出，并得到大家的认同，威客模式的出现也被媒体广泛关注。发展至今，威客行业将迎来第10个年头，快10年了。任务易，专为威客会员量身定制的综合性服务平台，力图通过优化威客找任务，接任务，做任务等环节促成威客网站交易达成。作为一个非盈利性质的威客网站，任务易更多的是想利用网站强大的数据整合分析能力为威客们打造经验交流，资源共享的信息社交平台。秉承着这样的服务理念和建站宗旨，在2014的年末，我们创建了这次任务，与其说这是一个任务，不如说这是一次对于威客十年的集体回顾和分享。年关将至，难免会心生时光荏苒，韶光易逝的慨叹和感怀。2005年至2014年，中国威客行业经历了互联网的浪潮，并乘浪而起。对于威客行业来说，即将迎来威客的第十个年头，正是风起云涌，正当风华时，一起来分享我们的威客情怀或是独家记忆吧！任务易特携就要100个威客故事征文活动向大家致谢！当你初出茅庐，倾注无尽心血的作品被无故弃标。当你经验不足，诚意满满的成果被直接否定。你内心经历了怎样的挣扎和迷惘，你又是怎样走出低谷，完美逆袭的？当你已经小有经验，却遭遇个人瓶颈。当你已经颇有心得，却面临更大的挑战。你的内心又经历了怎样的高低起伏，你又是怎样从容面对，愈战愈勇的？当你已经如鱼得水，拥有成熟的任务经验。当你已经能够独当一面，成为行业大咖。你内心是否多了一份继续走下去的笃定和自信。对于这个行业，你又有怎样一番时间沉淀下的高瞻和远瞩。让记忆发声，我们愿做你最忠实的听众，听你讲，那些年，做威客的日子。故事要求：1.原创内容，严禁抄袭，文责自负2.亲身经历，真实项目，操作经验3.成功励志，奇葩恶搞，辛酸历程4.真情实感，威客故事，有图更佳5.题材不限，主题清晰，行文流畅说明：字数不能少于600字，作品请注明威客名称、姓名、联系方式。此次任务会在多个平台征集，多个平台提交只记一次。活动时间：第一阶段：12月8日至12月31日：故事征集（xx戒、xxx富、一品、任务易等平台）第二阶段：1月1日至1月5日：各平台参赛作品初选展示，第一次评奖第三阶段：1月6日至1月16日：故事被采纳起即提交到任务易，投票第四阶段：1月17日至1月20日：任务易网站评审，再一次奖励（搜索一下“任务易”了解更多）双重奖励：一重奖励：各平台项目悬赏奖励。（悬赏超4000元）二重奖励：任务易网站票选评奖。（悬赏超2000元）详情请查看专题活动地址：http://www.renwuyi.com/huodong/zhengwen.html（更多惊喜，等你发现！）产权说明：1、 所提交的作品为原创，为第一次发布。未侵犯他人的著作权。如有侵犯他人著作权，由投稿者承担所有法律责任。2、 中标的作品，我方支付稿费。即拥有该作品的知识产权，包括著作权、使用权和发布权等，并有权对作品进行修改、组合和应用。,任务编号：320713,"个人 |            
            乐活创享",belliue,"工作室 |            
            极限创意设计",葡萄正在待命,花音印,"工作室 |            
            瀚森创意文字坊",mf187****0051,多彩广告,swx6620238,"工作室 |            
            深蓝相随文化创意工作室"
【生日祝福】生日短信祝福，一稿两元,https://task.epwk.com/319894/,9653人,36人,¥100,方小鹏1,￥ 100,￥100,2014.12.02,爱的人过生日，希望来自五湖四海的朋友都能祝福她，发条短信。格式如下：酥酥，我来自于某某地方，受水水之托我代表某某全市人民祝你生日快乐。（剩下的部分自由发挥吧，大概几十字就足够了，一定要有祝福她的话），谢谢各位。发送号码13212624707 时间段：就是12月5日24：01~24：20 或 11：00~12:00（最好在半夜24：01分后发，记得定时哦，过时就不要发了）。如她回短信，请勿再回信。每个号码仅限一条。上传内容和发送成功的截图即可通过。,任务编号：319894,t88925248,"个人 |            
            index1的店铺",MDD1******9927,belliue,belliue,q1964651890,o547e81bbc0ab5,liwei790606,kd1993,"个人 |            
            用心屋"
【生日祝福】给男朋友的生日祝福，2元1稿,https://task.epwk.com/318433/,14972人,86人,¥100,春去秋来yan,￥ 100,￥100,2014.11.25,他的生日是12月2日，希望他能收到来自天涯海角的祝福。短信内容大概是：亲爱的张斌杰，我是来自XX省XX市的XX，代表你的未来老婆送上生日祝福。她想告诉你，谢谢你爱她，以后的生日，她都会陪你一起过。（然后加上任意祝福语，最好是温馨有新意的哦）。手机号：13205931233 （联通号码）1、时间：从2014年12月02日 00：00-23：59，最好是00：00准时发哦。2、一个号码只限一次，祝福语可不要一样哦。若他有回复，请不要回复他的短信。一定要定时发送，千万不要提前发，过期了就不要发了。谢谢朋友们了。3、若对方回短信询问时无需回复，请大家保密，不要透漏一品威客发任务的信息，谢谢！4、审核标准：截图为证，带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！谢谢大家了！同时也祝为我投稿的人爱情美满，全家幸福！,任务编号：318433,t88925248,唐伯虎点蚊香喽,"工作室 |            
            极限创意设计","个人 |            
            14元旦的设计",la啦告诉我,翟渊潘zyy,梦之小鱼精灵,S微创意,"工作室 |            
            遇树临风的店铺","公司 |            
            贵州纵横天下网络营销策划有限公司"
【生日祝福】微信关注，一稿两元,https://task.epwk.com/317950/,6141人,7人,¥100,mf186****7365,￥ 100,￥8,2014.11.22,五个不同的微信号注册成功即为一个符合标准的作品必须有回复的“db033@qq号”内容 凭截图（五个）付钱扫码见附件,任务编号：317950,MDD1******9927,"个人 |            
            小情绪灬大蒜",唐伯虎点蚊香喽,Noonten,,,,,,
【纪念日祝福】纪念日祝福短信，每条两元,https://task.epwk.com/317875/,8772人,39人,¥100,xujianbo0308,￥ 100,￥100,2014.11.22,"1.短信格式:佩佩你好，我是来自XXxx的某某（例如江苏南京的徐文），今天是你和建波恋爱的第一百天，祝你们一百天纪念日快乐，也祝你们有情人终成眷属，有空一定要让建波带你来XX（当地好玩的地方）玩哦，吃好吃的XX（当地特色小吃）哦！
2.号码:15951610478（一个号码只能发送一条）
3.时间限制:2014年11月23号0:00至18:00（提前或延迟无效）
4.审核标准:以截图形式提交，截取发送时间以及发送成功的图片",任务编号：317875,"个人 |            
            index1的店铺",唐伯虎点蚊香喽,liwei790606,belliue,中空玻璃,belliue,"个人 |            
            和气生财",liwei790606,MDD1******9927,sail119
【生日祝福】发送生日祝福短信，一条两元,https://task.epwk.com/317514/,10166人,49人,¥100,慕汐,￥ 100,￥100,2014.11.20,1、短信格式：长腿叔叔你好，我是来自XXxx的某某（例如山西大同的赵佳丽），今天是你的生日，我代表丫头祝你********（祝福语自由发挥不能表达爱意，不可重复哦），以后有机会一定带丫头来平遥古城（当地好玩的地方）装逼哦！（或者以后有机会一定带她来吃我们地道的刀削面（当地有名小吃）哦！）2、朋友号码：13631273872（一个号码只限用一次）3、时间限制：2014年11月23日 0:00-17:00（不能提前和延后）4、保密需求：不管收到任何短信或来电回复，都不要理会，绝对做到保密。谢谢各位配合5、审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。,任务编号：317514,"个人 |            
            14元旦的设计","工作室 |            
            轩辕创艺工作室","工作室 |            
            紫萱缘创意文案工作室","个人 |            
            和气生财","个人 |            
            用心屋","个人 |            
            龙炫",刘子书,mf151****2758,多彩广告,mf188****1146
