标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,知识
【图片处理】醴陵桃花源春季美景照片精修,https://task.epwk.com/844157/,357人,1人,"¥1,970",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,醴陵桃花源春季美景照片精修,直接雇佣￥ 1970,￥ 1970,任务编号：844157,413-500.csv,,,,,,"醴陵桃花源, 春季美景, 照片精修"
【后端开发】我爱阿胶网站后台接口开发,https://task.epwk.com/844160/,1336人,1人,"¥1,980",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,我爱阿胶网站后台接口开发,直接雇佣￥ 1980,￥ 1980,任务编号：844160,413-500.csv,,,,,,"网站后台接口, 阿胶, 接口开发"
医疗器械三维动画制作,https://task.epwk.com/844162/,178人,1人,"¥25,580",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,医疗器械三维动画制作,直接雇佣￥ 25580,￥ 25580,任务编号：844162,413-500.csv,,,,,,"医疗器械, 三维动画, 制作"
【PPT设计】优化PPT,https://task.epwk.com/844168/,302人,1人,¥305,圆满完成,https://task.epwk.com/page497.html?m=6&o=7,优化PPT,直接雇佣￥ 305,￥ 305,任务编号：844168,413-500.csv,,,,,,PPT优化
房地产中介企业小程序开发 第三期,https://task.epwk.com/844171/,65人,1人,"¥49,500",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,房地产中介企业小程序开发 第三期,直接雇佣￥ 49500,￥ 49500,任务编号：844171,413-500.csv,,,,,,"房地产中介, 小程序开发, 第三期"
EXCEL数据转换、数据统计软件开发,https://task.epwk.com/844173/,735人,1人,"¥49,900",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,EXCEL数据转换、数据统计软件开发,直接雇佣￥ 49900,￥ 49900,任务编号：844173,413-500.csv,,,,,,"EXCEL数据转换, 数据统计软件"
【APP开发】oa系统开发尾款,https://task.epwk.com/844174/,141人,1人,"¥54,998",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,oa系统开发尾款,直接雇佣￥ 54998,￥ 54998,任务编号：844174,413-500.csv,,,,,,"OA系统, 尾款"
影视缩略图展现控件重构,https://task.epwk.com/844176/,81人,1人,"¥30,000",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,影视缩略图展现控件重构,直接雇佣￥ 30000,￥ 30000,任务编号：844176,413-500.csv,,,,,,"影视缩略图, 控件重构, 展现"
【软件UI设计】中药计价软件,https://task.epwk.com/844188/,438人,1人,"¥1,200",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,中药计价软件,直接雇佣￥ 1200,￥ 1200,任务编号：844188,413-500.csv,,,,,,"中药计价, 软件"
【微信开发】公众号程序开发三期（尾款）,https://task.epwk.com/844219/,308人,1人,"¥4,000",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,公众号程序开发三期（尾款）,直接雇佣￥ 4000,￥ 4000,任务编号：844219,413-500.csv,,,,,,"公众号程序开发, 尾款"
【小程序开发】小程序开发,https://task.epwk.com/844221/,153人,1人,"¥19,000",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,小程序开发,直接雇佣￥ 19000,￥ 19000,任务编号：844221,413-500.csv,,,,,,小程序开发
【小程序开发】微信商城开发,https://task.epwk.com/844222/,305人,1人,"¥50,000",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,微信商城开发,直接雇佣￥ 50000,￥ 50000,任务编号：844222,413-500.csv,,,,,,"微信商城, 开发"
【OA系统】人事管理软件二次开发,https://task.epwk.com/844310/,1514人,1人,"¥17,500",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,人事管理软件二次开发,直接雇佣￥ 17500,￥ 17500,任务编号：844310,413-500.csv,,,,,,"人事管理软件, 二次开发"
【APP开发】物流软件开发第四期,https://task.epwk.com/844321/,97人,1人,"¥20,000",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,物流软件开发第四期,直接雇佣￥ 20000,￥ 20000,任务编号：844321,413-500.csv,,,,,,"物流软件, 软件开发, 物流系统"
【APP开发】物流软件开发第五期,https://task.epwk.com/844322/,130人,1人,"¥15,000",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,物流软件开发第五期,直接雇佣￥ 15000,￥ 15000,任务编号：844322,413-500.csv,,,,,,"物流软件, 软件开发, 物流系统"
外卖订单小程序,https://task.epwk.com/844329/,156人,1人,"¥5,000",圆满完成,https://task.epwk.com/page497.html?m=6&o=7,外卖订单小程序,直接雇佣￥ 5000,￥ 5000,任务编号：844329,413-500.csv,,,,,,"外卖订单, 小程序"
【LOGO设计】牛人设计总监 全网中标最高设计师操刀,https://task.epwk.com/844357/,126人,1人,"¥9,954",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,牛人设计总监 全网中标最高设计师操刀,直接雇佣￥ 9954,￥ 9954,任务编号：844357,413-500.csv,,,,,,"设计总监, 全网中标, 最高设计师"
【APP开发】聊天室语音app开发,https://task.epwk.com/844369/,111人,1人,"¥21,550",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,聊天室语音app开发,直接雇佣￥ 21550,￥ 21550,任务编号：844369,413-500.csv,,,,,,"聊天室, 语音app, 开发"
【VI设计】【杜与企业VI设计】套餐F,https://task.epwk.com/844402/,188人,1人,"¥13,200",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,【杜与企业VI设计】套餐F,直接雇佣￥ 13200,￥ 13200,任务编号：844402,413-500.csv,,,,,,"杜与企业, VI设计, 套餐F"
【书籍装帧】画册设计,https://task.epwk.com/844405/,948人,1人,"¥10,500",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,画册设计,直接雇佣￥ 10500,￥ 10500,任务编号：844405,413-500.csv,,,,,,"画册, 设计"
【安全服务】服务器安全测试,https://task.epwk.com/844406/,1753人,1人,"¥38,462",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,服务器安全测试,直接雇佣￥ 38462,￥ 38462,任务编号：844406,413-500.csv,,,,,,"服务器安全, 安全测试"
【其他管理软件】设备管理软件开发,https://task.epwk.com/844407/,1464人,1人,"¥11,238",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,设备管理软件开发,直接雇佣￥ 11238,￥ 11238,任务编号：844407,413-500.csv,,,,,,"设备管理, 软件开发"
【企业官网】综合性网站源代码开发,https://task.epwk.com/844408/,133人,1人,"¥38,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,综合性网站源代码开发,直接雇佣￥ 38000,￥ 38000,任务编号：844408,413-500.csv,,,,,,"综合性网站, 源代码, 开发"
【工程建筑】工程建筑软件开发,https://task.epwk.com/844411/,183人,1人,"¥10,200",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,工程建筑软件开发,直接雇佣￥ 10200,￥ 10200,任务编号：844411,413-500.csv,,,,,,"工程建筑, 软件开发"
【活动策划】清明主题推广方案和物料视觉设计,https://task.epwk.com/844413/,367人,1人,"¥5,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,清明主题推广方案和物料视觉设计,直接雇佣￥ 5000,￥ 5000,任务编号：844413,413-500.csv,,,,,,"清明主题, 推广方案, 视觉设计"
【视频推广】品牌推广,https://task.epwk.com/844414/,535人,1人,"¥5,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,品牌推广,直接雇佣￥ 5000,￥ 5000,任务编号：844414,413-500.csv,,,,,,品牌推广
【APP开发】刷脸支付2期,https://task.epwk.com/844418/,93人,1人,"¥45,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,刷脸支付2期,直接雇佣￥ 45000,￥ 45000,任务编号：844418,413-500.csv,,,,,,"刷脸支付, 支付系统, 二期开发"
【APP开发】商超批发APP开发二期,https://task.epwk.com/844419/,77人,1人,"¥43,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,商超批发APP开发二期,直接雇佣￥ 43000,￥ 43000,任务编号：844419,413-500.csv,,,,,,"商超批发, APP开发, 二期"
微信转发,https://task.epwk.com/844421/,271人,1人,¥450,圆满完成,https://task.epwk.com/page496.html?m=6&o=7,微信转发,直接雇佣￥ 450,￥ 450,任务编号：844421,413-500.csv,,,,,,微信转发
【APP开发】餐饮APP开发二期,https://task.epwk.com/844427/,86人,1人,"¥40,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,餐饮APP开发二期,直接雇佣￥ 40000,￥ 40000,任务编号：844427,413-500.csv,,,,,,"餐饮APP, 二期开发"
【物业管理软件】物业管理第一期,https://task.epwk.com/844433/,1516人,1人,"¥50,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,物业管理第一期,直接雇佣￥ 50000,￥ 50000,任务编号：844433,413-500.csv,,,,,,"物业管理, 第一期"
【物业管理软件】物业管理第二期,https://task.epwk.com/844435/,1533人,1人,"¥50,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,物业管理第二期,直接雇佣￥ 50000,￥ 50000,任务编号：844435,413-500.csv,,,,,,"物业管理, 第二期"
【物业管理软件】物业管理第三期,https://task.epwk.com/844438/,1391人,1人,"¥50,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,物业管理第三期,直接雇佣￥ 50000,￥ 50000,任务编号：844438,413-500.csv,,,,,,"物业管理, 第三期"
【物业管理软件】物业管理第四期,https://task.epwk.com/844439/,1483人,1人,"¥20,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,物业管理第四期,直接雇佣￥ 20000,￥ 20000,任务编号：844439,413-500.csv,,,,,,"物业管理, 第四期"
【微信开发】社区水果微信小程序开发,https://task.epwk.com/844445/,269人,1人,"¥10,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,社区水果微信小程序开发,直接雇佣￥ 10000,￥ 10000,任务编号：844445,413-500.csv,,,,,,"社区水果, 微信小程序"
【APP开发】金融软件开发第三期,https://task.epwk.com/844447/,96人,1人,"¥30,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,金融软件开发第三期,直接雇佣￥ 30000,￥ 30000,任务编号：844447,413-500.csv,,,,,,"金融软件, 软件开发, 第三期"
【APP界面设计】运开会员卡项目1,https://task.epwk.com/844448/,633人,1人,"¥15,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,运开会员卡项目1,直接雇佣￥ 15000,￥ 15000,任务编号：844448,413-500.csv,,,,,,"运开会员卡, 项目"
【品牌故事】品牌塑造全网整合营销传播,https://task.epwk.com/844449/,977人,1人,"¥12,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,品牌塑造全网整合营销传播,直接雇佣￥ 12000,￥ 12000,任务编号：844449,413-500.csv,,,,,,"品牌塑造, 全网营销, 整合传播"
【APP开发】社区团购app开发,https://task.epwk.com/844454/,109人,1人,"¥21,005",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,社区团购app开发,直接雇佣￥ 21005,￥ 21005,任务编号：844454,413-500.csv,,,,,,"社区团购, app开发"
【产品外观设计】日用餐具设计,https://task.epwk.com/844457/,1549人,1人,"¥28,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,日用餐具设计,直接雇佣￥ 28000,￥ 28000,任务编号：844457,413-500.csv,,,,,,"日用餐具, 设计"
【小程序开发】远程桌面区域共享Demo开发,https://task.epwk.com/844464/,191人,1人,"¥1,960",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,远程桌面区域共享Demo开发,直接雇佣￥ 1960,￥ 1960,任务编号：844464,413-500.csv,,,,,,"远程桌面, 区域共享, Demo开发"
【直播】网红视频直播软件开发,https://task.epwk.com/844465/,143人,1人,"¥34,800",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,网红视频直播软件开发,直接雇佣￥ 34800,￥ 34800,任务编号：844465,413-500.csv,,,,,,"网红视频, 直播软件, 软件开发"
【动漫角色设计】幽冥啸天虎动漫形象设计,https://task.epwk.com/844466/,628人,1人,"¥1,980",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,幽冥啸天虎动漫形象设计,直接雇佣￥ 1980,￥ 1980,任务编号：844466,413-500.csv,,,,,,"幽冥啸天虎, 动漫形象设计"
【VI设计】Vi设计,https://task.epwk.com/844471/,593人,1人,"¥3,000",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,Vi设计,直接雇佣￥ 3000,￥ 3000,任务编号：844471,413-500.csv,,,,,,VI设计
【APP开发】sass软件开发3期,https://task.epwk.com/844472/,108人,1人,"¥14,788",圆满完成,https://task.epwk.com/page496.html?m=6&o=7,sass软件开发3期,直接雇佣￥ 14788,￥ 14788,任务编号：844472,413-500.csv,,,,,,"sass软件开发, 三期开发"
【APP开发】购物平台返利app,https://task.epwk.com/844482/,225人,1人,¥900,圆满完成,https://task.epwk.com/page496.html?m=6&o=7,购物平台返利app,直接雇佣￥ 900,￥ 900,任务编号：844482,413-500.csv,,,,,,"购物平台, 返利app"
【短视频代运营】代运营,https://task.epwk.com/844487/,956人,1人,¥10,圆满完成,https://task.epwk.com/page495.html?m=6&o=7,代运营,直接雇佣￥ 10,￥ 10,任务编号：844487,413-500.csv,,,,,,代运营
【手机网站】手机网站开发,https://task.epwk.com/844505/,364人,1人,"¥10,100",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,手机网站开发,直接雇佣￥ 10100,￥ 10100,任务编号：844505,413-500.csv,,,,,,"手机网站, 网站开发"
【APP开发】企业内部OA,https://task.epwk.com/844507/,116人,1人,"¥33,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,企业内部OA,直接雇佣￥ 33000,￥ 33000,任务编号：844507,413-500.csv,,,,,,"企业内部系统, OA系统"
【教育教学】教学教育软件开发,https://task.epwk.com/844524/,279人,1人,"¥11,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,教学教育软件开发,直接雇佣￥ 11000,￥ 11000,任务编号：844524,413-500.csv,,,,,,"教学教育, 软件开发"
【小程序开发】送货小程序增加供应商管理模块,https://task.epwk.com/844528/,360人,1人,"¥1,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,送货小程序增加供应商管理模块,直接雇佣￥ 1000,￥ 1000,任务编号：844528,413-500.csv,,,,,,"送货小程序, 供应商管理"
【海报设计】海報設計,https://task.epwk.com/844534/,537人,1人,"¥1,600",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,海報設計,直接雇佣￥ 1600,￥ 1600,任务编号：844534,413-500.csv,,,,,,海報設計
【企业官网】资讯型网站开发,https://task.epwk.com/844538/,389人,1人,"¥60,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,资讯型网站开发,直接雇佣￥ 60000,￥ 60000,任务编号：844538,413-500.csv,,,,,,"资讯网站, 网站开发"
【安监系统软件】安监系统开发,https://task.epwk.com/844539/,1467人,1人,"¥40,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,安监系统开发,直接雇佣￥ 40000,￥ 40000,任务编号：844539,413-500.csv,,,,,,"安监系统, 开发"
【APP界面设计】运开会员卡项目2,https://task.epwk.com/844549/,882人,1人,"¥25,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,运开会员卡项目2,直接雇佣￥ 25000,￥ 25000,任务编号：844549,413-500.csv,,,,,,"运开会员卡, 项目"
企业小程序尾款,https://task.epwk.com/844551/,31人,1人,"¥48,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,企业小程序尾款,直接雇佣￥ 48000,￥ 48000,任务编号：844551,413-500.csv,,,,,,"企业小程序, 尾款"
服装行业进销存系统开发二期,https://task.epwk.com/844552/,77人,1人,"¥28,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,服装行业进销存系统开发二期,直接雇佣￥ 28000,￥ 28000,任务编号：844552,413-500.csv,,,,,,"服装行业, 进销存系统, 系统开发"
【小程序开发】账单功能二次开发,https://task.epwk.com/844553/,131人,1人,"¥12,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,账单功能二次开发,直接雇佣￥ 12000,￥ 12000,任务编号：844553,413-500.csv,,,,,,"账单功能, 二次开发"
商城程序优化,https://task.epwk.com/844555/,38人,1人,"¥20,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,商城程序优化,直接雇佣￥ 20000,￥ 20000,任务编号：844555,413-500.csv,,,,,,"商城程序, 优化"
体育网站二次开发,https://task.epwk.com/844556/,59人,1人,"¥23,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,体育网站二次开发,直接雇佣￥ 23000,￥ 23000,任务编号：844556,413-500.csv,,,,,,"体育网站, 二次开发"
自行根据图片合成GIF程序开发,https://task.epwk.com/844559/,95人,1人,"¥27,300",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,自行根据图片合成GIF程序开发,直接雇佣￥ 27300,￥ 27300,任务编号：844559,413-500.csv,,,,,,"图片合成, GIF程序, 开发"
【剪辑服务】宣传视频制作,https://task.epwk.com/844565/,4327人,1人,"¥55,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,宣传视频制作,直接雇佣￥ 55000,￥ 55000,任务编号：844565,413-500.csv,,,,,,"宣传视频, 视频制作"
【剪辑服务】企业宣传设计,https://task.epwk.com/844566/,1111人,1人,"¥52,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,企业宣传设计,直接雇佣￥ 52000,￥ 52000,任务编号：844566,413-500.csv,,,,,,"企业宣传, 设计"
【剪辑服务】卡通人物及场景设计,https://task.epwk.com/844567/,1254人,1人,"¥53,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,卡通人物及场景设计,直接雇佣￥ 53000,￥ 53000,任务编号：844567,413-500.csv,,,,,,"卡通人物, 场景设计"
【活动策划】品牌全案品牌故事品牌策划方案公司简介产品广告语撰写微信招商文案公众号,https://task.epwk.com/844568/,623人,1人,¥500,圆满完成,https://task.epwk.com/page495.html?m=6&o=7,品牌全案品牌故事品牌策划方案公司简介产品广告语撰写微信招商文案公众号,直接雇佣￥ 500,￥ 500,任务编号：844568,413-500.csv,,,,,,"品牌故事, 品牌策划, 微信公众号"
【LOGO设计】已和服务商沟通,https://task.epwk.com/844570/,135人,1人,"¥1,500",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,已和服务商沟通,直接雇佣￥ 1500,￥ 1500,任务编号：844570,413-500.csv,,,,,,服务商沟通
【LOGO设计】已和服务商沟通,https://task.epwk.com/844580/,202人,1人,"¥1,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,已和服务商沟通,直接雇佣￥ 1000,￥ 1000,任务编号：844580,413-500.csv,,,,,,服务商沟通
【包装设计】小程序开发,https://task.epwk.com/844593/,136人,1人,"¥14,900",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,小程序开发,直接雇佣￥ 14900,￥ 14900,任务编号：844593,413-500.csv,,,,,,小程序开发
【小程序开发】小程序原型ui设计,https://task.epwk.com/844598/,127人,1人,"¥10,900",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,小程序原型ui设计,直接雇佣￥ 10900,￥ 10900,任务编号：844598,413-500.csv,,,,,,"小程序原型, UI设计"
【包装设计】茶叶行业新款包装设计手绘要求,https://task.epwk.com/844601/,352人,1人,"¥16,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,茶叶行业新款包装设计手绘要求,直接雇佣￥ 16000,￥ 16000,任务编号：844601,413-500.csv,,,,,,"茶叶行业, 新款包装, 手绘设计"
【APP开发】招生教育类APP开发,https://task.epwk.com/844611/,140人,1人,"¥21,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,招生教育类APP开发,直接雇佣￥ 21000,￥ 21000,任务编号：844611,413-500.csv,,,,,,"招生教育, APP开发"
【宣传册设计】app,https://task.epwk.com/844627/,519人,1人,"¥36,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,app,直接雇佣￥ 36000,￥ 36000,任务编号：844627,413-500.csv,,,,,,"app, 移动应用"
【其他软件开发】模仿一个网站页面,https://task.epwk.com/844631/,271人,1人,¥100,圆满完成,https://task.epwk.com/page495.html?m=6&o=7,模仿一个网站页面,直接雇佣￥ 100,￥ 100,任务编号：844631,413-500.csv,,,,,,"网站页面, 模仿"
域名商城,https://task.epwk.com/844640/,105人,1人,"¥20,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,域名商城,直接雇佣￥ 20000,￥ 20000,任务编号：844640,413-500.csv,,,,,,域名商城
【产品外观设计】医院环境设备建模设计项目尾款,https://task.epwk.com/844646/,1730人,1人,"¥16,000",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,医院环境设备建模设计项目尾款,直接雇佣￥ 16000,￥ 16000,任务编号：844646,413-500.csv,,,,,,"医院环境设备, 建模设计, 项目尾款"
【品牌策划】品牌全案,https://task.epwk.com/844652/,76人,1人,"¥3,500",圆满完成,https://task.epwk.com/page495.html?m=6&o=7,品牌全案,直接雇佣￥ 3500,￥ 3500,任务编号：844652,413-500.csv,,,,,,品牌全案
【小程序开发】H5开发二期,https://task.epwk.com/844654/,215人,1人,"¥3,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,H5开发二期,直接雇佣￥ 3000,￥ 3000,任务编号：844654,413-500.csv,,,,,,"H5开发, 二期"
【宣传策划】商业计划书,https://task.epwk.com/844655/,117人,1人,"¥4,300",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,商业计划书,直接雇佣￥ 4300,￥ 4300,任务编号：844655,413-500.csv,,,,,,商业计划书
【APP开发】建材行业门窗制造行业定制开发APP,https://task.epwk.com/844656/,400人,1人,"¥4,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,建材行业门窗制造行业定制开发APP,直接雇佣￥ 4000,￥ 4000,任务编号：844656,413-500.csv,,,,,,"建材行业, 门窗制造, APP定制"
【网店推广】全网整合营销,https://task.epwk.com/844660/,252人,1人,"¥6,800",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,全网整合营销,直接雇佣￥ 6800,￥ 6800,任务编号：844660,413-500.csv,,,,,,"全网营销, 营销策略"
【微信开发】微信平台开发,https://task.epwk.com/844662/,165人,1人,"¥5,800",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,微信平台开发,直接雇佣￥ 5800,￥ 5800,任务编号：844662,413-500.csv,,,,,,"微信平台, 开发"
【微信代运营】微信代运营,https://task.epwk.com/844667/,147人,1人,"¥5,200",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,微信代运营,直接雇佣￥ 5200,￥ 5200,任务编号：844667,413-500.csv,,,,,,"微信运营, 代运营"
【宣传策划】活动策划,https://task.epwk.com/844671/,119人,1人,"¥2,200",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,活动策划,直接雇佣￥ 2200,￥ 2200,任务编号：844671,413-500.csv,,,,,,活动策划
【口译】会议翻译,https://task.epwk.com/844684/,604人,1人,"¥49,900",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,会议翻译,直接雇佣￥ 49900,￥ 49900,任务编号：844684,413-500.csv,,,,,,会议翻译
【品牌策划】品牌全案,https://task.epwk.com/844687/,75人,1人,"¥2,300",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,品牌全案,直接雇佣￥ 2300,￥ 2300,任务编号：844687,413-500.csv,,,,,,品牌全案
【小程序开发】小程序开发,https://task.epwk.com/844688/,129人,1人,"¥46,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,小程序开发,直接雇佣￥ 46000,￥ 46000,任务编号：844688,413-500.csv,,,,,,小程序开发
【APP开发】商城app开发 一期,https://task.epwk.com/844690/,87人,1人,"¥49,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,商城app开发 一期,直接雇佣￥ 49000,￥ 49000,任务编号：844690,413-500.csv,,,,,,"商城app, 一期开发"
【APP开发】商城app开发 二期,https://task.epwk.com/844691/,105人,1人,"¥48,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,商城app开发 二期,直接雇佣￥ 48000,￥ 48000,任务编号：844691,413-500.csv,,,,,,"商城app, 二期开发"
【小程序开发】网站开发,https://task.epwk.com/844693/,130人,1人,"¥41,500",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,网站开发,直接雇佣￥ 41500,￥ 41500,任务编号：844693,413-500.csv,,,,,,网站开发
【展示设计】外墙视觉设计,https://task.epwk.com/844701/,618人,1人,"¥50,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,外墙视觉设计,直接雇佣￥ 50000,￥ 50000,任务编号：844701,413-500.csv,,,,,,"外墙视觉设计, 视觉设计"
【宣传策划】商业计划书,https://task.epwk.com/844702/,135人,1人,"¥3,200",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,商业计划书,直接雇佣￥ 3200,￥ 3200,任务编号：844702,413-500.csv,,,,,,商业计划书
【品牌策划】品牌全案,https://task.epwk.com/844711/,89人,1人,"¥4,500",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,品牌全案,直接雇佣￥ 4500,￥ 4500,任务编号：844711,413-500.csv,,,,,,品牌全案
【LOGO设计】红果绿蔬补水面膜设计生产包装,https://task.epwk.com/844715/,277人,1人,"¥49,998",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,红果绿蔬补水面膜设计生产包装,直接雇佣￥ 49998,￥ 49998,任务编号：844715,413-500.csv,,,,,,"红果绿蔬, 面膜设计, 包装"
财税企业软件开发一期,https://task.epwk.com/844717/,68人,1人,"¥12,700",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,财税企业软件开发一期,直接雇佣￥ 12700,￥ 12700,任务编号：844717,413-500.csv,,,,,,"财税企业软件, 软件开发"
【小程序开发】程序开发,https://task.epwk.com/844725/,168人,1人,"¥50,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,程序开发,直接雇佣￥ 50000,￥ 50000,任务编号：844725,413-500.csv,,,,,,程序开发
【小程序开发】程序开发二期,https://task.epwk.com/844726/,209人,1人,"¥50,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,程序开发二期,直接雇佣￥ 50000,￥ 50000,任务编号：844726,413-500.csv,,,,,,"程序开发, 二期"
小程序仓库功能网页版开发,https://task.epwk.com/844730/,55人,1人,"¥15,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,小程序仓库功能网页版开发,直接雇佣￥ 15000,￥ 15000,任务编号：844730,413-500.csv,,,,,,"小程序仓库功能, 网页版开发"
【APP开发】APP一期,https://task.epwk.com/844731/,93人,1人,"¥20,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,APP一期,直接雇佣￥ 20000,￥ 20000,任务编号：844731,413-500.csv,,,,,,"APP, 一期"
【APP开发】APP二期,https://task.epwk.com/844733/,128人,1人,"¥30,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,APP二期,直接雇佣￥ 30000,￥ 30000,任务编号：844733,413-500.csv,,,,,,"APP, 二期"
广告FLASH播放插件开发,https://task.epwk.com/844734/,58人,1人,"¥21,000",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,广告FLASH播放插件开发,直接雇佣￥ 21000,￥ 21000,任务编号：844734,413-500.csv,,,,,,"广告FLASH, 播放插件, 开发"
【小程序开发】微信小游戏开发,https://task.epwk.com/844735/,116人,1人,"¥49,999",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,微信小游戏开发,直接雇佣￥ 49999,￥ 49999,任务编号：844735,413-500.csv,,,,,,"微信小游戏, 开发"
【APP开发】配送APP开发,https://task.epwk.com/844736/,92人,1人,"¥49,999",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,配送APP开发,直接雇佣￥ 49999,￥ 49999,任务编号：844736,413-500.csv,,,,,,"配送APP, 开发"
【小程序开发】微信插件开发,https://task.epwk.com/844737/,156人,1人,"¥49,999",圆满完成,https://task.epwk.com/page494.html?m=6&o=7,微信插件开发,直接雇佣￥ 49999,￥ 49999,任务编号：844737,413-500.csv,,,,,,"微信插件, 开发"
