标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,知识
【小程序开发】手机淘宝自动搜索软件,https://task.epwk.com/699737/,442人,1人,"¥8,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,手机淘宝自动搜索软件,直接雇佣￥ 8000,￥ 8000,任务编号：699737,1196-1414.csv,,,,"手机淘宝, 自动搜索, 软件"
【LOGO设计】卡通形象设计,https://task.epwk.com/699748/,389人,1人,¥300,圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,卡通形象设计,直接雇佣￥ 300,￥ 300,任务编号：699748,1196-1414.csv,,,,"卡通形象, 设计"
【其他软件开发】游戏插件开发,https://task.epwk.com/699749/,487人,1人,"¥18,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,游戏插件开发,直接雇佣￥ 18000,￥ 18000,任务编号：699749,1196-1414.csv,,,,"游戏插件, 开发"
【LOGO设计】公司新年红包设计,https://task.epwk.com/699752/,485人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,公司新年红包设计,直接雇佣￥ 1500,￥ 1500,任务编号：699752,1196-1414.csv,,,,"新年红包, 设计"
【LOGO设计】新年礼袋设计,https://task.epwk.com/699754/,454人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,新年礼袋设计,直接雇佣￥ 1500,￥ 1500,任务编号：699754,1196-1414.csv,,,,"新年礼袋, 设计"
【LOGO设计】公司品牌logo设计/VI设计/标志设计/商标设计/茶叶餐饮家居建筑物流企业,https://task.epwk.com/699757/,348人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,公司品牌logo设计/VI设计/标志设计/商标设计/茶叶餐饮家居建筑物流企业,直接雇佣￥ 1000,￥ 1000,任务编号：699757,1196-1414.csv,,,,"公司品牌logo, VI设计, 商标设计, 茶叶餐饮家居建筑物流企业"
【APP开发】租房app源码,https://task.epwk.com/699759/,842人,1人,"¥25,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,租房app源码,直接雇佣￥ 25000,￥ 25000,任务编号：699759,1196-1414.csv,,,,"租房 app, 源码"
【LOGO设计】logo设计LOGO设计企业商标原创 公司品牌标志logo设计 微信公众号LOGO设计餐饮卡通,https://task.epwk.com/699764/,330人,1人,"¥13,820",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,logo设计LOGO设计企业商标原创 公司品牌标志logo设计 微信公众号LOGO设计餐饮卡通,直接雇佣￥ 13820,￥ 13820,任务编号：699764,1196-1414.csv,,,,"logo设计, 企业商标, 微信公众号LOGO设计, 餐饮卡通"
【企业官网】图书馆网站,https://task.epwk.com/699765/,118人,1人,"¥5,100",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,图书馆网站,直接雇佣￥ 5100,￥ 5100,任务编号：699765,1196-1414.csv,,,,"图书馆, 网站"
【LOGO设计】logo设计LOGO设计企业商标原创 公司品牌标志logo设计 微信公众号LOGO设计餐饮卡通,https://task.epwk.com/699766/,388人,1人,"¥10,240",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,logo设计LOGO设计企业商标原创 公司品牌标志logo设计 微信公众号LOGO设计餐饮卡通,直接雇佣￥ 10240,￥ 10240,任务编号：699766,1196-1414.csv,,,,"logo设计, 企业商标, 微信公众号LOGO设计, 餐饮卡通"
VIS手册设计,https://task.epwk.com/699767/,121人,1人,"¥8,900",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,VIS手册设计,直接雇佣￥ 8900,￥ 8900,任务编号：699767,1196-1414.csv,,,,VIS手册设计
【LOGO设计】logo设计LOGO设计企业商标原创 公司品牌标志logo设计 微信公众号LOGO设计餐饮卡通,https://task.epwk.com/699768/,327人,1人,"¥6,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,logo设计LOGO设计企业商标原创 公司品牌标志logo设计 微信公众号LOGO设计餐饮卡通,直接雇佣￥ 6000,￥ 6000,任务编号：699768,1196-1414.csv,,,,"logo设计, 企业商标, 微信公众号LOGO设计, 餐饮卡通"
【VI设计】咖啡logo设计,https://task.epwk.com/699772/,280人,1人,¥499,圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,咖啡logo设计,直接雇佣￥ 499,￥ 499,任务编号：699772,1196-1414.csv,,,,"咖啡, logo"
【PPT设计】ppt设计,https://task.epwk.com/699784/,296人,1人,¥200,圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,ppt设计,直接雇佣￥ 200,￥ 200,任务编号：699784,1196-1414.csv,,,,PPT设计
企业网站建设,https://task.epwk.com/699789/,130人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1231.html?m=6&o=7,企业网站建设,直接雇佣￥ 10000,￥ 10000,任务编号：699789,1196-1414.csv,,,,"企业网站, 建设"
宣传物料设计,https://task.epwk.com/699828/,75人,1人,"¥7,250",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,宣传物料设计,直接雇佣￥ 7250,￥ 7250,任务编号：699828,1196-1414.csv,,,,"宣传物料, 设计"
共享直播软件开发,https://task.epwk.com/699829/,89人,1人,"¥25,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,共享直播软件开发,直接雇佣￥ 25000,￥ 25000,任务编号：699829,1196-1414.csv,,,,"共享直播, 软件开发"
【LOGO设计】logo设计,https://task.epwk.com/699843/,369人,1人,"¥8,665",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,logo设计,直接雇佣￥ 8665,￥ 8665,任务编号：699843,1196-1414.csv,,,,logo设计
【LOGO设计】包装平面设计,https://task.epwk.com/699850/,509人,1人,"¥7,858",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,包装平面设计,直接雇佣￥ 7858,￥ 7858,任务编号：699850,1196-1414.csv,,,,"包装设计, 平面设计"
【LOGO设计】VI应用设计,https://task.epwk.com/699856/,646人,1人,"¥7,477",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,VI应用设计,直接雇佣￥ 7477,￥ 7477,任务编号：699856,1196-1414.csv,,,,"VI应用设计, VI设计, 应用设计"
【APP开发】游戏App开发,https://task.epwk.com/699860/,524人,1人,"¥75,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,游戏App开发,直接雇佣￥ 75000,￥ 75000,任务编号：699860,1196-1414.csv,,,,"游戏App, 开发"
【APP开发】视讯App开发,https://task.epwk.com/699863/,286人,1人,"¥75,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,视讯App开发,直接雇佣￥ 75000,￥ 75000,任务编号：699863,1196-1414.csv,,,,"视讯App, 开发"
【APP开发】团购网站及app开发一期,https://task.epwk.com/699864/,221人,1人,"¥51,700",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,团购网站及app开发一期,直接雇佣￥ 51700,￥ 51700,任务编号：699864,1196-1414.csv,,,,"团购网站, app开发, 一期"
【APP开发】团购网站及app开发二期,https://task.epwk.com/699865/,228人,1人,"¥54,300",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,团购网站及app开发二期,直接雇佣￥ 54300,￥ 54300,任务编号：699865,1196-1414.csv,,,,"团购网站, app开发, 二期"
【APP开发】外卖平台开发,https://task.epwk.com/699870/,192人,1人,"¥45,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,外卖平台开发,直接雇佣￥ 45000,￥ 45000,任务编号：699870,1196-1414.csv,,,,"外卖平台, 开发"
【APP开发】软件二开,https://task.epwk.com/699871/,280人,1人,"¥45,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,软件二开,直接雇佣￥ 45000,￥ 45000,任务编号：699871,1196-1414.csv,,,,软件二次开发
【APP开发】美拍app开发,https://task.epwk.com/699877/,204人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,美拍app开发,直接雇佣￥ 50000,￥ 50000,任务编号：699877,1196-1414.csv,,,,"美拍, app开发"
【企业官网】企业信息管理系统开发,https://task.epwk.com/699879/,281人,1人,"¥33,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,企业信息管理系统开发,直接雇佣￥ 33000,￥ 33000,任务编号：699879,1196-1414.csv,,,,"企业信息管理, 系统开发"
【小程序开发】微信程序开发,https://task.epwk.com/699901/,375人,1人,"¥11,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,微信程序开发,直接雇佣￥ 11000,￥ 11000,任务编号：699901,1196-1414.csv,,,,"微信程序, 开发"
【小程序开发】企业信息搜索微信小程序开发,https://task.epwk.com/699908/,295人,1人,"¥8,800",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,企业信息搜索微信小程序开发,直接雇佣￥ 8800,￥ 8800,任务编号：699908,1196-1414.csv,,,,"企业信息搜索, 微信小程序"
【小程序开发】企业信息搜索微信小程序开发第二期,https://task.epwk.com/699910/,482人,1人,"¥18,800",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,企业信息搜索微信小程序开发第二期,直接雇佣￥ 18800,￥ 18800,任务编号：699910,1196-1414.csv,,,,"企业信息搜索, 微信小程序, 小程序开发"
【别墅设计】东桥6层农村别墅设计,https://task.epwk.com/699912/,402人,1人,"¥28,500",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,东桥6层农村别墅设计,直接雇佣￥ 28500,￥ 28500,任务编号：699912,1196-1414.csv,,,,"东桥, 农村别墅, 设计"
【手游开发】工地安全教育类UE4游戏开发,https://task.epwk.com/699914/,1049人,1人,"¥62,400",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,工地安全教育类UE4游戏开发,直接雇佣￥ 62400,￥ 62400,任务编号：699914,1196-1414.csv,,,,"工地安全教育, UE4游戏, 安全知识"
【小程序开发】开发实时里程兑换小工具,https://task.epwk.com/699918/,189人,1人,"¥24,100",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,开发实时里程兑换小工具,直接雇佣￥ 24100,￥ 24100,任务编号：699918,1196-1414.csv,,,,"实时里程, 兑换工具"
【小程序开发】社区团购小程序带团长功能,https://task.epwk.com/699933/,173人,1人,"¥12,120",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,社区团购小程序带团长功能,直接雇佣￥ 12120,￥ 12120,任务编号：699933,1196-1414.csv,,,,"社区团购, 小程序, 团长功能"
【微博营销】微博代运营,https://task.epwk.com/699936/,1250人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,微博代运营,直接雇佣￥ 20000,￥ 20000,任务编号：699936,1196-1414.csv,,,,"微博运营, 代运营"
【LOGO设计】商标设计,https://task.epwk.com/699937/,195人,1人,"¥3,188",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,商标设计,直接雇佣￥ 3188,￥ 3188,任务编号：699937,1196-1414.csv,,,,商标设计
【宣传单设计】单页设计,https://task.epwk.com/699944/,683人,1人,¥200,圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,单页设计,直接雇佣￥ 200,￥ 200,任务编号：699944,1196-1414.csv,,,,单页设计
【手游开发】工地安全教育类UE4游戏开发,https://task.epwk.com/699947/,818人,1人,"¥28,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,工地安全教育类UE4游戏开发,直接雇佣￥ 28000,￥ 28000,任务编号：699947,1196-1414.csv,,,,"工地安全教育, UE4游戏, 安全知识"
【其他管理软件】智能锁行业crm软件开发,https://task.epwk.com/699952/,1542人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,智能锁行业crm软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：699952,1196-1414.csv,,,,"智能锁, CRM软件, 软件开发"
【其他管理软件】智能锁行业crm软件开发第二期,https://task.epwk.com/699954/,1473人,1人,"¥47,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,智能锁行业crm软件开发第二期,直接雇佣￥ 47000,￥ 47000,任务编号：699954,1196-1414.csv,,,,"智能锁行业, CRM软件, 软件开发"
【企业官网】大型外贸企业外贸营销型展示网站,https://task.epwk.com/699969/,288人,1人,"¥2,900",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,大型外贸企业外贸营销型展示网站,直接雇佣￥ 2900,￥ 2900,任务编号：699969,1196-1414.csv,,,,"外贸企业, 外贸营销, 展示网站"
【企业官网】教育企业网站,https://task.epwk.com/699976/,147人,1人,"¥5,500",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,教育企业网站,直接雇佣￥ 5500,￥ 5500,任务编号：699976,1196-1414.csv,,,,"教育企业, 网站设计"
【产品外观设计】儿童钓鱼玩具外观设计,https://task.epwk.com/699982/,1423人,1人,"¥27,000",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,儿童钓鱼玩具外观设计,直接雇佣￥ 27000,￥ 27000,任务编号：699982,1196-1414.csv,,,,"儿童钓鱼玩具, 外观设计"
【手机网站】百货团购微信小程序,https://task.epwk.com/699986/,443人,1人,"¥6,800",圆满完成,https://task.epwk.com/page1230.html?m=6&o=7,百货团购微信小程序,直接雇佣￥ 6800,￥ 6800,任务编号：699986,1196-1414.csv,,,,"百货团购, 微信小程序"
【APP开发】修改bug,https://task.epwk.com/700011/,389人,1人,¥900,圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,修改bug,直接雇佣￥ 900,￥ 900,任务编号：700011,1196-1414.csv,,,,bug修改
APP同城开发一期,https://task.epwk.com/700053/,73人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,APP同城开发一期,直接雇佣￥ 50000,￥ 50000,任务编号：700053,1196-1414.csv,,,,"APP同城, 开发, 一期"
【VI设计】外包LOGO设计,https://task.epwk.com/700062/,264人,1人,¥300,圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,外包LOGO设计,直接雇佣￥ 300,￥ 300,任务编号：700062,1196-1414.csv,,,,"LOGO设计, 外包"
【LOGO设计】化妆品LOGO设计,https://task.epwk.com/700063/,414人,1人,¥300,圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,化妆品LOGO设计,直接雇佣￥ 300,￥ 300,任务编号：700063,1196-1414.csv,,,,"化妆品, LOGO设计"
【详情页设计】详情页设计 淘宝详情页 京东详情页 产品详情页,https://task.epwk.com/700074/,495人,1人,"¥17,500",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,详情页设计 淘宝详情页 京东详情页 产品详情页,直接雇佣￥ 17500,￥ 17500,任务编号：700074,1196-1414.csv,,,,"详情页设计, 淘宝详情页, 京东详情页, 产品详情页"
【详情页设计】海报设计,https://task.epwk.com/700075/,467人,1人,"¥1,600",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,海报设计,直接雇佣￥ 1600,￥ 1600,任务编号：700075,1196-1414.csv,,,,海报设计
【产品推广】垚窑鸡微信代运营第六期,https://task.epwk.com/700088/,452人,1人,"¥25,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,垚窑鸡微信代运营第六期,直接雇佣￥ 25000,￥ 25000,任务编号：700088,1196-1414.csv,,,,"垚窑鸡, 微信代运营"
【微信代运营】垚窑鸡微信代运营第七期,https://task.epwk.com/700089/,581人,1人,"¥29,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,垚窑鸡微信代运营第七期,直接雇佣￥ 29000,￥ 29000,任务编号：700089,1196-1414.csv,,,,"垚窑鸡, 微信代运营, 第七期"
【APP推广】美多多app代运营第四期,https://task.epwk.com/700090/,459人,1人,"¥38,700",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,美多多app代运营第四期,直接雇佣￥ 38700,￥ 38700,任务编号：700090,1196-1414.csv,,,,"美多多app, 代运营, 第四期"
【APP推广】美多多app代运营第五期,https://task.epwk.com/700091/,390人,1人,"¥38,700",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,美多多app代运营第五期,直接雇佣￥ 38700,￥ 38700,任务编号：700091,1196-1414.csv,,,,"美多多app, 代运营, 第五期"
【小程序开发】程序开发设计,https://task.epwk.com/700112/,508人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,程序开发设计,直接雇佣￥ 10000,￥ 10000,任务编号：700112,1196-1414.csv,,,,"程序开发, 设计"
【包装设计】LOGO设计,https://task.epwk.com/700144/,161人,1人,¥624,圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,LOGO设计,直接雇佣￥ 624,￥ 624,任务编号：700144,1196-1414.csv,,,,LOGO设计
【VI设计】合作专用链接,https://task.epwk.com/700151/,196人,1人,¥499,圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,合作专用链接,直接雇佣￥ 499,￥ 499,任务编号：700151,1196-1414.csv,,,,合作链接
【其他家装服务】店铺装修设计图,https://task.epwk.com/700153/,572人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,店铺装修设计图,直接雇佣￥ 20000,￥ 20000,任务编号：700153,1196-1414.csv,,,,"店铺装修, 设计图"
【企业官网】音乐网站开发,https://task.epwk.com/700156/,233人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,音乐网站开发,直接雇佣￥ 40000,￥ 40000,任务编号：700156,1196-1414.csv,,,,"音乐网站, 网站开发"
【APP开发】类似跑腿的商城APP开发,https://task.epwk.com/700157/,173人,1人,"¥23,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,类似跑腿的商城APP开发,直接雇佣￥ 23000,￥ 23000,任务编号：700157,1196-1414.csv,,,,"跑腿, 商城APP, APP开发"
【VI设计】地产项目月度提报,https://task.epwk.com/700161/,211人,1人,"¥19,965",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,地产项目月度提报,直接雇佣￥ 19965,￥ 19965,任务编号：700161,1196-1414.csv,,,,"地产项目, 月度提报"
【LOGO设计】【久铭乐】商标、网站、企业商业餐饮品牌门店公司logo设计,https://task.epwk.com/700163/,348人,1人,"¥22,900",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,【久铭乐】商标、网站、企业商业餐饮品牌门店公司logo设计,直接雇佣￥ 22900,￥ 22900,任务编号：700163,1196-1414.csv,,,,"商标, 企业品牌, 餐饮品牌, 公司logo设计"
【APP开发】团购网站及app开发二期,https://task.epwk.com/700168/,139人,1人,"¥25,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,团购网站及app开发二期,直接雇佣￥ 25000,￥ 25000,任务编号：700168,1196-1414.csv,,,,"团购网站, app开发, 二期"
【软件UI设计】卡通风格游戏中心整包（一期）,https://task.epwk.com/700179/,1089人,1人,"¥120,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,卡通风格游戏中心整包（一期）,直接雇佣￥ 120000,￥ 120000,任务编号：700179,1196-1414.csv,,,,"卡通风格, 游戏中心, 整包开发"
【APP推广】专业推广注册下载,https://task.epwk.com/700189/,293人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,专业推广注册下载,直接雇佣￥ 1000,￥ 1000,任务编号：700189,1196-1414.csv,,,,"专业推广, 注册下载"
【产品外观设计】儿童悠悠车外观设计,https://task.epwk.com/700191/,1625人,1人,"¥28,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,儿童悠悠车外观设计,直接雇佣￥ 28000,￥ 28000,任务编号：700191,1196-1414.csv,,,,"儿童悠悠车, 外观设计"
【整合营销】川菜调味料经销商招商方案,https://task.epwk.com/700202/,1943人,1人,"¥1,000",待验收,,川菜调味料经销商招商方案,直接雇佣￥ 1000,￥ 1000,任务编号：700202,0-88.csv,,,,"川菜调味料, 经销商, 招商方案"
【剪辑服务】元旦滑雪活动特别镜头MV制作,https://task.epwk.com/700209/,644人,1人,"¥1,960",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,元旦滑雪活动特别镜头MV制作,直接雇佣￥ 1960,￥ 1960,任务编号：700209,1196-1414.csv,,,,"特别镜头, MV制作"
旅游类小程序,https://task.epwk.com/700211/,120人,1人,"¥15,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,旅游类小程序,直接雇佣￥ 15000,￥ 15000,任务编号：700211,1196-1414.csv,,,,"旅游小程序, 小程序开发"
【其他软件开发】画板添加QGraphicsTextItem可编辑控件,https://task.epwk.com/700214/,687人,1人,"¥1,980",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,画板添加QGraphicsTextItem可编辑控件,直接雇佣￥ 1980,￥ 1980,任务编号：700214,1196-1414.csv,,,,"画板, QGraphicsTextItem, 可编辑控件"
【H5开发】新春送好礼H5页面开发,https://task.epwk.com/700218/,1617人,1人,"¥1,940",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,新春送好礼H5页面开发,直接雇佣￥ 1940,￥ 1940,任务编号：700218,1196-1414.csv,,,,"新春送好礼, H5页面, 页面开发"
【会员卡设计】新年新春特制会员卡样式设计,https://task.epwk.com/700222/,824人,1人,"¥1,950",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,新年新春特制会员卡样式设计,直接雇佣￥ 1950,￥ 1950,任务编号：700222,1196-1414.csv,,,,"新年新春, 会员卡设计, 样式设计"
【APP开发】音乐软件bug修复,https://task.epwk.com/700225/,163人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,音乐软件bug修复,直接雇佣￥ 5000,￥ 5000,任务编号：700225,1196-1414.csv,,,,"音乐软件, bug修复"
【企业官网】政府部门门户网站开发,https://task.epwk.com/700228/,232人,1人,"¥9,843",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,政府部门门户网站开发,直接雇佣￥ 9843,￥ 9843,任务编号：700228,1196-1414.csv,,,,"政府部门网站, 门户网站开发"
【企业官网】政府部门门户子系统开发,https://task.epwk.com/700229/,270人,1人,"¥4,968",圆满完成,https://task.epwk.com/page1229.html?m=6&o=7,政府部门门户子系统开发,直接雇佣￥ 4968,￥ 4968,任务编号：700229,1196-1414.csv,,,,"政府部门门户, 子系统开发"
【宣传册设计】宣传画册设计排版,https://task.epwk.com/700238/,530人,1人,"¥6,800",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,宣传画册设计排版,直接雇佣￥ 6800,￥ 6800,任务编号：700238,1196-1414.csv,,,,"宣传画册, 设计排版"
【APP开发】IOS商城开发,https://task.epwk.com/700257/,344人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,IOS商城开发,直接雇佣￥ 20000,￥ 20000,任务编号：700257,1196-1414.csv,,,,"IOS商城, 开发"
【APP开发】Android端商城开发,https://task.epwk.com/700261/,406人,1人,"¥18,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,Android端商城开发,直接雇佣￥ 18000,￥ 18000,任务编号：700261,1196-1414.csv,,,,"Android端, 商城, 开发"
【VI设计】描述映像摄影,https://task.epwk.com/700270/,427人,1人,"¥13,264",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,描述映像摄影,直接雇佣￥ 13264,￥ 13264,任务编号：700270,1196-1414.csv,,,,映像摄影
【小程序开发】行者车服项目尾款,https://task.epwk.com/700278/,169人,1人,"¥21,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,行者车服项目尾款,直接雇佣￥ 21000,￥ 21000,任务编号：700278,1196-1414.csv,,,,"行者车服, 尾款"
【APP界面设计】手机UI界面设计、微网站设计—【北京悠然团队】,https://task.epwk.com/700285/,376人,1人,¥600,圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,手机UI界面设计、微网站设计—【北京悠然团队】,直接雇佣￥ 600,￥ 600,任务编号：700285,1196-1414.csv,,,,"手机UI设计, 微网站设计, 北京悠然团队"
【新房装修】和宁里安置房套房设计,https://task.epwk.com/700295/,903人,1人,"¥2,500",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,和宁里安置房套房设计,直接雇佣￥ 2500,￥ 2500,任务编号：700295,1196-1414.csv,,,,"和宁里安置房, 套房设计"
【APP开发】艺术拍卖类APP中期款,https://task.epwk.com/700300/,406人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,艺术拍卖类APP中期款,直接雇佣￥ 5000,￥ 5000,任务编号：700300,1196-1414.csv,,,,"艺术拍卖, APP, 中期款"
【小程序开发】开发优惠券识别系统,https://task.epwk.com/700301/,147人,1人,"¥27,800",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,开发优惠券识别系统,直接雇佣￥ 27800,￥ 27800,任务编号：700301,1196-1414.csv,,,,"优惠券识别, 系统开发"
【小程序开发】搭建优惠券交易平台,https://task.epwk.com/700303/,617人,1人,"¥29,600",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,搭建优惠券交易平台,直接雇佣￥ 29600,￥ 29600,任务编号：700303,1196-1414.csv,,,,"优惠券, 交易平台"
【小程序开发】开发支付宝付款程序,https://task.epwk.com/700310/,264人,1人,"¥29,800",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,开发支付宝付款程序,直接雇佣￥ 29800,￥ 29800,任务编号：700310,1196-1414.csv,,,,"支付宝付款, 程序开发"
【主图设计】主图设计 淘宝轮播图 活动图片 海报设计,https://task.epwk.com/700344/,2669人,1人,"¥33,415",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,主图设计 淘宝轮播图 活动图片 海报设计,直接雇佣￥ 33415,￥ 33415,任务编号：700344,1196-1414.csv,,,,"主图设计, 淘宝轮播图, 活动图片, 海报设计"
【包装设计】包装设计,https://task.epwk.com/700350/,199人,1人,"¥18,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,包装设计,直接雇佣￥ 18000,￥ 18000,任务编号：700350,1196-1414.csv,,,,包装设计
【海报设计】地产项目月度提报,https://task.epwk.com/700360/,265人,1人,"¥9,575",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,地产项目月度提报,直接雇佣￥ 9575,￥ 9575,任务编号：700360,1196-1414.csv,,,,"地产项目, 月度提报"
【OA系统】办公管理软件开发,https://task.epwk.com/700364/,1586人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,办公管理软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：700364,1196-1414.csv,,,,"办公管理, 软件开发"
返利小程序多余金额返还,https://task.epwk.com/700367/,131人,1人,¥600,圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,返利小程序多余金额返还,直接雇佣￥ 600,￥ 600,任务编号：700367,1196-1414.csv,,,,"返利小程序, 金额返还"
【网站二次开发】网站二次搭建,https://task.epwk.com/700380/,301人,1人,"¥1,200",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,网站二次搭建,直接雇佣￥ 1200,￥ 1200,任务编号：700380,1196-1414.csv,,,,"网站二次开发, 网站搭建"
【小程序开发】智能陪护床APP小程序系统智能陪护床行业系统方案开发,https://task.epwk.com/700385/,2321人,1人,"¥44,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,智能陪护床APP小程序系统智能陪护床行业系统方案开发,直接雇佣￥ 44000,￥ 44000,任务编号：700385,1196-1414.csv,,,,"智能陪护床, APP小程序, 行业系统方案"
【VI设计】企业VI应用设计,https://task.epwk.com/700394/,910人,1人,"¥10,950",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,企业VI应用设计,直接雇佣￥ 10950,￥ 10950,任务编号：700394,1196-1414.csv,,,,"企业VI, 设计, 应用"
【小程序开发】一期exce项目尾款,https://task.epwk.com/700397/,334人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,一期exce项目尾款,直接雇佣￥ 2000,￥ 2000,任务编号：700397,1196-1414.csv,,,,一期exce项目尾款
【小程序开发】一期exce项目尾款,https://task.epwk.com/700409/,156人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,一期exce项目尾款,直接雇佣￥ 1000,￥ 1000,任务编号：700409,1196-1414.csv,,,,一期exce项目尾款
