标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,字段1_link,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【公司起名】贸易公司起名,https://task.epwk.com/424956/,3460人,79人,¥300,圆满完成,单人悬赏,renyaping_1999,"颜料主商贸公司名称征集，本公司位于河北廊坊市        经营介绍：主营颜料。 主营男装的设计和销售，也有部分女装，消费人群以18-35岁男性为主， 服装特色：时尚休闲而不招摇，成熟稳重而不古板。                            产品主要二类：                                            1、主要以销售颜料为主2、经销化工原材料（不包含危险品）                                                        要求：                                            1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的) 三个字以上。                                       2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。 4、原起名华锦新美不能用，起名要求体现色彩艳丽，美丽。5、起名最好包含诚实守信的意义在里面。                                      知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.06.01,2016.07.05,任务编号：424956,￥ 300,104,竹叶常青设计工作室,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】童鞋、童装品牌取名,https://task.epwk.com/424842/,3065人,45人,¥100,圆满完成,单人悬赏,bofy,童鞋、童装品牌取名：该品牌名称用于商标注册，适用于童鞋与童装。1、童鞋、童装品牌取一个中文名字还可以英文缩写的名字，英文名称相近，不要太长以及难记，名字字数在4个字之内。注（必须可以注册商标，可以注册25类）  2、名字要时尚，大气，简约，有内涵，易记忆，可爱一点，不失童真，无生僻字，朗朗上口，易于传播。3、由于是跨品类产品，所以要求包容性强，不要偏向于童装或者童鞋。【注意事项】1、还请大家创意作品后，在中国商标网上，查询未被注册后再发上来吧。好多名字都被注册了。2、衷心的感谢每一位用心参与的设计师，非常感谢大家。3、若无法通过注册，中标威客务必配合我公司进行修改 。所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任【知识产权说明】1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任； 2、设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改，组合和应用，设计者不得再向其他任何地方使用该设计作品。,2016.05.31,2016.06.18,任务编号：424842,￥ 100,53,竹叶常青设计工作室,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】宝宝名称征集,https://task.epwk.com/424785/,4721人,71人,¥188,圆满完成,单人悬赏,鹭岛水手,宝宝出生时间 阳历：2015年3月2日00:45分出生地点：厦门市姓：翁。性别：男父姓：翁（高管），  母姓：郭（医生）说明：宝宝小名墨墨，英文名moke，取至成语及典故：翰林子墨，骚翁墨客曾取名：翁志秋，五行五格100分名取自：李世民《经破薛举战地》“志与秋霜洁”昔年怀壮气，提戈初仗节。心随朗日高，志与秋霜洁。移锋惊电起，转战长河决。营碎落星沉，阵卷横云裂时间一久看名字还是俗套，还是对外征集，要求如下：具体要求：1、字音好：读起来顺口、字音悦耳，注意阴阳平仄，富于节奏感，朗朗上口（顺溜不拗口），不要有不好的谐音，不易联想起外号2、字义好：寓意深刻、蕴涵丰富、有典故出处3、构思好：清新不俗、独具特色、与众不同4、重要 数理好：生克平衡、五行相生，利喜用神，五格、三才全吉祥如意5、易认易念易写，好听好看好记，无歧意无不良联想谐音，吉利吉庆吉祥 重要要求：名字要符合传统命理五行、数理格局。请结合周易五行八卦的算法、生辰八字、五行旺衰喜忌进行综合分析，交稿时附带详尽的名称寓意，命理分析，解释名字并说明名字和生辰八字的联系，提交详细的起名方案。备注：来到这里希望集思广益，烦请各位朋友帮忙，请有缘人给我家宝贝起个名字和小名，谢谢！请勿敷衍了事让雇主先中标再提交详细方案，如果您的方案确实让我们满意，我们会中标后再追加费用以表示我们的谢意。,2016.05.31,2016.06.23,任务编号：424785,￥ 188,84,名理衡真,https://shop.epwk.com/zqdpllw46n1v/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】珠宝品牌命名,https://task.epwk.com/424746/,2886人,56人,¥100,圆满完成,单人悬赏,跑跑小蜗牛,为珠宝品牌命名，要求写出理念及品牌故事（主要经营银饰）,2016.05.30,2016.07.16,任务编号：424746,￥ 100,73,mf18852981539,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】急需宠物超市起名,https://task.epwk.com/424629/,3352人,84人,¥100,圆满完成,单人悬赏,mf185****8953,"宠物超市起名，本公司位于宁夏银川。                            经营介绍： 我们主要提供宠物用品、服务以及宠物的婚介等等宠物周边的服务                            产品主要三类：                                            1、宠物用品类                            2、宠物服务以及宠物的婚介等周边服务                            3、宠物交友圈子                            要求：                                            1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)                                        2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.05.30,2016.06.16,任务编号：424629,￥ 100,103,zhen634027290,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】科技公司起名,https://task.epwk.com/424482/,4152人,57人,¥100,圆满完成,单人悬赏,诚心开发,起个公司名字 要求能过商标注册9 42 35类 能过上海工商局查名 两字的 信息科技有限公司或网络科技有限公司 科技类的 名字要符合这类 包含 杰，宇， 恒 ，腾， 智， 达， 成， 诚， 盛， 希，博，星，晨，优，复，嘉，佳，虹等等 最好杰，恒，智，腾开头，带宇，虹更好 感谢==  不得侵犯他人商标权知识产品  要过上海工商局查名和商标局哦- - 不过肯定不行的 = =,2016.05.29,2016.06.25,任务编号：424482,￥ 100,77,石枯沙老,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】工贸公司起名,https://task.epwk.com/424502/,3216人,49人,¥100,圆满完成,单人悬赏,mf186****7972,"1、我公司主营有两部分三菱重工中央空调的代理销售业务以及铁艺护栏大门、铝艺大门、不锈钢护栏等高端产品的设计、制作、安装.
2、名字能注册成功.2到4个字都可以。最好2个字，但必须能注册。青岛XX工贸有限公司
3、名称通俗易懂，让人看一眼就容易记得住。  
4、要带有一定的寓意内涵，比如诚信、品质、高端、发财等等。


名起好后，请附上说明，说明主要目的是对这名称象征性的意义是什么？",2016.05.30,2016.06.12,任务编号：424502,￥ 100,62,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】培训教育“网站”起名,https://task.epwk.com/424336/,6212人,78人,¥500,圆满完成,单人悬赏,薛憨子,征集内容：潢川学嘉文化传媒有限公司下属学嘉教育培训学校两个校区和湖北襄阳教育科技有限公司。主要业务、教育培训和命制试卷。旨在为“学嘉教育”寻找独一无二的公司网站名称。请参考一下“知了”网站的名称，  “ 知是智慧，了是觉悟”。来知了，真值了！作品要求：1、        网站名称须为原创，符合国家法律、法规，不得与其他相关雷同或相似，且未被注册。2、        网站名称如“知了”一样简洁明了且有寓意，属于识别记忆和推广传播。3、   网站名称须与学嘉传媒经营的教育培训方向相吻合。4、        作品须附设计说明（不少于50字）详述网站起名的构思。知了网（www.zhiliao360.com）是一个基于网络控制下的学生自主学习平台，旨在提高学生学习成绩，提升学生自主学习能力，培养学生自主学习习惯。知了网秉承寓教于乐、轻娱乐学习的宗旨，广泛运用视频、动漫与知识点结合，课程呈现方式新颖特别；互动游戏的设置和社区型学习的全新呈现，交互性强；闯关模式和PK竞技游戏的突破性设计，学习模式丰富多彩，能够快速地激发学生学习的兴趣，形成持续性学习的好习惯。知了网采用线上线下结合的方法，网站配合《学生自主学习手册》，深化学习内容。通过微信的隐形监控，可以让家长随时掌握孩子的学习状态和学习进度，并通过整体把控，保证学生学习方向的正确性和有效性。,2016.05.28,2016.06.16,任务编号：424336,￥ 500,119,高易策划,https://shop.epwk.com/zqdpl4gpkn1v/,https://shop.epwk.com/zqdpl4gpkn1v/chushou/,工作室,七品,40分,,,公司起名设计服务,价格面议,宝宝起名服务,价格面议,店铺命名服务,价格面议,品牌起名,价格面议,LOGO原创设计,价格面议,网店美化设计,"￥1
            /次",广告语创作,"￥1
            /次",软文写作,价格面议,,
【公司起名】山楂系列食品取名,https://task.epwk.com/424311/,4841人,66人,¥100,圆满完成,单人悬赏,新华公司,"理想的商标应具备五种特性：识别性、传达性、审美性、适应性、时代性。A识别性：是商标最基本的功能，商标的特殊性质和作用决定了商标必须具备独特的个性，不允许雷同混淆。B传达性：个性特色越鲜明，视觉表现感染力就越强，刺激的程度就越深。现代商标不仅仅是起到了商品的区别标记作用，还要通过商标表达一定的含义，传达明确的信息，包括企业的经营理念，产品性能用途等，从这个意义上讲，商标应如同信号一样确切，易于辨识了解。C审美性：商标应该简洁、易读、易记，应具有简练清晰的视觉效果和感染力。D适应性：商标的表现形式还必须适应不同材质、不同技术、不同条件的挑战，无论黑白彩色，放大缩小如何变化，都要尊崇系统化和标准化的规定。E时代性：商标必须适应时代的发展，在适当的时候进行合理的调整以避免被时代所淘汰。                                                                                                            :好听  好记 山楂系列  三个字或着四个字1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;            2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.05.28,2017.12.15,任务编号：424311,￥ 100,78,竹叶常青设计工作室,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】医药软件科技公司起名,https://task.epwk.com/424234/,3400人,68人,¥100,圆满完成,单人悬赏,songbiz,公司名称：???信息技术有限公司公司主要业务：从事医药互联网产业资源整合，具体包括       医药电商咨询顾问服务       医药电商代运营       医药电商线上管理系统       医药线下管理系统名字要求：2-3个字，最好有解释以及域名建议。可以包含“松”或”盛”字，也可以不含。,2016.05.27,2016.07.05,任务编号：424234,￥ 100,81,竹叶常青设计工作室,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】小儿推拿馆取名,https://task.epwk.com/424137/,4122人,66人,¥100,圆满完成,单人悬赏,mf150****8005,为针对0-12岁小孩推拿保健馆取名，要求简洁大方易记且较严谨，未注册商标,2016.05.27,2016.06.24,任务编号：424137,￥ 100,76,脚本开发，数据采集,https://shop.epwk.com/3gd2mvyjvner/,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】品牌广告语,https://task.epwk.com/423992/,6534人,110人,¥100,圆满完成,单人悬赏,Applechan,PADDY WOOD 是一个原创设计师的休闲鞋品牌，以帆布和板鞋为主；目前想表达这是一个叛逆不羁的文艺青年品牌需要一句广告语，举例：英特尔——给电脑一颗奔腾的心UPS快递——珍惜所托，一如亲递M&M巧克力——只溶在口，不溶在手,2016.05.26,2016.06.17,任务编号：423992,￥ 100,142,创意大脑工作室,https://shop.epwk.com/3gd2mmmypner/,https://shop.epwk.com/3gd2mmmypner/chushou/,工作室,九品,37分,,,,,,,,,,,,,,,,,,,,
【公司起名】为特种装备制造公司起名（商号名称）,https://task.epwk.com/423870/,2900人,46人,¥100,圆满完成,单人悬赏,张鑫xhc,1、公司隶属于新宏昌重工集团（新宏昌重工集团是集装卸运一体化的卡车制造商与服务提供商）。2、公司地理位置位于江苏省扬州市。3、公司生产的产品为特种装备，打造装卸运与一体的模块化设备组合，包含：1）起重设备及其零配件（包含随车起重机、铁路起重机和检测维修机具、煤矿起重机、船用起重机、集装箱侧面起重机、建筑起重机、工厂轨道起重机、消防起重机、军用起重机、石油装备起重机、林业起重机、综合服务车等产品板块）2）装、卸、运设备及其里配件。（并适时拓展原木抓具、铁屑抓具、螺旋钻杆、液压剪、电磁吸盘等抓辅具在起重机上的应用等）4、产品主要面向的客户：1）军队军用品、铁路、消防、船舶港口等；2）建筑施工以及园林施工等单位。5、名称文字的数量以2个字为宜，最多不超过4个字。,2016.05.26,2016.06.23,任务编号：423870,￥ 100,62,xdfswyyg,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】小家电店铺起名,https://task.epwk.com/423800/,3606人,85人,¥150,圆满完成,单人悬赏,面向未来58,给卖小家电的店铺起个让人地看就能记住的好名字 一，本店经营各系列小家电：1，厨房系列2，居室环境系列产品3，居室清洁系列4，取暖器类5，小视听系列产品等二，取店名要求：1，通俗易懂，让人看一眼就容易记得住。  2，要带有一定的寓意内涵，比如说带有生意兴隆，财源昌盛的意思。三，店名起好后，请附上说明，说明主要目的是对起这店名象征性的意义是什么？,2016.05.25,2016.06.12,任务编号：423800,￥ 150,99,竹叶常青设计工作室,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】城市品牌广告语,https://task.epwk.com/423611/,4719人,69人,¥100,圆满完成,单人悬赏,羊兔子呢,虎林市位于黑龙江省东部的完达山南麓，以乌苏里江为界与俄罗斯联邦隔水相望，虎林的六大核心资源有：1、珍宝岛湿地，跨越中俄的最美湿地2、乌苏里江，乌苏里江起点3、珍宝岛，珍宝岛自卫反击战遗址4、虎头要塞，第二次世界大战的终结地5、虎林口岸，唯一陆路口岸，通往俄罗斯6、美食特产，纯天然绿色食品虎林元素吸引力排行前五：乌苏里江风光野生动物边境风光江产美食二战遗址请大家根据以上信息，为虎林想一下量身定制的口号，可以是以红色文化为主，也可以是以资源为主，以感受为主，类型不限，字数不限,2016.05.25,2016.07.01,任务编号：423611,￥ 100,93,zhihuigu,https://shop.epwk.com/78dljxlrl5lx/,https://shop.epwk.com/78dljxlrl5lx/chushou/,企业,七品,37分,,,,,,,,,,,,,,,,,,,,
【品牌起名】摄像机电池品牌,https://task.epwk.com/423519/,2982人,69人,¥300,圆满完成,单人悬赏,fskj,"1、2--3个字。英文译音也可以。2、符合广电、影视行业特点。3、体现电池的容量大，使用时间长。3、含有“赛”“凡”的优先。4、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任。5、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2016.05.24,2016.12.28,任务编号：423519,￥ 300,81,厦门半蓝品牌设计 —— 洞见 · 智变,https://shop.epwk.com/7g5ykkqq9n0q/,https://shop.epwk.com/7g5ykkqq9n0q/chushou/,企业,四品,43分,,,LOGO/VIS设计,价格面议,广告画册设计,价格面议,创意海报设计,价格面议,产品包装设计,价格面议,,,,,,,,,,
【品牌起名】商标名称征集,https://task.epwk.com/423330/,2878人,85人,¥300,圆满完成,单人悬赏,图臣,主做: 茶叶，茶点，茶具。求一品牌名称备注:必须可以注册。2-4个字,2016.05.24,2016.06.20,任务编号：423330,￥ 300,95,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】超市起名,https://task.epwk.com/423451/,5021人,139人,¥160,圆满完成,单人悬赏,mf135****5589,要求：寓意好，朗朗上口，过目不忘，工商注册能通过的！,2016.05.24,2016.06.13,任务编号：423451,￥ 160,161,沙三郎品牌策划机构的店铺,https://shop.epwk.com/89dvg9mowdl2/,https://shop.epwk.com/89dvg9mowdl2/chushou/,个人,七品,37分,,,,,,,,,,,,,,,,,,,,
【公司起名】科技公司取名,https://task.epwk.com/423433/,3063人,79人,¥100,圆满完成,雇佣,Mr159****3249,"主营软件开发与销售要求凸显公司产品专业，服务到位。比较容易记住听起来像是做科技或软件的公司名字：2字名字必须要注册使用了知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.05.24,2016.08.26,任务编号：423433,￥ 100,99,mf15211029507,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】某家居品牌征集广告语,https://task.epwk.com/423342/,3900人,71人,¥300,圆满完成,单人悬赏,Andg188,"我们有个品牌叫南纳 想要个品牌广告语  （黑胡桃木的 跟多少家家居差不多的）“多少”是个同行业的家具品牌 ，具体看需求文档，知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品",2016.05.24,2018.02.17,任务编号：423342,￥ 300,126,乐活创享,https://shop.epwk.com/omdwkxo1qdrp/,,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】男宝宝起名,https://task.epwk.com/423241/,6131人,117人,¥200,圆满完成,单人悬赏,十年唯美,男宝宝2016年4月27日05:10-05:20分之间出生，父亲姓武，母姓王。1、起不俗气，大气，有内涵，有诗意、有深度，有厚度的名字2、能有渊源，比如诗经里的之类的也不错3、会看生辰八字，和生辰八字对上那就更好。4、名字全长3个字，注：任务最少要起两个名字，1：名字更具个人学识自由发挥。2：第二个字是 研  所以要武研什么....更具亲们的学识自由发挥最后一个字。要有寓意、诗意、内涵、避免不雅同音词谢绝电脑软件起名，谢绝免费起名系统起名。 交稿时附带详尽的名称寓意及出处，命理分析，解释名字并说明，提交详细的起名方案不喜欢人海战术，给的名字多于6个的直接掠过。贵精不贵多。感谢用心的朋友，你们的作品也会入围。也有些朋友作品不是很好，就不考虑了。请懂行的朋友再给考虑下名字，暂时还没有合适的。批命、八字这些是要考虑的。谢谢了。,2016.05.23,2016.06.09,任务编号：423241,￥ 200,132,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】墙纸店铺起名,https://task.epwk.com/423186/,4851人,60人,¥128,圆满完成,单人悬赏,mf139****3908,要求名字顺口  时尚 高端大气寓意好，且不能和已有壁纸品牌重名，字数不超过四个,2016.05.23,2016.05.30,任务编号：423186,￥ 128,84,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】定制家具品牌取名,https://task.epwk.com/423157/,2946人,32人,¥100,圆满完成,单人悬赏,zhouchenlin,"整体家具公司名称征集，本公司位于四川成都。                            经营介绍： 本公司集专业研发、生产、销售、安装、服务于一体；主营定制衣柜等柜类产品（类似‘索菲亚衣柜’‘德夫曼衣柜’‘艾瑞卡衣柜’）等。产品销售全国各地二三级城市家具卖场；产品定位于中高端。                    产品风格主要三类：                                    1、简欧式风格                                    2、现代时尚风格                                3、地中海风格      产品详情：成品推拉门衣柜、定制衣柜、衣帽间、书柜、隔断、酒柜、鞋柜、榻榻米等。                            要求：                                            1、名称响亮，高贵，文雅，有创意但不失稳重;(必需可以注册的)                                        2、配上中、英文两种名称，并可注册商标                                        3、附上创意说明，名称不超过三字。4、名称不能太中式，需要跟国际化大牌接轨。（此标为进出口做打算）                            知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;            备注：必须要能注册！！！",2016.05.23,2016.05.30,任务编号：423157,￥ 100,40,小青欣,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】面馆起名,https://task.epwk.com/423140/,5609人,139人,¥100,圆满完成,单人悬赏,bbdbb9691,1、时尚面馆起名，主要客群为20-40岁，名称响亮，时尚有创意 ，最好是2-4个字；2、起名中不要带有面字，更不要带有（XX堂、XX店、XX家、XX居¥的字样；3、支持和餐饮无关、不着边际、不符合逻辑的名字，支持网络用语名字。,2016.05.23,2016.06.25,任务编号：423140,￥ 100,177,lxl50023719,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【宣传策划】广告宣传语设计,https://task.epwk.com/423069/,4640人,66人,¥100,圆满完成,单人悬赏,chtf5023,我们是做醇基燃料的，一种新型的节能环保的液体燃料，可以代替液化气现在我们针对餐饮酒店、学校、企事业单位进行推广销售再结合一下现在国家推行的明厨亮灶工程需要一段精简的广告宣传语我们公司的名称：沧州铭宇化工有限公司燃料品牌名称：华升志诚,2016.05.23,2016.06.11,任务编号：423069,￥ 100,76,小青欣,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】家具公司取名,https://task.epwk.com/422964/,3224人,79人,¥150,圆满完成,单人悬赏,earnest,"1、简单、易记。最好是2-3个汉字(不包括家具和家居字)为宜，有特别寓意的除外。2、暗喻最好能体现家具给家庭的带来的美感或者幸福感。如果没有，有新颖的寓意（需进行说明）也是可以的3、取名将用于实体公司和网络店铺使用，若有重复会降低中标率4、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任5、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品",2016.05.22,2016.06.08,任务编号：422964,￥ 150,94,踏雪飞燕,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】白酒品牌起名,https://task.epwk.com/422837/,4632人,93人,¥100,圆满完成,单人悬赏,xinghengda,"白酒名称征集，本公司位于廊坊三河。经营介绍： 主营白酒，也有部分配置酒，白酒原料：谷梁； 酒特色：美容养颜，强健身体，口感柔和，色泽明亮。要求：1、名称响亮，易记，文雅，有创意但不失稳重2、最好是图文结合，并可注册商标3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.05.21,2016.07.10,任务编号：422837,￥ 100,121,石枯沙老,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】房产中介起名,https://task.epwk.com/422957/,5208人,132人,¥100,圆满完成,单人悬赏,mf189****7127,要求可以通过工商注册、朗朗上口、寓意丰富、容易记住，名字大气磅礴,2016.05.22,2016.10.20,任务编号：422957,￥ 100,153,人本美名,https://shop.epwk.com/v0n1xgvl057y/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】清洁用品商标取名,https://task.epwk.com/422905/,4692人,72人,¥100,圆满完成,单人悬赏,lihuiliyusheng,我公司主要产品洗衣液洗洁精沐浴露等清洁字数2-3字好听好记最好带洁字，要有显著含义的名字，寓意好点，不能抄袭别人的名字，设计风格多样化的最好加上广告语，最好温馨点的,2016.05.21,2018.02.22,任务编号：422905,￥ 100,80,WKswl,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】志愿服务温情路线公益广告策划,https://task.epwk.com/422738/,7272人,29人,¥1000,圆满完成,单人悬赏,可可西里DM,《志愿服务在邕城 人人都是自愿者》温情路线1分钟视频公益广告策划创意文案背景：在南宁好多社区都有好多你帮我，我帮你的好心人，他们有些是志愿者....通过1分钟的视频演绎或注释表现这种志愿服务，也可另辟途径表现和倡导这一主题。要求：类似泰国的公益广告，视角特别，角度新颖，紧扣主题，能让观众观看后引起共鸣的文案，大概一两百字即可,2016.05.20,2016.07.29,任务编号：422738,￥ 1000,33,格物丸子工作室,https://shop.epwk.com/p05qjp19rdev/,https://shop.epwk.com/p05qjp19rdev/chushou/,工作室,七品,40分,,,企业战略方案,价格面议,演讲稿,价格面议,品牌故事,价格面议,剧本,价格面议,,,,,,,,,,
【品牌起名】拖鞋英文商标起名,https://task.epwk.com/422490/,3800人,52人,¥300,圆满完成,单人悬赏,七个小蜗牛,"英文商标名字征集，本公司主营居家拖鞋，也有部分袜子.特别注意.主营类产品是拖鞋.且是居家类开口拖鞋为主.包脚类的鞋子非常少,..我们的产品消费人群以25-40岁有消费能力和生活品位的女性为主，价格在80元到180元左右.在同类商品里为中高类,大部分都从台湾和马来西亚生产.并进口..材质和品牌定位与国内比较有名的洞洞鞋品牌卡洛驰类似..产品简单来说就是.舒适.健康.环保.....产品特色：款式时尚休闲.上脚舒适柔软..无普通拖鞋的臭味.防滑性能非常好..重量也非常轻便..原材料为环保健康材质.符合现代比较讲究或比较有品味的时尚的中高端类人群的需要.我们的产品现有中文商标,,,,{极沐}….已在注册申请中.寓意为非常极致的,不一般的居家体验.前期有百分之80的可能性能通过商标局审核.最好取英文名字的时候充分考虑这些情况.当然.不一定完全按中文的寓意走.可以另类一些甚至可以毫无关系.但产品整体的思路和方向定位是舒适.健康.时尚.环保..这些不可更改,一定要注意..另外需要说明的是.由于现有中文商标..极沐…并无百分百可能性能注册下来.所以.如能提供一个全新的中英文的名字组合并且可注册亦符合我们的产品定位的话.将优先考虑…命名要求： 1、名称简单，易记，可以是非常个性的.另类的，也可以是非常随意的.必需有创意但不失稳重;(必需可以注册商标的.) 2、英文名字的字母数字应控制在5到8个之间..并附上简单商标名字创意说明.知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.05.19,2016.07.01,任务编号：422490,￥ 300,66,【柳字创】,https://shop.epwk.com/omdwkx77qdrp/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】农产品起名,https://task.epwk.com/422582/,3430人,54人,¥100,圆满完成,单人悬赏,zml2368,"具体要求：1、主要经营绿色果蔬，有机粮食作物、环保畜禽肉等。2、中文名称要大气，时尚，辨识度高，易记住，易传播。3、突出绿色安全。4、名称朗朗上口，还要有安逸舒适亲切之感；5、不要似曾相识，而要过目不忘。6、便于推广，有故事可讲。7、必须可以注册。8、有品牌故事，如能同时附一句广告词更好。必须是在商标局网站核对过没有雷同相似并且经查询是可以注册的，附上查询截图。未经查询是否有雷同相似请不要交稿，谢谢合作。附上创意说明，解释品牌含义。不要模仿，回避市场上雷同的读音。知识产权说明： 1)  投稿作品应为原创，未侵犯他人著作权；如侵犯他人著作权，投稿者承担所有法律责任；2)  选中的投稿作品，我方付费即拥有该作品的所有知识产权，包括并不限于著作权、使用权、和发布权等，有权对投稿作品进行修改、组合和应用；3)  投稿作品一经采用，所有权、修改权和使用权归委托者所有，投稿者不得再在其他任何地方使用该作品,否则构成侵权。委托者保留依法追究投稿者法律责任的权利；",2016.05.19,2016.06.08,任务编号：422582,￥ 100,69,竹叶常青设计工作室,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,
